app.softwork	postgres-native-sqldelight-driver-linuxarm64	0.0.11		N/A
biz.aQute.bnd	biz.aQute.bnd.annotation	2.4.0		bb4e314d44ea7dcc08892a3275abef3afed2dc60
biz.aQute.bnd	biz.aQute.bnd.annotation	3.0.0		128e2680b410957e7f2920ee955c7a88e33d1c91
biz.aQute.bnd	biz.aQute.bnd.annotation	3.1.0		0f1ac36cb5d8b7a59939b5a5be3bb7746fcda94c
biz.aQute.bnd	biz.aQute.bnd.annotation	3.2.0		5a7fe0ad696f842110caba3074e4987a331d5714
biz.aQute.bnd	biz.aQute.bnd.annotation	3.3.0		ad3cb235b85235814afa56f085cdcfe4589ffc23
biz.aQute.bnd	biz.aQute.bnd.annotation	3.4.0		88a504f204fec42dcf99923046c209ea7044e250
biz.aQute.bnd	biz.aQute.bnd.annotation	3.5.0		d5d418f1fc36c47754f66e93f0aa0c090a3318a8
biz.aQute.bnd	biz.aQute.bnd.annotation	4.0.0		362df80fe406e51225156b61fdc7991e0536d10d
biz.aQute.bnd	biz.aQute.bnd.annotation	4.1.0		21affa00371a1203a844d64ef9f5b1cf9b688954
biz.aQute.bnd	biz.aQute.bnd.annotation	4.2.0		4b60e84c61eaae0366804e5c1912102861c019c0
biz.aQute.bnd	biz.aQute.bnd.annotation	4.3.0		778c0a26c1d12b3c23e39b561f363c2a6977ffcd
biz.aQute.bnd	biz.aQute.bnd.annotation	4.3.1		19b525ceb3e29948e3dd22cbe7b66549435ff1b5
biz.aQute.bnd	biz.aQute.bnd.annotation	5.0.0		cfc5dee6c1f2f7d4badca822d07ae18bcc4a25f5
biz.aQute.bnd	biz.aQute.bnd.annotation	5.0.1		73D38A0C4E324CE10EB568AD0DEA880AF62B3458
biz.aQute.bnd	biz.aQute.bnd.annotation	5.1.0		749E9BA721AD32AEB821182863DB7A075E1273F1
biz.aQute.bnd	biz.aQute.bnd.annotation	5.1.1		AA581683306973284D6042774FA26A1553C05CF4
biz.aQute.bnd	biz.aQute.bnd.annotation	5.1.2		7E18A64FB5A37740FB413C2742E057B79A9276F8
biz.aQute.bnd	biz.aQute.bnd.annotation	5.2.0		2D66A51B8E3B321FFBF8AD4A9856773D5E97D719
biz.aQute.bnd	biz.aQute.bnd.annotation	5.3.0		4BF39FA9B220F591ABFFAE44F1A9A6FA765C058F
biz.aQute.bnd	biz.aQute.bnd.annotation	6.0.0		621A5B0401D780081340062F9167E50DABCACC22
biz.aQute.bnd	biz.aQute.bnd.annotation	6.1.0		4C1AB94399060A676FEDB8127594B6400AB51928
biz.aQute.bnd	biz.aQute.bnd.annotation	6.2.0		ADEAF2A7575F1CF03482F83C24D19A421447FC3A
biz.aQute.bnd	biz.aQute.bnd.annotation	6.3.0		19F06DD66AC9DD1EF1F1FE7D7B6E588678B18C93
biz.aQute.bnd	biz.aQute.bnd.annotation	6.3.1		4BD2576D30882CBE1135896B9940ECCCA06C6453
biz.aQute.bnd	biz.aQute.bnd.annotation	6.4.0		C3B0DC0AD6209C335F7D6F23E7D726F0AD743F7A
biz.aQute.bnd	biz.aQute.bnd.annotation	6.4.1		381D53A2E2F48C2623E04990F4A2B06B6885CAB1
biz.aQute.bnd	biz.aQute.bnd.annotation	7.0.0		8AD279EBF0D04EA89C5CE4D934189D0D16BB6D50
biz.aQute.bnd	biz.aQute.bnd.annotation	7.1.0		2F2BE18C936D08CF46EA6CFA0043F34AFDF38705
cn.featherfly.common	common-mail	0.3.1		72bb537a0dc0e1e060cd6b9090de19d617d31d9e
cn.featherfly.common	common-mail	0.4.1		00dc20954efda479aedbbd68561572922088de79
cn.featherfly.common	common-mail	0.4.2		5e7409ddfcda20ac53a05f7faa8e67465b5bedbf
cn.featherfly.common	common-mail	0.4.3		a7d7e42f16cd88a750fac5810c96fe374d6f054f
cn.featherfly.common	common-mail	0.4.4		2f9f1b6dbb4b3703274d9f6a1cb4667e93bfe1ce
co.touchlab	stately-mingwx64	0.7.2		N/A
co.touchlab	stately-mingwx64	0.7.3		N/A
co.touchlab	stately-mingwx64	0.9.3		N/A
co.touchlab	stately-mingwx64	0.9.4		N/A
