com.adobe.cq.testing	cq-it-framework	2.0.130		7709f0ceafffb93b77c2f5bca7be34e5875b168d
com.bidyut.tech.seahorse	seahorse-core-mingwx64	0.10.0		N/A
com.bidyut.tech.seahorse	seahorse-core-mingwx64	0.11.0		N/A
com.bidyut.tech.seahorse	seahorse-core-mingwx64	0.12.0		N/A
com.bidyut.tech.seahorse	seahorse-core-mingwx64	0.8.0		N/A
com.bidyut.tech.seahorse	seahorse-core-mingwx64	0.9.0		N/A
com.bsmoot	rest-recptcha-spring-boot-starter	1.0.0		22da0595fbbb0e8b177f540518a6fc4122867203
com.carecon.fabric3	fabric3-monitor	3.0.0		86128a932ca6d61ce861da89b92a71ca7023f750
com.carecon.fabric3	fabric3-monitor	3.1.0		852e8751985cc9d44aefa6ff5334ed49b68eb816
com.datadoghq	dd-sdk-android-ndk	1.10.0		N/A
com.datadoghq	dd-sdk-android-ndk	1.10.0-beta1		N/A
com.datadoghq	dd-sdk-android-ndk	1.10.0-beta2		N/A
com.datadoghq	dd-sdk-android-ndk	1.10.0-rc1		N/A
com.datadoghq	dd-sdk-android-ndk	1.11.0		N/A
com.datadoghq	dd-sdk-android-ndk	1.11.0-beta1		N/A
com.datadoghq	dd-sdk-android-ndk	1.11.0-rc1		N/A
com.datadoghq	dd-sdk-android-ndk	1.11.1		N/A
com.datadoghq	dd-sdk-android-ndk	1.12.0		N/A
com.datadoghq	dd-sdk-android-ndk	1.12.0-alpha1		N/A
com.datadoghq	dd-sdk-android-ndk	1.12.0-alpha2		N/A
com.datadoghq	dd-sdk-android-ndk	1.12.0-beta1		N/A
com.datadoghq	dd-sdk-android-ndk	1.12.0-rc1		N/A
com.datadoghq	dd-sdk-android-ndk	1.13.0		N/A
com.datadoghq	dd-sdk-android-ndk	1.13.0-beta1		N/A
com.datadoghq	dd-sdk-android-ndk	1.13.0-no-nav		N/A
com.datadoghq	dd-sdk-android-ndk	1.13.0-rc1		N/A
com.datadoghq	dd-sdk-android-ndk	1.14.0		N/A
com.datadoghq	dd-sdk-android-ndk	1.14.0-beta1		N/A
com.datadoghq	dd-sdk-android-ndk	1.14.0-beta2		N/A
com.datadoghq	dd-sdk-android-ndk	1.14.1		N/A
com.datadoghq	dd-sdk-android-ndk	1.15.0		N/A
com.datadoghq	dd-sdk-android-ndk	1.16.0		N/A
com.datadoghq	dd-sdk-android-ndk	1.16.0-beta1		N/A
com.datadoghq	dd-sdk-android-ndk	1.17.0		N/A
com.datadoghq	dd-sdk-android-ndk	1.17.1		N/A
com.datadoghq	dd-sdk-android-ndk	1.17.2		N/A
com.datadoghq	dd-sdk-android-ndk	1.18.0		N/A
com.datadoghq	dd-sdk-android-ndk	1.18.1		N/A
com.datadoghq	dd-sdk-android-ndk	1.19.0		N/A
com.datadoghq	dd-sdk-android-ndk	1.19.1		N/A
com.datadoghq	dd-sdk-android-ndk	1.19.2		N/A
com.datadoghq	dd-sdk-android-ndk	1.19.3		N/A
com.datadoghq	dd-sdk-android-ndk	1.8.1		N/A
com.datadoghq	dd-sdk-android-ndk	1.9.0		N/A
com.datadoghq	dd-sdk-android-ndk	1.9.0-alpha1		N/A
com.datadoghq	dd-sdk-android-ndk	1.9.0-alpha2		N/A
com.datadoghq	dd-sdk-android-ndk	1.9.0-beta1		N/A
com.datadoghq	dd-sdk-android-ndk	1.9.0-rc1		N/A
com.datadoghq	dd-sdk-android-ndk	1.9.1		N/A
com.datadoghq	dd-sdk-android-ndk	2.0.0		N/A
com.datadoghq	dd-sdk-android-ndk	2.0.0-beta1		N/A
com.datadoghq	dd-sdk-android-ndk	2.0.0-beta2		N/A
com.datadoghq	dd-sdk-android-ndk	2.0.0-beta3		N/A
com.datadoghq	dd-sdk-android-ndk	2.1.0		N/A
com.datadoghq	dd-sdk-android-ndk	2.10.0		N/A
com.datadoghq	dd-sdk-android-ndk	2.10.1		N/A
com.datadoghq	dd-sdk-android-ndk	2.11.0		N/A
com.datadoghq	dd-sdk-android-ndk	2.11.0-debug		N/A
com.datadoghq	dd-sdk-android-ndk	2.12.0		N/A
com.datadoghq	dd-sdk-android-ndk	2.12.1		N/A
com.datadoghq	dd-sdk-android-ndk	2.13.0		N/A
com.datadoghq	dd-sdk-android-ndk	2.13.0-debug		N/A
com.datadoghq	dd-sdk-android-ndk	2.13.1		N/A
com.datadoghq	dd-sdk-android-ndk	2.13.1-debug		N/A
com.datadoghq	dd-sdk-android-ndk	2.14.0		N/A
com.datadoghq	dd-sdk-android-ndk	2.15.0		N/A
com.datadoghq	dd-sdk-android-ndk	2.15.1		N/A
com.datadoghq	dd-sdk-android-ndk	2.16.0		N/A
com.datadoghq	dd-sdk-android-ndk	2.16.1		N/A
com.datadoghq	dd-sdk-android-ndk	2.17.0		N/A
com.datadoghq	dd-sdk-android-ndk	2.18.0		N/A
com.datadoghq	dd-sdk-android-ndk	2.19.0		N/A
com.datadoghq	dd-sdk-android-ndk	2.19.1		N/A
com.datadoghq	dd-sdk-android-ndk	2.19.2		N/A
com.datadoghq	dd-sdk-android-ndk	2.2.0		N/A
com.datadoghq	dd-sdk-android-ndk	2.20.0		N/A
com.datadoghq	dd-sdk-android-ndk	2.3.0		N/A
com.datadoghq	dd-sdk-android-ndk	2.4.0		N/A
com.datadoghq	dd-sdk-android-ndk	2.5.0		N/A
com.datadoghq	dd-sdk-android-ndk	2.5.1		N/A
com.datadoghq	dd-sdk-android-ndk	2.6.0		N/A
com.datadoghq	dd-sdk-android-ndk	2.6.1		N/A
com.datadoghq	dd-sdk-android-ndk	2.6.2		N/A
com.datadoghq	dd-sdk-android-ndk	2.7.0		N/A
com.datadoghq	dd-sdk-android-ndk	2.7.1		N/A
com.datadoghq	dd-sdk-android-ndk	2.8.0		N/A
com.datadoghq	dd-sdk-android-ndk	2.9.0		N/A
com.dream-orm	dream-orm-mate	1.0.0		f480c4ee88f2b1e6a7ce16405fff25e0b52dbf7e
com.dream-orm	dream-orm-mate	1.1.0		2a3f960fb3cc144eb08467f49e8d24b798c20139
com.dream-orm	dream-orm-mate	1.1.1		3844d28b2f3c938d6b423c4f97fe70e323c44b0e
com.dream-orm	dream-orm-mate	1.1.2		e18a58d86c30030b84e2140844b0967b87f7799a
