au.gov.nehta	cda-schema	2.1.1		9d3f9a1aa6ca8b825ac4951326a6ee2bb42e8fb9
com.beachape	sparkka-streams_2.11	1.0		2f5dbe08a23eea47829742dc57879e670d302e7a
com.beachape	sparkka-streams_2.11	1.1		9ce33b52dab6183a86ebf33c0f983f685a878431
com.beachape	sparkka-streams_2.11	1.2		2a48b9c4bf729fe967f0a393fa114f0180a60b42
com.beachape	sparkka-streams_2.11	1.3		9a98b5acce001e74c603b1747a17019fda2a2d33
com.beachape	sparkka-streams_2.11	1.4		d6390e8cd27e5cfe7d57d1af2ea79798a235ec0f
com.beachape	sparkka-streams_2.11	1.5		f9bd4685899c7027f7569bd54a22236806112469
com.chuusai	shapeless_sjs1_2.11	2.3.10		04f2eddeb48c554e915b9d293f3b40261e765a12
com.chuusai	shapeless_sjs1_2.11	2.3.11		8b5887a599c9aebabeb962d28da255abe51159e2
com.chuusai	shapeless_sjs1_2.11	2.3.3		e7b9cabc818656a13a91943de44b519c98aa280a
com.chuusai	shapeless_sjs1_2.11	2.3.4		5b665c5c9778325462d1090e38a068ede764401a
com.chuusai	shapeless_sjs1_2.11	2.3.4-M1		889dada2201e186883764f6e5973fc1fad1636cb
com.chuusai	shapeless_sjs1_2.11	2.3.5		9d6be2fa61de9c3930caea7d1e1527d6de8e2d3b
com.chuusai	shapeless_sjs1_2.11	2.3.6		7d4511fa041d8981128bccb1d3c18c7e52c62e0d
com.chuusai	shapeless_sjs1_2.11	2.3.7		683459037b9f0c924c6a1c0884bfa7ec8ff83a78
com.chuusai	shapeless_sjs1_2.11	2.3.8		26db84bf29b3d1f059a0ba44438bd8d879717271
com.chuusai	shapeless_sjs1_2.11	2.3.9		c9efc9c002c25ab1bca968d0e0eab8f126f241fe
com.chuusai	shapeless_sjs1_2.11	2.4.0-M1		55a74e283f2f4a49f14bea983e6f82abb69d7146
com.codacy	foundation-config_2.12	10.0.0_play_2.6		f268809d5b0b0d12941920246425bd21d5285428
com.codacy	foundation-config_2.12	10.0.0_play_2.7		42bf10a95e0b290c2b626ab102577d725e1ca7bd
com.codacy	foundation-config_2.12	10.0.1_play_2.6		773da966a15076b21af4164016219e4094539cbe
com.codacy	foundation-config_2.12	10.0.1_play_2.7		b5b3758a15c52446adae04d79541120dff94f3e1
com.codacy	foundation-config_2.12	10.0.2_play_2.6		e73acc1f41046d1d6173bf08c212016b024baae9
com.codacy	foundation-config_2.12	10.0.2_play_2.7		cb6a0e68f70fe260467085431da4a030db9c24f7
com.codacy	foundation-config_2.12	10.1.0_play_2.6		9d9cf4acfadefb25192c694b83083e6cd1c60035
com.codacy	foundation-config_2.12	10.1.0_play_2.7		14124b7ff8174ddb353036689af3b8660336c2fa
com.codacy	foundation-config_2.12	10.2.0_play_2.6		2b00bbdae7c7ac616b6db898f6c92937b0f91c5f
com.codacy	foundation-config_2.12	10.2.0_play_2.7		7f3da2d331d6f40fa57bf2070d982190b9a42f22
com.codacy	foundation-config_2.12	10.2.1_play_2.6		6468ec14a163de695fd7620def93181d04dc337b
com.codacy	foundation-config_2.12	10.2.1_play_2.7		42ae4ac8d236e9c0f4b6dd73529b86608594ff9d
com.codacy	foundation-config_2.12	10.3.0_play_2.6		d06d05365a076ad31a9da05442c3c2d853eaaec4
com.codacy	foundation-config_2.12	10.3.0_play_2.7		c13bdf005a6f95331f1b3496141cd2a333eccc91
com.codacy	foundation-config_2.12	10.4.0_play_2.6		bd2059e95d87cc19f0456ec923fcca001d2cd236
com.codacy	foundation-config_2.12	10.4.0_play_2.7		ee55fa3ed1a0ee3b7ef14c2e6fcbaf8f846527da
com.codacy	foundation-config_2.12	10.5.0_play_2.6		b5eacfd879100ef45df3589786113e032a2aab74
com.codacy	foundation-config_2.12	10.5.0_play_2.7		36ef136f6a1b9f5791e39786172a7b7abf51ec91
com.codacy	foundation-config_2.12	10.6.0_play_2.6		f46d5b78a46d5cd22b61dd3c3da73141f2f68aa9
com.codacy	foundation-config_2.12	10.6.0_play_2.7		d233927b6e02993d5c8c98163ecd1a7c5993d528
com.codacy	foundation-config_2.12	10.7.0_play_2.6		b847211a2fa6e0ea611f2af8e157cb6a87c0e96e
com.codacy	foundation-config_2.12	10.7.0_play_2.7		a40eac1b97221859d11d4b407e9eba680c36eea5
