ch.epfl.lamp	scala-grading-plugin_2.11.1	0.3		38dc92e19da5351c014ba389eb5991e236cc314e
cn.datastacks	durian	0.8		30f510e0782b03ad54645b5b32525a33b42c6884
cn.datastacks	durian	0.9		09bf806b5e335f7e78b9a79c4c177a6d38cdb2a2
co.zsmb	requirektx-navigation-watchossimulatorarm64	2.0.0-alpha02		N/A
co.zsmb	requirektx-navigation-watchossimulatorarm64	2.0.0-alpha02	metadata	7c741ebf73c4c0ca24ceab50cd6f3f41842148bc
co.zsmb	requirektx-navigation-watchossimulatorarm64	2.0.0-alpha03		N/A
co.zsmb	requirektx-navigation-watchossimulatorarm64	2.0.0-alpha03	metadata	229c3f294d3fed2403e362b6661bc16909ca7295
com.alibaba	druid	0.1.18		0d828bd080c2a83f46ce31397be031718b10d826
com.alibaba	druid	0.1.19		c7c25d65d5e1c1392eacf488d7cee08d32105de6
com.alibaba	druid	0.2		147ece44407475d2b7aeda37c9775231c52b053e
com.alibaba	druid	0.2.1		7f2abe2512253d46eafacf65620d89f4e67efce5
com.alibaba	druid	0.2.10		72c33f37d106e533a168ae7c211a6e971eaca4b5
com.alibaba	druid	0.2.11		70c22231d152a5e312076cdbd01d4d55464b5b68
com.alibaba	druid	0.2.12		2af7d5dfe82320142b826346e0cb5316f5394f2f
com.alibaba	druid	0.2.13		81bc4954667da26f63394dbfac05fa3dbcde7c0d
com.alibaba	druid	0.2.14		6bbaaae0ed25051519ae4138a7341a1bb3e38af8
com.alibaba	druid	0.2.15		0d453273b1d0020ebd7aa5a67f175c40f3ef4989
com.alibaba	druid	0.2.16		fb846e49baffa723b9e63d67414300260d019711
com.alibaba	druid	0.2.17		1e5b06e2c484653bccee7d15f1d6126badfbe9c2
com.alibaba	druid	0.2.18		c02eac4538efbe74516a1ad226b9badde8ba1707
com.alibaba	druid	0.2.19		5e793266bc82b53cbef2aed93e4bfa3114f619a2
com.alibaba	druid	0.2.2		b1fc8fe8f902fcda5937b42c15e2e6fda5498ef6
com.alibaba	druid	0.2.20		9315426f2e1a6ba011109da52be7df96061eb81f
com.alibaba	druid	0.2.21		f6c1ebbe862a85459fb79a89bcdc2d437a80b97c
com.alibaba	druid	0.2.22		a4cb5b8e86a550399027f02924eae0f8ab9abc4a
com.alibaba	druid	0.2.23		66d2888a133149bbadddb1d9beaa0f0cc597a93c
com.alibaba	druid	0.2.24		5476d07b50463e26d130be24cb27a2a0950291c3
com.alibaba	druid	0.2.25		229ed53d4c877ae935017e8d344a81adc639aed1
com.alibaba	druid	0.2.26		d82fc03599e98046486552214e1653b4c8f096de
com.alibaba	druid	0.2.3		d86cc6be33cc5643c60ba4b0f336050d3432d442
com.alibaba	druid	0.2.4		479be4a6a807d68f9be327679ed14d1d2ede65c7
com.alibaba	druid	0.2.5		5699fd33b9675d9105d48a3ea9df0c4585de7d3f
com.alibaba	druid	0.2.6		0cec7873b46e11a59902ad6a939d8f8ed709bee9
com.alibaba	druid	0.2.7		7c139905b3790f818ffc28e26abddd98248ae0c1
com.alibaba	druid	0.2.8		aebc0ed6d15949e9dc1e9159da14b7f9cc2a21e1
com.alibaba	druid	0.2.9		c8a6527e3889f570106173387fbbd4d9410f8c42
com.alibaba	druid	1.0.0		8f641c486db7bc929155a9f88837e8e45606a2fb
com.alibaba	druid	1.0.1		439963965b3be6f1f54dda50857e646b39cc3615
com.alibaba	druid	1.0.10		1d092a1d6803d60ddde7f55946cf92459fb03957
com.alibaba	druid	1.0.11		f3362050d9c28bc408568b07d71e25b3b28e25dd
com.alibaba	druid	1.0.12		53d882047437a2e3ecb56c6ac078dfd6f14482da
com.alibaba	druid	1.0.13		610bc8412c7d7e750e509d73f519e550d79dfda5
com.alibaba	druid	1.0.14		eac0dbaa3decfa69fdf2c2632bcc8a420e798265
com.alibaba	druid	1.0.15		6a84f94a0dafe1f7912e90961de029d9bb3c7807
com.alibaba	druid	1.0.16		71043e220d4a2187848a9ee05cc6ac56c8023929
com.alibaba	druid	1.0.17		385ae748ac57f6188be0463e58b73001d4ca2158
com.alibaba	druid	1.0.18		9e4da3cbebad34c9eb3900ef9dc30cb4a60cffe0
com.alibaba	druid	1.0.19		296bfb5c23ab4c219699ddf9567249a49364b6b4
com.alibaba	druid	1.0.2		647d6fc0e19f986691986dddac30a855a250a8f1
com.alibaba	druid	1.0.20		8f881934850b032367b8c9a79a06c850d93d8866
com.alibaba	druid	1.0.21		2888795b47d174071866d4f3c68925312fb5dc43
com.alibaba	druid	1.0.22		cfbe9ed5a92e7f1df5b947bd745f76bdb95fdc90
com.alibaba	druid	1.0.23		2c1ea1f15b2820fb3cc5d9255f9540b99cdeefe6
com.alibaba	druid	1.0.24		8458c6cd1e4b9df10db3f7192e02c9a58cb35d0a
com.alibaba	druid	1.0.25		2057685b8d9bbd75242e920183ff647c68109579
com.alibaba	druid	1.0.25.2017102003		0f5457802b119dd8660c6e4508f31ef2051b2826
com.alibaba	druid	1.0.25.2017102004		ca3ace7b5090208ee38eafa2d342ec1768110978
com.alibaba	druid	1.0.25.2017103101		e44169c725936805e9a78edd024077f45344ce85
com.alibaba	druid	1.0.25.2017113001		95a2f487f2af6d5d455a8bb1001a13c9dc366c28
com.alibaba	druid	1.0.25.2018021101		1d61ba80fe755bba7a9760cf1d8c615f3b6110cf
com.alibaba	druid	1.0.25.2018030201		b320cefaea071895082869112a9b2929f4226021
com.alibaba	druid	1.0.25.2018101301		8c45e4f38e47d943706d988cc56f14de78f7e53a
com.alibaba	druid	1.0.26		f4bc6159b34e4cda5abd6480203492b470aa1a36
com.alibaba	druid	1.0.27		f87fe97b31c1b2f1af9a177793b42d01d0cf3362
com.alibaba	druid	1.0.28		f85b15e62e072125190e10fed668d1545094b98e
com.alibaba	druid	1.0.29		4acf3e5be445b9a6970a5497592e5f69b22c41e3
com.alibaba	druid	1.0.3		427fc4aba0f86eb1796fe1438261f40ae4e79b47
com.alibaba	druid	1.0.30		11516c217b1bdb1a624aa603cdf18bb8330b27de
com.alibaba	druid	1.0.31		fd31f61dd5e891ea6c6d70e874f3233f3eccee67
com.alibaba	druid	1.0.4		e7c89d40ea4f9a94e2840c7472f143ff3f103d3f
com.alibaba	druid	1.0.5		a2d11244b95f4e1c989e57e233fd6b2b51c8b7a0
com.alibaba	druid	1.0.6		cbade5fd3b4054b8e1449dc76cbc135a8992d495
com.alibaba	druid	1.0.7		b22e92e5a3e631c003b898dde34421a80527132d
com.alibaba	druid	1.0.8		52bdaaab0df952cb4d28f703c1ae98238dcf3f5d
com.alibaba	druid	1.0.9		f91e47c9018578e5ca4d2e808cc3351505ae3ebb
com.alibaba	druid	1.1.0		673abfd98753db1179a2d02650f24ff94c426ef2
com.alibaba	druid	1.1.1		a4e642887b699caa5353d4685ff1275873cb41b4
com.alibaba	druid	1.1.10		05edd3db1f7ef54083e4c56e4743fa8bfbc517de
com.alibaba	druid	1.1.11		4245bf6d4fa6f96dd929f7d87f6730f8bfa9da39
com.alibaba	druid	1.1.11_preview_9		a20b46f046de394a83dcb07418f6ccdfaf13f289
com.alibaba	druid	1.1.12		088a0241470349c345e210d334e3b73757e5ff6b
