bouncycastle	bcprov-jdk12	140		368ad02ad6a0e9945698acf36b935b0f3a947bc7
ch.tutteli.atrium	atrium-infix-common	1.0.0		N/A
ch.tutteli.atrium	atrium-infix-common	1.0.0-RC2		N/A
club.mrxiao	map-java-amap	2.0.3		809c1d2b5f91d9e565b2f8094ef71526c0a57c40
club.mrxiao	map-java-amap	2.0.4		e69cf9802ad467f2d8faa776fcbb16726303e614
club.mrxiao	map-java-amap	2.0.5		92589880e81e1c43b766e033cf14db83d4dcf8d1
club.mrxiao	map-java-amap	2.0.6		c9b592fdefa71eb74d466d32d2d09768f351e8d9
co.fizzed	fizzed-versionizer-maven-plugin	1.0.0		f8884b6cd843b3089204c1ee96b3ebf1eb9c5a3e
co.fizzed	fizzed-versionizer-maven-plugin	1.0.1		1b27f8b9b62bf843cef4b115055a8996a77d0226
co.fizzed	fizzed-versionizer-maven-plugin	1.0.2		97155a1ae480f1e78645e749c4b32ffcab32e636
co.pango	core-hydra	4.9.3		N/A
co.pango	core-hydra	4.9.3-RC1		N/A
co.pango	core-hydra	4.9.3-RC2		N/A
co.pango	core-hydra	4.9.3-RC3		N/A
co.pango	core-hydra	4.9.3-RC4		N/A
co.pango	core-hydra	4.9.3-RC5		N/A
co.pango	core-hydra	4.9.3-RC6		N/A
co.pango	core-hydra	5.0.0		N/A
co.pango	core-hydra	5.0.0-RC1		N/A
co.pango	core-hydra	5.0.0-RC2		N/A
co.pango	core-hydra	5.0.0-RC3		N/A
co.pango	core-hydra	5.0.0-RC4		N/A
co.pango	core-hydra	5.0.1		N/A
co.pango	core-hydra	5.0.1-RC1		N/A
co.pango	core-hydra	5.0.1-RC2		N/A
co.pango	core-hydra	5.0.1-RC3		N/A
co.pango	core-hydra	5.0.10		N/A
co.pango	core-hydra	5.0.10-RC1		N/A
co.pango	core-hydra	5.0.2		N/A
co.pango	core-hydra	5.0.2-RC1		N/A
co.pango	core-hydra	5.0.2-RC2		N/A
co.pango	core-hydra	5.0.2-RC3		N/A
co.pango	core-hydra	5.0.2-RC4		N/A
co.pango	core-hydra	5.0.2-RC5		N/A
co.pango	core-hydra	5.0.2-RC6		N/A
co.pango	core-hydra	5.0.3		N/A
co.pango	core-hydra	5.0.3-RC1		N/A
co.pango	core-hydra	5.0.3-RC2		N/A
co.pango	core-hydra	5.0.3-RC3		N/A
co.pango	core-hydra	5.0.4		N/A
co.pango	core-hydra	5.0.4-RC1		N/A
co.pango	core-hydra	5.0.4-RC2		N/A
co.pango	core-hydra	5.0.4-RC3		N/A
co.pango	core-hydra	5.0.4-RC4		N/A
co.pango	core-hydra	5.0.5		N/A
co.pango	core-hydra	5.0.5-RC1		N/A
co.pango	core-hydra	5.0.5-RC2		N/A
co.pango	core-hydra	5.0.5-RC3		N/A
co.pango	core-hydra	5.0.5-RC4		N/A
co.pango	core-hydra	5.0.5-RC5		N/A
co.pango	core-hydra	5.0.5-RC6		N/A
co.pango	core-hydra	5.0.6		N/A
co.pango	core-hydra	5.0.6-RC1		N/A
co.pango	core-hydra	5.0.6-RC2		N/A
co.pango	core-hydra	5.0.6-RC3		N/A
co.pango	core-hydra	5.0.6-RC4		N/A
co.pango	core-hydra	5.0.7		N/A
co.pango	core-hydra	5.0.7-RC1		N/A
co.pango	core-hydra	5.0.7-RC2		N/A
co.pango	core-hydra	5.0.7-RC3		N/A
co.pango	core-hydra	5.0.7-RC4		N/A
co.pango	core-hydra	5.0.7-RC5		N/A
co.pango	core-hydra	5.0.8		N/A
co.pango	core-hydra	5.0.8-RC1		N/A
co.pango	core-hydra	5.0.8-RC2		N/A
co.pango	core-hydra	5.0.8-RC3		N/A
co.pango	core-hydra	5.0.9		N/A
co.pango	core-hydra	5.0.9-RC1		N/A
co.pango	core-hydra	5.0.9-RC2		N/A
com.bnd-lib	bnd-core	0.7.0		be293559ed51c8354ba77ccd938d3eb300809444
com.github.dibyaranjan	base-converter	0.5-beta		431c36c8ce71a629ae5f13ad80554594c2dd6913
com.github.dubasdey	log4j2-jsonevent-layout	0.0.4		786e57568953fefe0affdf91f8c42731d0a8c86e
com.github.dubasdey	log4j2-jsonevent-layout	0.0.5		6a095d9635fd599f81f9930d5f9358749cf08c54
com.github.dubasdey	log4j2-jsonevent-layout	0.0.6-alpha1		5c6efafe04d16645b55297e95f915f1eceb8e018
com.github.dubasdey	log4j2-jsonevent-layout	0.0.7		906eea5e72e344b04d8093c215f80216425c183f
com.github.dubasdey	log4j2-jsonevent-layout	0.0.8		61e6d9b580d5cb0d8935e6f919fdee87f0ad8a6d
com.github.gustavovitor	maker	0.0.1		acb2453139d177be80cb1ff858a72ef15862ca0b
com.github.gustavovitor	maker	0.0.2		839222ab4629e374ddf52934b8dee70754f53d18
com.github.gustavovitor	maker	0.0.3		N/A
com.github.gustavovitor	maker	0.0.4		N/A
com.github.gustavovitor	maker	0.0.5		N/A
com.github.gustavovitor	maker	0.0.6		N/A
com.github.gustavovitor	maker	0.0.7		N/A
com.github.gustavovitor	maker	0.0.8		N/A
com.github.gustavovitor	maker	0.0.9		N/A
com.github.gustavovitor	maker	1.0.0		N/A
com.github.gustavovitor	maker	1.1.0		N/A
com.github.gustavovitor	maker	1.2.0		N/A
com.github.gustavovitor	maker	1.2.1		N/A
com.github.gustavovitor	maker	1.2.2		N/A
com.github.gustavovitor	maker	1.3.0		N/A
com.github.gustavovitor	maker	1.4.0		N/A
com.github.gustavovitor	maker	1.4.1		N/A
com.github.gustavovitor	maker	1.5.4		N/A
com.github.gustavovitor	maker	1.6.4		N/A
com.github.gustavovitor	maker	1.7.0		N/A
com.github.gustavovitor	maker	1.7.1		N/A
com.github.gustavovitor	maker	1.7.2		N/A
com.github.gustavovitor	maker	1.7.3		N/A
com.github.lontime	extcommons-lang3-library	1.1.0		b8a7b9a33e110c26077e5800f2e92ff1ddd8bf32
com.github.lontime	extcommons-lang3-library	1.1.1		20ecba66ddd5fee7e9210b8a826b6731ea0c174d
