activemq	xsdlib	20050407		bafe37188ccc6b64e8fd7be6ac362f9fa6a13315
br.com.digix	editordedocumento	1.1.8		b50d2dc3be591f56d2212b032272b848d61ca144
br.com.digix	editordedocumento	2.0.0		17846e977e19ada9b1bcea84c3a7f65bc38e6184
br.com.digix	editordedocumento	2.1.0		ff97e2eed20ca51eb6675ba4d97d4baf1ab20f09
br.com.digix	editordedocumento	2.2.0		608294c5cd1999cc6b04a1ad4ef7e402f64b9c33
br.com.digix	editordedocumento	2.2.1		8096c36f9765102c406e912b656f9677147100a3
br.com.digix	editordedocumento	2.2.2		07046f17757de347483afb94effe3284cea09349
br.com.digix	editordedocumento	2.2.3		05b3741532808a81dade6f61b01753f9f8e4dd5a
br.com.digix	editordedocumento	2.2.4		cf67412a8687cd1fe552e9dc7e1475646fab9d9b
br.com.digix	editordedocumento	2.2.5		89b70579de58ac732cef0b96ce3c56ebd3620a1d
br.com.digix	editordedocumento	2.2.6		e29bb33cce54865e1fe1f0a6bf3f1ffa36e33557
br.com.digix	editordedocumento	2.2.7		c368aaf4ebf20d1163638543019510d2b2630157
br.com.digix	editordedocumento	2.3.0		24694714d0ca1aaaa1355aee0ec78037ca07c899
br.com.digix	editordedocumento	2.4.0		c8c019e9a2dedb90559523da0e5e02e15ac36b90
br.com.infoglobo.kvalito	kvalito	3.0.0		80eb35e3468bedc4534d00258ae6528b854c03dd
br.com.infoglobo.kvalito	kvalito	3.0.1		a95ea385da87538ce44af185875659873ef67c8e
br.com.infoglobo.kvalito	kvalito	3.1.0		004491ccbc958281627c21dca40f0c1b1321415a
br.com.infoglobo.kvalito	kvalito	3.2.0		03d21995548325d7ed88052d4fe1cd0503bcef2c
br.com.infoglobo.kvalito	kvalito	3.3.0		3f12dda739f5c4627081c5a43b6d91cacc994e6f
br.com.infoglobo.kvalito	kvalito	3.4.0		8e9583f0fe1eebfc4afbfcc7221b3c2bdeb665aa
br.com.infoglobo.kvalito	kvalito	3.5.0		12898015236844c1ae7e774d8dc1646159e11e3d
br.com.infoglobo.kvalito	kvalito	3.5.1		c84961ffcc7455af04ab5ea2df1bdeffb7f3b457
br.com.infoglobo.kvalito	kvalito	3.6.0		f690c591c666da17565a20c850824cdb9a2f1e31
br.com.infoglobo.kvalito	kvalito	3.6.1		77d489f4a5da6c3dbde3c3ecbfea93340c470ee5
cn.com.antcloud.api	antcloud-api-ak_ac1ee4e967cf455eb77a2e47cf5abd56	1.0.0		1998e74155314735e1b9dbc25dfa4a04810a27c7
com.automatak.lib4s	lib4s_2.10.0	0.1.13-RC1		N/A
com.bytedance.tools.lancet	lancet-plugin-asm9	1.0.1		3d62c1d83d5df15e636eb579fc678a949df1253b
com.diglol.crypto	crypto-android	0.1.0		N/A
com.diglol.crypto	crypto-android	0.1.1		N/A
com.diglol.crypto	crypto-android	0.1.2		N/A
com.diglol.crypto	crypto-android	0.1.3		N/A
com.diglol.crypto	crypto-android	0.1.4		N/A
com.diglol.crypto	crypto-android	0.1.5		N/A
com.diglol.crypto	crypto-android	0.2.0		N/A
com.ensody.reactivestate	reactivestate-test-iossimulatorarm64	5.0.0		N/A
com.ensody.reactivestate	reactivestate-test-iossimulatorarm64	5.0.0	metadata	fdb9ff81f294fe67c00504560cef717d55ae5dc0
com.ensody.reactivestate	reactivestate-test-iossimulatorarm64	5.0.1		N/A
