com.daml	sandbox-on-x-app_2.12	1.12.0-snapshot.20210406.6646.0.631db446		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.13.0		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.13.0-snapshot.20210413.6706.0.2dc09ba2		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.13.0-snapshot.20210419.6730.0.8c3a8c04		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.13.0-snapshot.20210426.6770.0.ca66061b		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.13.0-snapshot.20210503.6809.0.ca012c3b		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.13.0-snapshot.20210504.6833.0.9ae787d0		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.13.1		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.13.1-snapshot.20210512.6834.0.5f532380		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.13.1-snapshot.20210512.6834.1.5f532380		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.14.0		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.14.0-snapshot.20210511.6892.0.ca9e89b3		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.14.0-snapshot.20210518.6953.0.a6c7b86a		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.14.0-snapshot.20210526.7024.0.aedb9a82		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.14.0-snapshot.20210601.7081.0.7d716e6d		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.14.0-snapshot.20210602.7086.0.f36f556b		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.14.0-snapshot.20210608.7123.0.3cb8d5c2		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.14.0-snapshot.20210615.7124.0.d1b54ff0		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.14.0-snapshot.20210615.7169.0.adeba206		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.14.1		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.14.1-snapshot.20210706.7133.0.8ec16e94		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.14.2		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.14.2-snapshot.20210708.7135.0.aa297840		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.15.0		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.15.0-snapshot.20210615.7169.0.adeba206		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.15.0-snapshot.20210623.7217.0.5b73813d		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.15.0-snapshot.20210630.7261.0.84e1f3a7		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.15.0-snapshot.20210705.7286.0.62aabcc4		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.16.0		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.16.0-snapshot.20210713.7343.0.1f35db17		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.16.0-snapshot.20210720.7404.0.b7cf42d1		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.16.0-snapshot.20210727.7476.0.b5e9d861		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.16.0-snapshot.20210802.7499.0.5157ad6d		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.16.0-snapshot.20210805.7501.0.48050ad7		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.17.0		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.17.0-snapshot.20210811.7565.0.f1a55aa4		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.17.0-snapshot.20210817.7604.0.0c187853		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.17.0-snapshot.20210824.7647.0.640fb683		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.17.0-snapshot.20210831.7702.0.f058c2f1		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.17.0-snapshot.20210907.7759.0.35a853fd		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.17.0-snapshot.20210910.7786.0.976ca400		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.17.0-snapshot.20210915.7841.0.b4328b3d		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.17.0-snapshot.20210922.7849.0.49a75801		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.17.1		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.17.1-snapshot.20211006.7852.0.fbc4bc00		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.17.1-snapshot.20211006.7853.0.e05be365		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.17.2-snapshot.20211124.7857.0.b33b94b8		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.18.0		52b955e1ed87e255262a820426cb10055e9c6c38
com.daml	sandbox-on-x-app_2.12	1.18.0-snapshot.20210921.7889.0.1b473c2b		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.18.0-snapshot.20210921.7889.1.1b473c2b		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.18.0-snapshot.20210922.7908.0.ced4a272		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.18.0-snapshot.20210928.7948.0.b4d00317		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.18.0-snapshot.20211006.8003.0.cfcdc13c		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.18.0-snapshot.20211013.8071.0.514e8b50		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.18.0-snapshot.20211019.8113.0.8ff347d8		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.18.0-snapshot.20211026.8179.0.e474b2d1		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.18.0-snapshot.20211102.8257.0.7391a3cd		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.18.0-snapshot.20211109.8328.0.92181161		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.18.0-snapshot.20211110.8337.0.c5a1f0bb		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.18.0-snapshot.20211111.8349.0.d938a44c		52b955e1ed87e255262a820426cb10055e9c6c38
com.daml	sandbox-on-x-app_2.12	1.18.0-snapshot.20211117.8399.0.a05a40ae		52b955e1ed87e255262a820426cb10055e9c6c38
com.daml	sandbox-on-x-app_2.12	1.18.0-snapshot.20211124.8419.0.39d9afcd		52b955e1ed87e255262a820426cb10055e9c6c38
com.daml	sandbox-on-x-app_2.12	1.18.0-snapshot.20211206.8423.0.2c945fcb		52b955e1ed87e255262a820426cb10055e9c6c38
com.daml	sandbox-on-x-app_2.12	1.18.1		52b955e1ed87e255262a820426cb10055e9c6c38
com.daml	sandbox-on-x-app_2.12	1.18.1-snapshot.20220106.8429.0.ea344666		52b955e1ed87e255262a820426cb10055e9c6c38
com.daml	sandbox-on-x-app_2.12	1.18.1-snapshot.20220110.8433.0.e8e25a11		52b955e1ed87e255262a820426cb10055e9c6c38
com.daml	sandbox-on-x-app_2.12	1.18.1-snapshot.20220113.8434.0.1724373f		52b955e1ed87e255262a820426cb10055e9c6c38
com.daml	sandbox-on-x-app_2.12	1.18.1-snapshot.20220113.8434.1.1724373f		52b955e1ed87e255262a820426cb10055e9c6c38
com.daml	sandbox-on-x-app_2.12	1.18.2		52b955e1ed87e255262a820426cb10055e9c6c38
com.daml	sandbox-on-x-app_2.12	1.18.2-snapshot.20220310.8437.1.5221a5d1		52b955e1ed87e255262a820426cb10055e9c6c38
com.daml	sandbox-on-x-app_2.12	1.18.2-snapshot.20220324.8440.0.5cfb1a21		52b955e1ed87e255262a820426cb10055e9c6c38
com.daml	sandbox-on-x-app_2.12	1.18.3		52b955e1ed87e255262a820426cb10055e9c6c38
com.daml	sandbox-on-x-app_2.12	1.18.3-snapshot.20220620.8442.0.c7424302		52b955e1ed87e255262a820426cb10055e9c6c38
com.ensody.reactivestate	reactivestate-test-linuxarm64	5.10.0		N/A
com.ensody.reactivestate	reactivestate-test-linuxarm64	5.11.0		N/A
com.ensody.reactivestate	reactivestate-test-linuxarm64	5.12.0		N/A
com.ensody.reactivestate	reactivestate-test-linuxarm64	5.13.0		N/A
com.ensody.reactivestate	reactivestate-test-linuxarm64	5.8.1		N/A
com.ensody.reactivestate	reactivestate-test-linuxarm64	5.9.0		N/A
com.fasterxml.jackson.module	jackson-module-parameter-names	2.10.0		d7ae5421ab27486429aeb878b7e3937544d9324a
com.fasterxml.jackson.module	jackson-module-parameter-names	2.10.0.pr1		678cf651d4c7753dc15a553164bd992eda45bef9
com.fasterxml.jackson.module	jackson-module-parameter-names	2.10.0.pr2		63df3b59ac2f6ee0f409a6c18c00c37f0dd6b087
com.fasterxml.jackson.module	jackson-module-parameter-names	2.10.0.pr3		06258da042a7909036d68d0a903f3731ac7af130
com.fasterxml.jackson.module	jackson-module-parameter-names	2.10.1		6643b48d7dab2fb8c874526bea13ce4cd1a76cb9
com.fasterxml.jackson.module	jackson-module-parameter-names	2.10.2		d380777656dfdd253d9cf0956d61d98dce02c740
com.fasterxml.jackson.module	jackson-module-parameter-names	2.10.3		033e7a20b23ea284d474e3467062ec07bf8178ef
com.fasterxml.jackson.module	jackson-module-parameter-names	2.10.4		9949c4f451bdadea63979f5714d19ace937c2ed3
com.fasterxml.jackson.module	jackson-module-parameter-names	2.10.5		491166d17a7b51c961814764987b0efd4b90486a
com.fasterxml.jackson.module	jackson-module-parameter-names	2.11.0		950a1e9a7c1093e7ffd92b216d5a0667f1e39058
com.fasterxml.jackson.module	jackson-module-parameter-names	2.11.0.rc1		3558805197d3fac51f250536179350d56847a152
com.fasterxml.jackson.module	jackson-module-parameter-names	2.11.1		b76ec7e362c9b02a5c5ba67f9d9293ccd7de480a
com.fasterxml.jackson.module	jackson-module-parameter-names	2.11.2		c0dc526fcef5a3aae0273fc516ecf3505f7a5de8
com.fasterxml.jackson.module	jackson-module-parameter-names	2.11.3		ab66d5c5b8008161ae89be8a3d98efff9ef1b915
