at.released.weh	filesystem-linuxx64	0.1-alpha01		N/A
co.touchlab.skie	configuration-annotations-2.0.20-watchossimulatorarm64	0.10.0		N/A
co.touchlab.skie	configuration-annotations-2.0.20-watchossimulatorarm64	0.10.0	metadata	34101733ac107fca5f9fa916e293d807f28b240c
co.touchlab.skie	configuration-annotations-2.0.20-watchossimulatorarm64	0.10.1		N/A
co.touchlab.skie	configuration-annotations-2.0.20-watchossimulatorarm64	0.10.1	metadata	3937f9a95c455096b5e578005b37fcf927f2e180
co.touchlab.skie	configuration-annotations-2.0.20-watchossimulatorarm64	0.10.2-preview.2.1.20		N/A
co.touchlab.skie	configuration-annotations-2.0.20-watchossimulatorarm64	0.10.2-preview.2.1.20	metadata	3a10e41e63edb6ab2c6238fd76923c1572ebb6d4
co.touchlab.skie	configuration-annotations-2.0.20-watchossimulatorarm64	0.9.0		N/A
co.touchlab.skie	configuration-annotations-2.0.20-watchossimulatorarm64	0.9.0	metadata	b0a92b162d3e7c17b805e0cf0c8ada41c6a33eef
co.touchlab.skie	configuration-annotations-2.0.20-watchossimulatorarm64	0.9.0-RC.3		N/A
co.touchlab.skie	configuration-annotations-2.0.20-watchossimulatorarm64	0.9.0-RC.3	metadata	27feeec4477b7086519ce6dbebeb9c94b0134bd9
co.touchlab.skie	configuration-annotations-2.0.20-watchossimulatorarm64	0.9.0-RC.4		N/A
co.touchlab.skie	configuration-annotations-2.0.20-watchossimulatorarm64	0.9.0-RC.4	metadata	b1bfd38f9b1b15ba7bbaff395055a94c484c9054
co.touchlab.skie	configuration-annotations-2.0.20-watchossimulatorarm64	0.9.0-RC.5		N/A
co.touchlab.skie	configuration-annotations-2.0.20-watchossimulatorarm64	0.9.0-RC.5	metadata	b056f6d46c33ced0059efffeb8434b57be8c25e5
co.touchlab.skie	configuration-annotations-2.0.20-watchossimulatorarm64	0.9.1		N/A
co.touchlab.skie	configuration-annotations-2.0.20-watchossimulatorarm64	0.9.1	metadata	b2e11a1b6a3cddb1ff485ac644d380d9642bcef0
co.touchlab.skie	configuration-annotations-2.0.20-watchossimulatorarm64	0.9.2		N/A
co.touchlab.skie	configuration-annotations-2.0.20-watchossimulatorarm64	0.9.2	metadata	7a100e81ade9ead8c2965b5e31d0d2c8a1741d1c
co.touchlab.skie	configuration-annotations-2.0.20-watchossimulatorarm64	0.9.3		N/A
co.touchlab.skie	configuration-annotations-2.0.20-watchossimulatorarm64	0.9.3	metadata	aea44fe0cc4f31079e5e998ceb202cd0642da848
co.touchlab.skie	configuration-annotations-2.0.20-watchossimulatorarm64	0.9.4		N/A
co.touchlab.skie	configuration-annotations-2.0.20-watchossimulatorarm64	0.9.4	metadata	41d3d78f13960cb97d58acf0c4278deb4bad7e7c
co.touchlab.skie	configuration-annotations-2.0.20-watchossimulatorarm64	0.9.5		N/A
co.touchlab.skie	configuration-annotations-2.0.20-watchossimulatorarm64	0.9.5	metadata	d557213bc9431bd83f2dbbbd39450c84563828ad
codes.reactive	scala-time-threeten_2.11	0.1.0-RC1		4e8279a7e2a437c23aa37e2d92e5f5b89f335d88
com.alachisoft	parser	5.2-alpha-14		86fba40c3fd16c33d7f54c86fefb50a69e5b36e1
com.alachisoft	parser	5.2-alpha-15		f4af03c704986fbc5ec2a00bee18f302a5132c6d
com.alachisoft	parser	5.2-alpha-16		315bf024a36c03519b9ccbc4021b9caeda9007b6
com.alachisoft	parser	5.2-alpha-18		f7dfa07f39e1bc75bf66ed51ecf8a96f59c3909b
com.alachisoft	parser	5.2-alpha-19		7c1f1ea026dc6e832b800828998a391476dc3edd
com.alachisoft	parser	5.2-alpha-20		3923c5d891f7701033fb23305806b66541e4541c
com.alachisoft	parser	5.2-alpha-21		d32e2ff4198d2b89c99eff3032595722134834a9
com.alachisoft	parser	5.2-alpha-22		4fc50a7ef0613f6fc266dc9d952bd15dd25268bc
com.alachisoft	parser	5.2-alpha-23		2b7f18277dde34dccb7e3d4c97022142a5780bde
com.alipay.rdf.file	rdf-file-sftp	2.1.3		cf37ce8f49ffa69688d5343d15cffd90b4f35761
com.alipay.rdf.file	rdf-file-sftp	2.2.0		adbfe43b4fa3f3a7b4066b8604bab781d219f22a
com.alipay.rdf.file	rdf-file-sftp	2.2.1		d8451563ee1add64b21e67684fe1b78806d0dbb5
com.alipay.rdf.file	rdf-file-sftp	2.2.10		ab19044dd5e2dda3592427afc47466a2296ba189
com.alipay.rdf.file	rdf-file-sftp	2.2.11		90d48481ae981bacb038108e75b78d8c570bde1b
com.alipay.rdf.file	rdf-file-sftp	2.2.2		862d7fe8c5628f4122d6f5af502aa6f8cab53065
com.alipay.rdf.file	rdf-file-sftp	2.2.3		e009ccc0b988ccd9c9d54e98b658d2b406e9dfb6
com.alipay.rdf.file	rdf-file-sftp	2.2.4		9fae7dddb34b2a101e6258505d4b21b980f3f323
com.alipay.rdf.file	rdf-file-sftp	2.2.5		e254b0d05b2a01ce5f8116b81854811b272c617e
com.alipay.rdf.file	rdf-file-sftp	2.2.6		aff8f2831eb7466f6dd921ca4674d031b793569d
com.alipay.rdf.file	rdf-file-sftp	2.2.7		dbe50cd05e22fc457200c5fdc68aca1e0f9add42
com.alipay.rdf.file	rdf-file-sftp	2.2.8		fe3b554236c1ec1154c0b92d7aa2ecde8e2f9643
com.alipay.rdf.file	rdf-file-sftp	2.2.8.1		71bd15a8887c0f744ba82645a5bcbb0bb316051b
com.alipay.rdf.file	rdf-file-sftp	2.2.9		7a73fd704e57c73fb3394d74a2e3e88b58f1a89a
com.arangodb	arangodb-spark-commons-3.3_2.13	1.5.0		3bba625eaac651f101293ef845215e94c9f39c13
com.arangodb	arangodb-spark-commons-3.3_2.13	1.5.1		ab71322b9c5f9809bce502520b2e61612f7f8055
com.arangodb	arangodb-spark-commons-3.3_2.13	1.6.0		366b05c89f44d26e789e45056c9e17b432919afd
com.arangodb	arangodb-spark-commons-3.3_2.13	1.7.0		9cdf070a27fd86fa955fb16a5f42e6fb7b932476
com.arangodb	arangodb-spark-commons-3.3_2.13	1.8.0		292bab87e2b6fad2aa8443a880cb962aee793d0a
com.armanbilge	http4s-ember-core_2.12	1.0-148-8da8898		84536adcae746cdd59826167f762529a2d311992
com.armanbilge	http4s-ember-core_2.12	1.0-377-020cf9e		8c99f1cf22aa4a1d3c3e33dfa7b5fa6e99cb18f9
com.bidyut.tech.bhandar	bhandar-macosx64	0.1.0		N/A
com.bidyut.tech.bhandar	bhandar-macosx64	0.1.0	metadata	a798d72ce136d323a1d429d74173e0ad56f62bd0
