au.com.dius	core	4.0.0-beta.0		22375fc9c9508bebc0be7119ce3996b3c8a859af
city.smartb.i2	i2-group-f2-update	0.11.0		47e0fe6ddf24543938d1542851aafc9ad1ac01f1
com.adtran	betablocker-plugin	1.0.10		9ab22dfc01801018c270168ffb56143da18d7618
com.adtran	betablocker-plugin	1.0.11		5971be69901433e5fc44d17a8122396602ca7e46
com.adtran	betablocker-plugin	1.0.9		6b71d87ee3a0d1136e4438d88f2d3c2f4a51b740
com.adtran	betablocker-plugin	1.2.0		43b2c050778d2e4b25b03c34f0b1bda05f1308ca
com.adtran	betablocker-plugin	1.2.3		7179ce9655ffe64fd449e796cf116f95b42455eb
com.beijunyi.parallelgit	parallelgit-runtime	0.9.3		ea81676123acc3d88b49917a214ce7633e397cda
com.braimanm	uitaf-playwright	1.0.0-alpha		0aeaa918650640af92252d32f7c3a86265e3da7e
com.braimanm	uitaf-playwright	1.0.1-alpha		69fdcd2362b65b7c94232acd72dbae0bf921b69f
com.cgbystrom	netty-tools	1.2.7		dcd577c86b8c86585061722c65899e5bb4f1dd5c
com.ensody.reactivestate	reactivestate-core-macosarm64	5.10.0		N/A
com.ensody.reactivestate	reactivestate-core-macosarm64	5.10.0	metadata	01e7f89650b61e71b1683b4c4de2c7364ed824db
com.ensody.reactivestate	reactivestate-core-macosarm64	5.11.0		N/A
com.ensody.reactivestate	reactivestate-core-macosarm64	5.11.0	metadata	62eb39326d78e0ec19e1500517c0e96715da2f69
com.ensody.reactivestate	reactivestate-core-macosarm64	5.12.0		N/A
com.ensody.reactivestate	reactivestate-core-macosarm64	5.12.0	metadata	8fbb23101446940e93dbd71be6c201b5600b7234
com.ensody.reactivestate	reactivestate-core-macosarm64	5.13.0		N/A
com.ensody.reactivestate	reactivestate-core-macosarm64	5.13.0	metadata	b1fc0748e1a306309e69e6d24678e0b6b0b59c59
com.ensody.reactivestate	reactivestate-core-macosarm64	5.2.0		N/A
com.ensody.reactivestate	reactivestate-core-macosarm64	5.2.0	metadata	c65789f5b76d95e8f3e8724288e80de3ae9e2d19
com.ensody.reactivestate	reactivestate-core-macosarm64	5.2.1		N/A
com.ensody.reactivestate	reactivestate-core-macosarm64	5.2.1	metadata	f9f12e1f94055d0e5d38e654696c42cd2a78ada4
com.ensody.reactivestate	reactivestate-core-macosarm64	5.3.0		N/A
com.ensody.reactivestate	reactivestate-core-macosarm64	5.3.0	metadata	84fe7a228503a8d6d81237266ae4eaf7b1a7e637
com.ensody.reactivestate	reactivestate-core-macosarm64	5.4.0		N/A
com.ensody.reactivestate	reactivestate-core-macosarm64	5.4.0	metadata	9af4ec4754a9706c5403f258e9cd01e707b0ef18
com.ensody.reactivestate	reactivestate-core-macosarm64	5.4.1		N/A
com.ensody.reactivestate	reactivestate-core-macosarm64	5.4.1	metadata	54f016e536abe26259d7f9923130b07de7c5c830
com.ensody.reactivestate	reactivestate-core-macosarm64	5.4.2		N/A
com.ensody.reactivestate	reactivestate-core-macosarm64	5.4.2	metadata	29c1a0fb8a71adf491ffff159d112009c84f1e47
com.ensody.reactivestate	reactivestate-core-macosarm64	5.5.0		N/A
com.ensody.reactivestate	reactivestate-core-macosarm64	5.5.0	metadata	a6a06787cda6a84e03ee5de8fa60726792c20c3c
com.ensody.reactivestate	reactivestate-core-macosarm64	5.5.1		N/A
com.ensody.reactivestate	reactivestate-core-macosarm64	5.5.1	metadata	06aed299f59cd173b86cd362201e3ed5adf4a69c
com.ensody.reactivestate	reactivestate-core-macosarm64	5.5.2		N/A
com.ensody.reactivestate	reactivestate-core-macosarm64	5.5.2	metadata	9cca5e6f7cd57ea41540e40220d8858541bb08aa
com.ensody.reactivestate	reactivestate-core-macosarm64	5.5.3		N/A
com.ensody.reactivestate	reactivestate-core-macosarm64	5.5.3	metadata	edc3088d12eac7a7cb7e3b211071cf39d7d1a608
com.ensody.reactivestate	reactivestate-core-macosarm64	5.5.4		N/A
com.ensody.reactivestate	reactivestate-core-macosarm64	5.5.4	metadata	45b055b2f87300edcbcd44410d700a775d10cda3
com.ensody.reactivestate	reactivestate-core-macosarm64	5.5.5		N/A
com.ensody.reactivestate	reactivestate-core-macosarm64	5.5.5	metadata	5608dd958818e452fc907127e671c813ae1890ec
com.ensody.reactivestate	reactivestate-core-macosarm64	5.5.6		N/A
com.ensody.reactivestate	reactivestate-core-macosarm64	5.5.6	metadata	5dff27390c98476d08aba88a341a33eee1a11634
com.ensody.reactivestate	reactivestate-core-macosarm64	5.5.7		N/A
com.ensody.reactivestate	reactivestate-core-macosarm64	5.5.7	metadata	96dcdef8ca86c5adb98d6140fdd1c5be25fb0104
com.ensody.reactivestate	reactivestate-core-macosarm64	5.6.0		N/A
com.ensody.reactivestate	reactivestate-core-macosarm64	5.6.0	metadata	37f796839104e1c89452637e64b36d1dfb0889a4
com.ensody.reactivestate	reactivestate-core-macosarm64	5.7.0		N/A
com.ensody.reactivestate	reactivestate-core-macosarm64	5.7.0	metadata	50077cdcf559e99fde4bb831502ef05ce3aa2809
com.ensody.reactivestate	reactivestate-core-macosarm64	5.8.0		N/A
com.ensody.reactivestate	reactivestate-core-macosarm64	5.8.0	metadata	20d4c2592f6c2524d736c497dc6ae5c5545cc0cb
com.ensody.reactivestate	reactivestate-core-macosarm64	5.8.1		N/A
com.ensody.reactivestate	reactivestate-core-macosarm64	5.8.1	metadata	8bba0accc4d5a1d6b6bf57ae8a658dfeb0f0f602
com.ensody.reactivestate	reactivestate-core-macosarm64	5.9.0		N/A
com.ensody.reactivestate	reactivestate-core-macosarm64	5.9.0	metadata	53862667392356352a4cb61179d6dda0b84a9de4
com.ensody.reactivestate	reactivestate-core-macosarm64	6.0.0-preview.1		N/A
com.ensody.reactivestate	reactivestate-core-macosarm64	6.0.0-preview.1	metadata	b48dec8540b8a37a24cd3f906595c52fdb0a12b0
com.ensody.reactivestate	reactivestate-core-macosarm64	6.0.0-preview.2		N/A
com.ensody.reactivestate	reactivestate-core-macosarm64	6.0.0-preview.2	metadata	d0dfb9743a2baec5eafef1f9558597956bd09edd
com.ensody.reactivestate	reactivestate-core-macosarm64	6.0.0-preview.3		N/A
com.ensody.reactivestate	reactivestate-core-macosarm64	6.0.0-preview.3	metadata	54b69113a2fb7d46ef73ad175d76775ff889f9a9
com.ensody.reactivestate	reactivestate-core-macosarm64	6.0.0-preview.4		N/A
com.ensody.reactivestate	reactivestate-core-macosarm64	6.0.0-preview.4	metadata	468db3557529a929a3e59087713c66c863ef3fc6
com.ensody.reactivestate	reactivestate-core-macosarm64	6.0.0-preview.7		N/A
com.ensody.reactivestate	reactivestate-core-macosarm64	6.0.0-preview.7	metadata	abc51e224ea8139e9054b519fe8c8ce2bf48401a
com.ensody.reactivestate	reactivestate-core-macosarm64	6.0.0-preview.8		N/A
com.ensody.reactivestate	reactivestate-core-macosarm64	6.0.0-preview.8	metadata	028c86238ddcde0853bb9a665685cd06ad843ddc
com.ensody.reactivestate	reactivestate-core-macosarm64	6.0.0-preview.9		N/A
com.ensody.reactivestate	reactivestate-core-macosarm64	6.0.0-preview.9	metadata	77186542bd6e4e1011c5305e6db5a3ed93ae315d
com.flextrade.pojobuilder	pojobuilder-maven-plugin-test	1.0.0		ead417b677824841d8fce0567b75c77a21504c82
com.flextrade.pojobuilder	pojobuilder-maven-plugin-test	1.0.1		e0d29f9e59fc56e6fc7095eeae0c93c0ed9ef9b9
com.github.adedayo.intellij.sdk	javacvs-src	142.1		7c130ec564ea779c7fbfdcefd74ea259dc142085
com.github.ducna01598	JHorizontalListView	1.0.1		N/A
com.github.esrrhs	fakecore	1.0.0		8465884e6fda2f0fc5bf6ddb397edcf92ecb6ef9
com.github.esrrhs	fakecore	1.0.1		b7b16a1e4b064378b622f581ea84a36bd7c95ab7
