at.willhaben.willtest	core	3.0.0-M1		d88daa10d6f3f117c096a414020b8815f5b77f5e
at.willhaben.willtest	core	3.0.0-M2		65dfacd784aefe21291ec8784c86d705b60d2c3b
at.willhaben.willtest	core	3.0.0-M3		c09fe7dccd14c02cf8eef94eb720ee3d11bbe050
at.willhaben.willtest	core	3.0.0-M4		d9cd808a35ccc8b732bb0d89d5b9c8c99072b37b
at.willhaben.willtest	core	3.0.1		625a61dd2a886cd9b9bc484ea3369fe734485d1c
at.willhaben.willtest	core	3.0.2		9e7eb3fcb5ca4fd8a4147bdc2094c6d44992762b
at.willhaben.willtest	core	3.1.1		c73942d28588853db88dc1b11305c121b55db13a
at.willhaben.willtest	core	3.1.10		79aa876bb5cd3cbc1931cc606168360cfd80b45e
at.willhaben.willtest	core	3.1.2		ebd89d6fb2fa9495904b4b9332ab0205a23c36fe
at.willhaben.willtest	core	3.1.3		a95ef88e87557328c3ae0e539de482941e4de55d
at.willhaben.willtest	core	3.1.4		9abb16619d5073f451b5ea2b89589000264d4840
at.willhaben.willtest	core	3.1.5		c64bae0d5ffef6842de6f25ed4a74671c4cd11a4
at.willhaben.willtest	core	3.1.6		ba436d244ad83ecd3d4414e1cb53687c185e4842
at.willhaben.willtest	core	3.1.7		b35564d5da15fd8d8c739c14024e6ea032ee010d
at.willhaben.willtest	core	3.1.8		17af149f7f853bca4ef391666ea57fb5ceb4b7c0
at.willhaben.willtest	core	3.1.9		7cf5df121b837118f7cbfd98c91acd6dd2a67204
cn.billho.pop-cache	spring-boot-starter-pop-cache	1.0		038d99a84dc52129b91b02ebb84a8a29389bad3c
cn.billho.pop-cache	spring-boot-starter-pop-cache	1.1.0		656e98197c27ba4b19f283f5d81467b89ebd4fae
cn.billho.pop-cache	spring-boot-starter-pop-cache	2.1.0		9bebe3cbf3fa8dd5760cba4e959116143825e40d
co.touchlab.kotlinx-cli	kotlinx-cli-macosx64	0.4.0		N/A
co.touchlab.kotlinx-cli	kotlinx-cli-macosx64	0.4.0	metadata	cd2e6be5133ecc180d4b4483bede112d575ced8b
co.touchlab.kotlinx-cli	kotlinx-cli-macosx64	0.4.1		N/A
co.touchlab.kotlinx-cli	kotlinx-cli-macosx64	0.4.1	metadata	4d399c29131a07ab53aa3cf3e5bd8e346611b209
com.acornui	acornui-texture-packer	0.5.17.11		N/A
com.acornui	acornui-texture-packer	0.5.23		N/A
com.acornui	acornui-texture-packer	0.5.38		N/A
com.acornui	acornui-texture-packer	0.5.49		N/A
