cc.xbyter.cloud	xbyter-dependencies	0.0.1		N/A
com.alibaba.alink	alink	1.0.1		N/A
com.alibaba.alink	alink	1.1.0		N/A
com.alibaba.alink	alink	1.1.1		N/A
com.alibaba.alink	alink	1.1.2		N/A
com.alibaba.alink	alink	1.2.0		N/A
com.alibaba.alink	alink	1.3.0		N/A
com.alibaba.alink	alink	1.3.1		N/A
com.alibaba.alink	alink	1.3.2		N/A
com.alibaba.alink	alink	1.4.0		N/A
com.alibaba.alink	alink	1.5.0		N/A
com.alibaba.alink	alink	1.5.1		N/A
com.alibaba.alink	alink	1.5.2		N/A
com.alibaba.alink	alink	1.5.3		N/A
com.alibaba.alink	alink	1.5.4		N/A
com.alibaba.alink	alink	1.5.5		N/A
com.alibaba.alink	alink	1.5.6		N/A
com.alibaba.alink	alink	1.5.7		N/A
com.alibaba.alink	alink	1.5.8		N/A
com.alibaba.alink	alink	1.6.0		N/A
com.alibaba.alink	alink	1.6.1		N/A
com.alibaba.alink	alink	1.6.2		N/A
com.aliyun	aliyun-java-sdk-metering	1.0.0		a34a4582572f0545cc64c7bd6e55d44c0b133fae
com.aliyun	aliyun-java-sdk-metering	2.0.0		892120852bc5093b892da0e0e9e80867748c32f1
com.aliyun	aliyun-java-sdk-metering	2.0.1		5401e6abbdea0b84dbbee62878902236e21c04d0
com.cognitect.aws	braket	810.2.797.0		eaa4ce5adcb9f76e1e558465360d59f97845d9e5
com.cognitect.aws	braket	811.2.934.0		b16d297828b747852003338ce133f03688ea0ffb
com.cognitect.aws	braket	814.2.1053.0		0afb7c41f14d072e729b2c9f04caf1330493ba8f
com.cognitect.aws	braket	821.2.1107.0		6b99cb33a9aeefc1268966a3887acd11b16a288a
com.cognitect.aws	braket	822.2.1145.0		4d1ee2263e45f5b1c1966f060cbef932af1352a9
com.cognitect.aws	braket	847.2.1365.0		6f3a3c9be40e2cb7de10657ddeb085fef9371cfa
com.cognitect.aws	braket	852.2.1526.0		305ddef628d40ac4e04b553c72454e485abb74ac
com.cognitect.aws	braket	857.2.1574.0		e362ffea50e49cf4ae1520e0c274c9f9262f5a62
com.cognitect.aws	braket	871.2.29.35		2736d3d551ad22db79a5e3ea348d66bd1484ac00
com.daodecode	scalaj-collection_2.13	0.3.1		ab19728705b0c369edc51c63c77661ec0c85caec
com.daodecode	scalaj-collection_2.13	0.3.2		5bb6655252b7a28a6fb3ebdb8611823e1d436705
com.ensarsarajcic.kotlinx	serialization-msgpack-timestamp-extension-iossimulatorarm64	0.5.2		N/A
com.ensarsarajcic.kotlinx	serialization-msgpack-timestamp-extension-iossimulatorarm64	0.5.2	metadata	137572abbef2c501e8496cbd86d0c8ab7bc9cd25
com.ensarsarajcic.kotlinx	serialization-msgpack-timestamp-extension-iossimulatorarm64	0.5.3		N/A
com.ensarsarajcic.kotlinx	serialization-msgpack-timestamp-extension-iossimulatorarm64	0.5.3	metadata	9d0e8be11546d2f198a826c0d285d7b11f3618ed
com.ensarsarajcic.kotlinx	serialization-msgpack-timestamp-extension-iossimulatorarm64	0.5.4		N/A
com.ensarsarajcic.kotlinx	serialization-msgpack-timestamp-extension-iossimulatorarm64	0.5.4	metadata	d5ae3b3f4a1449d946f3814cfa9d08fdfc095586
com.ensarsarajcic.kotlinx	serialization-msgpack-timestamp-extension-iossimulatorarm64	0.5.5		N/A
com.ensarsarajcic.kotlinx	serialization-msgpack-timestamp-extension-iossimulatorarm64	0.5.5	metadata	e76a7e1ac9ac23d87a5855a3dc2776c3475c2127
com.ensarsarajcic.kotlinx	serialization-msgpack-timestamp-extension-iossimulatorarm64	0.5.6		N/A
com.ensarsarajcic.kotlinx	serialization-msgpack-timestamp-extension-iossimulatorarm64	0.5.6	metadata	09006aa2797fce6f89f95360fed43ca7b7bacef0
com.ensarsarajcic.kotlinx	serialization-msgpack-timestamp-extension-iossimulatorarm64	0.5.7		N/A
com.ensarsarajcic.kotlinx	serialization-msgpack-timestamp-extension-iossimulatorarm64	0.5.7	metadata	4294a9bd5f2cbe5060a1200c0e8ed9a5fd937dd8
com.ensarsarajcic.kotlinx	serialization-msgpack-timestamp-extension-iossimulatorarm64	0.6.0		N/A
com.ensarsarajcic.kotlinx	serialization-msgpack-timestamp-extension-iossimulatorarm64	0.6.0	metadata	84f36fd69b19580e1ff9258914f79255f8dcf460
com.gitee.pifeng	phoenix-client-core	1.0.0.RELEASE		fcb52ee1fd1717dbb61e5488dd76f5fd9205a706
com.gitee.pifeng	phoenix-client-core	1.1.0.RELEASE		3a4ca9a0a3fcf97c471ca0c7c721295d99f5ffe0
com.gitee.pifeng	phoenix-client-core	1.2.0.RELEASE		203216352839a0da16f0ec1192531c23754fd66c
com.gitee.pifeng	phoenix-client-core	1.2.1.RELEASE		9bd552a3459c7db074dd4879915005422adc91eb
com.gitee.pifeng	phoenix-client-core	1.2.1.RELEASE-CR1		b1e5367c4d3a9b4da4ab233b3cb51fe34d0c6b95
com.gitee.pifeng	phoenix-client-core	1.2.1.RELEASE-CR2		cb09b78a65ab7e8582109ad6006d7c30e85a8a24
com.gitee.pifeng	phoenix-client-core	1.2.2.RELEASE		3991686ac3eb1270927030aa163cb16811bf1e29
com.gitee.pifeng	phoenix-client-core	1.2.3.RELEASE		775030ca4c9d3b9cf59074130e921cce9f4868ec
com.gitee.pifeng	phoenix-client-core	1.2.4.RELEASE		862ab7aac9fc24f3a44476381f206a7d7993bb96
com.gitee.pifeng	phoenix-client-core	1.2.4.RELEASE-CR1		1041c7c7a4007f564579051e89e0cd3da4312201
com.gitee.pifeng	phoenix-client-core	1.2.4.RELEASE-CR2		495f5e23a5b49b78db0801d29610a2dccf742cbe
com.gitee.pifeng	phoenix-client-core	1.2.4.RELEASE-CR3		13fdbc2e29687cbfeefa5fa3568afda8f638c31d
com.gitee.pifeng	phoenix-client-core	1.2.4.RELEASE-CR5		914037a49d3a24c94c8884281790be5ce78172e7
com.gitee.pifeng	phoenix-client-core	1.2.4.RELEASE-CR6		e6fc740029f1f1f131bb524113bdaeb06fe8de42
com.gitee.pifeng	phoenix-client-core	1.2.4.RELEASE-CR7		a96f76cc04d5da81cf701bbea6cd2b8335389d13
com.gitee.pifeng	phoenix-client-core	1.2.4.RELEASE-CR8		9f4fb6f934ad07171be22a68cf45b1a3da17359e
com.gitee.pifeng	phoenix-client-core	1.2.5.RELEASE		3a976ac60d24d4fed5ef1d1a616009fbe191dcc3
com.gitee.pifeng	phoenix-client-core	1.2.5.RELEASE-CR1		5864e642a850e2268f9a5abd02eeb482f5156cf0
com.gitee.pifeng	phoenix-client-core	1.2.6.RELEASE		3b3e9ff1133665cab62ef28049fbe2f6251f136c
com.gitee.pifeng	phoenix-client-core	1.2.6.RELEASE-CR1		867cc362f77a3c1c0c1dad4dd6d3143b161debd6
com.gitee.pifeng	phoenix-client-core	2.0.0.RELEASE		837994d5fa5a06bebda60c56d470107f290ee8a1
com.gitee.pifeng	phoenix-client-core	2.0.1.RELEASE		c66c4c8fe631bcd780befd1096f81d547d36e531
com.gitee.pifeng	phoenix-client-core	2.0.2.RELEASE		0fc98d9b3ac544f70247217e70c55eb793ea04e9
com.gitee.pifeng	phoenix-client-core	2.0.3.RELEASE		a646c073dea3f7b7a69e6fd2efd8250639ccd456
com.github.cowwoc	pouch	2.0		N/A
com.github.estuaryoss.libs	zephyr-uploader	1.0		0de27d958d6769007dad96e3c983ecebe1a746a9
com.github.estuaryoss.libs	zephyr-uploader	1.0	jar-with-dependencies	3cd0ef12178c98a4fd041431c8538b9490f21001
com.github.estuaryoss.libs	zephyr-uploader	1.1		3844f377c7a00d490cd038e9d81da1fe8396c177
com.github.estuaryoss.libs	zephyr-uploader	1.1	jar-with-dependencies	24edcc212202d98674a31eb57ea47dc13ec03683
com.github.estuaryoss.libs	zephyr-uploader	1.2		f766b61a5652ddcc3952ebead6818aa0e4b57f25
com.github.estuaryoss.libs	zephyr-uploader	1.2	jar-with-dependencies	d06efe6078e7f529a5b3e5775164fc5e47bdd328
com.github.estuaryoss.libs	zephyr-uploader	1.3		dc2bdb05c22847ce7ad02cfdf8d6954232bd5a72
com.github.estuaryoss.libs	zephyr-uploader	1.3	jar-with-dependencies	75221e1c761d25e39876c94e3401788e980b49a8
com.github.estuaryoss.libs	zephyr-uploader	1.4		262b0aee4e5be93422f962490f80daa122ef1b34
com.github.estuaryoss.libs	zephyr-uploader	1.4	jar-with-dependencies	f37b3deed1466038c0f09fe76b9642c1cc6f5409
com.github.estuaryoss.libs	zephyr-uploader	1.5		e6f35687a8ab86a9ae8693bb3dc116163f3cdb83
com.github.estuaryoss.libs	zephyr-uploader	1.5	jar-with-dependencies	d7bba32947504b273a5aceb21004b88bacbca340
com.github.estuaryoss.libs	zephyr-uploader	1.6		663f4fad49f5c86d04185941d5fd30fc6160e76c
com.github.estuaryoss.libs	zephyr-uploader	1.6	jar-with-dependencies	3cf1cade45a09cbe223e7a339809f154ff4be766
com.github.fashionbrot	pushApi	1.3		0b032c0c1ad2025fc282a455c7f4ce8e9179612e
com.github.fashionbrot	pushApi	1.4		a4d93a77560703b8e0ac1377679b37cd283856eb
com.github.fashionbrot	pushApi	1.5		bdb83665ddaa78341bb5805bb129050d42db75ae
com.github.fashionbrot	pushApi	2.0.0		80695f4474dbf86f4f1ffb1ec386f917ab4cc600
com.github.ghik	zerowaste_3.6.2	0.2.28		c9c8240816416b17f9cb6af8ae073baf0f483b5a
com.github.ghik	zerowaste_3.6.2	0.2.29		c6c6c6ee88f694fab0fccc018d7993969e6b9f77
com.github.pocketberserker	dog-autodoc-core_2.10	0.1.0		6beb8ea85926e83f0d23fa2db9ea9e5216a2b5f0
