ch.epfl.scala	case-app-util_sjs0.6_2.12	1.2.0-faster-compile-time		dd1fe2c5246b5bd3aae2e1f7607c3cf4e79c01e7
co.touchlab.skie	util-jvm	0.10.0		55890215dfd6e3101a2ffb97fe3aadd009cd312b
co.touchlab.skie	util-jvm	0.10.1		56248bc91d57dfa06864025ba11cca5a321b676d
co.touchlab.skie	util-jvm	0.10.2-preview.2.1.20		2495f87f3d2bc4151cb6831792e2d46163615862
co.touchlab.skie	util-jvm	0.4.13		b5c56c812997e116c63f6e29bd2279f46658ce9e
co.touchlab.skie	util-jvm	0.4.14		b7050f4c7ef193c0e71640b0e45dea6da87160e5
co.touchlab.skie	util-jvm	0.4.15		599220660eefeb37197a195dae28895dd6c95f8a
co.touchlab.skie	util-jvm	0.4.15-preview		79c8461de2158fcfe476b1275da56fb8102650f9
co.touchlab.skie	util-jvm	0.4.16		0266ed8c4d761c0adb4cc3e648714b39ae06c4bf
co.touchlab.skie	util-jvm	0.4.17		e34839aa67cbfbcdce481942a1762b6a5e1248ea
co.touchlab.skie	util-jvm	0.4.18		9163183637e5523b158ccf7a39a821e9141d78b1
co.touchlab.skie	util-jvm	0.4.18-preview		dad7ff25eb66cb854b035d337f3a7cc02915f758
co.touchlab.skie	util-jvm	0.4.19		f6e0077c943d663f4cf1caeba6444e915accd295
co.touchlab.skie	util-jvm	0.4.20		40d64d4c26974dc63fe71dd7d8d94ad78d9a367f
co.touchlab.skie	util-jvm	0.5.0		b5f751fd404b895e1525471f2f79daf780225958
co.touchlab.skie	util-jvm	0.5.1		975628f483401d98f138fe288cada5d5c718843f
co.touchlab.skie	util-jvm	0.5.1-preview.1.9.20-RC2		6f4e1c0d98333464d7c89edc6081f2039eeaec04
co.touchlab.skie	util-jvm	0.5.2		2bf89d9871d84a569389adfc679d3694945888c7
co.touchlab.skie	util-jvm	0.5.3		47e3a447a7f76f49237b04f4cfd8e198cc6f3a92
co.touchlab.skie	util-jvm	0.5.4		0839aba8e1d4d72313e49aa87edf11fa8a099c89
co.touchlab.skie	util-jvm	0.5.5		63bfa0e7507ebd5512ad1387797c2fdb124d27ef
co.touchlab.skie	util-jvm	0.5.6		4025bf6335e3639916d2687c6315fe8a576851dc
co.touchlab.skie	util-jvm	0.6.0		4afd5a01b301dedd8f22713a08968b9ab22a2885
co.touchlab.skie	util-jvm	0.6.1		1de95bd4212287406677a0027972ed4fdca81f5b
co.touchlab.skie	util-jvm	0.6.2		a9b261ab09b18aaaa5bb9111bde168052f5490df
co.touchlab.skie	util-jvm	0.6.3		5ae51b80dcf01416856a08c7f0873bdbd2f9d4f2
co.touchlab.skie	util-jvm	0.6.4		456614efee163b2d9d159217b9d5ef8ed2100614
co.touchlab.skie	util-jvm	0.7.0		8f2bef2afd595dd7428f85cc983564731c161e75
co.touchlab.skie	util-jvm	0.7.0-preview.2.0.0-RC2		0f355ccc00bcb9e1559f24bcbccef2a881a371e8
co.touchlab.skie	util-jvm	0.7.0-preview.2.0.0-RC3		074a1fbd13aa89e64d763274f05bbeba6f57d9f1
co.touchlab.skie	util-jvm	0.7.1		187e2ddc2a03941fd78d4fd2f4e343d18c090bba
co.touchlab.skie	util-jvm	0.7.1-preview.2.0.0-RC3		eb5d6ebf546fba1b602043529195fc12ceb3b80b
co.touchlab.skie	util-jvm	0.7.2		33085236c39bfbb55ec7255818e05594f90508f0
co.touchlab.skie	util-jvm	0.7.2-preview.2.0.0-RC3		25381a0de17e3077b73a7bd46016f8a19115515c
co.touchlab.skie	util-jvm	0.8.0		1532daf94e7dec271d5670e9ee4e38dc5b84d682
co.touchlab.skie	util-jvm	0.8.1		4dceb79a518dcd156c04612153d7ec6fdb97723f
co.touchlab.skie	util-jvm	0.8.2		fe47f06a0cf7d28b21785b6f3a0c0c359348f4e8
co.touchlab.skie	util-jvm	0.8.3		eedbfbbbe5d073760107b147f775ae490e3bce7d
co.touchlab.skie	util-jvm	0.8.4		057c1689b064bce8d01f10e831623b74a0354e73
co.touchlab.skie	util-jvm	0.9.0		5c6313d402c075d8a8ee100db99d6dc6716b7e11
co.touchlab.skie	util-jvm	0.9.0-RC.1		35a5a52d4f660d6e3a67fcc38fa05266a42b183b
co.touchlab.skie	util-jvm	0.9.0-RC.3		0232549be0a5b3d2385c5a6ef78296e63cd2a297
co.touchlab.skie	util-jvm	0.9.0-RC.4		3106fb0a41b8e4064b469fad5cd940b2c9ce6762
co.touchlab.skie	util-jvm	0.9.0-RC.5		78b206573336858288afc50a5f1616e30c1b741c
co.touchlab.skie	util-jvm	0.9.1		4092947262a4001d483e36cd20d4f03a81ff1932
co.touchlab.skie	util-jvm	0.9.2		46c3f4f545319337459c7fb3be25f756a79ea4e8
co.touchlab.skie	util-jvm	0.9.3		279a724f2bf62def4edfeb3989b1c5cc3d5985ee
co.touchlab.skie	util-jvm	0.9.4		7fccd2a2320e7cab6988f3840509e09a8af7bf21
co.touchlab.skie	util-jvm	0.9.5		57e36be4c5aa19992006503bfe12312e58215994
com.acciente.oacc	acciente-oacc	2.0.0		ba643c428fb532642b7608f8b924c310d2a39d4e
com.acciente.oacc	acciente-oacc	2.0.0-rc.6		c873ce384d08b0865e11d8bbdd16eaaaba40a4bd
com.acciente.oacc	acciente-oacc	2.0.0-rc.7		f497eee3b1abbbac1766c8b8986725970bf1775d
com.acciente.oacc	acciente-oacc	2.0.0-rc.8		b3cefbf4aea7f0053b02cf5ab99962bd14f7bb4b
com.alecstrong	sqlite-psi-core	0.1.1		9a426b5e5b9385a2125c42e28d6f697abf28c914
com.alecstrong	sqlite-psi-core	0.1.2		da642b7ea3e7b2af5fd06fd5b7178cd635888682
com.alecstrong	sqlite-psi-core	0.1.3		73948f4815f623dae940ba9f5f18456cf915b7f5
com.alecstrong	sqlite-psi-core	0.1.4		43c58163940c7edfc6de2151970a20f4df1a0039
com.alecstrong	sqlite-psi-core	0.1.5		98b59a8b5613b0c719fe25d9f993414ffe6d5cd7
com.alecstrong	sqlite-psi-core	0.1.6		c186f2685dbafd80566d1a1739c4eee74acd0ba2
com.alecstrong	sqlite-psi-core	0.1.7		86a3ffd32d44176a5bec4dc05f40983f78b109ef
com.alecstrong	sqlite-psi-core	0.1.8		54d5d436eb6085edd6fb88207a5be7ea86d0a6e3
com.alecstrong	sqlite-psi-core	0.1.9		ec7f10a00bd14e07d7cfca64eb0af3c4935e1d6b
com.alecstrong	sqlite-psi-core	0.2.0		f4802e5b8bae7c5f46a52f7cc0226bfe69a82b8c
com.alecstrong	sqlite-psi-core	0.2.1		4c2d254547866d2a8064c56222591ea45770fbea
com.alecstrong	sqlite-psi-core	0.2.2		5cc5ffbc58d2d6266eaca97345a29ea9ccfceb1c
com.alecstrong	sqlite-psi-core	0.2.3		4ea892ab6e095ae9ccca4af8a429cb96c58e7bbd
com.alecstrong	sqlite-psi-core	0.2.4		76fdba0ddec5e4d31742a00596493e1fe9de5683
com.alecstrong	sqlite-psi-core	0.3.0		6027a44e21ecde37b3190309a4927fb8a78219e3
com.alecstrong	sqlite-psi-core	0.3.1		4c581d381673872037a8295dd06657dc19177cb6
com.alecstrong	sqlite-psi-core	0.3.10		5015116c2207496f56e89b8e26b812e075820a2e
com.alecstrong	sqlite-psi-core	0.3.11		79a900009160d976090ad74a8e5a99afdfbd729f
com.alecstrong	sqlite-psi-core	0.3.12		c477bd05e7384108b656344ea647f5ecf3a47d90
com.alecstrong	sqlite-psi-core	0.3.13		f23802384bf2be707094d11520aa53297a047775
com.alecstrong	sqlite-psi-core	0.3.14		3dcbb5b9e8abd3c95504676272cf8bf62352ec05
com.alecstrong	sqlite-psi-core	0.3.15		48eea75a881f34d74ee6d2b9193b0554606cac19
com.alecstrong	sqlite-psi-core	0.3.16		7c2bde3243667d57459945f901fdd1c70fa275a5
com.alecstrong	sqlite-psi-core	0.3.17		a42b9d0928048ea08848677d591cf0c5cfb2b7b0
com.alecstrong	sqlite-psi-core	0.3.2		ef9758fdb996ec98e39ebdd1bea222cd137936df
com.alecstrong	sqlite-psi-core	0.3.3		e435b31bc8c34a66786c611f3a924d6dda13f757
com.alecstrong	sqlite-psi-core	0.3.4		0a3bdcb18eef49deb57cf59a6eb1c2c45f87499e
com.alecstrong	sqlite-psi-core	0.3.5		cee31e12da29131bc0753f668884c34ab0c932cb
com.alecstrong	sqlite-psi-core	0.3.6		1876521167235bfb4ddd5375460547f2e3953014
com.alecstrong	sqlite-psi-core	0.3.7		a3d19bccd3873b1946cb14a3e3b09ba04e8d84ae
com.alecstrong	sqlite-psi-core	0.3.8		13b1b1b2022282208d247206d70b26a193c14afb
com.alecstrong	sqlite-psi-core	0.3.9		917c0152d37aba2034e30352af37c7e570732eeb
com.aliyun	adb_inc20211201	1.0.0		8c79907d02ce6fb3206e70687fa322663f19eeac
com.aliyun	adb_inc20211201	1.0.0	shaded	383ab1d6c67ba4f436cb8bab303c5cce16466ebe
com.armanbilge	http4s-dom-service-worker_sjs1_2.12	1.0-377-020cf9e		ac52f6c2ff0955dde6a90bdeb75621bc62aa7627
com.avast	sst-http4s-client-blaze-pureconfig_3	0.16.0		c50282533ca20c62b63f2abb4e5430a32425603c
com.avast	sst-http4s-client-blaze-pureconfig_3	0.16.1		d402518d5be9df19a3e258f1647fb0472928b776
com.avast	sst-http4s-client-blaze-pureconfig_3	0.16.2		8102500ea775da4a41a9f6b6933ab006525a1181
com.avast	sst-http4s-client-blaze-pureconfig_3	0.16.3		1e48cec51d3cbe8eadbb379608c2a63382c8012d
com.avast	sst-http4s-client-blaze-pureconfig_3	0.17.0		623d8328ceaaf0725124dd417159a0a00cbafa21
com.avast	sst-http4s-client-blaze-pureconfig_3	0.17.1		711999ce9e048ec26c3c316aa5bb2d6ee6a50a82
com.avast	sst-http4s-client-blaze-pureconfig_3	0.17.2		531c823dda4199dbc86fd87ed8914b57ac9a3910
com.avast	sst-http4s-client-blaze-pureconfig_3	0.18.0		fb7b4494d707b418a6b7a4c8168e761b00bcf256
com.avast	sst-http4s-client-blaze-pureconfig_3	0.18.1		076284863a9a00ea8b59021456b069b8ecd0d995
com.avast	sst-http4s-client-blaze-pureconfig_3	0.18.2		df06acd890c2dfaa82d9f8eac1eead115dcfad8e
com.avast	sst-http4s-client-blaze-pureconfig_3	0.18.3		31a7b7b68c0f4dcb65352fccc1a331cf7cb707c8
com.avast	sst-http4s-client-blaze-pureconfig_3	0.18.4		4100367579f52ad93740526583600889b63b4232
com.avast	sst-http4s-client-blaze-pureconfig_3	0.18.5		fe759c07845e92e2d2a536536f8a25e225bb6a0c
com.avast	sst-http4s-client-blaze-pureconfig_3	0.18.6		ece598e0d330ff1aa726cf657534c707a593c577
com.avast	sst-http4s-client-blaze-pureconfig_3	0.19.0		f7d5026ea61a66c65e1bf826a160a4ad6ff2f707
com.azavea.geotrellis	geotrellis-geotools_2.10	0.10.0-M1		94dae378111437350f8ab1653e8a1770eba67af9
com.azavea.geotrellis	geotrellis-geotools_2.10	0.8.0		8b63a97b818fac5a9c3ecb4adfada22aacdf5e6a
com.azavea.geotrellis	geotrellis-geotools_2.10	0.8.1		a102c95374b91eda59e65fc270fa60805324d23a
com.azavea.geotrellis	geotrellis-geotools_2.10	0.8.1-RC1		da1d9a6e384f5064ea8eb010c0d0f814abfcf5f9
com.azavea.geotrellis	geotrellis-geotools_2.10	0.8.1-RC2		bd94d256cc4007155f8a7902bd4c589f39d00b04
com.azavea.geotrellis	geotrellis-geotools_2.10	0.8.1-RC3		ba8e4c91e0b517479a8ff91566a49b9dcf3f6743
com.azavea.geotrellis	geotrellis-geotools_2.10	0.8.2-RC1		4d38f6e167013903db6afed7fb68c675cc98a14f
com.azavea.geotrellis	geotrellis-geotools_2.10	0.8.2-RC2		782023c13c461ceb11b1f0826a7389903f66125d
com.azavea.geotrellis	geotrellis-geotools_2.10	0.9.0		73704cbfdfa83dad49b97ae900636926c33ed8af
com.azavea.geotrellis	geotrellis-geotools_2.10	0.9.0-RC1		8206a96b6617836fd1a124d66c62b72c3ce82e88
com.azavea.geotrellis	geotrellis-geotools_2.10	0.9.0-RC2		689ac31baf42850a1b0bff767e009dd1c3bdbe19
