app.summation.android	android-client	1.0		dc884fb9892f5da325b9374ee24cae05f9ed1169
br.com.edilsonvilarinho	socket-server	1.0.1		2707470a55995a4279cbf6e6197a5077be7cced2
br.com.zup.nimbus	nimbus-compose-processor	1.0.0-45		N/A
br.com.zup.nimbus	nimbus-compose-processor	1.0.0-alpha33		15f66b214e0934906f3325086ec889278bd8d526
br.com.zup.nimbus	nimbus-compose-processor	1.0.0-alpha34		1e183176237736825da28ac36cbdf087b6f85261
br.com.zup.nimbus	nimbus-compose-processor	1.0.0-alpha35		ff529a00a4f188066c7370054a6710d4593237ec
br.com.zup.nimbus	nimbus-compose-processor	1.0.0-alpha36		e17ac2d79bfbfe085278d1783f82eb4988718621
br.com.zup.nimbus	nimbus-compose-processor	1.0.0-alpha37		0c7e3bf9eabf5244ef35a466de80ace8af4d37bd
br.com.zup.nimbus	nimbus-compose-processor	1.0.0-alpha38		378a0b0704853b5152725fd1828f7d95189383eb
br.com.zup.nimbus	nimbus-compose-processor	1.0.0-alpha39		91c7a86d5dacbac6c602cdb975f4b9a15cb0fb29
br.com.zup.nimbus	nimbus-compose-processor	1.0.0-alpha40		3836c87deafa9a69d0edb43d63bfdf7e2f730d7b
br.com.zup.nimbus	nimbus-compose-processor	1.0.0-alpha41		ebda905bb505a1ee01e84c5563fbb52901b8cd92
br.com.zup.nimbus	nimbus-compose-processor	1.0.0-alpha42		f98c58f197511cccdea5b5ad3383cfdfc7027878
br.com.zup.nimbus	nimbus-compose-processor	1.0.0-alpha43		c80aa9024296ef8e183237e938dd7cc6821c5e0c
br.com.zup.nimbus	nimbus-compose-processor	1.0.0-alpha44		c610c197919736ededed679ae11e75756d7ea48d
br.com.zup.nimbus	nimbus-compose-processor	1.0.0-alpha45		800a6859890f7342877109a27be69124cbf77807
br.com.zup.nimbus	nimbus-compose-processor	1.0.0-alpha46		28923b40c5a63664cf0d46f11fe794a61deec30f
br.com.zup.nimbus	nimbus-compose-processor	1.0.0-alpha47		9ebad3a92827d6fb464deb5f1b949aede07e70c2
br.com.zup.nimbus	nimbus-compose-processor	1.0.0-alpha48		bb55858e7c57f0cb0b59110a44c5f2420472566d
br.com.zup.nimbus	nimbus-compose-processor	1.0.0-alpha49		2cbb569423a376e45117a155c12f1aee71e132a9
br.com.zup.nimbus	nimbus-compose-processor	1.0.0-alpha50		ab01e4ab4b63f7e330518f9fadd7cf23bd7f8351
br.com.zup.nimbus	nimbus-compose-processor	1.0.0-alpha51		3916f3744559332b264337ced01e21e71bf3d150
br.com.zup.nimbus	nimbus-compose-processor	1.0.0-beta.1		fac74b0b6b656d09566aa5778843939c4ad001d4
br.com.zup.nimbus	nimbus-compose-processor	1.0.0-beta1		6e9afbc0c50888cf887d35ac22289a8e3b28d924
co.elastic.apm	apm-agent-attach-cli	1.23.0		94a25700e531686259276ef63baa1a4ef82f0e4e
co.elastic.apm	apm-agent-attach-cli	1.23.0	slim	25466ecf28c791683c19f0885dad7652cbef0027
co.elastic.apm	apm-agent-attach-cli	1.23.0	slim-sources	f3434d727a70c57094a0badc8a17f1fcdcfbd386
co.elastic.apm	apm-agent-attach-cli	1.24.0		216d6e00187c924b638fa4d8221e6376c4dc9923
co.elastic.apm	apm-agent-attach-cli	1.24.0	slim	2a5512170085e1cf31e74f2c5125236e7381311b
co.elastic.apm	apm-agent-attach-cli	1.24.0	slim-sources	d1891ea2643319b7f0867c42bee297f771f4f77b
co.elastic.apm	apm-agent-attach-cli	1.25.0		b42949fcfd7189329cc039ede243a0d01200e4c9
co.elastic.apm	apm-agent-attach-cli	1.25.0	slim	45bd52d4d12fb7c87c0441a2a24950e4139ae3f8
co.elastic.apm	apm-agent-attach-cli	1.25.0	slim-sources	24dd09fdf536727ddabb0bfb957f9cd2a19aa922
co.elastic.apm	apm-agent-attach-cli	1.26.0		f432a50e927fa388b1e64f90687c8c04b907b8ac
co.elastic.apm	apm-agent-attach-cli	1.26.0	bc-verifier	7d11959bf0270466db5e9f93faf541bac176e074
co.elastic.apm	apm-agent-attach-cli	1.26.0	slim	84ae93cfe2d09134f5cb4ab3d8639b69f11e8569
co.elastic.apm	apm-agent-attach-cli	1.26.0	slim-sources	65eecabbaa5ef4fbddd3c774a7f4c4cd018da6ff
co.elastic.apm	apm-agent-attach-cli	1.26.1		3a73a185e6bf589207d77ccc7f400474bbc301ab
co.elastic.apm	apm-agent-attach-cli	1.26.1	bc-verifier	9aa34e1dc92253677c23cb10e992e6c6b6550284
co.elastic.apm	apm-agent-attach-cli	1.26.1	slim	e03ba73319b42c2cdddac53e9fe57a47dc1766ec
co.elastic.apm	apm-agent-attach-cli	1.26.1	slim-sources	9cd8b044917101cc761513b23cb5ede404dd8509
co.elastic.apm	apm-agent-attach-cli	1.26.2		f2ec1dbe1b4365217f5e29e349309e8f46ee7c5f
co.elastic.apm	apm-agent-attach-cli	1.26.2	bc-verifier	c355c4ec52e71ff90528624cde02e6c31663d0d4
co.elastic.apm	apm-agent-attach-cli	1.26.2	slim	ad07e855465670c0bb130c648fef3215db87605d
co.elastic.apm	apm-agent-attach-cli	1.26.2	slim-sources	0aad2525ba395a95b035f2d5d0b2da118be98c79
co.elastic.apm	apm-agent-attach-cli	1.27.0		f0050e7b41f93d3df067444214a5ff8e63b5600d
co.elastic.apm	apm-agent-attach-cli	1.27.0	bc-verifier	101fea8d0a44876f5358e66419190a7081c6be2e
co.elastic.apm	apm-agent-attach-cli	1.27.0	slim	bd4d2f7961cf472fb71ff41c12eb528775c31e4d
co.elastic.apm	apm-agent-attach-cli	1.27.0	slim-sources	9eceb443200ec0652f5e0a064f2d5ba2d6a0a0b7
co.elastic.apm	apm-agent-attach-cli	1.27.1		20a23b2f2088a9e81a04a5e7e7ebd17f437fef43
co.elastic.apm	apm-agent-attach-cli	1.27.1	bc-verifier	4cbce599bb4b80143c7e39c7b6d123b0f8761206
co.elastic.apm	apm-agent-attach-cli	1.27.1	slim	6aafd1c6e7f554825263d7617ca2962a3f125ffc
co.elastic.apm	apm-agent-attach-cli	1.27.1	slim-sources	772bf3f7d83239f5eccce547912f661e36ef6198
co.elastic.apm	apm-agent-attach-cli	1.28.0		60c9383221b66adfd9bbc9d1a071f615bfe00652
co.elastic.apm	apm-agent-attach-cli	1.28.0	bc-verifier	7592b264f7cd0d01b10b28b40c6e3b2af894bda5
co.elastic.apm	apm-agent-attach-cli	1.28.0	slim	e75d2f34295d03459e77b9e31b65591ba4942989
co.elastic.apm	apm-agent-attach-cli	1.28.0	slim-sources	8e383d8242174c4734f3f0df3e6a187dae753289
co.elastic.apm	apm-agent-attach-cli	1.28.1		874bd45dfebbe3b63349e6eb13d337b00a221c1e
co.elastic.apm	apm-agent-attach-cli	1.28.1	bc-verifier	899dd107fe02790ca86f62d53075ed3c2db8d002
co.elastic.apm	apm-agent-attach-cli	1.28.1	slim	d98338c9cd99e96640f0b7c177f8809a43bff027
co.elastic.apm	apm-agent-attach-cli	1.28.1	slim-sources	cdf3549c42ef59c3181c850af5d78345792b02a8
co.elastic.apm	apm-agent-attach-cli	1.28.2		817131508886cd66afe72a26854b75d7dc0ab7c3
co.elastic.apm	apm-agent-attach-cli	1.28.2	bc-verifier	68db962e837007359177eb7ecf458dc7f2391177
co.elastic.apm	apm-agent-attach-cli	1.28.2	slim	a406ade036f3a5d5b797b1f41ca851dd7b79b826
co.elastic.apm	apm-agent-attach-cli	1.28.2	slim-sources	80358edb3720526fbc5c1f01aefc1fa802f3a79e
co.elastic.apm	apm-agent-attach-cli	1.28.3		6aa7570707c78eea847a8406ece5b84b3d8c2da3
co.elastic.apm	apm-agent-attach-cli	1.28.3	bc-verifier	23cd6cbea9a3b80178c708ca530db7c545f27583
co.elastic.apm	apm-agent-attach-cli	1.28.3	slim	807d009487bb06ea73d5306e896c203e217eef0d
co.elastic.apm	apm-agent-attach-cli	1.28.3	slim-sources	7997a5e99fed0ba3bb988baaac562fea2e958a23
co.elastic.apm	apm-agent-attach-cli	1.28.4		eb8b13cc48619c89396d709e6ba4d2af9ce75b6e
co.elastic.apm	apm-agent-attach-cli	1.28.4	bc-verifier	3e97ed5a27fd346cecd2e01e14ecc408104175c3
co.elastic.apm	apm-agent-attach-cli	1.28.4	slim	a68a176e565ae09dfe580e6df0cb27cc1f555f19
co.elastic.apm	apm-agent-attach-cli	1.28.4	slim-sources	b49cad89777a61f897ed75e3ef43c08b9ba91eba
co.elastic.apm	apm-agent-attach-cli	1.29.0		1bdaf20e18b9ae4f77a78efcddc2ea074f2cbf7d
co.elastic.apm	apm-agent-attach-cli	1.29.0	bc-verifier	af843d1b58b7026113c67d30b3cf0d81dad2fd7d
co.elastic.apm	apm-agent-attach-cli	1.29.0	slim	31dc17d0c5f4df97fadaf281e4288cb09af4baee
co.elastic.apm	apm-agent-attach-cli	1.29.0	slim-sources	527b918dad104da71a2c4199bce208ec6948473f
co.elastic.apm	apm-agent-attach-cli	1.30.0		a52ea8e7601ad3569b1bbb8d88a236ce4e42f5d1
co.elastic.apm	apm-agent-attach-cli	1.30.0	bc-verifier	7b939d4a3dda22e4f39f96ef8e5154a7c6482d29
co.elastic.apm	apm-agent-attach-cli	1.30.0	slim	5d72fac285518ea4a52e87429496b58f4a9e9185
co.elastic.apm	apm-agent-attach-cli	1.30.0	slim-sources	bbe95b25e102afb7461a2cd89ba872cdeebcc77f
co.elastic.apm	apm-agent-attach-cli	1.30.1		2caa4f50d6545f29f5490d2971c82e1a6f2ac285
co.elastic.apm	apm-agent-attach-cli	1.30.1	bc-verifier	b9fe551659ec41201e64dce1ed2d1c2b9fe3abe9
co.elastic.apm	apm-agent-attach-cli	1.30.1	slim	698f4d0bc17672b2a3fff69f31649d9978df631f
co.elastic.apm	apm-agent-attach-cli	1.30.1	slim-sources	ddcbb1cb0c553bbdc26cd9edf9f47ba67138da8d
co.elastic.apm	apm-agent-attach-cli	1.31.0		227ea37eb98d5ae7648133cd46c367e0fb919629
co.elastic.apm	apm-agent-attach-cli	1.31.0	bc-verifier	e6614058d40c55e470a329b2583332ea65a1633a
co.elastic.apm	apm-agent-attach-cli	1.31.0	slim	cea3d27acdaf4c8833582feddbbc9166650edba4
co.elastic.apm	apm-agent-attach-cli	1.31.0	slim-sources	4d7f71ad42942386e81e15dce400bacb21d8d95e
co.elastic.apm	apm-agent-attach-cli	1.32.0		7af79ebb68227eae5345d01bd3832c88762a4665
co.elastic.apm	apm-agent-attach-cli	1.32.0	bc-verifier	fa6fb05bbef46cde4ee17fae4825450559f269ad
co.elastic.apm	apm-agent-attach-cli	1.32.0	slim	84d58b0993f8df6d0cd631b2118f334fabd471d8
co.elastic.apm	apm-agent-attach-cli	1.32.0	slim-sources	f9fe598cfecf3aa2daad524fef2b673a4d6b2915
co.elastic.apm	apm-agent-attach-cli	1.33.0		0d94d6150bfcbd13a0e743497bf5ac16d111d21f
co.elastic.apm	apm-agent-attach-cli	1.33.0	bc-verifier	045d228b7c1f8646eeb315427145506ae1ed0663
co.elastic.apm	apm-agent-attach-cli	1.33.0	slim	dce0c3922a4fe63302c182cccd68f77e9d67da34
co.elastic.apm	apm-agent-attach-cli	1.33.0	slim-sources	2d8a111d05ff6c6029f76fc18ce2fb6961481565
