ch.epfl.scala	zinc-ivy-integration_2.11	1.0.3+30-660ed3cb		7874c8addabba00f7dcd17538d8afb9dbf816892
cl.emilym.kmp	serializable-iosarm64	0.1.0		N/A
cl.emilym.kmp	serializable-iosarm64	0.1.0	metadata	d692f2a9a7770af7fe56471fc31e64411a4972e6
cl.emilym.kmp	serializable-iosarm64	0.1.1		N/A
cl.emilym.kmp	serializable-iosarm64	0.1.1	metadata	e30a3a203e328356f0993731d6079ddc2f5b3cb7
cl.emilym.kmp	serializable-iosarm64	0.1.2		N/A
cl.emilym.kmp	serializable-iosarm64	0.1.2	metadata	131099fc9e0e76d0b2cc0b32ec6947fa526568f7
cl.emilym.kmp	serializable-iosarm64	0.1.3		N/A
cl.emilym.kmp	serializable-iosarm64	0.1.3	metadata	22b8d50ae8dcbd578536bf7f7d36d8adc0d4e3a6
cl.emilym.kmp	serializable-iosarm64	0.1.4		N/A
cl.emilym.kmp	serializable-iosarm64	0.1.4	metadata	fdb13771c16c2b408a6927cfd43f5bd86dbf99d3
club.zhcs	axe-chinare-rop-demo	2.1.8.RELEASE		84086c8bd97379cf4001193d08ad567680af13ad
club.zhcs	axe-chinare-rop-demo	2.1.8.RELEASE.20190926		8f2350a58e274a29f31a262f9700f4fcb47e62b0
club.zhcs	axe-chinare-rop-demo	2.1.8.RELEASE.20190926.P		2fc231c11b7cf2c5a5cb4aa0ed5bfe1a3365471f
club.zhcs	axe-chinare-rop-demo	2.1.8.RELEASE.20190927		b212a33e25a2e32db9cbdcdedf7ab2a1a8ca53f8
club.zhcs	axe-chinare-rop-demo	2.1.8.RELEASE.20190929		27dd7f9d42a5ad1724ec5a72bec8a81cc1863f34
club.zhcs	axe-chinare-rop-demo	2.1.8.RELEASE.20191008		37f3e601c3e144282c18027d8fedbd6d1f2c1cd7
club.zhcs	axe-chinare-rop-demo	2.1.9.RELEASE		c6f7dfce3e7751b0713f2dafcfe7bc0b82cea855
club.zhcs	axe-chinare-rop-demo	2.2.0.RELEASE		2ca7b5420928b7f58e307e6d46d1790616062fc9
cn.sliew	carp-camellia-example	0.0.12		813db89bbffc69c2931fad448a3ee86749ad1313
cn.sliew	carp-camellia-example	0.0.13		14a13a911aca5e9f04f58fb30c0ab2b36d2c8553
cn.sliew	carp-camellia-example	0.0.14		bf93597f38dee8d71eb9e4880ffef24cde142d2d
co.touchlab	stately-iso-collections-iosarm32	0.10.0		N/A
co.touchlab	stately-iso-collections-iosarm32	0.10.1		N/A
co.touchlab	stately-iso-collections-iosarm32	0.10.2		N/A
co.touchlab	stately-iso-collections-iosarm32	1.0.0-a2		N/A
co.touchlab	stately-iso-collections-iosarm32	1.0.0-a3		N/A
