code316	code316-core	0.8		ce22e4aeb2b0436eef06728c654974d189a2a823
com.armanbilge	circe-testing_sjs1_2.12	0.14.2-158-f15be0d		073566e3d5bd1203af9ddd9446383db6467a63da
com.bingzer.android.eula	butler-eula	1.0.0		N/A
com.carmatechnologies.utilities	xml-stream-filter	1.0		fb0bc31ddaa65b54a087f9b0886fc3094e26c847
com.carmatechnologies.utilities	xml-stream-filter	1.0	jar-with-dependencies	bc857939ff76cec91515963802c922af957e1b2a
com.craterdog.java-security-framework	java-digital-notary-api	3.10		3f209b5c90298e1884d75563da4c9b3136260ec8
com.craterdog.java-security-framework	java-digital-notary-api	3.11		7d35bc730b3965580db26e95392cd3abb32dc67d
com.craterdog.java-security-framework	java-digital-notary-api	3.12		24416b429905f8a96a22588bcf77da4b2a95f751
com.craterdog.java-security-framework	java-digital-notary-api	3.5		ea56827b0c1cd72c4d9e9fc64abaffb38b802b54
com.craterdog.java-security-framework	java-digital-notary-api	3.6		f59904fe535374a253273611617cf48779ba5de7
com.craterdog.java-security-framework	java-digital-notary-api	3.7		fdc60e5c11445de7c366e060c418fdda91adbac6
com.craterdog.java-security-framework	java-digital-notary-api	3.8		1059b116caf7599c48fba5c44a4dbbc2bc164087
com.craterdog.java-security-framework	java-digital-notary-api	3.9		f727490f89295e10859949695c7c9dbe9c5d8638
com.dallaslu.ioc	web	0.0.1		16a3d917f8524fe4057941972c1705ab6e7175fe
com.disneystreaming.smithy	smithytranslate-transitive_2.13	0.1.0		7af8d0783eb74404758f1ec2e3140c1b692c57f4
com.disneystreaming.smithy	smithytranslate-transitive_2.13	0.1.1		bbd762876268548bd27ed606bc505b04fff1aa64
com.disneystreaming.smithy	smithytranslate-transitive_2.13	0.1.2		a3415c5a5862bcbf9c423264cec43f36a1f6dedb
com.disneystreaming.smithy	smithytranslate-transitive_2.13	0.1.3		e5c200a4b1e056d3778ca2c6c8d9d0bcc8bc6c7e
com.disneystreaming.smithy	smithytranslate-transitive_2.13	0.1.4		e99874f7825f0c5d517e7539a03a3af18baa2373
com.disneystreaming.smithy	smithytranslate-transitive_2.13	0.1.5		9b79e78e6d026e85991f22d187b3f48829294594
com.disneystreaming.smithy	smithytranslate-transitive_2.13	0.1.6		807070ef6e5ac3bf3f3258c113c32dd5a8825e1c
com.disneystreaming.smithy	smithytranslate-transitive_2.13	0.1.7		2927bb20e91afa9fe6ec61c8db9daa818ecacef3
com.disneystreaming.smithy	smithytranslate-transitive_2.13	0.2.0		f99f9a34a0cc4f37b3cfd87f1e6a3ccb21f6adad
com.disneystreaming.smithy	smithytranslate-transitive_2.13	0.2.1		5200c922b086961f29434d073c2a220f23e62594
com.disneystreaming.smithy	smithytranslate-transitive_2.13	0.3.0		57682de014edb4b95a0483377ddf58a786b078de
com.disneystreaming.smithy	smithytranslate-transitive_2.13	0.3.1		96223ae73a2d10461fb24a35904d100670c13b17
com.disneystreaming.smithy	smithytranslate-transitive_2.13	0.3.10		a51772e562a6dd4e2b03ec3826dbe604a2b165cc
com.disneystreaming.smithy	smithytranslate-transitive_2.13	0.3.11		09deb7caffdeea349508083a8f8f7da7dbf54639
com.disneystreaming.smithy	smithytranslate-transitive_2.13	0.3.12		3bc56ba528edde07973d152b754ab16f2e318f31
com.disneystreaming.smithy	smithytranslate-transitive_2.13	0.3.13		678855b9df1f7692ca23993ab3eedefdad4d40e8
com.disneystreaming.smithy	smithytranslate-transitive_2.13	0.3.14		276b5678cc3aae40f3f213746d6854e2d4f7107d
com.disneystreaming.smithy	smithytranslate-transitive_2.13	0.3.15		070490a8bb2de059a06db07f8131f51be7cfe8d5
com.disneystreaming.smithy	smithytranslate-transitive_2.13	0.3.2		90787053d4ca254f8837952ce4d383b02a828d46
com.disneystreaming.smithy	smithytranslate-transitive_2.13	0.3.3		e3276d34c9090dfad7664d7c03099c3ff0419a41
com.disneystreaming.smithy	smithytranslate-transitive_2.13	0.3.4		f5b0f5ca55efee3106a721b8f64eb39917d50801
com.disneystreaming.smithy	smithytranslate-transitive_2.13	0.3.5		fb1343a2cbfa53a0a7ab2dfede20b3974b8fcd2f
com.disneystreaming.smithy	smithytranslate-transitive_2.13	0.3.6		b7a78ce0ac9646b5d28c5958e6a4d2ecbad716e7
com.disneystreaming.smithy	smithytranslate-transitive_2.13	0.3.7		9ff963e221cf7638abc0f0e416eae2196a3182ce
com.disneystreaming.smithy	smithytranslate-transitive_2.13	0.3.8		dd608e25de21ab52cfd99212c171d7bbe7ccbe45
com.disneystreaming.smithy	smithytranslate-transitive_2.13	0.3.9		36d3ea35c0c7d2d7afe542814c4bdacf3829d0a5
com.disneystreaming.smithy	smithytranslate-transitive_2.13	0.4.0		70498655c402fbd61fe3bc23c9f4ad6e53486185
com.disneystreaming.smithy	smithytranslate-transitive_2.13	0.5.0		c3a37e758e8a88ffc12868f196469ed461e246bf
com.disneystreaming.smithy	smithytranslate-transitive_2.13	0.5.1		1917a9817e3e6416d3c0206b91ee6e25d71e5032
