au.net.causal.shoelaces	shoelaces-logconfig-integration-tests-common	2.0		N/A
cloud.altemista.fwk.archetype	cloud-altemistafwk-app-jwt-authzsrv-archetype	3.0.0.RELEASE		d3dc9f2654553926d05251a4bf32fad0f83cf7c3
cloud.altemista.fwk.archetype	cloud-altemistafwk-app-jwt-authzsrv-archetype	3.0.1.RELEASE		fa75352d0f858950a24f81e3e4cff83b172d9edb
cloud.altemista.fwk.archetype	cloud-altemistafwk-app-jwt-authzsrv-archetype	3.1.0.RELEASE		fc8d9396ad53456fe5cb54828ecc8bceb8b618a4
com.adobe	com.adobe.aio-lib-java.osgi	0.0.6		bb66f297456dc2cab9997f16f7a524463934b10a
com.adobe	com.adobe.aio-lib-java.osgi	0.0.7		351c7b11225b1235cf88ee9309439119d5d7d617
com.adobe	com.adobe.aio-lib-java.osgi	0.0.8		e1dacac34aeea28f25bf0cde405ae7a0e221521a
com.adobe	com.adobe.aio-lib-java.osgi	0.0.9		9cbdc4213e6ec6a5e6008d81ae763a2e05df0be9
com.disneystreaming	weaver-scalacheck_native0.4_2.12	0.8.0		2130da66ce1fbc56149701c401a66b739ba4f9c3
com.disneystreaming	weaver-scalacheck_native0.4_2.12	0.8.1		ffb4503982c337bbba016fa3c970346c8173de2c
com.disneystreaming	weaver-scalacheck_native0.4_2.12	0.8.2		e286490491f92bf61a28f480938face5f7d40c20
com.disneystreaming	weaver-scalacheck_native0.4_2.12	0.8.3		de0f5e86326b1c02f4c43b00efc85152c83b5126
com.disneystreaming	weaver-scalacheck_native0.4_2.12	0.8.4		1d054cd5fcc6db5dd86ffa7f41fc4166f7784d19
com.fullfacing	sttp-akka-monix-bio_2.13	1.2.0		d1d4ec68b5c16013e7ab8fbce389a38794cbcb5e
com.fullfacing	sttp-akka-monix-bio_2.13	1.3.0		946b10249032690a17b1366caf91a76f09440c74
com.fullfacing	sttp-akka-monix-bio_2.13	1.4.0		019744dafc291cf11f78260abc6ad7ec71cc9d59
com.fullfacing	sttp-akka-monix-bio_2.13	1.5.0		7855beafea529481c1591fb5e59a5c87109062b0
com.fullfacing	sttp-akka-monix-bio_2.13	1.6.0		8761d4314015a84a3062e9dd63173c91428ab7d6
com.fullfacing	sttp-akka-monix-bio_2.13	2.0.0		d76c0f03d6128694774f57a49900b6735b688805
com.fullfacing	sttp-akka-monix-bio_2.13	2.0.1		6f7cd678a2e2514c4e1c48bb7c635315dcc39351
com.gitee.jiachuang-nanjing	njjc-framework-pdf	1.0.1		4f4012d32a216e71861f90cdfcf7cb2b7dac1d54
com.gitee.jiachuang-nanjing	njjc-framework-pdf	1.0.2		b0f585079326612839b013d749f1df44ee2c8ecd
com.github.houbb	nlp-hanzi-freq	1.0.0		e8fd3495290343305765afa50277c393dedf3b7c
com.github.houbb	sandglass-core	0.0.1		495f0ec4339dde94b33b741f4ffcf839f4715d84
com.github.houbb	sandglass-core	0.0.2		3bf0710c8ecd1a41c9436c1d7895cbe3b7e62415
com.github.houbb	sandglass-core	0.0.3		f7cb6b9805116695689bc304031fe2bd8c7eb20b
com.github.houbb	sandglass-core	0.0.4		a8abe7c25faacc50995a6e098dc720017918efe3
com.github.houbb	sandglass-core	0.0.5		4c8210471d80d377ebf0060b226cbd885f6c16ee
com.github.houbb	sandglass-core	0.0.6		1caec4fb7fb5e806ab273a0d8dc200c2b9f6510b
com.github.houbb	sandglass-core	0.0.8		83a055c42a6a1ba2669892a0a28c520550343b08
com.github.houbb	sandglass-core	0.0.9		d84d50ea7d8a55bd252df208f9614c6ca0c0d227
com.github.houbb	sandglass-core	1.0.0		122b50a03a700d758d60ca40055e6531d2c38518
com.github.houbb	sandglass-core	1.2.0		124c88b2f08c641368168fedb81d2a07f508f273
com.github.houbb	sandglass-core	1.3.0		6af3a0eef86d41407b4cf9c1c707b0f2876bd759
com.github.houbb	sandglass-core	1.3.1		a2228b3af8623f9e13992147d1ba36e3684832e7
com.github.houbb	sandglass-core	1.3.2		41a0740ecd62c47010fa5dbddacf4851c495ff0d
com.github.houbb	sandglass-core	1.4.0		00ad0831231ecb827b3947100a911aca59ea0526
com.github.houbb	sandglass-core	1.4.1		a1c597a64623eccd50520bd9e01b9bf082dc3802
com.github.houbb	sandglass-core	1.4.2		4af1bf70cf545e5e39f5bb2ffb56fa16ba76ab91
com.github.houbb	sandglass-core	1.4.3		e230d0f9a6a96dc92e1346ee03d548e29da47675
com.github.houbb	sandglass-core	1.4.4		bb5054931a6b85d85bf68f4e330a37dda92b5b2b
com.github.houbb	sandglass-core	1.5.0		9b9ce03722e346c6681ae64b5ff818718c4af8ee
com.github.houbb	sandglass-core	1.6.0		edefc91b0d3c78203a408c1c566ffcec60f812a3
com.github.houbb	sandglass-core	1.6.1		c6fa8830805cb53d2174ad7f091087112aef622a
com.github.houbb	sandglass-core	1.6.2		d44c4a0feaefbf06bed9813e1fbfdc85183459ef
com.github.houbb	sandglass-core	1.7.0		6bfb0d0e0c54dfbbfade1d754e1559e1516bbbc5
com.github.houbb	sandglass-core	1.7.1		476c4f97be0cc4be32145dad0ee209aaf66a1b82
com.github.houbb	sandglass-core	1.7.2		814dec43992120e49c8adef9c5aefef5e3ca1216
com.github.j5ik2o	reactive-kinesis-akka_2.11	1.0.7		42a583859a4a62a83e23379aaa229d96550c5002
com.github.rssh	dotty-cps-async-loom-next_3	0.9.23		a456fb205806a4444a91080f3f2bd21d17a943f2
com.github.shell-software	tree	0.1.0		67d238a672e292dd269a6e93cc4896cf257ac426
com.github.shell-software	tree	0.1.1		6fefeeea6477a2a654c5ae4cf0595d73e7fcd4f9
com.graphql-java-generator	graphql-maven-plugin-samples-allGraphQLCases-server	2.0RC1		a6aa5c32920599ebd69e98d60d6e956d9bd879eb
com.jakewharton.mosaic	mosaic-tty-terminal-macosx64	0.17.0		N/A
com.jakewharton.mosaic	mosaic-tty-terminal-macosx64	0.17.0	metadata	95c25e96a09392c7015e838517b66a30cce366c6
com.jhintersoftware.simplehttpclient	SimpleHttpClient	1.0.2		b50868ea882418e172557571658b990e4c7141e4
com.michael-bull.kotlin-result	kotlin-result-coroutines-iosx64	1.1.11		N/A
com.michael-bull.kotlin-result	kotlin-result-coroutines-iosx64	1.1.12		N/A
com.michael-bull.kotlin-result	kotlin-result-coroutines-iosx64	1.1.13		N/A
com.michael-bull.kotlin-result	kotlin-result-coroutines-iosx64	1.1.14		N/A
com.michael-bull.kotlin-result	kotlin-result-coroutines-iosx64	1.1.15		N/A
com.michael-bull.kotlin-result	kotlin-result-coroutines-iosx64	1.1.15	metadata	2c930f6c0c8a3e361cbccc92297556bfaaf58efd
com.michael-bull.kotlin-result	kotlin-result-coroutines-iosx64	1.1.16		N/A
com.michael-bull.kotlin-result	kotlin-result-coroutines-iosx64	1.1.16	metadata	62d7ba3da0ac1cab95b2af374ff9ab1326c77f74
com.michael-bull.kotlin-result	kotlin-result-coroutines-iosx64	1.1.17		N/A
com.michael-bull.kotlin-result	kotlin-result-coroutines-iosx64	1.1.17	metadata	a117799b35d98868b980e214cf7148098001b7e9
com.michael-bull.kotlin-result	kotlin-result-coroutines-iosx64	1.1.18		N/A
com.michael-bull.kotlin-result	kotlin-result-coroutines-iosx64	1.1.18	metadata	90ad9f6777bee513126b1600d346c7d65d8789ee
com.michael-bull.kotlin-result	kotlin-result-coroutines-iosx64	1.1.19		N/A
com.michael-bull.kotlin-result	kotlin-result-coroutines-iosx64	1.1.19	metadata	2ad3dd7af93e93ff93f5c9eb2a4021094b78fd19
com.michael-bull.kotlin-result	kotlin-result-coroutines-iosx64	1.1.20		N/A
com.michael-bull.kotlin-result	kotlin-result-coroutines-iosx64	1.1.20	metadata	b51c9af147ee9b4700011059262e9f0cab0e5d20
com.michael-bull.kotlin-result	kotlin-result-coroutines-iosx64	1.1.21		N/A
com.michael-bull.kotlin-result	kotlin-result-coroutines-iosx64	1.1.21	metadata	ccca1eced8c8912c443c57106d2438a01c211c5c
com.michael-bull.kotlin-result	kotlin-result-coroutines-iosx64	2.0.0		N/A
com.michael-bull.kotlin-result	kotlin-result-coroutines-iosx64	2.0.0	metadata	89de194509a24b66086891db5f5d62961ff2be37
com.michael-bull.kotlin-result	kotlin-result-coroutines-iosx64	2.0.1		N/A
com.michael-bull.kotlin-result	kotlin-result-coroutines-iosx64	2.0.1	metadata	81a9da11f3ee8a7e3edca6b0e2ddfe3a93c8a083
com.nrinaudo	kantan.csv-laws_sjs1_2.12	0.6.1		055c86327f91e68dbdd21b94cdb10eeed68fae07
com.nrinaudo	kantan.csv-laws_sjs1_2.12	0.6.2		8118d6662444c84c95c4d401f7cb02c07de57c9d
com.nrinaudo	kantan.csv-laws_sjs1_2.12	0.7.0		a602627d2389dc1d17f8fc200524fd0e956f3c9b
com.nrinaudo	kantan.csv-laws_sjs1_2.12	0.8.0		5a334e191dc5e01bc52e3bf799cec4fda139e643
com.smyachenkov	run-detekt-maven-plugin	1.4.0.2		16c5a0d44907011958925329a8316778d5dc854e
com.smyachenkov	run-detekt-maven-plugin	1.4.0.3		8d49c358f0a97753657db2e1e05e85b48f0b4208
com.smyachenkov	run-detekt-maven-plugin	1.4.0.4		c0b8ef622cd3212c6259dbb2d0ede728b21fc724
com.smyachenkov	run-detekt-maven-plugin	1.5.0.1		e04382667fec10ce278686021ba9fff57b2b4a53
com.smyachenkov	run-detekt-maven-plugin	1.7.4		0873e765d4ee176dfa6a7c266ab87eed7abad352
com.smyachenkov	run-detekt-maven-plugin	1.9.1		4d4e5eeef1aecb3d7381fecffbaef292542e5153
com.softicar.platform	platform-common-core	10.0.1		926e237aff2a3b3d37009308d69df18c3a74ab78
com.softicar.platform	platform-common-core	11.0.0		cd9175fa65f67aaaa22bd08b2a0ec93355138705
com.softicar.platform	platform-common-core	11.0.0+patch1		96b8cbf0a22de30eb41c731c47199f0ab265b475
com.softicar.platform	platform-common-core	12.0.0		815e62517a88bd6432deeb7ae9411ef53c820c09
com.softicar.platform	platform-common-core	12.1.0		4d3fa2cb6dde449dbd98f18e3549d67a3ee64d2e
com.softicar.platform	platform-common-core	12.1.1		0d87c5503df49e9373e3e82038cc40b4d6d7dbff
com.softicar.platform	platform-common-core	13.0.0		8d495ea9693851fc3c2cff9c771c171dc3d79665
com.softicar.platform	platform-common-core	13.0.1		d6eeed1f616d4e86434c2e05529d94ad63bab09e
com.softicar.platform	platform-common-core	13.1.0		8c998defb8a107778b6e6045ead69cf012c1a751
com.softicar.platform	platform-common-core	14.0.0		e1eca945955f0e8b5de9a811aa9fa0178dc98f60
