au.net.causal.shoelaces	shoelaces-jdbc-integration-tests-app-derby	2.0		N/A
cn.cloudself	query-pro-comp	1.4.1		3615771c14b7d1240a54e4fd10871a319b62f9a1
cn.loyom.boot	loyom-boot-plugin-mq-rabbit	1.0.0-JDK21		da228e21c1b209506628209844c61eaf6d63a383
cn.loyom.boot	loyom-boot-plugin-mq-rabbit	1.0.0-JDK21	jdk21	da228e21c1b209506628209844c61eaf6d63a383
cn.loyom.boot	loyom-boot-plugin-mq-rabbit	1.0.1-JDK21		5b476f07332d3d8a06959a58ecd6557619c0609f
cn.loyom.boot	loyom-boot-plugin-mq-rabbit	1.0.1-JDK21	jdk21	5b476f07332d3d8a06959a58ecd6557619c0609f
cn.loyom.boot	loyom-boot-plugin-mq-rabbit	1.0.3-JDK21		d7964b884791100c5beef3783915a70ae84a9397
cn.loyom.boot	loyom-boot-plugin-mq-rabbit	1.0.3-JDK21	jdk21	d7964b884791100c5beef3783915a70ae84a9397
co.touchlab	kermit-crashlytics-watchosarm64	1.0.0		N/A
co.touchlab	kermit-crashlytics-watchosarm64	1.0.0	metadata	30697325c8e9ff38b3d688eaea1aa25d07afadf2
co.touchlab	kermit-crashlytics-watchosarm64	1.0.0-rc1		N/A
co.touchlab	kermit-crashlytics-watchosarm64	1.0.0-rc1	metadata	003515bafd201eaf926c3b42a92c6b4a62d91653
co.touchlab	kermit-crashlytics-watchosarm64	1.0.0-rc2		N/A
co.touchlab	kermit-crashlytics-watchosarm64	1.0.0-rc2	metadata	6fde2dc15adb44c69ae0191c2026f12d8be9d86b
co.touchlab	kermit-crashlytics-watchosarm64	1.0.0-rc4		N/A
co.touchlab	kermit-crashlytics-watchosarm64	1.0.0-rc4	metadata	d7ac6a6b4b6bcf728f54d916c09767a71c1dcaa0
co.touchlab	kermit-crashlytics-watchosarm64	1.0.2		N/A
co.touchlab	kermit-crashlytics-watchosarm64	1.0.2	metadata	e68bd9ffda10c31a3c9b01c33f376d0efd975936
co.touchlab	kermit-crashlytics-watchosarm64	1.0.3		N/A
co.touchlab	kermit-crashlytics-watchosarm64	1.0.3	metadata	f179915f63ecef91417af02cfd94806aefbb7c39
co.touchlab	kermit-crashlytics-watchosarm64	1.1.0		N/A
co.touchlab	kermit-crashlytics-watchosarm64	1.1.0	metadata	fb002582a123478f42faede5bc4372763bb5553f
co.touchlab	kermit-crashlytics-watchosarm64	1.1.1		N/A
co.touchlab	kermit-crashlytics-watchosarm64	1.1.1	metadata	43ef30cfcd1e8880c14c3d8cb102a51e23c18f1f
co.touchlab	kermit-crashlytics-watchosarm64	1.1.2		N/A
co.touchlab	kermit-crashlytics-watchosarm64	1.1.2	metadata	95e324934cf833e337570a6a24f3fc59df843a9f
