au.net.causal.shoelaces	shoelaces-jersey-client-integration-tests-container	2.0		e20ece2b79b69691463608cad682da248d5034c8
cn.fossc.polaris.framework	polaris-framework-builder	3.0.24		c00fc94be8f1cda2cdeb30e0032d1d3f63437b29
cn.fossc.polaris.framework	polaris-framework-builder	3.0.25		7bcd549284279b370a4d2f606c75e486b8695153
cn.fossc.polaris.framework	polaris-framework-builder	3.0.26		2161bcab59e024a45ee78f08a13bfd8f3b5e786a
cn.fossc.polaris.framework	polaris-framework-builder	3.0.27		0c517ef577d1e70fb24adcc83efcbc259327795b
cn.fossc.polaris.framework	polaris-framework-builder	3.0.28		166665e8715762e7c82fd0f6b815f21a7f216921
cn.fossc.polaris.framework	polaris-framework-builder	3.0.29		585bab95320be4094a7e25b7a7cf9885bb0f1f2e
cn.fossc.polaris.framework	polaris-framework-builder	3.0.3		d12315a6879330c491e8af3020da5bec53dc42a7
cn.fossc.polaris.framework	polaris-framework-builder	3.0.30		3675b2e0201b85d122b55d36d692873da52a0189
cn.fossc.polaris.framework	polaris-framework-builder	3.0.31		850c780b5f43a16d96036dd58ac65efb02964844
cn.fossc.polaris.framework	polaris-framework-builder	3.0.32		7a35e77e2b34f3123fb43b8be786c0fd3363b994
cn.fossc.polaris.framework	polaris-framework-builder	3.0.33		2163e9daa975d32ec08dd7d0a04d55442a138590
cn.fossc.polaris.framework	polaris-framework-builder	3.0.4		976dd0f7e1442835a161214f742537357f0d5056
cn.fossc.polaris.framework	polaris-framework-builder	3.0.5		531b63b0a382d97343cf78ded7f25f66cb6a3920
cn.fossc.polaris.framework	polaris-framework-builder	3.0.6		4b20f37ac0291da81c5b97ad4b97af7a998439e8
cn.fossc.polaris.framework	polaris-framework-builder	3.0.7		84c934365b41f4126e2fef7a12a64c0c255bf69b
cn.fossc.polaris.framework	polaris-framework-builder	3.0.8		1a09c487f65abea1e6f8387ae2e96979a9ebdd8c
cn.fossc.polaris.framework	polaris-framework-builder	3.0.9		2eab65abe037bbbb160f603602cf54e635175335
cn.ucloud	ucloud-sdk-java-uewaf	1.2.16-release		c3d4fdde23d71cbfcec047fa595dd346bf94ce45
cn.ucloud	ucloud-sdk-java-uewaf	1.2.17-release		c328815b5b26cecab92dfbed46b4de9917d2101c
cn.ucloud	ucloud-sdk-java-uewaf	1.2.18-release		02614781d858bdf9fe7f948d5d236e64286d349d
cn.ucloud	ucloud-sdk-java-uewaf	1.2.19-release		cb13d3b28787092b886b602176aff8bead8b87d1
cn.ucloud	ucloud-sdk-java-uewaf	1.2.20-release		eb3f8eb1eeb3aa155b9f4e1b70e9d15c5f69b3a1
cn.ucloud	ucloud-sdk-java-uewaf	1.2.21-release		530f32d9e8588e77d95d005fded950924ac64359
cn.ucloud	ucloud-sdk-java-uewaf	1.2.22-release		16b1edfca7e3d01e1030ba6ab300751828ba2084
cn.ucloud	ucloud-sdk-java-uewaf	1.2.23-release		82cc8e6cf0fe4ccf442e49d473ee5d63a5c444a1
cn.ucloud	ucloud-sdk-java-uewaf	1.2.24-release		225c9c3aafeb6b052eb764d80ecd9de809bafb35
cn.ucloud	ucloud-sdk-java-uewaf	1.2.25-release		e525af87259954e6c82d1d8e1e102ab2ce58e045
cn.ucloud	ucloud-sdk-java-uewaf	1.2.26-release		22d8f05c2f3b2c695896f88fdcca8b4152796d8a
cn.ucloud	ucloud-sdk-java-uewaf	1.2.27-release		fea2edb1468d3c4223700d8ce8bc97d805ca4edc
