aws.sdk.kotlin	chimesdkidentity-jvm	0.16.2-beta	-	b6d32224cb17d07b5d723623b2022f1f0008d464
aws.sdk.kotlin	chimesdkidentity-jvm	0.16.3-beta	-	b15d70666d276036c559d30b501bd32b9dc58506
aws.sdk.kotlin	chimesdkidentity-jvm	0.16.4-beta	-	53d7ca2bd15300b07dc313792722eb914147034f
aws.sdk.kotlin	chimesdkidentity-jvm	0.16.5-beta	-	51f2410b9e9dd414429e623b096c76ad46e9d2d0
aws.sdk.kotlin	chimesdkidentity-jvm	0.16.6-beta	-	e79241272d86c9b79f11098e4275caf623ffd1fd
aws.sdk.kotlin	chimesdkidentity-jvm	0.16.7-beta	-	90e8ce67b6f4d1fe2ea954736faedfd7f294a9ed
aws.sdk.kotlin	chimesdkidentity-jvm	0.17.0-beta	-	ac84c01c541efdbc57ebc0ee28409af71196a0f1
aws.sdk.kotlin	chimesdkidentity-jvm	0.17.1-beta	-	bf126c7671cd51ab1d8c868ce1f0ca5e5e08c95f
aws.sdk.kotlin	chimesdkidentity-jvm	0.17.10-beta	-	bc4ba4301e34bb17532c2721334c1b9f7d77e1a6
aws.sdk.kotlin	chimesdkidentity-jvm	0.17.11-beta	-	a4c815583764f01b72373e953a1f899b24c58ce8
aws.sdk.kotlin	chimesdkidentity-jvm	0.17.12-beta	-	9a8b13944f76ebf1bd4d18bf614d78d9c0346abf
aws.sdk.kotlin	chimesdkidentity-jvm	0.17.2-beta	-	99e900dc2abf7232f23fca1e61b4c26efa1ab5b6
aws.sdk.kotlin	chimesdkidentity-jvm	0.17.3-beta	-	c913d3735eb3ec78ad4a7114e61a03caf50c3d60
aws.sdk.kotlin	chimesdkidentity-jvm	0.17.4-beta	-	3c8a6b35872906479713c86871df0f168200162c
aws.sdk.kotlin	chimesdkidentity-jvm	0.17.5-beta	-	e804ac3f8cfa66d5f1b915c6ace3cee7a6865c8b
aws.sdk.kotlin	chimesdkidentity-jvm	0.17.6-beta	-	24ba05aea7fda5d9869fdba1a98329b4c0f93ba4
aws.sdk.kotlin	chimesdkidentity-jvm	0.17.7-beta	-	96036012e8071310266378e181cbd988fdaf7ef0
aws.sdk.kotlin	chimesdkidentity-jvm	0.17.8-beta	-	9cb3e27d5b62fa537cb814f73c298d7dd17ee6f8
aws.sdk.kotlin	chimesdkidentity-jvm	0.17.9-beta	-	3abb089e9749ebebff1aa3bbb5ccd191685b9579
aws.sdk.kotlin	chimesdkidentity-jvm	0.18.0-beta	-	5a8990e1832631692fb12ce60283e2682201da74
aws.sdk.kotlin	chimesdkidentity-jvm	0.19.0-beta	-	93f4b8e6355386fbc989ac611e92ba1b51f43948
aws.sdk.kotlin	chimesdkidentity-jvm	0.19.1-beta	-	6a3f443a7e7d96b7ef6a92744f1b05f4cd8fc3ce
aws.sdk.kotlin	chimesdkidentity-jvm	0.19.2-beta	-	80a973f247d120ebd15ea1d02f2baf93566fba2e
aws.sdk.kotlin	chimesdkidentity-jvm	0.19.3-beta	-	236f90fb08d0e721b88f2f2b53ba2c96bc32ccd1
aws.sdk.kotlin	chimesdkidentity-jvm	0.19.4-beta	-	16ca9b85a6e9a7887d15a045219d82892038b369
aws.sdk.kotlin	chimesdkidentity-jvm	0.19.5-beta	-	9def273c75bb149e479d5e83715899518065e99f
aws.sdk.kotlin	chimesdkidentity-jvm	0.20.0-beta	-	c659a7b4671324bfb83d158bf1f4c48a84ec1f56
aws.sdk.kotlin	chimesdkidentity-jvm	0.20.1-beta	-	5ce6723d6b681ff8ae3338b25641ce71989e9ff6
aws.sdk.kotlin	chimesdkidentity-jvm	0.20.2-beta	-	09eadf40ed1a163e42911d024648c2c371281b9e
aws.sdk.kotlin	chimesdkidentity-jvm	0.20.3-beta	-	bede9f2a291ddf141784dc90dd4e4a3e3f3c043c
aws.sdk.kotlin	chimesdkidentity-jvm	0.21.0-beta	-	d4ce6c4eaab95a8b8a01d99df3c63fddae6a1985
aws.sdk.kotlin	chimesdkidentity-jvm	0.21.1-beta	-	b8609f7e5e7adfc932ae93287a327e206a3570b5
aws.sdk.kotlin	chimesdkidentity-jvm	0.21.2-beta	-	27ff21f49b5cb85aa0ab1531fcdb35ccb9c01bc2
aws.sdk.kotlin	chimesdkidentity-jvm	0.21.3-beta	-	dccacf82d90c7137c4663f2e9db6fa15308773fe
aws.sdk.kotlin	chimesdkidentity-jvm	0.21.4-beta	-	2d1a465881146dd0c3371c84dd6d3ca6833bd3f2
aws.sdk.kotlin	chimesdkidentity-jvm	0.21.5-beta	-	0395a330abc967b589975e515458c4a7eb4df371
aws.sdk.kotlin	chimesdkidentity-jvm	0.22.0-beta	-	e8be46b8ef20f32b10a66dad6ceaa89ccf5d4a29
aws.sdk.kotlin	chimesdkidentity-jvm	0.22.1-beta	-	ad8edfde0eb7b5299b35bd69b603b629eed7532e
aws.sdk.kotlin	chimesdkidentity-jvm	0.23.0-beta	-	9ef52a77bbcaddd1f65493bb411870209ebc0c24
aws.sdk.kotlin	chimesdkidentity-jvm	0.24.0-beta	-	b3536b7377778998e3644e32ad70dc81c795ddb1
aws.sdk.kotlin	chimesdkidentity-jvm	0.25.0-beta	-	e7c0811521ef6f6913bd66f987b6d6a51654b44b
aws.sdk.kotlin	chimesdkidentity-jvm	0.26.0-beta	-	19f80b0816077adaefaeef4543fd7a9c09726d35
aws.sdk.kotlin	chimesdkidentity-jvm	0.26.1-beta	-	991d7130921baf6facde4bf021555c76bdd6dd6b
aws.sdk.kotlin	chimesdkidentity-jvm	0.27.0-beta	-	fee3fcfe7ca086b0a0ea2d4357f3b5917defbdab
aws.sdk.kotlin	chimesdkidentity-jvm	0.27.1-beta	-	3f6208c87ed211aeefb15efcc4f3640be20df46d
aws.sdk.kotlin	chimesdkidentity-jvm	0.27.2-beta	-	56f3fdb163b8f1c24f877d761241684291b805cb
aws.sdk.kotlin	chimesdkidentity-jvm	0.28.0-beta	-	71f106f02f994604c370c8f84daf83a64df4f7dd
aws.sdk.kotlin	chimesdkidentity-jvm	0.28.1-beta	-	129dec9f5d8dd170094785dc6ffa98848815e6cb
aws.sdk.kotlin	chimesdkidentity-jvm	0.28.2-beta	-	c00585ec84cd6a167535cd1fd1abb9f77bc21ae5
aws.sdk.kotlin	chimesdkidentity-jvm	0.29.0-beta	-	5a8247b1dbc986e8b27471a44854f9be33b0a6b6
aws.sdk.kotlin	chimesdkidentity-jvm	0.29.1-beta	-	7b2a4de58e984a2976f52f5c9b254146bf852f71
aws.sdk.kotlin	chimesdkidentity-jvm	0.30.0-beta	-	4f573ee784d5223213812b77bdaaaa0c5d281f8f
aws.sdk.kotlin	chimesdkidentity-jvm	0.30.1-beta	-	2d73a024d9d93bb5ba311cbc4336b01a3695d762
aws.sdk.kotlin	chimesdkidentity-jvm	0.31.0-beta	-	fdabc588a0bc66741fda4e7a4ac87081ce149027
aws.sdk.kotlin	chimesdkidentity-jvm	0.32.0-beta	-	96383e23e898d00be4fcc18b6d7a7859dbd755d9
aws.sdk.kotlin	chimesdkidentity-jvm	0.32.1-beta	-	d7e612fcc7018e956a86d6a19b965af724c46544
aws.sdk.kotlin	chimesdkidentity-jvm	0.32.2-beta	-	e97bf1cd4d4640b67e87153f6b29bd12d4cde130
aws.sdk.kotlin	chimesdkidentity-jvm	0.32.3-beta	-	7385fb2afa31891740442af991dfab327be87d5a
aws.sdk.kotlin	chimesdkidentity-jvm	0.32.4-beta	-	dbc799e0d62d44cab6d8d00dd3b887c299a9863f
aws.sdk.kotlin	chimesdkidentity-jvm	0.32.5-beta	-	4baeada8f6f85753a5544e4491f99808135f10b4
aws.sdk.kotlin	chimesdkidentity-jvm	0.33.0-beta	-	cac28c3224b120839276e25082f35d6b65f949a7
aws.sdk.kotlin	chimesdkidentity-jvm	0.33.1-beta	-	73514e8b175561504f03413c74e91f775834d290
aws.sdk.kotlin	chimesdkidentity-jvm	0.34.0-beta	-	715e9a0026c5e802b4eba40134e8f0c8f1cefe8f
aws.sdk.kotlin	chimesdkidentity-jvm	0.34.1-beta	-	59685d764a9603a6a31ab8ff03ed0a27ece00138
aws.sdk.kotlin	chimesdkidentity-jvm	0.34.2-beta	-	a9926bca17157367467dee013621dba61a03d955
aws.sdk.kotlin	chimesdkidentity-jvm	0.34.3-beta	-	d4c21b3382d7326f8cd958ccd5fb8d948298b312
aws.sdk.kotlin	chimesdkidentity-jvm	0.34.4-beta	-	75b4b89df19d63d09dddffd1cf24faf4c544e5fd
