br.com.thiagomoreira.liferay.plugins.setup-brazilian-regions-app	setup-brazilian-regions-hook	1.0.0		N/A
club.zhcs	lina-oidc	2.7.18		d519c29ca0cfbf3c435c27d740badd322551e124
club.zhcs	lina-oidc	2.7.18-20241208		75e99371bea8a6fac7bf9721fad193e0f904db58
club.zhcs	lina-oidc	2.7.18.20240722		31798d8123b157ce0e594cc252a92b8eb59c8bbb
club.zhcs	lina-oidc	2.7.18.20240723		1dbe690f7732b187d336bea62fdaa7dca145d80d
club.zhcs	lina-oidc	2.7.18.20240724		c0f6b86d6bcb23beedee2d1379437e1573d732f3
club.zhcs	lina-oidc	2.7.18.20240726		71df4f1259ba5c1c16722070f037ff28d725690c
club.zhcs	lina-oidc	2.7.18.20240727		44f02bbe0f2bff42afb51d0fa5c0aa7d462a7930
club.zhcs	lina-oidc	2.7.18.20240729		574ff24f972cb6410e8f298f6cf30b8fb06164b9
club.zhcs	lina-oidc	2.7.18.20240801		3f0274f9d50de4f3d1b1bfdf5dc8d2f6232d5e8c
club.zhcs	lina-oidc	2.7.18.20240815		5656993839ddec970d990c3ad1ceaff1a625a09c
club.zhcs	lina-oidc	3.3.1		8ab02714c7df5074bdd079e680a6cf580a82eaed
club.zhcs	lina-oidc	3.3.2		c40f2fdd8fa3775c5f79a4657d2269fadd7c4cb9
club.zhcs	lina-oidc	3.3.3		1c09e4f8c7a7c7f875d7b7c25aa47723d0b7d995
club.zhcs	lina-oidc	3.3.4		02b490caa60bbfb500a076a3f2d66795599abc08
club.zhcs	lina-oidc	3.3.5		3e063260089b7c815ce645f06b0087f8774ea733
club.zhcs	lina-oidc	3.3.6		2ad813ebc0de8751a89b990fe4fdf1c33adece33
club.zhcs	lina-oidc	3.4.0		a24089ec1c97f0c1e6b3ba4c77fdf141812bca36
co.fs2	fs2-scalaz_2.12.0-M5	0.1.0-M5		0c93cfeeb0d90b2c5c746065ce586265591eeb01
co.fs2	fs2-scalaz_2.12.0-M5	0.1.0-M6		ab70de2e2046f6d9a2541eb75b3b4dc41684f95e
co.fs2	fs2-scalaz_2.12.0-M5	0.1.0-RC1		4230c39794f81e0c1eb39d211e50c10e286fae0e
co.fs2	fs2-scalaz_2.12.0-M5	0.1.0-RC2		b0537a640fd04ffec848b48a67f3a3ae480e0855
com.algorigo.rx	algorigoble2	2.0.0		N/A
com.algorigo.rx	algorigoble2	2.0.1		N/A
com.algorigo.rx	algorigoble2	2.0.2		N/A
com.algorigo.rx	algorigoble2	2.0.3		N/A
com.algorigo.rx	algorigoble2	2.0.4		N/A
com.algorigo.rx	algorigoble2	2.1.0		N/A
com.algorigo.rx	algorigoble2	2.2.0		N/A
com.algorigo.rx	algorigoble2	2.3.0		N/A
com.algorigo.rx	algorigoble2	2.3.1		N/A
com.algorigo.rx	algorigoble2	2.3.2		N/A
com.algorigo.rx	algorigoble2	2.3.3		N/A
com.algorigo.rx	algorigoble2	2.3.4		N/A
com.algorigo.rx	algorigoble2	2.4.0		N/A
com.algorigo.rx	algorigoble2	2.5.0		N/A
com.algorigo.rx	algorigoble2	2.5.1		N/A
com.brienwheeler.lib	lib-test	1.0-RELEASE		654e1664c8eb9949c46869eead436abb37290c4c
com.brienwheeler.lib	lib-test	1.01-RELEASE		aaf3e6f929c3ff6ec28e1cd2bb7dc5c112f6f4ab
com.brienwheeler.lib	lib-test	1.02-RELEASE		d4958ef4b10d5df0eafce2e7aa94380c3c9afeda
com.brienwheeler.lib	lib-test	1.03-RELEASE		14fd6e92f9de24a36f335f1236e7be0eadae601a
com.brienwheeler.lib	lib-test	1.05-RELEASE		c0b0301bc7bf614dba3375c8340155f06383e72a
com.brienwheeler.lib	lib-test	1.06-RELEASE		d987d50c95b196273bfc50b31f32ba3e21de15cb
com.brienwheeler.lib	lib-test	1.07		9aabae6205189f040b2e247315233b402108adbd
com.brienwheeler.lib	lib-test	1.07-RELEASE		952e39080fc03945914dde1c81ed868e5a5db01e
com.brienwheeler.lib	lib-test	1.08		ae29d065c866b9a7de5fb2e668707b6396824d13
com.brienwheeler.lib	lib-test	1.09		a1f01217b79079d6928d4227f5db208972147b43
com.brienwheeler.lib	lib-test	1.10		481d3276399eb291ca820b1bccecdc5f19ff3e6b
com.brienwheeler.lib	lib-test	1.11		8830c4efdbba0fefa3ad6e5a0153e87f4a4067ab
com.clusterra	clusterra-iam-email	1.1.0.RELEASE		3d3fdf4686812e71ce42be5ab5fb7d33a043b2cf
com.clusterra	clusterra-iam-email	1.1.1.RELEASE		42642e5d08e46902b2bb9743ff209232a3a9a8cc
com.clusterra	clusterra-iam-email	1.2.1.RELEASE		cc153c5813c4dfcf1b2e53751f46b19816f4e718
com.coditory.sherlock	sherlock-mongo-rxjava	1.0.0		a6499da55ac2c6a22d420ee51f94799509606273
