app.softwork	kotlinx-serialization-flf-wasm-js	0.0.20		N/A
ca.bc.gov.open.cpf	cpf-archetype-web	5.0.0-RELEASE		4f36b5064ad9e4ec32e422b768a57d774abdd288
ca.bc.gov.open.cpf	cpf-archetype-web	5.0.1-RELEASE		32c553c5477241d17d6ed36f7907d5792872b545
ca.bc.gov.open.cpf	cpf-archetype-web	5.0.2-RELEASE		866b0e90d9e27481fe021aa45aa91a7e5a078b65
ca.bc.gov.open.cpf	cpf-archetype-web	5.0.3-RELEASE		f30d3d89b7cb64d2969648f0e9fb18b55150639a
ca.bc.gov.open.cpf	cpf-archetype-web	5.0.4-RELEASE		3613db180f1de96c78219bb8067680c753b47e49
ca.bc.gov.open.cpf	cpf-archetype-web	5.0.5-RELEASE		f7afc401309ce7ed4a4933e94607b61b223080f7
ca.bc.gov.open.cpf	cpf-archetype-web	5.0.6-RELEASE		7066267b44a28441e9176a9a817824a425c7e5d2
ca.bc.gov.open.cpf	cpf-archetype-web	5.1.0-RELEASE		34752af53761d75dbc8fb7ec29068e42d4cebd25
ca.bc.gov.open.cpf	cpf-archetype-web	5.1.1-RELEASE		a1803c10ec3ea5b4bed1db36fd5e96cc557657dd
cc.scrambledbytes.sse	sse-event-source-tvosx64	0.2.7		N/A
cc.scrambledbytes.sse	sse-event-source-tvosx64	0.2.7	metadata	baff10a65add7959e7b280c8d5e9bf65ebca3653
cc.scrambledbytes.sse	sse-event-source-tvosx64	0.2.8		N/A
cc.scrambledbytes.sse	sse-event-source-tvosx64	0.2.8	metadata	cdb162820dfe7dd68c9ec62433c0c69fbe2d27ba
cc.scrambledbytes.sse	sse-event-source-tvosx64	0.2.9		N/A
cc.scrambledbytes.sse	sse-event-source-tvosx64	0.2.9	metadata	8504bdd88fd0ead507d89896089dc8c1bf469a11
cc.scrambledbytes.sse	sse-event-source-tvosx64	0.3.1		N/A
cc.scrambledbytes.sse	sse-event-source-tvosx64	0.3.1	metadata	9fc63ea62c7fa8f2cc691fef87ab460a546f9719
ch.epfl.lamp	dotty-library_0.5	0.5.0-RC1		a39bfcaaa1e1ab2d4140151a1c609674b2709bb6
ch.epfl.lamp	dotty-library_0.5	0.5.0-bin-20171016-dd1882b-NIGHTLY		cde34bfde078efe7deb49ddca6e68e740d34adfd
ch.epfl.lamp	dotty-library_0.5	0.5.0-bin-20171017-0c7aa9d-NIGHTLY		df8b3112f92c57fe0fcbe69e29e6e882002e02aa
ch.epfl.lamp	dotty-library_0.5	0.5.0-bin-20171018-b7fbb39-NIGHTLY		9fac853f39c557532713e899b620672bd1a750db
ch.epfl.lamp	dotty-library_0.5	0.5.0-bin-20171019-174444d-NIGHTLY		c3572d0fddec29029fac824ac5682109cf24d172
ch.epfl.lamp	dotty-library_0.5	0.5.0-bin-20171020-4dc4bd6-NIGHTLY		4f717bc4948600d7c8229f02c956e11cfaaa6db8
ch.epfl.lamp	dotty-library_0.5	0.5.0-bin-20171022-0438e48-NIGHTLY		9fad2f7defddcc602fdd2f04a520b183923f3935
