at.mukprojects	exclycore	1.0.0		f586ff93d3b5469595afcb7f4ceea38e814db0c9
cloud.altemista.fwk.archetype	cloud-altemistafwk-core-integration-http-archetype	3.0.0.RELEASE		f4c1c1e6a14412d85c8e3e037cd145465dde7c83
cloud.altemista.fwk.archetype	cloud-altemistafwk-core-integration-http-archetype	3.0.1.RELEASE		e4258c32b654c11a97e4c9808ed91952e4fa2524
cloud.altemista.fwk.archetype	cloud-altemistafwk-core-integration-http-archetype	3.1.0.RELEASE		9a530756f7aeb3b19c3044f28097f3e0560f6695
cn.dreampie	minify-maven-plugin	1.0		61d877faaa7ec050c565db785c790287509ee2f4
cn.enilu	flash-generator	1.0		2471ab8c68bc26042337a5e5d0f7e1f27f537fa5
com.ardikars.pcap	pcap-spring-boot-starter-example	0.0.7		d088cde417666f2d9a6b025d993edc713431caa7
com.ardikars.pcap	pcap-spring-boot-starter-example	0.0.7	jar-with-dependencies	3a757a4ec6d5576e30c54e371cbbc6554d4b4eee
com.ardikars.pcap	pcap-spring-boot-starter-example	0.0.8		10704ff4122cdb52f092668fc2dc48e6e6437e61
com.ardikars.pcap	pcap-spring-boot-starter-example	0.0.8	jar-with-dependencies	049bb1f3aa7528efc9f0edac196b3bec5ab935ca
com.ardikars.pcap	pcap-spring-boot-starter-example	0.0.9		9309bda534ab039fb2e0067fb8b3160a34f35f47
com.buschmais.x2j.nocomment	nocomment-plugin	0.1		e3c7ab20617a4b8aecb37de3e33bc8dac7e1e43d
com.codacy	events-core_2.11	2.0.0-cleanup.76cd279_circe_0.8.0		ea49546487e0917b03a1b7193acddf558a4c8ce3
com.codacy	events-core_2.11	2.0.0-cleanup.76cd279_circe_0.9.1		1dde3b30f62f956523a742efddcdf0aaec37503c
com.codacy	events-core_2.11	2.0.1-cleanup.3643a54		4b805c1c984221ee203e39eff50d1ef109fe0938
com.codacy	events-core_2.11	2.0.1-cleanup.689d6fb		76cc48004d4ee819ac2dc12e0dd284a6c11c612a
com.codacy	events-core_2.11	2.0.1_circe_0.8.0		dc49a2bb841bf6627fe67cbeb416cb4989471f08
com.codacy	events-core_2.11	2.0.2_circe_0.8.0		251b30292ff36fb8fc79ec43a7e78d763b003858
com.codacy	events-core_2.11	2.0.2_circe_0.9.1		1a6ab5be9cebc151b3135d20e973a0f600fcb547
com.codacy	events-core_2.11	2.0.3_circe_0.8.0		d72dafecc73d554d423783d7cc07d659afcfbe45
com.codacy	events-core_2.11	2.0.3_circe_0.9.1		76f75bbc489c3bfd4faa027410e83714b976e9c0
com.codacy	events-core_2.11	2.0.4_circe_0.8.0		0e09cd960fb6b3753a7d1e735679d3a436b9f4fa
com.codacy	events-core_2.11	2.0.4_circe_0.9.1		c4cc8dab594be4b166b043ebb5a999daadd96137
com.codacy	events-core_2.11	2.0.5_circe_0.8.0		3017c0736a0374ee772825c863a50ac2cf763f24
com.codacy	events-core_2.11	2.0.5_circe_0.9.1		d853d94c4adfc8afd32439febfef1d608c872e2d
com.codacy	events-core_2.11	3.0.0_circe_0.8.0		0b3e6420737ab6213eaffb73180c9f9be513f679
com.codacy	events-core_2.11	3.0.0_circe_0.9.1		1b940177eb0e64861f12de77691da9d74159e7ec
com.codacy	events-core_2.11	3.1.0_circe_0.11.1		c12edd623dbfc1fc945f38dee24997f0a06b0650
com.codacy	events-core_2.11	3.1.0_circe_0.8.0		777a14ddfae4cd6e38859d62439535041fee8124
com.codacy	events-core_2.11	3.1.0_circe_0.9.1		beb4d12c1750f69e0e832a8805477f286a94ee11
com.codacy	events-core_2.11	3.1.1_circe_0.11.1		c18f353cf27d90089b43ebb16c9d4ece281eab9f
com.codacy	events-core_2.11	3.1.1_circe_0.8.0		0e3d36fdee3af71f4b84971ae677cf4dff19ca48
com.codacy	events-core_2.11	3.1.1_circe_0.9.1		f6612328b6f7b51e56a3026b50094e82c8118a1c
com.codacy	events-core_2.11	3.1.2_circe_0.11.1		0519f2428da41e9bf43250e0068fdfae3274f34a
com.codacy	events-core_2.11	3.1.2_circe_0.8.0		34d4b2f7a6679f4b371c40deec85af3c190509e5
com.codacy	events-core_2.11	3.1.2_circe_0.9.1		974d89acde39aa82bc4be5cf0dac51182d809127
com.codacy	events-core_2.11	3.10.0_circe_0.11.1		3366aad931f57c45dcc7646cc49e869b7eb30b10
com.codacy	events-core_2.11	3.10.0_circe_0.8.0		61db75d548aa911ad6c86191c15c9ec296210873
com.codacy	events-core_2.11	3.10.0_circe_0.9.1		57e40211e6633a82c44981a06fa87f82a6b59f67
com.codacy	events-core_2.11	3.10.1_circe_0.11.1		a34415c7f83b120b99d4b266596c12a2b4d40c65
com.codacy	events-core_2.11	3.10.1_circe_0.8.0		a5129bf307ac638cb48cd78defa95ac37681a62b
com.codacy	events-core_2.11	3.10.1_circe_0.9.1		9ca635b75b251333327d434052d0df64984dfe3a
com.codacy	events-core_2.11	3.11.0_circe_0.11.1		755fc87520c05ef7b043064eb5caa30cc09842c9
com.codacy	events-core_2.11	3.11.0_circe_0.8.0		90085d5d47ad130cacd2510d4473544b6ac91ad4
com.codacy	events-core_2.11	3.11.0_circe_0.9.1		9d44374797b695e227f771fd22b450e5b1d4d384
com.codacy	events-core_2.11	3.12.0_circe_0.11.1		4d2fef0fcdc292ace2e51d8ef4c2fcdd598b859f
com.codacy	events-core_2.11	3.12.0_circe_0.8.0		3dcae3da454ee08b3321528e5bb4f53e5f7ae377
com.codacy	events-core_2.11	3.12.0_circe_0.9.1		fd3979422eeeab7c9a0ef7524617c0ecf93aae23
com.codacy	events-core_2.11	3.13.0_circe_0.11.1		05977f6a003023cd5d415996222438fa740e75be
com.codacy	events-core_2.11	3.13.0_circe_0.8.0		b50a779d4186df9e50283a8f1776bfcca215bf13
com.codacy	events-core_2.11	3.13.0_circe_0.9.1		11f3f07638857ba123c7e52216f7163af5511d0b
com.codacy	events-core_2.11	3.14.0_circe_0.11.1		9194ddaaf149dde08ac3e253da7140e4a09f94bf
com.codacy	events-core_2.11	3.14.0_circe_0.8.0		acdad31531091f904f9c1f4e758f183339764095
com.codacy	events-core_2.11	3.14.0_circe_0.9.1		8bebabb46a700410fc9febb12cea064e4faae370
com.codacy	events-core_2.11	3.14.1_circe_0.11.1		f0de1fa351344f72f76d1364224bb8bb1d4a32ae
