at.released.wasm-sqlite-driver	sqlite-binary-api-js	0.7		N/A
au.com.dius	pact-specification-test_2.10	2.0-RC5		04b033af1804897360760e52b7d0be91725b73bf
au.com.dius	pact-specification-test_2.10	2.0.0		43d98841ed4249f43d1a7ca874e3e836c5a2e42d
au.com.dius	pact-specification-test_2.10	2.0.1		ce695d9c6f20ab726ed2d6273f94d49e97e3e4b4
au.com.dius	pact-specification-test_2.10	2.0.2		23463ee8abef11fd7b0570c06c117125a0a6c9e0
au.com.dius	pact-specification-test_2.10	2.0.3		eb31ae755fd1b1a827f1efa31788777e1062c1bc
au.com.dius	pact-specification-test_2.10	2.0.4		b3247888d844cae7179a6befb4d9baf049774fc0
au.com.dius	pact-specification-test_2.10	2.0.5		28ea3d2b73764ea2db740d37f3e943e849d000cd
au.com.dius	pact-specification-test_2.10	2.0.6		985ed3ee14fde7fd3668fb20a77726b504b3d7a0
au.com.dius	pact-specification-test_2.10	2.0.7		bb4a5309d3c6b641374af010b428e285a00df10c
au.com.dius	pact-specification-test_2.10	2.0.8		0c61921c971c11a8c35695ade1b7fe53ec5dddc7
au.com.dius	pact-specification-test_2.10	2.0.9		889bc7162a838854a62f7687999e5b7d8710517a
au.com.dius	pact-specification-test_2.10	2.1.0		5aa8c9fccaf38c787bbefd74f5d9fab6c7623ac9
au.com.dius	pact-specification-test_2.10	2.1.1		66f18eb20a1cb7a5b0900b3a6cbe6b5f7d9c621f
au.com.dius	pact-specification-test_2.10	2.1.10		945ea845334b83b3af4a92774e1ac39d0d12625d
au.com.dius	pact-specification-test_2.10	2.1.11		8f4cd21ca40240d2620ea02ad87c0de640c6aa06
au.com.dius	pact-specification-test_2.10	2.1.12		bd49fc683fbc6daee7c5a3fc96eebd48763dd0ea
au.com.dius	pact-specification-test_2.10	2.1.13		34ca361749f4a59c9cf60db2d42581d19001061a
au.com.dius	pact-specification-test_2.10	2.1.2		c5cb7df2dfb009170070eb557779d79389137b15
au.com.dius	pact-specification-test_2.10	2.1.3		80845b4113a17870204bedb8e59862a16134ae20
au.com.dius	pact-specification-test_2.10	2.1.4		b5b1e9efb4144e1f6ceddd58aa368f50182d19f4
au.com.dius	pact-specification-test_2.10	2.1.5		f42181be0a77ce42d8186c5a0d611a977c92df3f
au.com.dius	pact-specification-test_2.10	2.1.6		1f10c5706119587e66711163e940585921712353
au.com.dius	pact-specification-test_2.10	2.1.7		fbc88b2ba9dc775eda130b84049045038998764e
au.com.dius	pact-specification-test_2.10	2.1.8		892413b81567d5d895c174fb7148386e3b7a28fa
au.com.dius	pact-specification-test_2.10	2.1.9		e125282234b0c9ef36c78ec6acea920a9e25ccca
au.com.dius	pact-specification-test_2.10	2.2.0		8290eb2ecd92cbc417e70b0ce8cb6386d97ee2a1
au.com.dius	pact-specification-test_2.10	2.2.1		b01b7cfacdb900ec42f27cd42cbd8412f9edd0ea
au.com.dius	pact-specification-test_2.10	2.2.10		6c40c1d9c910ee5273d166bb2cd7f4cb96b7be64
au.com.dius	pact-specification-test_2.10	2.2.11		513c9165e6812e600372ae63d444e9da14e23752
au.com.dius	pact-specification-test_2.10	2.2.12		86c485422affdf4a1cc10d3301f202825fe4a5f5
au.com.dius	pact-specification-test_2.10	2.2.13		15bbcda88c0d8e691f91533438d63f72cd71af03
au.com.dius	pact-specification-test_2.10	2.2.14		5c075f57581c8e95e1e2c838f154f07294f124ad
au.com.dius	pact-specification-test_2.10	2.2.15		0b0e4ca23e6efc8c6e77cd4e42ec1c5c97544ce8
au.com.dius	pact-specification-test_2.10	2.2.2		d7157dee277d856916a65d5b60c48a7515b90b3c
au.com.dius	pact-specification-test_2.10	2.2.3		46b6e1e4a9e7fb53a3342d241863542f537317a7
au.com.dius	pact-specification-test_2.10	2.2.4		41936b6491215cc815e617d639f2b4fdc07016ac
au.com.dius	pact-specification-test_2.10	2.2.5		ec28d2d4b606deb0c9e8c6759f3e3d2f778217f4
au.com.dius	pact-specification-test_2.10	2.2.6		68f9bee40f61fe1e07fc4b528bb2064509ee1172
au.com.dius	pact-specification-test_2.10	2.2.7		d5546b57826c348c4a771a4f1b85e9dba577da16
au.com.dius	pact-specification-test_2.10	2.2.8		4f38ff88c804127cb98f9d9cf378d2b4ddc8d705
au.com.dius	pact-specification-test_2.10	2.2.9		ab9022a71d61e2c82ab2c5aab0699cd80890999b
au.com.dius	pact-specification-test_2.10	2.3.0		a7fbb248662e94643b2e289a96872a26b2680755
au.com.dius	pact-specification-test_2.10	2.3.1		38c3fc73bb39c0d1836ed8118b7884e5da66326a
au.com.dius	pact-specification-test_2.10	2.3.2		3595e9f72a762b835e186b2ccd23efba175239a1
au.com.dius	pact-specification-test_2.10	2.3.3		c9adb2adfda2e5a19292e2e9ea8368f1b37cd17c
au.com.dius	pact-specification-test_2.10	2.4.0		5d2ee8867dcf971c60ce3190172938f1f1e256f8
au.com.dius	pact-specification-test_2.10	2.4.1		9b19574bfd4508a494c977a8a7e5d7ec2b174e41
au.com.dius	pact-specification-test_2.10	2.4.10		7b4210d431990e4d318c4b02598a445d66836994
au.com.dius	pact-specification-test_2.10	2.4.11		7275230dfb02de7723f1f1b86e403803a3db7146
au.com.dius	pact-specification-test_2.10	2.4.12		8425a029c2f33d7a659e03aaf139368c20ea6920
au.com.dius	pact-specification-test_2.10	2.4.13		6337b6dde31825e0170da3065069f2148b334a57
au.com.dius	pact-specification-test_2.10	2.4.14		f70d4cff6bae01305df873f7126c60477f6d9e87
au.com.dius	pact-specification-test_2.10	2.4.15		cd6049a47225ce6bd6c7511a2e1d29d908a17b98
au.com.dius	pact-specification-test_2.10	2.4.16		532a170abe2bc978e88adc7691dbed51bcc9fbb8
au.com.dius	pact-specification-test_2.10	2.4.17		c829dfa37a39dc42c8910cd1ecd4327a474c4977
au.com.dius	pact-specification-test_2.10	2.4.18		5fb6f0a522e09f0da8f8f872aecee0b8a897bdfd
au.com.dius	pact-specification-test_2.10	2.4.19		4667fa4934588900126694b2a999fa4a7430ad03
au.com.dius	pact-specification-test_2.10	2.4.2		97558dba42c4773148e52a6b31d7d44f6cf69511
au.com.dius	pact-specification-test_2.10	2.4.20		a7d97063f5e8427559b22592949b4dd142f0de17
au.com.dius	pact-specification-test_2.10	2.4.3		a86de8178817874ad9f02391e36d055e9558a28a
au.com.dius	pact-specification-test_2.10	2.4.4		60f585d6cb69b4d8a56cae2c27fbfa86bf03625b
au.com.dius	pact-specification-test_2.10	2.4.5		b9ad89b2bdb000cfc2c1b6c352841ddb97db372a
au.com.dius	pact-specification-test_2.10	2.4.6		d47990229ff107a5fa19cb5e4506e885705685ae
au.com.dius	pact-specification-test_2.10	2.4.7		27c8b714b5d6b0520b7c05359f5e231023d99efe
au.com.dius	pact-specification-test_2.10	2.4.8		44fc7055be2b343f5f943e921a6336821235a933
au.com.dius	pact-specification-test_2.10	2.4.9		0a35d4d2e0d3cebae5a72c30df237e2ab0115bf3
com.aliyun	aliyun-java-sdk-dyiotapi	2.0.0		3c68f69c9b48de880d00ef959e8578bf727d105d
com.aliyun	aliyun-java-sdk-dyiotapi	2.0.1		f30c534aa0e90b5013b477ac7f37f47ffcf1af65
com.aliyun	aliyun-java-sdk-dyiotapi	2.1.0		568004f72988e3986847ca7249f8950200617b22
com.aliyun	aliyun-java-sdk-dyiotapi	2.1.1		2e6a96415c513b115f29b5e5777853d70290ab22
com.anaptecs.jeaf.tools	jeaf-performance-tools-api	1.8.0		4ebf097544ed6189046d5d5ea958d0fd88225503
com.blazebit	blaze-persistence-showcase-cte	1.2.0-Alpha3		bf5dbcf1bcb992414b77ce8f9e4c154381ce6128
com.blazebit	blaze-persistence-showcase-cte	1.2.0-Alpha4		15813ad35cee651dea130255f57ca1cc032d4700
com.cognitect.aws	managedblockchain	718.2.457.0		e55cf5df0ba0395c34f8715b0b620b9c80f004b0
com.cognitect.aws	managedblockchain	747.2.533.0		c8c1303cb531a3c92accb350931ceb6377b0581e
com.cognitect.aws	managedblockchain	770.2.568.0		e5b5d28a6f64181ec93417ea20ba253661edfcd8
com.cognitect.aws	managedblockchain	795.2.646.0		2ab09be5d4ad7578a4e1f3ff93c71eb5207f4d06
com.cognitect.aws	managedblockchain	809.2.784.0		9252d145f79a04674ce444898e771851c2774f56
com.cognitect.aws	managedblockchain	810.2.817.0		bdf754ad6b3ba65c0839e5696ca1b720374f1efd
com.cognitect.aws	managedblockchain	811.2.834.0		a14e81b4a4b298b997ce3ac465563643acc5e59c
com.cognitect.aws	managedblockchain	811.2.858.0		29c20c02122eb9de915b69165493983988790197
com.cognitect.aws	managedblockchain	811.2.934.0		fb90a7d34481485cf1bb0e57056f68d3acfd8869
com.cognitect.aws	managedblockchain	821.2.1107.0		61fd230b10c1d8a7e0175bf2e98e552d666d4540
com.cognitect.aws	managedblockchain	825.2.1250.0		bda9726007c5eced06104d98422ae1902b830c08
com.cognitect.aws	managedblockchain	825.2.1262.0		8309fa6a5cef4181b708a617f565c5f4aebe5a8a
com.cognitect.aws	managedblockchain	845.2.1345.0		d985633c81f6ada24731ac6c09cf441b116153ac
