app.mustats.apolostudio	color-picker-compose-jvm	0.0.0		eae5fc71e6d63b59a9fb9feea8b1a5cd926286d4
app.tulz	tuplez-tuple_2.13	0.3.0		f08fe2326ce59cfb85639616ab69e8fd077ede0a
at.asitplus	kmmresult-test-linuxx64	1.8.0		N/A
at.asitplus	kmmresult-test-linuxx64	1.9.0		N/A
at.asitplus	kmmresult-test-linuxx64	1.9.1		N/A
at.asitplus	kmmresult-test-mingwx64	1.8.0		N/A
at.asitplus	kmmresult-test-mingwx64	1.9.0		N/A
at.asitplus	kmmresult-test-mingwx64	1.9.1		N/A
cn.wangcaitao	wangcaitao-global-exception-handler	1.0.0		f3cd3ab94b841f9f6a907f13723c149a198ee674
cn.wangcaitao	wangcaitao-global-exception-handler	1.0.1		f5d518c94a16751171cb514587fb20a292fcba5a
com.alexstyl	contactstore	0.1.0		N/A
com.alexstyl	contactstore	0.1.1		N/A
com.alexstyl	contactstore	0.1.2		N/A
com.alexstyl	contactstore	0.10.0		N/A
com.alexstyl	contactstore	0.11.0		N/A
com.alexstyl	contactstore	0.11.1		N/A
com.alexstyl	contactstore	0.12.0		N/A
com.alexstyl	contactstore	0.13.0		N/A
com.alexstyl	contactstore	0.14.0		N/A
com.alexstyl	contactstore	0.14.1		N/A
com.alexstyl	contactstore	0.2.0		N/A
com.alexstyl	contactstore	0.3.0		N/A
com.alexstyl	contactstore	0.3.1		N/A
com.alexstyl	contactstore	0.3.3		N/A
com.alexstyl	contactstore	0.4.0		N/A
com.alexstyl	contactstore	0.5.0		N/A
com.alexstyl	contactstore	0.6.0		N/A
com.alexstyl	contactstore	0.7.0		N/A
com.alexstyl	contactstore	0.7.1		N/A
com.alexstyl	contactstore	0.8.0		N/A
com.alexstyl	contactstore	0.9.0		N/A
com.alexstyl	contactstore	1.0.0		N/A
com.alexstyl	contactstore	1.2.0		N/A
com.alexstyl	contactstore	1.2.1		N/A
com.alexstyl	contactstore	1.2.2		N/A
com.alexstyl	contactstore	1.3.0		N/A
com.alexstyl	contactstore	1.4.0		N/A
com.alexstyl	contactstore	1.5.0		N/A
com.alexstyl	contactstore	1.7.0		N/A
com.apollographql.apollo	apollo-normalized-cache-sqlite-ios-x64	2.0.2		N/A
com.apollographql.apollo	apollo-normalized-cache-sqlite-ios-x64	2.1.0		N/A
com.apollographql.apollo	apollo-normalized-cache-sqlite-ios-x64	2.2.0		N/A
com.apollographql.apollo	apollo-normalized-cache-sqlite-ios-x64	2.2.1		N/A
com.apollographql.apollo	apollo-normalized-cache-sqlite-ios-x64	2.2.2		N/A
com.apollographql.apollo	apollo-normalized-cache-sqlite-ios-x64	2.2.3		N/A
com.apollographql.apollo	apollo-normalized-cache-sqlite-ios-x64	2.3.0		N/A
com.apollographql.apollo	apollo-normalized-cache-sqlite-ios-x64	2.3.1		N/A
com.apollographql.apollo	apollo-normalized-cache-sqlite-ios-x64	2.4.0		N/A
com.apollographql.apollo	apollo-normalized-cache-sqlite-ios-x64	2.4.1		N/A
com.apollographql.apollo	apollo-normalized-cache-sqlite-ios-x64	2.4.2		N/A
com.apollographql.apollo	apollo-normalized-cache-sqlite-ios-x64	2.4.3		N/A
com.apollographql.apollo	apollo-normalized-cache-sqlite-ios-x64	2.4.4		N/A
com.apollographql.apollo	apollo-normalized-cache-sqlite-ios-x64	2.4.5		N/A
com.apollographql.apollo	apollo-normalized-cache-sqlite-ios-x64	2.4.6		N/A
com.apollographql.apollo	apollo-normalized-cache-sqlite-ios-x64	2.5.10		N/A
com.apollographql.apollo	apollo-normalized-cache-sqlite-ios-x64	2.5.11		N/A
com.apollographql.apollo	apollo-normalized-cache-sqlite-ios-x64	2.5.12		N/A
com.apollographql.apollo	apollo-normalized-cache-sqlite-ios-x64	2.5.13		N/A
com.apollographql.apollo	apollo-normalized-cache-sqlite-ios-x64	2.5.14		N/A
com.apollographql.apollo	apollo-normalized-cache-sqlite-ios-x64	2.5.2		N/A
com.apollographql.apollo	apollo-normalized-cache-sqlite-ios-x64	2.5.3		N/A
com.apollographql.apollo	apollo-normalized-cache-sqlite-ios-x64	2.5.4		N/A
com.apollographql.apollo	apollo-normalized-cache-sqlite-ios-x64	2.5.5		N/A
com.apollographql.apollo	apollo-normalized-cache-sqlite-ios-x64	2.5.6		N/A
com.apollographql.apollo	apollo-normalized-cache-sqlite-ios-x64	2.5.7		N/A
com.apollographql.apollo	apollo-normalized-cache-sqlite-ios-x64	2.5.8		N/A
com.apollographql.apollo	apollo-normalized-cache-sqlite-ios-x64	2.5.9		N/A
com.cjoop	platform-parent	0.0.1.RELEASE		N/A
com.disneystreaming.smithy	aws-dax-spec	2023.02.09		db20ec4f38bfc8a35b36a89e3c98235bf5f617fe
com.disneystreaming.smithy	aws-dax-spec	2023.02.10		e88a05ac89bf4609b76acc23239961c8ec03c60c
com.disneystreaming.smithy	aws-dax-spec	2023.09.22		83e42d3296fb5ab823497324827c5b8066c8c3c4
com.disneystreaming.smithy	aws-dax-spec	2023.14.24		7c742f853d1675ca7cc4c4aa117db8ece93ec84a
com.disneystreaming.smithy	aws-dax-spec	2023.22.04		f65a67651c5ade4ff8e715031895f19b4d27f54a
com.disneystreaming.smithy	aws-dax-spec	2023.22.13		a3c259b9bb69bdcff4e97a2de62e20b00a65c447
com.disneystreaming.smithy	aws-dax-spec	2023.23.06		b3e27ff9feaa1dba6ff0b6d4edc8a69bab333b6e
com.disneystreaming.smithy	aws-dax-spec	2023.23.30		8687f86ba1899e047e8f7837784f83a052e68730
com.disneystreaming.smithy	aws-dax-spec	2025.03.31		557dcb30e0d5d9f16d0e5ec33328bb8a4b71404e
com.disneystreaming.smithy	aws-dax-spec	2025.04.08		919efd953d8fa825440c70b7976c8ce4d31f2e57
com.graphicmud	mudansi	0.0.1		15dd38247c1f9794bfddfb49465e4720545c85c0
com.graphicmud	mudansi	0.0.2		4ac54b0cc16084ff72aa1699bc90f03e407301a2
com.graphicmud	mudansi	0.1.0		e7820d07942329f30e8210b13b2ab679c35267f5
com.marciocadev	mca-projen-jsii-example	0.0.0		e56618eb096a81f68d9b0d6682d08613f78eba2b
com.marciocadev	mca-projen-jsii-example	0.0.1		dea388b8b2135d7207fff929dcd77a041bc7e0b3
com.marciocadev	mca-projen-jsii-example	0.0.2		2a441a4489fbf42b735f69a0a16e2a69b68f7eff
com.marciocadev	mca-projen-jsii-example	0.0.3		e0e511fe2b35a103b777422524f6030b0b1228a7
com.marciocadev	mca-projen-jsii-example	1.0.0		20666fd189308b75535681e2b9549a62cf722116
com.marciocadev	mca-projen-jsii-example	1.1.0		e38796e482d6e38ec6a6124eafc5d21a1a3ff3e8
com.marciocadev	mca-projen-jsii-example	1.1.1		f627675bcdacd992d5552508f59194b80eeb84b8
com.marciocadev	mca-projen-jsii-example	1.1.2		41c4b641c63d8c3137acc7a502df3668e0ac8021
com.marciocadev	mca-projen-jsii-example	1.1.3		34337131e74b33200b5dc25ed94725929f24aa11
com.marciocadev	mca-projen-jsii-example	1.1.4		68bce46236ee1ba152318ba8e710bdf4abc1337d
com.marciocadev	mca-projen-jsii-example	1.1.5		5e1bf9e2313d80e7da82118d5a668dfae087ef4e
com.marciocadev	mca-projen-jsii-example	1.1.6		e50542972665cd8ac7ebec26435fc7df73632403
com.marciocadev	mca-projen-jsii-example	1.1.7		0d0772ae6d7f0d801d6c046859b27afec8b26366
com.marciocadev	mca-projen-jsii-example	1.10.0		f88afd8c1bf09ce363ccd25d772f240b4f08c7ca
com.marciocadev	mca-projen-jsii-example	1.10.1		f27af49ab6fad407359c5c8d19b33979d5a9aee3
com.marciocadev	mca-projen-jsii-example	1.2.0		64731322b7a218dff6c019a854c8748c4f62a33e
com.marciocadev	mca-projen-jsii-example	1.3.0		2c7219c268a48adc592a294f44da84f3679fd59c
com.marciocadev	mca-projen-jsii-example	1.3.1		6dbb2f66bd975c0b8babe1a2364b156d445c5ecf
