black.door	jose-2.13.0_2.13	0.3.0-M1		96d7ec582e952522f19c902d665f3ac2df87c26f
com.assertthat.plugins	assertthat-bdd-maven-plugin	1.1		3f1305f15990ccd3774f7a52b1aa041fd11e97c0
com.assertthat.plugins	assertthat-bdd-maven-plugin	1.2		1b7d3da9483f26579228f2e74641c7ca8586d418
com.assertthat.plugins	assertthat-bdd-maven-plugin	1.3		fc184a4b8324a467b42c6da281e6d4bd814eb9a6
com.assertthat.plugins	assertthat-bdd-maven-plugin	1.4		93b39bbc2e247f3317b5ade62f10700fa9c2162e
com.assertthat.plugins	assertthat-bdd-maven-plugin	1.5		e1b10a24f323120d65937b76307fcee89b60ef73
com.assertthat.plugins	assertthat-bdd-maven-plugin	1.6		c137da732c7758a4e4ec019429acd2ce1dd56c5d
com.assertthat.plugins	assertthat-bdd-maven-plugin	1.6.1		a7ac902e26b35b1632135a0cc148f2e297900266
com.assertthat.plugins	assertthat-bdd-maven-plugin	1.6.2		a5395b4b41c1299981b43bc718570ee0bc861348
com.assertthat.plugins	assertthat-bdd-maven-plugin	1.6.3		2ecc7ab20743c79f1f7e094df5c8416e66e235a9
com.assertthat.plugins	assertthat-bdd-maven-plugin	1.6.4		b64da400e355c50eb4514e10dbca39eff668b3ba
com.assertthat.plugins	assertthat-bdd-maven-plugin	1.6.5		d512913b6d34cc9aa746467b9e9a6b3b341e0958
com.assertthat.plugins	assertthat-bdd-maven-plugin	1.6.6-WF		bdfed23280521be9e1a685532b17bd2bd04924bc
com.assertthat.plugins	assertthat-bdd-maven-plugin	1.6.7-WF		97534d07ef73aaa52726ec6efffc235f123825eb
com.assertthat.plugins	assertthat-bdd-maven-plugin	1.6.8-WF		a03a234964b7ca5e698e280ddb5cf02c5bc417c4
com.assertthat.plugins	assertthat-bdd-maven-plugin	1.6.9		7dd5c52c20eb6cdcc0fbd2a4d2952783dc1cd573
com.assertthat.plugins	assertthat-bdd-maven-plugin	1.6.9-WF		f4c04fd8d71984bb9c996eee65400f2d2e59a6b7
com.assertthat.plugins	assertthat-bdd-maven-plugin	1.7.0		166bc21039ac979d93bfb33f8971aad748ed3d0c
com.assertthat.plugins	assertthat-bdd-maven-plugin	1.7.1		4e295da6ccdf3785f7a916f6d66ad24f4431565b
com.assertthat.plugins	assertthat-bdd-maven-plugin	1.7.2		4b47de693548fbc407079c4a151857cfb8ded852
com.assertthat.plugins	assertthat-bdd-maven-plugin	1.7.3		9a83d539dad9cd577276dda7d777d7315786982b
