activemq	activemq-ws-xmltypes	dev-1		1b6b211eef360d8de1811019481c939112f1a959
au.net.causal.shoelaces	shoelaces-jdbc-integration-tests-app-hsql	2.0		N/A
com.affise	module-advertising	1.5.4		N/A
com.affise	module-advertising	1.5.5		N/A
com.affise	module-advertising	1.5.6		N/A
com.affise	module-advertising	1.5.7		N/A
com.affise	module-advertising	1.5.8		N/A
com.affise	module-advertising	1.5.9		N/A
com.affise	module-advertising	1.6.0		N/A
com.affise	module-advertising	1.6.1		N/A
com.affise	module-advertising	1.6.10		N/A
com.affise	module-advertising	1.6.11		N/A
com.affise	module-advertising	1.6.12		N/A
com.affise	module-advertising	1.6.13		N/A
com.affise	module-advertising	1.6.14		N/A
com.affise	module-advertising	1.6.15		N/A
com.affise	module-advertising	1.6.16		N/A
com.affise	module-advertising	1.6.17		N/A
com.affise	module-advertising	1.6.18		N/A
com.affise	module-advertising	1.6.19		N/A
com.affise	module-advertising	1.6.2		N/A
com.affise	module-advertising	1.6.20		N/A
com.affise	module-advertising	1.6.21		N/A
com.affise	module-advertising	1.6.22		N/A
com.affise	module-advertising	1.6.23		N/A
com.affise	module-advertising	1.6.24		N/A
com.affise	module-advertising	1.6.25		N/A
com.affise	module-advertising	1.6.26		N/A
com.affise	module-advertising	1.6.27		N/A
com.affise	module-advertising	1.6.28		N/A
com.affise	module-advertising	1.6.29		N/A
com.affise	module-advertising	1.6.3		N/A
com.affise	module-advertising	1.6.30		N/A
com.affise	module-advertising	1.6.31		N/A
com.affise	module-advertising	1.6.32		N/A
com.affise	module-advertising	1.6.33		N/A
com.affise	module-advertising	1.6.34		N/A
com.affise	module-advertising	1.6.35		N/A
com.affise	module-advertising	1.6.36		N/A
com.affise	module-advertising	1.6.37		N/A
com.affise	module-advertising	1.6.38		N/A
com.affise	module-advertising	1.6.39		N/A
com.affise	module-advertising	1.6.4		N/A
com.affise	module-advertising	1.6.40		N/A
com.affise	module-advertising	1.6.41		N/A
com.affise	module-advertising	1.6.42		N/A
com.affise	module-advertising	1.6.43		N/A
com.affise	module-advertising	1.6.44		N/A
com.affise	module-advertising	1.6.45		N/A
com.affise	module-advertising	1.6.46		N/A
com.affise	module-advertising	1.6.47		N/A
com.affise	module-advertising	1.6.48		N/A
com.affise	module-advertising	1.6.49		N/A
com.affise	module-advertising	1.6.5		N/A
com.affise	module-advertising	1.6.50		N/A
com.affise	module-advertising	1.6.51		N/A
com.affise	module-advertising	1.6.52		N/A
com.affise	module-advertising	1.6.53		N/A
com.affise	module-advertising	1.6.54		N/A
com.affise	module-advertising	1.6.55		N/A
com.affise	module-advertising	1.6.56		N/A
com.affise	module-advertising	1.6.57		N/A
com.affise	module-advertising	1.6.6		N/A
com.affise	module-advertising	1.6.7		N/A
com.affise	module-advertising	1.6.8		N/A
com.affise	module-advertising	1.6.9		N/A
com.agentsflex	agents-flex-llm-vllm	1.0.0		3d9135e7a8209c4fe0ef47a33b687532a2597e4d
com.agentsflex	agents-flex-llm-vllm	1.0.0-rc.10		01832d103fd15d073e3f2a18483da6dec6f707c3
com.agentsflex	agents-flex-llm-vllm	1.0.0-rc.7		e909ad477b09e530ad96d978a29748d04a3cfeda
com.agentsflex	agents-flex-llm-vllm	1.0.0-rc.8		1414a5fdda23d20d1792f4ecf55569bb0e3b3919
com.agentsflex	agents-flex-llm-vllm	1.0.0-rc.9		095b360f427510f999b1285eba76b8a76a763ee2
com.agentsflex	agents-flex-llm-vllm	1.0.1		3c961b3dd42423b69f789bc17f761094ec68cd31
com.agentsflex	agents-flex-llm-vllm	1.0.2		7da2a7fd2a4d6b84e04f5312db2e5332698925d9
com.agentsflex	agents-flex-llm-vllm	1.0.3		414109a6f4ba07dbd2763c38f27b0d9900b89d4e
com.agentsflex	agents-flex-llm-vllm	1.0.4		6824e05e7ed1b891036925a9d3b8f6075b0fcb8b
com.agentsflex	agents-flex-llm-vllm	1.0.5		4ab03478ba6612c30e0c08c9084fa53cbb650783
com.bazaarvoice.ostrich.zookeeper	ostrich-zookeeper-discovery	1.10.1		1a42384fbf7e65fc639d388dc4062300d6fe8f3a
com.bazaarvoice.ostrich.zookeeper	ostrich-zookeeper-discovery	1.10.2		362a853e0aa10a654d4a7f35b8f29b08867f6f1c
com.bazaarvoice.ostrich.zookeeper	ostrich-zookeeper-discovery	1.5.0		ce3efb22c02fc3f1ceeaac1e625c67a1f046868a
com.bazaarvoice.ostrich.zookeeper	ostrich-zookeeper-discovery	1.5.1		9163074773837403b7f5924f4d4deb68a3abcb85
com.bazaarvoice.ostrich.zookeeper	ostrich-zookeeper-discovery	1.5.2		7a5cffbf6a27941ad033389b006b684f9957d000
com.bazaarvoice.ostrich.zookeeper	ostrich-zookeeper-discovery	1.5.3		9c3fe99cf3e63debcecf2f3af38aee82dbecd5fe
com.bazaarvoice.ostrich.zookeeper	ostrich-zookeeper-discovery	1.5.4		dd4a944ced415aedab67f40a66dfe20bd74be45f
com.bazaarvoice.ostrich.zookeeper	ostrich-zookeeper-discovery	1.5.5		2df454cc10b1463e278598766fdaa9b17ee0caf0
com.bazaarvoice.ostrich.zookeeper	ostrich-zookeeper-discovery	1.6.0		ff486ba4ef621c97b3444385d67ea176b18f0299
com.bazaarvoice.ostrich.zookeeper	ostrich-zookeeper-discovery	1.7.0		6bc5b84bcdc939fe8b99259bb7c2431a6bd9b4d8
com.bazaarvoice.ostrich.zookeeper	ostrich-zookeeper-discovery	1.7.1		487a5a2280e3d89a5f6647c3a2354d22cd76292d
com.bazaarvoice.ostrich.zookeeper	ostrich-zookeeper-discovery	1.7.2		748eb9f6f9e191df7bd76eea2ccebec72ba8b2b4
com.bazaarvoice.ostrich.zookeeper	ostrich-zookeeper-discovery	1.7.4		008e2629960ac5a0ea9ce8818cd81702408035ce
com.bazaarvoice.ostrich.zookeeper	ostrich-zookeeper-discovery	1.7.5		6205c74f70fd57ff94a61ca3e8ec49ff80f5796d
com.bazaarvoice.ostrich.zookeeper	ostrich-zookeeper-discovery	1.8.0		82b8b51eb7786930f10069c12a29b76427ea3fba
com.bazaarvoice.ostrich.zookeeper	ostrich-zookeeper-discovery	1.8.1		d55ff9e02471414431c0fa3ffd64b8d72f352a73
com.bazaarvoice.ostrich.zookeeper	ostrich-zookeeper-discovery	1.9.0		8f7f719599f841acb866582ad0685ef7599b5281
com.bazaarvoice.ostrich.zookeeper	ostrich-zookeeper-discovery	1.9.2		96c2d247f96d0b57c1e5ad18b376182932889c85
com.bazaarvoice.ostrich.zookeeper	ostrich-zookeeper-discovery	1.9.3		1c7f4565bc3357ec1d2001ec7a853892aed68120
com.bazaarvoice.ostrich.zookeeper	ostrich-zookeeper-discovery	1.9.4		fe630124b42129ce2afb01d7ade8c6db8d43d4e4
com.bazaarvoice.ostrich.zookeeper	ostrich-zookeeper-discovery	1.9.5		648017b63d2026fb6ffdcce59fa3d865a4553d7e
com.bazaarvoice.ostrich.zookeeper	ostrich-zookeeper-discovery	2.0.0		b20253b6a5f6c243c3185480cc814940647b0d29
com.bazaarvoice.ostrich.zookeeper	ostrich-zookeeper-discovery	2.0.1		d7997fd769569a685b146bba6bad23e1a9605a72
com.bazaarvoice.ostrich.zookeeper	ostrich-zookeeper-discovery	2.0.2		8eb77f13f69b35ff3f2523de1694ff3615709b8c
com.bazaarvoice.ostrich.zookeeper	ostrich-zookeeper-discovery	2.1.0		e6eb9b8be94dade6a0a30effe81c834a54a78e27
com.commercetools.rmf	python	0.1.10		fbcdf273895a025c5a497fd1d472f01d6aa72901
com.commercetools.rmf	python	0.1.11		488176c97a953677cb72e8845bf0a75933f87564
com.commercetools.rmf	python	0.1.12		56cebe1b31b797f05c0de3098f4d33f5b299ea95
com.commercetools.rmf	python	0.1.13		f47e0297c1f7c5e7b20f1e78545412cf22970b02
com.commercetools.rmf	python	0.1.14		3afe04c0d7c33663c673250443a0dacad8dce46d
com.commercetools.rmf	python	0.1.15		6c01659d5652f25e3313aaa2ce85ca30e8bc2f52
com.commercetools.rmf	python	0.1.16		cab33227c21d5d791184ee3d5c4ce9b5e8ed6b18
com.commercetools.rmf	python	0.1.17		21fcffc673f0687c3804af2ef0c4b957c844d8ad
com.commercetools.rmf	python	0.1.18		e8b11db9108926f3e32d4304ab47dc698b85d84b
com.commercetools.rmf	python	0.1.19		6799b74fedc846b6a101e5ea243d860f5cecb83a
com.commercetools.rmf	python	0.1.2		e70c9026a891567d9a31ad3e1e79d730d6032712
com.commercetools.rmf	python	0.1.20		ce60e628bc06ff123abf9b530b96bbbc8f228765
com.commercetools.rmf	python	0.1.21		b34b8ccab548afa9b50029d3d11f18b540391fad
com.commercetools.rmf	python	0.1.22		89ba05124bb8235f02ee6c401cd7d7b2110b48b6
com.commercetools.rmf	python	0.1.23		1807ba79af83dd0d31d21ebb875898b32f197e3a
com.commercetools.rmf	python	0.1.24		f6017d904053a251107b0fef0fefbd48b5414949
com.commercetools.rmf	python	0.1.25		200376f9aa5b412657112d468965540658d14031
