ai.wanaku	wanaku-tool-service-exec	0.0.4		b52f75d71d204030e611e43d13e489915e86f60e
br.com.objectos.way	parent	0.2.0		N/A
br.com.objectos.way	parent	0.2.1		N/A
br.com.objectos.way	parent	0.2.2		N/A
br.com.objectos.way	parent	0.3.0		N/A
br.com.objectos.way	parent	0.3.1		N/A
br.com.objectos.way	parent	0.4.0		N/A
br.com.objectos.way	parent	0.4.1		N/A
br.com.objectos.way	parent	0.5.0		N/A
br.com.objectos.way	parent	0.6.0		N/A
com.addhen	voto-sync	0.1.0		7c9b8d69a480a11416c1f6b55dfed58805bdce2c
com.addhen	voto-sync	0.2.0		7566d05074adaedbbd923f76ff9a675af040a877
com.addhen	voto-sync	0.3.0		6fc5a3ae9487afd14cb4f8708021ff6d8d767234
com.avito.android	module-dependencies	2021.41		e9269b783889e410e38e64605416b4d83e037c7b
com.avito.android	module-dependencies	2021.42		c70d0d1597a0fdb6d384e0cf45c5f139a92ebc52
com.avito.android	module-dependencies	2022.1		2a48ba799b9add5d51dea9f53baff75527635dda
com.avito.android	module-dependencies	2022.12		ac3c17ad0f7d5fb7f30864c7f82d7128af84bf81
com.avito.android	module-dependencies	2022.14		d3493991bb2df0fca5a4f7a66a868de787ff5172
com.avito.android	module-dependencies	2023.15		10969ec7d68e294d8eaf3343994dd38cc70204ea
com.avito.android	module-dependencies	2023.19		39ec1ffaa6261d1c53e848a15e4caac155bd0698
com.avito.android	module-dependencies	2023.2		a40776ffdbd80fe062d73caabdb3c7de65e9a77e
com.avito.android	module-dependencies	2023.20		9a34d5bb744e3a214021e7879c855a6b1f41178b
com.avito.android	module-dependencies	2023.22		ef8ecd4d09060c72c1e6d770c22ef92df2846552
com.avito.android	module-dependencies	2024.32		2e6cbcf77d38e81c034536efa346fa0297c8d6ae
com.cedarsoft.commons	inject	1.5.0		5c2e8e0e2e113282131801179e47aebfb7ff322c
com.cedarsoft.commons	inject	1.5.1		fe318f689871e28d28cda2c308ccce6f5340080f
com.cedarsoft.commons	inject	1.6.1		ec8572f00ca14939e7c5bfbd092c347a5c39fcaf
