cn.p00q.dblogin	client	1.0		967f73a69779c97fd50d818baa78fd210ad95388
cn.smthit.v4	smthit4-rabbitmq	0.0.1		a9d01a0ebb0fcf8e6dfa45e74bb35e6b509b211e
cn.smthit.v4	smthit4-rabbitmq	0.0.2		d55af7e7eaaaa1d98f275f7ecc879ac601d5b6c9
cn.smthit.v4	smthit4-rabbitmq	1.0.2		363ba1fcd1c5a97cbc6aea83346f47668c88e9be
com.aliyun.hbase	alihbase-hadoop-compat	1.1.1		1d839ce9f818a7b9f948b3d17dadce57b3bb2eb3
com.aliyun.hbase	alihbase-hadoop-compat	1.1.10		c354dca6abadc4f341f2633070410bfc6409b048
com.aliyun.hbase	alihbase-hadoop-compat	1.1.11		d41a1efa047d279c859055f88955f9cfdfc4943f
com.aliyun.hbase	alihbase-hadoop-compat	1.1.12		a4bd81bf0f780dbaac4b1d638418478220e92cd0
com.aliyun.hbase	alihbase-hadoop-compat	1.1.13		0bb1c96fc708a017a66d4b4630339badbdfc268f
com.aliyun.hbase	alihbase-hadoop-compat	1.1.2		68e5888290b5e651ca6e7eeba04d5b864c2176b2
com.aliyun.hbase	alihbase-hadoop-compat	1.1.3		6e431966f58d869fcc63a070b98584e76df8ecd8
com.aliyun.hbase	alihbase-hadoop-compat	1.1.7		4c4220052d656cdfdeb1ed3aea0b17b4e147e1ba
com.aliyun.hbase	alihbase-hadoop-compat	1.1.8		946af367ef0fb9d9f17a8b6a287e97af4116d49b
com.aliyun.hbase	alihbase-hadoop-compat	1.1.9		dc084c5892ddd0019dbe302e9a4aa77c8e58279b
com.aliyun.hbase	alihbase-hadoop-compat	1.8.0		a1ded787a34d28bcebc53cfbc9d3556a67c2eb86
com.aliyun.hbase	alihbase-hadoop-compat	1.8.1		891fcd50ba93a9f62c0adb3cbcd164cdadf24cd2
com.aliyun.hbase	alihbase-hadoop-compat	1.8.2		ad6e5ea8c747e234a99d23d808199cfab2d1cb72
com.aliyun.hbase	alihbase-hadoop-compat	1.8.2.1		a24d3c243be106da41986e143d44b5e879a72fa9
com.aliyun.hbase	alihbase-hadoop-compat	1.8.3		a0d647b3ba8a764a993389cea17b573ccc87d946
com.aliyun.hbase	alihbase-hadoop-compat	1.8.4		8656e4f9ea7a37f2a098fdaed76719e9144ba2a6
com.aliyun.hbase	alihbase-hadoop-compat	1.8.5		a05dfcc910d6cebcb2081d4b183d437f4ca3329d
com.aliyun.hbase	alihbase-hadoop-compat	1.8.6		37a092a386818463fa73e489cc34fb308dd9b846
com.aliyun.hbase	alihbase-hadoop-compat	1.8.7		da1d8046dd3e1a82dd4edb96613634be1ec53a0b
com.aliyun.hbase	alihbase-hadoop-compat	1.8.8		b2ddf397d78b669e0f695020e898b27ecc799273
com.aliyun.hbase	alihbase-hadoop-compat	2.0.0		105fac41303c456cde5e36331702e71cd695fa6e
com.aliyun.hbase	alihbase-hadoop-compat	2.0.10		8633d09aa8551460f9f9839f037616410f838f20
com.aliyun.hbase	alihbase-hadoop-compat	2.0.2		0e415b48b6ada097341d7f188475f7a71ad250c0
com.aliyun.hbase	alihbase-hadoop-compat	2.0.3		35e5c28184cfe494766354d8223db9f4e42c016b
com.aliyun.hbase	alihbase-hadoop-compat	2.0.4		076236874cd621c5a810c44f795f03ed0c6dbf0b
com.aliyun.hbase	alihbase-hadoop-compat	2.0.5		0d50af42b53625aa1aa1eb37146881d083248af2
com.aliyun.hbase	alihbase-hadoop-compat	2.0.6		2b5d91bc82a01f85e1416c5f1b91202adc30e0c1
com.aliyun.hbase	alihbase-hadoop-compat	2.0.7		4a27f8980f5c8d8338cc2121353f17a3edf09045
com.aliyun.hbase	alihbase-hadoop-compat	2.0.8		01a029553f2ecb68b75f91cbb2d4601850fa5dd9
com.aliyun.hbase	alihbase-hadoop-compat	2.0.9		28f25efa60caed313e73284f3115a33de3f21ce9
com.aliyun.hbase	alihbase-hadoop-compat	2.8.0		f992305a9e663d2f0ba3a40a45a1618b82e37742
com.aliyun.hbase	alihbase-hadoop-compat	2.8.1		c07bef62e6116caed4f41c4751b8bf9ccb821bf5
com.aliyun.hbase	alihbase-hadoop-compat	2.8.2		1bc2f924276c192a48bf74c7e28c7d75d2161a5d
com.aliyun.hbase	alihbase-hadoop-compat	2.8.3		455ec9ada308b628562ed32d92c2fb80711f5d86
com.aliyun.hbase	alihbase-hadoop-compat	2.8.4		15d2ad64a61d1636a8532001ab5dfe8b217bd3fb
com.aliyun.hbase	alihbase-hadoop-compat	2.8.5		4366585edd5afcfd1b9031c173ece54643713cd0
com.aliyun.hbase	alihbase-hadoop-compat	2.8.6		66fd349875605b05aada7e65fa9afda33e20045b
com.aliyun.hbase	alihbase-hadoop-compat	2.8.6.98		92d4d140409f272bbc4f5c302618f913c761712e
com.aliyun.hbase	alihbase-hadoop-compat	2.8.6.99		4f9b0d9d5379eea7d4b22479848eca2c0e3af59a
com.aliyun.hbase	alihbase-hadoop-compat	2.8.7		0becd73519064cadde5ce058f0df508f05eff735
com.atlassian	nadel-api	2022-01-19T23-18-30-adbad461		b615cee722010781bf62a525578cd192e890246d
com.atlassian	nadel-api	2022-01-24T23-18-02-231e3cb0		d1a3d64f7cbc7817d1459045015c280db564aa0a
com.atlassian	nadel-api	2022-02-01T22-25-30-2a229314		f0106097389f119c0f3be7cd2cd3a676a699e388
com.atlassian	nadel-api	2022-02-02T02-06-31-be639778		2bad1709a3613a18763c0c2cb70fa91c34d2042d
com.atlassian	nadel-api	2022-02-04T01-22-55-c16fc098		6909a0f835a92ded19ac91add156bbb9c6787b63
com.atlassian	nadel-api	2022-02-04T04-05-09-39be5917		1ae27f291c172db00a5d3c3cba928a40a42b8103
com.atlassian	nadel-api	2022-02-07T23-48-37-7ac0babd		b44f3adf06b84fd42100d5d0e7af5c4e22ddf71d
com.atlassian	nadel-api	2022-02-09T22-25-15-f3130aff		14a36d57fcf206730834c8475473034034f451f9
com.atlassian	nadel-api	2022-02-09T22-56-28-545a7ac7		4ce3dd43f906c1a54a8d96b0aca17e5f7d264984
