ch.ralscha	extdirectspring	1.4.1		8a8b2ffcd4c6872d1fabdac2ad366169d8107bde
ch.ralscha	extdirectspring	1.4.2		62326809947db383f66ef27a34b9a2cf0030b7e2
ch.ralscha	extdirectspring	1.4.3		5dc7c09f46b66a670ca544256c4177f4e9ea300c
ch.ralscha	extdirectspring	1.5.0		31ab1b0a3758fa1fd0f6c9e8c2d3868ad472b343
ch.ralscha	extdirectspring	1.5.1		42abf2006c68c1867e799dd0db92facf7fe665f5
ch.ralscha	extdirectspring	1.5.2		ef0281006b5a33d06aeb73eaf37c5a322472ae5e
ch.ralscha	extdirectspring	1.6.0		b14e42b37e9fb7fa71c9300a985eee4fe6d6a511
ch.ralscha	extdirectspring	1.6.1		bc91e8c44b2171b205d008aa7cc25dce02e03182
ch.ralscha	extdirectspring	1.7.0		8b78e91838652688a570142a76e1c8413d6ee235
ch.ralscha	extdirectspring	1.7.1		ee68026d740335795ea6a69c4509ff82702e4572
ch.ralscha	extdirectspring	1.7.2		b63f97faaacc4f6644e4785180428c87b19372af
ch.ralscha	extdirectspring	1.7.3		6ad842db8791adbf6a48c1160092500d9b14e8a9
ch.ralscha	extdirectspring	1.7.4		41398a5cfd16060ca9137df2b1e19a61bcb87c0b
ch.ralscha	extdirectspring	1.7.5		4a1f1c3a0affe969249ddcaef42ebe5aec9a89db
ch.ralscha	extdirectspring	1.8.0		18cfd98be0519487b371f80b9e67c1f1b9c46c33
ch.ralscha	extdirectspring	1.8.1		b19d1c5de7d40a0056080b9a2a4a061b08a50cde
ch.ralscha	extdirectspring	2.0.0		8bb700d57fa93186ba3dde72b9910476f86d6393
ch.ralscha	extdirectspring	2.1.0		11c8cb4bb077213dd4242cb351cb03a53d2ccfd7
com.azavea.geotrellis	geotrellis-raster_2.11	0.10.0		f4671bfb48336e00253c43f868ebe490c0d8532f
com.azavea.geotrellis	geotrellis-raster_2.11	0.10.0-M1		542f316b17330784e4dc3e782cec217487c37a64
com.azavea.geotrellis	geotrellis-raster_2.11	0.10.0-RC1		ef86c253e80ce16ad9a39b48e93b336338617d5a
com.azavea.geotrellis	geotrellis-raster_2.11	0.10.0-RC2		e2641cb1ae4644ce963a3b044fed6123c824cac6
com.azavea.geotrellis	geotrellis-raster_2.11	0.10.0-RC3		1c11b491e6f2d9bbdb32cb2ba33dec5eeff848c7
com.azavea.geotrellis	geotrellis-raster_2.11	0.10.0-RC4		b5dd72e116fadbb737eabebb4e0b846d9fbc7c73
com.azavea.geotrellis	geotrellis-raster_2.11	0.10.1		b119245fb1feaab7500ddfe6198ab09d552d3714
com.azavea.geotrellis	geotrellis-raster_2.11	0.10.2		edaa1b705630e615cc8a35398f37d276db7882e7
com.azavea.geotrellis	geotrellis-raster_2.11	0.10.3		f409d02fd7edad2b104976caea86da26a13f7731
com.buschmais.xo	xo.neo4j	0.10.0		N/A
com.buschmais.xo	xo.neo4j	0.10.0	java8	1e770b993a658f4104a37824df5d14d06da9ea07
com.buschmais.xo	xo.neo4j	0.11.0		N/A
com.buschmais.xo	xo.neo4j	0.12.0		N/A
com.buschmais.xo	xo.neo4j	0.13.0		N/A
com.buschmais.xo	xo.neo4j	0.3.0		f0a6b3b9b75fa70708f4bf982bca00053d4adae1
com.buschmais.xo	xo.neo4j	0.4.0		b0dca63c805d1ca9290457b23e04fe87317c6b6d
com.buschmais.xo	xo.neo4j	0.4.0	java8	d18734ae3f94be49f493219cc8ec322ce508e827
com.buschmais.xo	xo.neo4j	0.4.5		f5de4ff6e09040f863553bea53a2faf103be28bb
com.buschmais.xo	xo.neo4j	0.4.5	java8	72041671f875bc9e8232b14c0351b01d3fe697c0
com.buschmais.xo	xo.neo4j	0.4.6		509c7a5dfc2129b783ca094e47991e3e34d69227
com.buschmais.xo	xo.neo4j	0.4.6	java8	7afe044e2e865c40efd74198155b0d3bfdc38935
com.buschmais.xo	xo.neo4j	0.5.0		961e65a2461843fe4f4b16b098e49072191e8ba7
com.buschmais.xo	xo.neo4j	0.5.0	java8	c372cbba9d21f11fb7a1a79fa24cbbff9969c9ff
com.buschmais.xo	xo.neo4j	0.6.0		6fb6f83703e6a1383fe30fc9226d18e277817432
com.buschmais.xo	xo.neo4j	0.6.0	java8	f524b7257d130906e96f9999ca8cedc3d993e83d
com.buschmais.xo	xo.neo4j	0.6.1		791a50ca78be279f35fa202b14d4494daa38d4e1
com.buschmais.xo	xo.neo4j	0.6.1	java8	342318456041f3fbb36e613fa996e5ef04e38dc3
com.buschmais.xo	xo.neo4j	0.7.0		a3751843a5f65354f206f00d9c660e8f19c167ea
com.buschmais.xo	xo.neo4j	0.7.0	java8	019aa094259aea2a065f24cfbc9575339e2c8ec3
com.buschmais.xo	xo.neo4j	0.8.0		N/A
com.buschmais.xo	xo.neo4j	0.8.0	java8	551c5c91dddd5039f52b017f45f0dc8e429b83f1
com.buschmais.xo	xo.neo4j	0.8.1		N/A
com.buschmais.xo	xo.neo4j	0.8.1	java8	389b59b63d050e28f106b7b4c9a0410ac1f26907
com.buschmais.xo	xo.neo4j	0.9.0		N/A
com.buschmais.xo	xo.neo4j	0.9.0	java8	391e5e257adec6b86481680746ed691a8d0eb720
com.buschmais.xo	xo.neo4j	1.0.0		N/A
com.buschmais.xo	xo.neo4j	1.1.0		N/A
com.buschmais.xo	xo.neo4j	1.2.0		N/A
com.buschmais.xo	xo.neo4j	1.3.0		N/A
com.buschmais.xo	xo.neo4j	1.4.0		N/A
com.buschmais.xo	xo.neo4j	1.4.1		N/A
com.buschmais.xo	xo.neo4j	1.4.2		N/A
com.buschmais.xo	xo.neo4j	2.0.0		N/A
com.buschmais.xo	xo.neo4j	2.1.0		N/A
com.buschmais.xo	xo.neo4j	2.1.1		N/A
com.buschmais.xo	xo.neo4j	2.1.2		N/A
com.disneystreaming.smithy	aws-simspaceweaver-spec	2023.02.09		e73a8585b2140ea9c5766f9b3ba16852035752b4
com.disneystreaming.smithy	aws-simspaceweaver-spec	2023.02.10		af33e42e5d3838b23eb494158b20763f32b9aaa9
com.disneystreaming.smithy	aws-simspaceweaver-spec	2023.09.22		d7f6e6ed2472e047f52fcdc4c40ace07380dab04
com.disneystreaming.smithy	aws-simspaceweaver-spec	2023.14.24		df748d7beede3933ca8286a98628b67aff2d6975
com.disneystreaming.smithy	aws-simspaceweaver-spec	2023.22.04		44ef06920f7db813fe7e1c5d022cef96c9ee2d23
com.disneystreaming.smithy	aws-simspaceweaver-spec	2023.22.13		27a731b08fc559d6dd3f69ef1a0a8d5dffeaef2d
com.disneystreaming.smithy	aws-simspaceweaver-spec	2023.23.06		3617628a7137e075cb189804f90c94ebcc039eac
com.disneystreaming.smithy	aws-simspaceweaver-spec	2023.23.30		723e899abb23832983fb23782faf286e5bc313ef
com.disneystreaming.smithy	aws-simspaceweaver-spec	2025.03.31		f813a837c45c0ce8084b8fccb1ff0cd01fdb0223
com.disneystreaming.smithy	aws-simspaceweaver-spec	2025.04.08		aeedcb902a39b2d3843696b8ce8a5ecdb31648be
com.firebaseui	firebase-ui-common	7.1.1		N/A
com.firebaseui	firebase-ui-common	7.2.0		N/A
com.firebaseui	firebase-ui-common	8.0.0		N/A
com.firebaseui	firebase-ui-common	8.0.1		N/A
com.firebaseui	firebase-ui-common	8.0.2		N/A
com.firebaseui	firebase-ui-common	9.0.0		N/A
com.fnproject.fn	jrestless-handler	1.0.1		c27bf59b45f51d2f501a94e34bd38bc0dcd4b85c
com.fnproject.fn	jrestless-handler	1.0.2		15627deb30a7b4c2efb4c8847e4652b646e012a4
com.fnproject.fn	jrestless-handler	1.0.3		a2944e7b31f3016d4e17d75e5cda6b593c67a63c
com.fresco-kitchenos	kitchenos-client-sdk.kos-token-provider	0.0.2		a659143b4752fadef84017fe4c08430280ea0d71
com.gitee.zhousiwei	ftp4che	6.6		b7fa5aa7f340cd916703c346e41644b7cc396c4f
com.github.carlopantaleo	jmodel-maven-plugin	0.1.1		4222fb7fbefdabed8f5589fca9d66fd65cddf1c5
com.github.carlopantaleo	jmodel-maven-plugin	0.1.2		a2ad5dabd227c76c40bb4c911120c723627830fa
com.github.carlopantaleo	jmodel-maven-plugin	0.1.3		57e1c79af6665bc969bcb6ec00fb904c9c118ad0
com.github.carlopantaleo	jmodel-maven-plugin	0.1.4		7153cbe08bbede7ab04befb41515fe24961444a4
