au.net.causal.shoelaces	shoelaces-jersey-client-integration-tests-common	2.0		N/A
co.touchlab	stately-strict-watchossimulatorarm64	2.0.0		N/A
co.touchlab	stately-strict-watchossimulatorarm64	2.0.0	metadata	e4de41ba013320203e5d4ea93fbc481b5662c714
co.touchlab	stately-strict-watchossimulatorarm64	2.0.0-rc1		N/A
co.touchlab	stately-strict-watchossimulatorarm64	2.0.0-rc1	metadata	ee9d799ecdd324fdbf3304582c0382136684d6d4
co.touchlab	stately-strict-watchossimulatorarm64	2.0.0-rc2		N/A
co.touchlab	stately-strict-watchossimulatorarm64	2.0.0-rc2	metadata	945bdcacb3c95d79a84078b030defd78318738ba
co.touchlab	stately-strict-watchossimulatorarm64	2.0.0-rc3		N/A
co.touchlab	stately-strict-watchossimulatorarm64	2.0.0-rc3	metadata	826e95e68e286198b330021d67853b4f109b4eb6
co.touchlab	stately-strict-watchossimulatorarm64	2.0.2		N/A
co.touchlab	stately-strict-watchossimulatorarm64	2.0.2	metadata	d4090dacae90ec09bf33c3c3dae10b28217a8a0c
co.touchlab	stately-strict-watchossimulatorarm64	2.0.3		N/A
co.touchlab	stately-strict-watchossimulatorarm64	2.0.3	metadata	b239388bcac0ac26a0e5c5e005815a463cdc2db7
co.touchlab	stately-strict-watchossimulatorarm64	2.0.4		N/A
co.touchlab	stately-strict-watchossimulatorarm64	2.0.4	metadata	230fe5856304a37cbb16c67acbe0e4ed2c55624f
co.touchlab	stately-strict-watchossimulatorarm64	2.0.5		N/A
co.touchlab	stately-strict-watchossimulatorarm64	2.0.5	metadata	6b432d95e5a10efffe254f6943918ea9fbe0278e
co.touchlab	stately-strict-watchossimulatorarm64	2.0.6		N/A
co.touchlab	stately-strict-watchossimulatorarm64	2.0.6	metadata	b3adf1242243b1a3e9e12aa265eac164cba598b8
co.touchlab	stately-strict-watchossimulatorarm64	2.0.7		N/A
co.touchlab	stately-strict-watchossimulatorarm64	2.0.7	metadata	4f5b1daba9b4109dd5ec45165e87bd18b8c58da4
co.touchlab	stately-strict-watchossimulatorarm64	2.1.0		N/A
co.touchlab	stately-strict-watchossimulatorarm64	2.1.0	metadata	d0f11e5933227c4b886f6c748287c5aafe138517
co.zsmb	requirektx-bundle-wasm-js	2.0.0-alpha01		N/A
co.zsmb	requirektx-bundle-wasm-js	2.0.0-alpha02		N/A
co.zsmb	requirektx-bundle-wasm-js	2.0.0-alpha03		N/A
com.admin4j.common	admin4j-common	0.1.1		4f2b294770ca40df50f0a1065fbd144c002fc690
com.admin4j.common	admin4j-common	0.10.0		aea57c1839a300da4c37dcb17c72de8d33454cf7
com.admin4j.common	admin4j-common	0.8.0		91734ba2fd6ef9e1cc8195f747be72f60ea8e4b9
com.admin4j.common	admin4j-common	0.9.0		95632d4e1225f08a0a1179e015c0c8bed145de1d
com.admin4j.common	admin4j-common	0.9.5		343c394528fdcedace456da014dc5b8ad87536e0
com.admin4j.common	admin4j-common	0.9.7		5832ce3f918588f1ffefadcff33a9aa1088ff008
com.admin4j.common	admin4j-common	0.9.8		697fc12212f9897a3e7a39fc3de425157c77de09
com.amazonaws	amazon-kinesis-producer	0.10.0		7601ec7af5cc8e34f0ceb4c6e05cb5445f7b80df
com.amazonaws	amazon-kinesis-producer	0.10.1		9d6e3f0886443a184cbe9b011d15fb9b2d6d5bea
com.amazonaws	amazon-kinesis-producer	0.10.2		3b5a7ed81af61b826fc44e2e02ae3a4d361ca1f1
com.amazonaws	amazon-kinesis-producer	0.12.0		83e34bf8c2b058886d1f5bd0449e9deebabb5f1e
com.amazonaws	amazon-kinesis-producer	0.12.1		5e85ca08ed3beec5d3226905ecd044079bb44970
com.amazonaws	amazon-kinesis-producer	0.12.10		6b48964710d1d9d7f77389555ce43deaf0d8f0ac
com.amazonaws	amazon-kinesis-producer	0.12.11		7082606df6aaf6bcdefbdc7309d37d692c0aacc1
com.amazonaws	amazon-kinesis-producer	0.12.2		666625cf9ab349b244b628cad137c3b04f62e854
com.amazonaws	amazon-kinesis-producer	0.12.3		ec9be7c31f14e4fba73388d9b82c60a806101847
com.amazonaws	amazon-kinesis-producer	0.12.4		34341870d50a18b3906705315fa1738052cf4721
com.amazonaws	amazon-kinesis-producer	0.12.5		9dd9cfe86eaf81573b28456f415abe71e8e7a55e
com.amazonaws	amazon-kinesis-producer	0.12.6		72f19720ee881895d4e8e6c810beb4f9806ce325
