cn.org.awcp	awcp-unit	1.0-RELEASE		N/A
com.aallam.openai	openai-core-tvosx64	2.1.1		N/A
com.aallam.openai	openai-core-tvosx64	2.1.1	metadata	7bfaa6b3be885bbb1ef54f5356c9cb2f7b1ccdb8
com.aallam.openai	openai-core-tvosx64	2.1.2		N/A
com.aallam.openai	openai-core-tvosx64	2.1.2	metadata	7bfaa6b3be885bbb1ef54f5356c9cb2f7b1ccdb8
com.aallam.openai	openai-core-tvosx64	2.1.3		N/A
com.aallam.openai	openai-core-tvosx64	2.1.3	metadata	ba5b9d6acf4529e1f9d9babc7f7b4549220fc484
com.aallam.openai	openai-core-tvosx64	3.0.0		N/A
com.aallam.openai	openai-core-tvosx64	3.0.0	metadata	eec7416d671cca8e18343393a5d0345fa749a74f
com.aallam.openai	openai-core-tvosx64	3.0.0-alpha01		N/A
com.aallam.openai	openai-core-tvosx64	3.0.0-alpha01	metadata	7bfaa6b3be885bbb1ef54f5356c9cb2f7b1ccdb8
com.aallam.openai	openai-core-tvosx64	3.0.0-beta01		N/A
com.aallam.openai	openai-core-tvosx64	3.0.0-beta01	metadata	ba5b9d6acf4529e1f9d9babc7f7b4549220fc484
com.aallam.openai	openai-core-tvosx64	3.0.0-beta02		N/A
com.aallam.openai	openai-core-tvosx64	3.0.0-beta02	metadata	eec7416d671cca8e18343393a5d0345fa749a74f
com.aallam.openai	openai-core-tvosx64	3.1.0		N/A
com.aallam.openai	openai-core-tvosx64	3.1.0	metadata	eec7416d671cca8e18343393a5d0345fa749a74f
com.aallam.openai	openai-core-tvosx64	3.1.1		N/A
com.aallam.openai	openai-core-tvosx64	3.1.1	metadata	eec7416d671cca8e18343393a5d0345fa749a74f
com.aallam.openai	openai-core-tvosx64	3.2.0		N/A
com.aallam.openai	openai-core-tvosx64	3.2.0	metadata	eec7416d671cca8e18343393a5d0345fa749a74f
com.aallam.openai	openai-core-tvosx64	3.2.1		N/A
com.aallam.openai	openai-core-tvosx64	3.2.1	metadata	6968c98ff6a11f8e0d7171edb3fb37f8d5623c99
com.aallam.openai	openai-core-tvosx64	3.2.2		N/A
com.aallam.openai	openai-core-tvosx64	3.2.2	metadata	f9a30f230575a281a8ca1fd10575aab86ca9f105
com.aallam.openai	openai-core-tvosx64	3.2.3		N/A
com.aallam.openai	openai-core-tvosx64	3.2.3	metadata	f9a30f230575a281a8ca1fd10575aab86ca9f105
com.aallam.openai	openai-core-tvosx64	3.2.4		N/A
com.aallam.openai	openai-core-tvosx64	3.2.4	metadata	9e145e0c792535d34566ddd4804f3dd8e571add7
com.aallam.openai	openai-core-tvosx64	3.2.5		N/A
com.aallam.openai	openai-core-tvosx64	3.2.5	metadata	b77a85a8d04d27a2d79c0e6b42cec36c371dfce5
com.aallam.openai	openai-core-tvosx64	3.3.0		N/A
com.aallam.openai	openai-core-tvosx64	3.3.0	metadata	c1d4ea169d933adf87fe73985eaf3d3df20acd78
com.aallam.openai	openai-core-tvosx64	3.3.1		N/A
com.aallam.openai	openai-core-tvosx64	3.3.1	metadata	f52192229fc3796e671a7185aa132dec66ecc92f
com.aallam.openai	openai-core-tvosx64	3.3.2		N/A
com.aallam.openai	openai-core-tvosx64	3.3.2	metadata	76a867c1d20f17a995d2180125801cee08dc7d08
com.aallam.openai	openai-core-tvosx64	3.4.0		N/A
com.aallam.openai	openai-core-tvosx64	3.4.0	metadata	fb5c59e65037d89ce67685206e5b34172b467ef5
com.aallam.openai	openai-core-tvosx64	3.4.1		N/A
com.aallam.openai	openai-core-tvosx64	3.4.1	metadata	5979b1d72153ce186f2616f351b80d94b92db129
com.aallam.openai	openai-core-tvosx64	3.4.2		N/A
com.aallam.openai	openai-core-tvosx64	3.4.2	metadata	ed68095ad20aa6e61091ea85b8ed74b3420fe5e6
com.aallam.openai	openai-core-tvosx64	3.5.0		N/A
com.aallam.openai	openai-core-tvosx64	3.5.0	metadata	95e1fff7dc7ae6c31d6e1f8e93a2a6cecbdce43b
com.aallam.openai	openai-core-tvosx64	3.5.1		N/A
com.aallam.openai	openai-core-tvosx64	3.5.1	metadata	2b1eb4a93b400e9a5d780daa7db46c5af6e7a11e
com.aallam.openai	openai-core-tvosx64	3.6.0		N/A
com.aallam.openai	openai-core-tvosx64	3.6.0	metadata	95d7a14e268d89d99979871355db9c1baeb092f7
com.aallam.openai	openai-core-tvosx64	3.6.1		N/A
com.aallam.openai	openai-core-tvosx64	3.6.1	metadata	0647b2e0f2471898229bb4a01c0ff94429c225fd
com.aallam.openai	openai-core-tvosx64	3.6.2		N/A
com.aallam.openai	openai-core-tvosx64	3.6.2	metadata	f330dbeeb018756be99951b685d295d199bab614
com.aallam.openai	openai-core-tvosx64	3.6.3		N/A
com.aallam.openai	openai-core-tvosx64	3.6.3	metadata	0288c71e1d31bcfc61c12441d5249e8ad886e006
com.aallam.openai	openai-core-tvosx64	3.7.0		N/A
com.aallam.openai	openai-core-tvosx64	3.7.0	metadata	52b9581d73f15d4a2894afa971a2f67338df5e6a
