be.vlaanderen.informatievlaanderen.ldes.ldi.nifi	sparql-interactions-processor	2.12.0		N/A
br.com.thiagomoreira.liferay.plugins.setup-brazilian-regions-app	setup-brazilian-regions-app	1.0.0		N/A
ch.squaredesk.nova	comm-annotations	4.0.0-beta-1		6d0712ace64b7e4359eceb21394dc0e2dc9059c3
ch.squaredesk.nova	comm-annotations	4.0.0-beta-2		1d26db1b837321a494ec48c12d750a516f2afefe
ch.squaredesk.nova	comm-annotations	5.0.0		1b0e6612ec16564004953ffa8beff807f4f6fdfb
ch.squaredesk.nova	comm-annotations	5.2.0		3d7bb3d0eaee8348714f42bb06fa0eab18dad2b3
ch.squaredesk.nova	comm-annotations	5.3.0		22df2e66eff10e94b9cd338000bbdd8a8472bf52
ch.squaredesk.nova	comm-annotations	6.0.0		9afbab991235a78f3154970cef6938f4526a3d95
com.alilitech	boot-plus-swagger	1.2.0		5a2c4ebe376637a10352eb59c1f99017f0d64717
com.alilitech	boot-plus-swagger	1.2.1		fcc930d974f0b5bce7a72867b5beb2fd20d503e2
com.alilitech	boot-plus-swagger	1.2.2		193a465faee8036a3446699d6d88c5bfd06dd28f
com.alilitech	boot-plus-swagger	1.2.3		2eaac1278183a9a53cdce94877d9cfe7a03d733d
com.alilitech	boot-plus-swagger	1.2.4		74672df07f37db01e8f473c5b90704ca4345a5ff
com.alilitech	boot-plus-swagger	1.2.5		c57f6ebb9bcf6e7b1e50792ec77d9441604e0aed
com.alilitech	boot-plus-swagger	1.2.6		bae90a95a91fbf985476d103ea0b50f993f537bc
com.alilitech	boot-plus-swagger	1.2.7		885a60c4f3bcf97e40d9aefd6dda00477ffdd601
com.alilitech	boot-plus-swagger	1.2.8		48ba0db00cc75d259585ca2dcd41caa748dcda09
com.alilitech	boot-plus-swagger	1.3.0		752f4734a8251c76aa8a397b214a9553dcfff71f
com.alilitech	boot-plus-swagger	1.3.1		374ca719ecdc53e56d87adc7bb00562ae256083d
com.alilitech	boot-plus-swagger	1.3.10		127a173ca422a4c4e6bedc831313c8e6df465af6
com.alilitech	boot-plus-swagger	1.3.2		ad61d96ef629c2b9f38e9cd258e9764f697e0dd0
com.alilitech	boot-plus-swagger	1.3.3		cee467f30104f3341a867613ce3cd08d7fdaf1e3
com.alilitech	boot-plus-swagger	1.3.4		ee95e9c2ba186b348246bfda7eeb539258493da0
com.alilitech	boot-plus-swagger	1.3.5		dcc601cdb50cd55fe5439983f605af5c3926e0aa
com.alilitech	boot-plus-swagger	1.3.6		0d8b9822d79eae88d85754b1016152d0a7018fb1
com.alilitech	boot-plus-swagger	1.3.7		ccb8a36d90f596dfc104dda7a5681eee6c0318f1
com.alilitech	boot-plus-swagger	1.3.8		634ad01899e96607b583e8ae259db7cd5b60ed41
com.alilitech	boot-plus-swagger	1.3.9		234f875816845f618fad5230dead58db3ea699ff
com.alilitech	boot-plus-swagger	2.0.0		3e4bfb1df9ec23db3246229220d33a4d4b48b212
com.alilitech	boot-plus-swagger	2.0.1		19c1c26276896429d3e39ebb1efaf857dd2758b7
com.alilitech	boot-plus-swagger	2.0.2		9afbac9dfa1c58efcce8a7a806ab3789ba0922bd
com.alilitech	boot-plus-swagger	2.0.3		bb4df7d1989785bda1dc59673f26623544d8ac0a
com.alilitech	boot-plus-swagger	2.0.4		42e121bbe67faed9cdc67c7fb406ca87944575b1
com.alilitech	boot-plus-swagger	2.0.5		233ba56333100bf3ae00a6c27181c6d29754cf16
com.alilitech	boot-plus-swagger	2.1.0		c8aa213fae4789ab5aef61fece6774454cec77ee
com.alilitech	boot-plus-swagger	2.1.1		e82bdb80b451f5c8ff919a54af38e44c97c8dd52
com.alilitech	boot-plus-swagger	2.1.2		09874e72d714c6d5cb7d9b3ec69659d6dbd715dc
