br.com.objectos	metainf-annotations	0.4.0		ff706e50d3e2f8c52c63cedf96b67b124e1ceee3
cafe.adriel.voyager	voyager-kodein-macosarm64	1.0.0		N/A
cafe.adriel.voyager	voyager-kodein-macosarm64	1.0.0	metadata	209b51bfe268e480933e521e172eedc9d930a5aa
cafe.adriel.voyager	voyager-kodein-macosarm64	1.0.0-rc05		N/A
cafe.adriel.voyager	voyager-kodein-macosarm64	1.0.0-rc05	metadata	944350cc4b28b251144584af947e77abee261f51
cafe.adriel.voyager	voyager-kodein-macosarm64	1.0.0-rc06		N/A
cafe.adriel.voyager	voyager-kodein-macosarm64	1.0.0-rc06	metadata	508868d6dbd94eb8b20f820b5653a799cc2ce6c2
cafe.adriel.voyager	voyager-kodein-macosarm64	1.0.0-rc07		N/A
cafe.adriel.voyager	voyager-kodein-macosarm64	1.0.0-rc07	metadata	98d33ea6b9c8c5ea604f0a23de966a7d12bed412
cafe.adriel.voyager	voyager-kodein-macosarm64	1.0.0-rc08		N/A
cafe.adriel.voyager	voyager-kodein-macosarm64	1.0.0-rc08	metadata	6fa2ea78d4adb10d9029a6ef3f2b44db618f4ea6
cafe.adriel.voyager	voyager-kodein-macosarm64	1.0.0-rc09		N/A
cafe.adriel.voyager	voyager-kodein-macosarm64	1.0.0-rc09	metadata	9224e38833ef6d2c2e6208e4d447fcd53bde2e01
cafe.adriel.voyager	voyager-kodein-macosarm64	1.0.0-rc10		N/A
cafe.adriel.voyager	voyager-kodein-macosarm64	1.0.0-rc10	metadata	0fb916d7101c699665a35ba4b3311341c898e52e
cafe.adriel.voyager	voyager-kodein-macosarm64	1.0.1		N/A
cafe.adriel.voyager	voyager-kodein-macosarm64	1.0.1	metadata	0f7a37faeb3ed0feb61adef62abce354d94a0048
cafe.adriel.voyager	voyager-kodein-macosarm64	1.1.0-alpha01		N/A
cafe.adriel.voyager	voyager-kodein-macosarm64	1.1.0-alpha01	metadata	ab926f1973437d4dbf92c7bfa57a0b36b8e3e4c2
cafe.adriel.voyager	voyager-kodein-macosarm64	1.1.0-alpha02		N/A
cafe.adriel.voyager	voyager-kodein-macosarm64	1.1.0-alpha02	metadata	497f269dddca7e9e706f50aba207f275c68e895f
