at.released.tempfolder	tempfolder-sync-androidnativex64	0.1		N/A
be.vlaanderen.informatievlaanderen.ldes.ldi.nifi	geojson-to-wkt-processor	2.12.0		N/A
cash.atto	commons-core	3.0.0		f5ea1ae5e845e8e2c072effa3c7a8267d0850857
cash.atto	commons-core	3.0.1		f5ea1ae5e845e8e2c072effa3c7a8267d0850857
cash.atto	commons-core	3.0.2		f5ea1ae5e845e8e2c072effa3c7a8267d0850857
cash.atto	commons-core	3.0.3		f5ea1ae5e845e8e2c072effa3c7a8267d0850857
cash.atto	commons-core	3.1.0		eb7b47be3352c785a0ca1b194d9f2189648c2165
cash.atto	commons-core	3.2.0		959a617826d0c983d274a1c05c269a8190dc7d2c
cash.atto	commons-core	3.3.0		2a8d7f6676b0b0e243e1aa0b7e278f31c3a29361
cash.atto	commons-core	3.3.1		3b20b3c4d797fe2d4cf7ded0380285fea2bd2a20
cc.springworks	springworks-boot-starter	0.0.1		4b8cd4839abd31b82adb07fdbb8f407e92cf1afd
ch.unibas.cs.gravis	scalismo-ui_2.12	0.11.1		9058c96c615c0b7d8ff6a9f740f539d6018f18f0
ch.unibas.cs.gravis	scalismo-ui_2.12	0.13.1		ab8a8670b80c47edc45b8338d07c4f0785e4262a
ch.unibas.cs.gravis	scalismo-ui_2.12	0.14.0		5f0113aadff689cbb58bc875b7b429d41af1ef46
ch.unibas.cs.gravis	scalismo-ui_2.12	0.14.1		ec4437a29f728d7df469b760fc1f157f308b9ef3
ch.unibas.cs.gravis	scalismo-ui_2.12	0.90.0		8164849227455d0fec40626a500c9e420ff48205
com.adobe.api.platform	launchpad	1.1.11		cd944920f6099f51cf8eaccc3b7223e766e97a00
com.adobe.api.platform	launchpad	1.1.16		55043053930ac98be41c7f81b842159a3d0fbc51
com.adobe.api.platform	launchpad	1.2.1		ae851b947cd9af2a3f99e72431afc9cc4f27e93e
com.adobe.api.platform	launchpad	1.3.0		ba0760f5c39145e20e850869df96a6e0f87c7746
com.adobe.api.platform	launchpad	1.3.1		1574e43a2e3e9dfbe6b3c3155492273c1fe39749
com.adobe.api.platform	launchpad	1.3.2		ba3935a54d19211cbf5415e95d11dbde3296a5f8
com.adobe.api.platform	launchpad	1.3.5		fb3e5da7e86eceb663e7b4e3f85045d1c1b62245
com.adobe.api.platform	launchpad	1.3.6		94c99afe3959f36b0146e75be9fef2d5f2fb29be
