ai.nextbillion	nb-gestures-android	0.0.1		N/A
ai.ylyue	yue-library-base	2.1.0		0a5fad27172438715c192280bacada123a33ed4f
ai.ylyue	yue-library-base	Finchley.SR2.SR1		54f12ab7341dde5354b0064470bc98e6da33f38a
ai.ylyue	yue-library-base	Finchley.SR4		8e73f8b27b30a79a89f9a2b4f9661e96165065cb
ai.ylyue	yue-library-base	Finchley.SR4.1		70831185247ecd44719beab4c16c6e32d0de4904
ai.ylyue	yue-library-base	Greenwich.SR1		015f1e8e7a6c81ecbb24e24fd2e3db49106a4fbc
ai.ylyue	yue-library-base	Greenwich.SR1.2		9e7dc0d302c59f3868959468be03a8ee4e7805e8
ai.ylyue	yue-library-base	Greenwich.SR1.SR1		1e867e0777e3ba22f51ffd83b41ae2747f5e6dae
ai.ylyue	yue-library-base	Greenwich.SR2		871325439d4ea020304a173ecf29b8515f347e43
ai.ylyue	yue-library-base	Greenwich.SR2.1		1566f820fd6ce1cdcf6ed682899740226c85e0a7
ai.ylyue	yue-library-base	j11.2.2.0		4930767b4403a5f14c492202150b11c9be6b611b
ai.ylyue	yue-library-base	j11.2.3.0		4e8af87bc2c5307e5d120f2d56f89d494aefd716
ai.ylyue	yue-library-base	j11.2.3.1		af33c806dfb3f8676027ce24b8792673fbef9221
ai.ylyue	yue-library-base	j11.2.3.2		4e7dca7ad74b9d9b2e01e82fdd892539aa8dc6d5
ai.ylyue	yue-library-base	j11.2.3.3		749c8a24818026e33dbe5ca02665fff01d5cc637
ai.ylyue	yue-library-base	j11.2.4.0		33810fcea6ebd3254e1181be3d26004d7f5a86b6
ai.ylyue	yue-library-base	j11.2.6.0		79f6adbb3e6f572d4ad4360cd1bdbe47a9f0999d
ai.ylyue	yue-library-base	j11.2.6.1		27509b0a9eaa465872263d5e5b398e171c2978c0
ai.ylyue	yue-library-base	j11.2.6.2		57e97b35ccd33c150948bdc08d00faed9ede26f9
ai.ylyue	yue-library-base	j8.2.2.0		e03b072599e4e830de22247fab2cded83fdf7099
ai.ylyue	yue-library-base	j8.2.3.0		e6def13fb71c2e63f72bf41ff4f0edc0c6520c7b
ai.ylyue	yue-library-base	j8.2.3.1		604dc4c124d194a773f7a3b2a525ad7c0511da82
ai.ylyue	yue-library-base	j8.2.3.2		788d0472b9658b0a9e1b45cc90fe6eddd2f163b7
ai.ylyue	yue-library-base	j8.2.3.3		f323e3b12adcc1bc01b22ac169158cd2bba551f7
ai.ylyue	yue-library-base	j8.2.4.0		db8d1baa4b9993b6828277b15b38e94242e7bc0f
at.released.igdbclient	igdbclient-ktor-js	0.7		N/A
at.released.igdbclient	igdbclient-ktor-js	0.8		N/A
cafe.adriel.voyager	voyager-kodein	1.0.0		713cac3573cf7209a0ce6ba4bc54cbf8423e84ac
cafe.adriel.voyager	voyager-kodein	1.0.0-beta10		N/A
cafe.adriel.voyager	voyager-kodein	1.0.0-beta11		N/A
cafe.adriel.voyager	voyager-kodein	1.0.0-beta12		N/A
cafe.adriel.voyager	voyager-kodein	1.0.0-beta13		N/A
cafe.adriel.voyager	voyager-kodein	1.0.0-beta14		1fdf29fba3a91162ee4ddc18df9e89d6266d0166
cafe.adriel.voyager	voyager-kodein	1.0.0-beta14	all	f84a5372a7804e7bc666bf1f526ff82a36fa6f53
cafe.adriel.voyager	voyager-kodein	1.0.0-beta15		b01e552a877e303b548baaa52b1cf0a34d161dca
cafe.adriel.voyager	voyager-kodein	1.0.0-beta15	all	9f564e39ee53b91a6287fc4108731ee5c23a8397
cafe.adriel.voyager	voyager-kodein	1.0.0-beta16		7f0c658415e5b466da3e498bc1cf68db6f18e5a6
cafe.adriel.voyager	voyager-kodein	1.0.0-beta16	all	06947f9cc756f05a0043979018c3e846014b8185
cafe.adriel.voyager	voyager-kodein	1.0.0-rc01		6b8913b693219634e0262c3ccaddcbc003adca27
cafe.adriel.voyager	voyager-kodein	1.0.0-rc01	all	188dabcc08787ea3fe909b8ff1eacafa9bb77a7b
cafe.adriel.voyager	voyager-kodein	1.0.0-rc02		088761c79ef3f9c9c72b133ac7f7ac4080ec151a
