ai.djl.android	pytorch-native	0.30.0		N/A
app.softwork.kobol	java-java8	0.0.6		47525a447335421fdbbdbe7ef474723c2e42247e
app.softwork.kobol	java-java8	0.0.7		47525a447335421fdbbdbe7ef474723c2e42247e
app.softwork.kobol	java-java8	0.0.8		47525a447335421fdbbdbe7ef474723c2e42247e
app.softwork.kobol	java-java8	0.0.9		47525a447335421fdbbdbe7ef474723c2e42247e
app.softwork.kobol	java-java8	0.1.0		47525a447335421fdbbdbe7ef474723c2e42247e
app.softwork.kobol	java-java8	0.1.1		47525a447335421fdbbdbe7ef474723c2e42247e
app.softwork.kobol	java-java8	0.1.11		47525a447335421fdbbdbe7ef474723c2e42247e
app.softwork.kobol	java-java8	0.1.12		47525a447335421fdbbdbe7ef474723c2e42247e
app.softwork.kobol	java-java8	0.1.13		47525a447335421fdbbdbe7ef474723c2e42247e
app.softwork.kobol	java-java8	0.1.14		47525a447335421fdbbdbe7ef474723c2e42247e
app.softwork.kobol	java-java8	0.1.15		47525a447335421fdbbdbe7ef474723c2e42247e
app.softwork.kobol	java-java8	0.1.16		47525a447335421fdbbdbe7ef474723c2e42247e
app.softwork.kobol	java-java8	0.1.17		47525a447335421fdbbdbe7ef474723c2e42247e
app.softwork.kobol	java-java8	0.1.18		47525a447335421fdbbdbe7ef474723c2e42247e
app.softwork.kobol	java-java8	0.1.19		47525a447335421fdbbdbe7ef474723c2e42247e
app.softwork.kobol	java-java8	0.1.20		47525a447335421fdbbdbe7ef474723c2e42247e
app.softwork.kobol	java-java8	0.1.21		47525a447335421fdbbdbe7ef474723c2e42247e
app.softwork.kobol	java-java8	0.1.22		47525a447335421fdbbdbe7ef474723c2e42247e
app.softwork.kobol	java-java8	0.1.23		47525a447335421fdbbdbe7ef474723c2e42247e
app.softwork.kobol	java-java8	0.1.24		913e0f55a55b53754009133d833c2be267232637
app.softwork.kobol	java-java8	0.1.25		3511e539292848cf0b7395b5229d39736c35b090
app.softwork.kobol	java-java8	0.1.26		3511e539292848cf0b7395b5229d39736c35b090
app.softwork.kobol	java-java8	0.1.5		47525a447335421fdbbdbe7ef474723c2e42247e
app.softwork.kobol	java-java8	0.1.6		47525a447335421fdbbdbe7ef474723c2e42247e
app.softwork.kobol	java-java8	0.1.7		47525a447335421fdbbdbe7ef474723c2e42247e
app.softwork.kobol	java-java8	0.2.0		3511e539292848cf0b7395b5229d39736c35b090
app.softwork.kobol	java-java8	0.2.1		3511e539292848cf0b7395b5229d39736c35b090
app.softwork.kobol	java-java8	0.2.10		35a74f5906dac8226430e4d19984bd8615aac7cb
app.softwork.kobol	java-java8	0.2.11		35a74f5906dac8226430e4d19984bd8615aac7cb
app.softwork.kobol	java-java8	0.2.12		35a74f5906dac8226430e4d19984bd8615aac7cb
app.softwork.kobol	java-java8	0.2.13		35a74f5906dac8226430e4d19984bd8615aac7cb
app.softwork.kobol	java-java8	0.2.14		8bda5a451fac97b60d2bfa435ffaa0ccb7ae6d8a
app.softwork.kobol	java-java8	0.2.15		8bda5a451fac97b60d2bfa435ffaa0ccb7ae6d8a
app.softwork.kobol	java-java8	0.2.16		6a21a1e89f1cbf3b5e4bd1918258ba5f97f904af
app.softwork.kobol	java-java8	0.2.17		73a987ae16292925ec7407cd7635482aa4da7a24
app.softwork.kobol	java-java8	0.2.18		d10c4b7081b3dc89447ee5f5b389b1f7189302d3
app.softwork.kobol	java-java8	0.2.19		688e5837133fa514f52426dbe541b28a97bfa33d
app.softwork.kobol	java-java8	0.2.2		3511e539292848cf0b7395b5229d39736c35b090
app.softwork.kobol	java-java8	0.2.3		223e80dcaaa005a442d5426ad5794c0f83c67448
app.softwork.kobol	java-java8	0.2.4		223e80dcaaa005a442d5426ad5794c0f83c67448
app.softwork.kobol	java-java8	0.2.5		0ec95a65d888bbbaedb5f745ea612f10aac0e565
app.softwork.kobol	java-java8	0.2.6		35a74f5906dac8226430e4d19984bd8615aac7cb
app.softwork.kobol	java-java8	0.2.7		35a74f5906dac8226430e4d19984bd8615aac7cb
app.softwork.kobol	java-java8	0.2.8		35a74f5906dac8226430e4d19984bd8615aac7cb
app.softwork.kobol	java-java8	0.2.9		35a74f5906dac8226430e4d19984bd8615aac7cb
au.net.zeus.jgdms	jgdms-iiop	3.0.1-RC-07		869b56ae038aac4a0e33be0a08cfd0be32fa7c54
au.net.zeus.jgdms	jgdms-iiop	3.0.1-RC-07	jdk14	be9807832471f82832c8dc0fb75d0cb96e25e190
au.net.zeus.jgdms	jgdms-iiop	3.1.0		f85e3549abb9b4d8abc59d71d2f907a9df712d73
