com.h3xstream.findsecbugs	findsecbugs-test-util	1.14.0	-	1fc85717e80df78d50ddd66587a2efd9c8353480
com.io7m.smfj	com.io7m.smfj.frontend	0.10.0	-	097fbf192e59c1419875c88005602c5e7c2c802b
com.io7m.smfj	com.io7m.smfj.frontend	0.11.0	-	200d1d730f70419a89db77aba2972d6d1120a633
com.io7m.smfj	com.io7m.smfj.frontend	0.12.0	-	65fe10a41330310b9cff6e8582c1f8ea12dc4b27
com.io7m.smfj	com.io7m.smfj.frontend	0.13.0	-	162b0e90c098f79408b1a46363113e22417668db
com.io7m.smfj	com.io7m.smfj.frontend	0.14.0	-	c15ff12748056e9ad194223685107b1f14b23ac2
com.io7m.smfj	com.io7m.smfj.frontend	0.15.0	-	ac653da697646566f4414676772366a6c23d2ade
com.japplis	virtually	0.1	-	4ca93fe4e861107802da3579c67d635d1b7c05d3
com.outr	examplejvm_2.12	1.0.0	-	301806a825155f3f0899acbde47ae9f67c311cd6
com.outr	examplejvm_2.12	1.0.1	-	ff5f1576a2a863ef880dadf9e2c1d4547f0de59e
com.powerspace	bidswitch-json_2.12	1.1.4	-	72b7d43f483578a709be2d5aeb3a66a323ff2211
com.powsybl	powsybl-gse-afs-ext-base	1.0.0	-	e268fe6279d3b449d6e3443a4c83f1df063b30da
com.powsybl	powsybl-gse-afs-ext-base	1.1.0	-	0c0dc91cf04ecb0d02f4bb0a4bce3196251ff9c4
com.powsybl	powsybl-gse-afs-ext-base	1.2.0	-	c49ca24c493cbd998a367509349e6d1451c3b23f
com.powsybl	powsybl-gse-afs-ext-base	1.3.0	-	b90383acaeaaf4177a43d50d66ec220307c91725
com.powsybl	powsybl-gse-afs-ext-base	1.4.0	-	1d5dc3f3235e718ad0ee2ec75688e2626389524e
com.powsybl	powsybl-gse-afs-ext-base	1.4.1	-	3df610354e1d0dab747ca60769ee854f787630e5
com.powsybl	powsybl-gse-afs-ext-base	1.5.0	-	6ef465129762e013e7c30406901b988c38cef3b7
com.powsybl	powsybl-gse-afs-ext-base	1.5.1	-	7d2b483a713dc7a9b3a378e2d2a7527ffbc9bdc1
com.powsybl	powsybl-gse-afs-ext-base	1.5.2	-	d90903b860cc3690c74c24b21c50130384872909
com.powsybl	powsybl-gse-afs-ext-base	1.6.0	-	0e2da06c8cba4f73a9e058f4ce2c9bad0a10cfca
com.powsybl	powsybl-gse-afs-ext-base	1.7.0	-	cec6127a3c0002ab86ecc1262fd045e8a90036ec
com.powsybl	powsybl-gse-afs-ext-base	1.8.0	-	f924566e1f03e6eefc5d8c97abbab28e7e87adb7
com.yuweix	kuafu-core	1.0.0	-	d1adf7de019d5a07622d4970a91922ae6f8e389a
com.yuweix	kuafu-core	1.0.1	-	3a0cc76df06deaf808e3011bb76a1e5e9d336058
com.yuweix	kuafu-core	1.0.2	-	88cc46310b29fc03e7da47672a5b8e929ee08dcf
com.yuweix	kuafu-core	2.0.0	-	6619e37f35e66499bdbb81b37a6dcc8093c7c6bd
com.yuweix	kuafu-core	2.0.1	-	da30bb096e0b35f6775c44dffea8e9218f2e549e
data.com.aoindustries	aoserv-daemon-client-book	1.81.22	-	0d32ad6f4958df87ff1856775375756868b1c5d0
data.com.aoindustries	aoserv-daemon-client-book	1.82.1	-	9bb0f031e894422c17bd79044b5d208edf2ade86
data.com.distelli.persistence	persistence-test	3.8.10	-	8f0583170599ac0cfacac8dfb887357b723a07eb
data.com.distelli.persistence	persistence-test	3.8.11	-	a45302926fdf97ea4027d0a2ccd188da30c31ad1
data.com.distelli.persistence	persistence-test	3.8.12	-	0b325f2b695e808cec1e09c8c1ab36df683f7dd5
data.com.distelli.persistence	persistence-test	3.8.13	-	1b0c2a9393b24939a03b450a4ec71b7d4ae052b2
data.com.distelli.persistence	persistence-test	3.8.14	-	2d5c7c042d37ebd3a4a73afb819d9700172ed1a3
data.com.distelli.persistence	persistence-test	3.8.8	-	31c5dbbcc1ea1029073d43701d13bd5a7d8781a0
data.com.distelli.persistence	persistence-test	3.8.9	-	8ea1f70e4ae106aed045dd983c158003941cff2a
data.com.liferay	com.liferay.journal.content.asset.addon.entry.comments	1.0.11	-	92112ddfed2b63e51766b648b2446df8554f5615
data.com.liferay	com.liferay.journal.content.asset.addon.entry.comments	1.0.11	1.0.11-jspc	fae518cb9962d523832afa77446c4ce8411f49c8
data.com.liferay	com.liferay.journal.content.asset.addon.entry.comments	1.0.11	1.0.11-sources-commercial	3695287e9a4aca1b0938fc4f713fe53d72927883
data.com.liferay	com.liferay.journal.content.asset.addon.entry.comments	3.0.0	-	1e691f42a4054c1ca908a65ce4bfbb43891ef579
data.com.liferay	com.liferay.journal.content.asset.addon.entry.comments	3.0.0	3.0.0-jspc	4f14fde0755d31ecebdf89dd30f6ae23b89185ae
data.com.liferay	com.liferay.journal.content.asset.addon.entry.comments	3.0.0	3.0.0-sources-commercial	dcc93f443511fe1aec1ba76dbf6c623c5a15a1c7
data.com.liferay	com.liferay.journal.content.asset.addon.entry.comments	3.0.1	-	ec0556f98f6bca38d53aad6de32910e93476a8ec
data.com.liferay	com.liferay.journal.content.asset.addon.entry.comments	3.0.1	3.0.1-jspc	d9f0c320bb25835c5233eb89cc884094637df9a4
data.com.liferay	com.liferay.journal.content.asset.addon.entry.comments	3.0.1	3.0.1-sources-commercial	310b371cfb9fc6dfb44e3d51f0c81c60e7cec336
data.com.liferay	com.liferay.journal.content.asset.addon.entry.comments	3.0.2	-	6766e87d64bf13d89bf0a2f4e94d29ac29c86b6b
data.com.liferay	com.liferay.journal.content.asset.addon.entry.comments	3.0.2	3.0.2-jspc	4671b6fc732211e89bbb7c488fb3e3837fb62bab
data.com.liferay	com.liferay.journal.content.asset.addon.entry.comments	3.0.2	3.0.2-sources-commercial	b85f08493c0ce69e856037bced219dcbcc867215
data.io.github.wuda0112	yhan-spring-integration-util	1.0.0	-	066af08fb5c4d16c9faf667574a0e862b816f6b3
data.org.apache.helix	helix-core	0.8.3	-	65b1124dd7e3537cf380a2bed04f63f686244190
data.org.apache.helix	helix-core	0.8.4	-	2356ec4a1b16972e7138d37ccbc28d2d6c654eab
data.org.apache.helix	helix-core	0.9.0	-	aec0c94c328ae8c66234c6ff5ab6ca2a8a2691ec
data.org.apache.syncope.ext.flowable	syncope-ext-flowable-client-console	2.1.3	-	94d83a13fff454ee12353572895ff09f6a8dc81a
data.org.apache.syncope.ext.flowable	syncope-ext-flowable-client-console	2.1.4	-	28d8f1b1ba731d029b005fa42cd334c9e414f63d
data.org.deeplearning4j	scalnet_2.10	1.0.0-beta4	-	7b192a7f08e8cb59b441511e12dd1c139c6ecf75
data.org.springframework.data	spring-data-gemfire-test	0.0.1.RELEASE	-	bc0273913fd8f7531f390b8e8018055f7828fd83
