at.molindo	molindo-mysql-collations	1.0-alpha-1		332c863fe20bded8e6eb80feaa77b095dd6b7e78
ca.vanzyl	rng	0.0.1		367b98f501cac1f24b3a843dae087b30629157ff
cn.loyom.boot	loyom-boot-cache	1.0.0-JDK21		d32d6355d928b218e3eaf085f3de213ca32081a1
cn.loyom.boot	loyom-boot-cache	1.0.0-JDK21	jdk21	d32d6355d928b218e3eaf085f3de213ca32081a1
cn.loyom.boot	loyom-boot-cache	1.0.1-JDK21		c085ddef43afb59f7482ce25d71a165c3c5c2290
cn.loyom.boot	loyom-boot-cache	1.0.1-JDK21	jdk21	c085ddef43afb59f7482ce25d71a165c3c5c2290
cn.loyom.boot	loyom-boot-cache	1.0.3-JDK21		b1069d5bdd794f69ca10de3d9e5fdf9fd1f7ceeb
cn.loyom.boot	loyom-boot-cache	1.0.3-JDK21	jdk21	b1069d5bdd794f69ca10de3d9e5fdf9fd1f7ceeb
cn.tangjiabin.pft	pft-sdk	1.0		9a8d9dd0926c9e7cce350f78496748851f899214
cn.ttpai.framework	ttpai-mybatis-autoconfigure	1.0.3		N/A
cn.ttpai.framework	ttpai-mybatis-autoconfigure	1.0.4		N/A
com.amashchenko.struts2.actionflow	struts2-actionflow-parent	1.5.3		N/A
com.amashchenko.struts2.actionflow	struts2-actionflow-parent	1.5.5		N/A
com.amashchenko.struts2.actionflow	struts2-actionflow-parent	2.0.0		N/A
com.amashchenko.struts2.actionflow	struts2-actionflow-parent	2.1.0		N/A
com.amashchenko.struts2.actionflow	struts2-actionflow-parent	2.3.0		N/A
com.amashchenko.struts2.actionflow	struts2-actionflow-parent	2.3.4		N/A
com.amashchenko.struts2.actionflow	struts2-actionflow-parent	2.4.0		N/A
com.bucket4j	bucket4j_jdk11-redisson	8.11.0		215952b1aa3b90cab1b676ef7383c9994c4f5702
com.bucket4j	bucket4j_jdk11-redisson	8.11.1		e1d3fb78515222bb9e19e92ef827571e8deb018f
com.bucket4j	bucket4j_jdk11-redisson	8.12.0		52bc640aaad697dcf64e1ae16d3842e640e7147d
com.bucket4j	bucket4j_jdk11-redisson	8.12.1		07dbad2071e1110d96256bf9a3b707581e12a4cc
com.bucket4j	bucket4j_jdk11-redisson	8.13.0		94c49fce7338e0bdb6cfec6ec789f65523c50c3b
com.bucket4j	bucket4j_jdk11-redisson	8.13.1		06488a5f5604c1a63dc907dc6c9e61d534bc7bdd
com.bucket4j	bucket4j_jdk11-redisson	8.14.0		a14203154cc3381b7b424377066cbf9679eb0901
com.codenameone	googlemaps-lib-javascript	1.0		a0b2899731f92e9465907f1c64cacfbedd741e5f
com.crazybunqnq.mvn	dify-util	0.0.1		62df426c449fa10db2ca46315bfc65f7f67a8482
