cc.zhaoac	faith-tool-common	1.1.0		a0bbc02e1610f6aa7a0fceb9f7b035a20d7734ba
ch.galinet.xml	xsd-hierarchy	0.2		0b271a85bbad8998805089f8cfbeff4340751edd
com.agorapulse	micronaut-aws-sdk-lambda	2.0.10-micronaut-1.0		10a876c05c15dcbbcf42e36cd5c71817b3287e49
com.agorapulse	micronaut-aws-sdk-lambda	2.0.10-micronaut-2.0		42519a866edaff02bb6c8f9b60d27163a620a3ba
com.agorapulse	micronaut-aws-sdk-lambda	2.0.10-micronaut-3.0		74962f1088e933938c8c2e0af19b5ce155d24265
com.agorapulse	micronaut-aws-sdk-lambda	2.0.3-micronaut-1.0		25eaf2d848f866a5d60f2ece426ba3ed34cefa74
com.agorapulse	micronaut-aws-sdk-lambda	2.0.3-micronaut-2.0		81c8408bee50fe7a5e5ed87886f1dc736c6bcd86
com.agorapulse	micronaut-aws-sdk-lambda	2.0.3-micronaut-3.0		5ffa8ebcc7684b1a1e12e750cc95e0be355ebe2f
com.agorapulse	micronaut-aws-sdk-lambda	2.0.4-micronaut-1.0		506dcbdcae40fc89040c7cb27543405b34430b35
com.agorapulse	micronaut-aws-sdk-lambda	2.0.4-micronaut-2.0		a3ff5ffd31f2e1f1b8e9bccfdb81b77fb52c8458
com.agorapulse	micronaut-aws-sdk-lambda	2.0.4-micronaut-3.0		091ee0b1a36e606ef330906810a85b2050c2dc9b
com.agorapulse	micronaut-aws-sdk-lambda	2.0.5-micronaut-1.0		08781dd5a84897c608b355c4a6e8a54b451897a5
com.agorapulse	micronaut-aws-sdk-lambda	2.0.5-micronaut-2.0		9cc645a3f70f6b759fb94731ec36bef07f7b46fe
com.agorapulse	micronaut-aws-sdk-lambda	2.0.5-micronaut-3.0		e74eca361fc0bf4571f2d9a7ec5a5b7f28f07923
com.agorapulse	micronaut-aws-sdk-lambda	2.0.6-micronaut-1.0		13ffc3f802f116ec9b0868efe88ea206f698e52c
com.agorapulse	micronaut-aws-sdk-lambda	2.0.6-micronaut-2.0		d5f743a678d6fc502cc7dcaeebb7b6ee2c367a9e
com.agorapulse	micronaut-aws-sdk-lambda	2.0.6-micronaut-3.0		6a5512de859ebd8ea7ad26c240cde8b9bf80958d
com.agorapulse	micronaut-aws-sdk-lambda	2.0.7-micronaut-1.0		e1347cdd98528f62312976f1df736ef83d33db23
com.agorapulse	micronaut-aws-sdk-lambda	2.0.7-micronaut-2.0		91803cdf25a22ee0729101e3062ddad894feb271
com.agorapulse	micronaut-aws-sdk-lambda	2.0.7-micronaut-3.0		f6761181d7ef975a0a065a547f5b4c5ce7e967f8
com.agorapulse	micronaut-aws-sdk-lambda	2.0.8-micronaut-1.0		d7a9b7ad112c7ae3be34e233683b2bfc82695e1f
com.agorapulse	micronaut-aws-sdk-lambda	2.0.8-micronaut-2.0		97f610440b26952b1f06b94832d6a1a375fd539d
com.agorapulse	micronaut-aws-sdk-lambda	2.0.8-micronaut-3.0		4cfa02d630e6ab32b3afa20c28206d2dfb69f047
com.agorapulse	micronaut-aws-sdk-lambda	2.0.9-micronaut-1.0		89a9a24c65a3c32beff5d1736489772e460a115f
com.agorapulse	micronaut-aws-sdk-lambda	2.0.9-micronaut-2.0		96eb308805b7c179929c1acd8724421bff852f2d
com.agorapulse	micronaut-aws-sdk-lambda	2.0.9-micronaut-3.0		3ab4d40ce51c7619c6529f14d4f7a25c81e64e53
com.agorapulse	micronaut-aws-sdk-lambda	2.1.0-micronaut-1.0		ca96b5235af0c81a881f45a6a8fa3ba4ea6189e3
com.agorapulse	micronaut-aws-sdk-lambda	2.1.0-micronaut-2.0		a8bb9e46b30c9676ed77659f345bbb09dc1e9844
com.agorapulse	micronaut-aws-sdk-lambda	2.1.0-micronaut-3.0		de8293bf9557f02f83ed83378910666979a5a492
com.agorapulse	micronaut-aws-sdk-lambda	2.1.1-micronaut-1.0		0a05748e86806c3ac8169a9f93c73009394a04f9
com.agorapulse	micronaut-aws-sdk-lambda	2.1.1-micronaut-2.0		6885cc93b7a477830bc2d7bcfffcb7bf6f521135
com.agorapulse	micronaut-aws-sdk-lambda	2.1.1-micronaut-3.0		29b02a47f4ace0a1bd088a275146b521c46f8764
com.agorapulse	micronaut-aws-sdk-lambda	2.1.10-micronaut-1.0		85af16910fa40882677fee82cd1233901c0269bd
com.agorapulse	micronaut-aws-sdk-lambda	2.1.10-micronaut-2.0		67fb138f3ec99b2d4a683139038c0ef94960f1da
com.agorapulse	micronaut-aws-sdk-lambda	2.1.10-micronaut-3.0		2b56f4e48ccb6b9ad71515e738e38b5104e0282b
com.agorapulse	micronaut-aws-sdk-lambda	2.1.11-micronaut-1.0		020e1abbcc23da0c80cbb517609d113bc26dac4d
com.agorapulse	micronaut-aws-sdk-lambda	2.1.11-micronaut-2.0		d67a01a1d38320ceb18d4b6838821f2a3358dcf5
com.agorapulse	micronaut-aws-sdk-lambda	2.1.11-micronaut-3.0		3da5fdeac5990524f4c1bb0e98949bda52844cae
com.agorapulse	micronaut-aws-sdk-lambda	2.1.12-micronaut-1.0		1c56de6b3c5564b720dfdef6472d4384ee1559b2
com.agorapulse	micronaut-aws-sdk-lambda	2.1.12-micronaut-2.0		de7a4431cf6157e91c1db9b0373d5e391218ff72
com.agorapulse	micronaut-aws-sdk-lambda	2.1.12-micronaut-3.0		e45c8e345189c16a8c0d014b3168e99bbf262c0d
com.agorapulse	micronaut-aws-sdk-lambda	2.1.2-micronaut-1.0		12e1b7def057b3297946f511868a2d362ddd326a
com.agorapulse	micronaut-aws-sdk-lambda	2.1.2-micronaut-2.0		352c6b4c8f97518067d387e9e322a21c2fef518e
com.agorapulse	micronaut-aws-sdk-lambda	2.1.3-micronaut-1.0		df14180bbff849e9d248c18f1b3a2eaa0f640bbc
com.agorapulse	micronaut-aws-sdk-lambda	2.1.3-micronaut-2.0		fe0bb368ec26abd508e3bb072a6fac1ea700914a
com.agorapulse	micronaut-aws-sdk-lambda	2.1.3-micronaut-3.0		7410265442a5e567b4904121dbb2af341a51fe55
com.agorapulse	micronaut-aws-sdk-lambda	2.1.4-micronaut-1.0		66016525b31a2e80bbb53140a64da62af52c6318
com.agorapulse	micronaut-aws-sdk-lambda	2.1.4-micronaut-2.0		d8622dbfaf614dbba4b93f5db0e009d2f1b3158c
com.agorapulse	micronaut-aws-sdk-lambda	2.1.4-micronaut-3.0		c1a3c93d92dee637313824c8d89253f8de21ef31
com.agorapulse	micronaut-aws-sdk-lambda	2.1.5-micronaut-1.0		454ba593f88a7fecb644180a8894fd737b211208
com.agorapulse	micronaut-aws-sdk-lambda	2.1.5-micronaut-2.0		db0dbcb61adc4e3807fbf593b3a0103e427acf65
com.agorapulse	micronaut-aws-sdk-lambda	2.1.5-micronaut-3.0		298e5a45655b48cb6e5c529d35a5ffa9953aefda
com.agorapulse	micronaut-aws-sdk-lambda	2.1.6-micronaut-1.0		812ed328a6c68ba056c031fec407f8b9a9552917
com.agorapulse	micronaut-aws-sdk-lambda	2.1.6-micronaut-2.0		d418096feffeda4a57bafd0bd92cdb747a8b8778
com.agorapulse	micronaut-aws-sdk-lambda	2.1.6-micronaut-3.0		14e996968a9c402965d44307f8a092055833b533
com.agorapulse	micronaut-aws-sdk-lambda	2.1.7-micronaut-1.0		df9227912ab325f52f46f2806ef6c8992b47f021
com.agorapulse	micronaut-aws-sdk-lambda	2.1.7-micronaut-2.0		661bc63f04d1b447089981d2faeeedb17c14c9af
com.agorapulse	micronaut-aws-sdk-lambda	2.1.7-micronaut-3.0		2587eb49c7598c30b55e31ba9b86f75540bd6e96
com.agorapulse	micronaut-aws-sdk-lambda	2.1.8-micronaut-1.0		6018b7c0ef780049f475f9b1f3e32f42ac75e53a
com.agorapulse	micronaut-aws-sdk-lambda	2.1.9-micronaut-1.0		31700696798df3156b9b862a937aa1d0dfff625e
com.agorapulse	micronaut-aws-sdk-lambda	2.1.9-micronaut-2.0		fef61f0339c9589556574db5d35d476fb6a81c2c
com.agorapulse	micronaut-aws-sdk-lambda	2.1.9-micronaut-3.0		dd4278aa131d5f1de97bb012bff72f60ed1f7df9
com.agorapulse	micronaut-aws-sdk-lambda	2.2.0-micronaut-3.0		1e9a8023e2b9f45b87fafbddeef802144ae7e5bb
com.agorapulse	micronaut-aws-sdk-lambda	2.2.1-micronaut-3.0		1dcb9f20c089c8c29050a2d39ae45638e80b0584
com.agorapulse	micronaut-aws-sdk-lambda	2.2.2-micronaut-3.0		6aaa072c7ff8dc1c49daaf4535189a3deb5e8a95
com.agorapulse	micronaut-aws-sdk-lambda	3.0.0		6c43e0175e41689139e54bcb1946e188c006010f
com.agorapulse	micronaut-aws-sdk-lambda	3.0.1		49e084df55eec2fb46f6155a7e9e893b87c4d3eb
com.agorapulse	micronaut-aws-sdk-lambda	3.0.2		3add67435e5b49eecd910b04d3ebfd56b3b9381b
com.agorapulse	micronaut-aws-sdk-lambda	3.0.3		a7eef3a2f913a7c73570e20ebe4180f64aa95d96
com.agorapulse	micronaut-aws-sdk-lambda	3.0.4		a6eff409406f079bd2368d0f3c59ff5849beac1c
com.agorapulse	micronaut-aws-sdk-lambda	3.0.5		13338edd30fdc48bf1b0cb279cf11b3bffa27b56
com.agorapulse	micronaut-aws-sdk-lambda	3.0.6		3f951b03458b986c4e149ca257aba7c59618483b
com.agorapulse	micronaut-aws-sdk-lambda	3.0.7		db3d84f2ca8985ac12702558e76f946b2466c0d7
com.agorapulse	micronaut-aws-sdk-lambda	3.0.8		087dbd9c65222dbd03ac25967dfd96073bb5f215
com.agorapulse	micronaut-aws-sdk-lambda	3.0.9		d9f28f809b9ff837f52d847aee868faa10ed4488
com.agorapulse	micronaut-aws-sdk-lambda	3.1.0		6e886aa7345b2f406f52d1c277394f2df6e81d47
com.agorapulse	micronaut-aws-sdk-lambda	3.1.1		5f29c3fc5edf389af79fb50859222d8a3fd483f5
com.agorapulse	micronaut-aws-sdk-lambda	3.1.10		d27b5a9ea173c87e3c718907fb56daf8da6664c8
com.agorapulse	micronaut-aws-sdk-lambda	3.1.11		0333502dc02b377e3cf0b8be0ccd652efaaf6c5d
com.agorapulse	micronaut-aws-sdk-lambda	3.1.12		40008bc333fe6786c6be05c358e7379b14aaf529
com.agorapulse	micronaut-aws-sdk-lambda	3.1.13		f244fd7b14e2c1edd2a324729bd8736aabbf0e48
com.agorapulse	micronaut-aws-sdk-lambda	3.1.14		68671895dabec2307722be402aadd4985bc06198
com.agorapulse	micronaut-aws-sdk-lambda	3.1.2		e62f7d2bd0f9e35e38dcd7d348fbb7dda1ec5187
com.agorapulse	micronaut-aws-sdk-lambda	3.1.3		2b2f6800a902a718ff1b1979f1a509978b5240c9
com.agorapulse	micronaut-aws-sdk-lambda	3.1.4		86bd31d397e60140ef8ab9a312d23f807b0383ec
com.agorapulse	micronaut-aws-sdk-lambda	3.1.5		f826ab890144d7e20f18b33c39e9878de89b0958
com.agorapulse	micronaut-aws-sdk-lambda	3.1.6		f6ef6a8012906f91f2b9163a10a93255d5e713ba
com.agorapulse	micronaut-aws-sdk-lambda	3.1.7		1f674dbaaa0c67770b4a1ea8794101c45fbc1a5c
com.agorapulse	micronaut-aws-sdk-lambda	3.1.8		0fa5336c4f6efc88c56233bde8959c49233cd856
com.agorapulse	micronaut-aws-sdk-lambda	3.1.9		16a663dcb3cd0e9726a411c39be6cec5c6080af1
com.agorapulse	micronaut-aws-sdk-lambda	3.2.0		c77b0c68360ee7281b134d82834fb2e449a1b595
com.agorapulse	micronaut-aws-sdk-lambda	3.3.0		214eeea7dfcb5ce799f690d1ffd4a07ec3ded39b
com.agorapulse	micronaut-aws-sdk-lambda	3.3.10		a6956e3386fca8cc06b9961f2004da090c53a481
com.agorapulse	micronaut-aws-sdk-lambda	3.3.11		d68f423eee11e081d30b1da0a673054ca1b63473
com.agorapulse	micronaut-aws-sdk-lambda	3.3.2		341afd37add7af4d67b5340744a86824312c3ce8
