avalon	avalon-meta	1.0		0cd7b83c773a18073d56ec9a91af2ac682f7a479
ch.admin.bit.jeap	jeap-spring-boot-db-migration-starter-it	17.16.0		10049806fd2c0296a7d952fe9d351e68a8be6930
ch.admin.bit.jeap	jeap-spring-boot-db-migration-starter-it	17.17.0		cb3b5b640a6c7fa28b75f9ec3c961206f76161ca
ch.admin.bit.jeap	jeap-spring-boot-db-migration-starter-it	17.18.0		aea965366a51416aa081605ee4101322df1b4841
ch.admin.bit.jeap	jeap-spring-boot-db-migration-starter-it	17.19.0		fa2ce3e8071e4ab6c6c81c03ede8e336277ecde2
ch.admin.bit.jeap	jeap-spring-boot-db-migration-starter-it	17.20.0		020745578fd30af035374c3f7f68b6f1df2cf784
ch.admin.bit.jeap	jeap-spring-boot-db-migration-starter-it	17.21.0		75fd0fc38613e5dc0b0e0267e14c9b6d0bce5ab5
ch.admin.bit.jeap	jeap-spring-boot-db-migration-starter-it	17.22.0		009439e123a0ba49e30cfe2326043f3a3fbf8796
ch.admin.bit.jeap	jeap-spring-boot-db-migration-starter-it	17.23.0		c6690ea2cfdf3b403fd9c98dcdc3ddab8867dba3
ch.admin.bit.jeap	jeap-spring-boot-db-migration-starter-it	17.24.0		d859d6c88cd364229115cadb78a358386d86696d
ch.admin.bit.jeap	jeap-spring-boot-db-migration-starter-it	17.24.1		b0d563717f2637981069b7721fff8a179d5b963b
ch.admin.bit.jeap	jeap-spring-boot-db-migration-starter-it	17.25.0		40ef049f1b34666775c36e6d9e6fed93380430da
ch.admin.bit.jeap	jeap-spring-boot-db-migration-starter-it	17.26.0		446b9dcfb57b90989253717c77db4c24c40a573e
ch.admin.bit.jeap	jeap-spring-boot-db-migration-starter-it	17.26.1		1d65309e8f6f783ca6283049299c3f6fc0347cda
ch.admin.bit.jeap	jeap-spring-boot-db-migration-starter-it	17.26.2		fadba6188d1a70a745255be1a2fb1aa5027b129c
ch.admin.bit.jeap	jeap-spring-boot-db-migration-starter-it	17.27.0		3c1b68f33eb808b2fc98c613184cffaa7a5b7cef
ch.admin.bit.jeap	jeap-spring-boot-db-migration-starter-it	17.28.0		cd10d10a2f63b2b0bd5570d02666ad10ba7149a3
ch.admin.bit.jeap	jeap-spring-boot-db-migration-starter-it	17.29.0		03815f773a952539e25b3fcc5503324509f96546
ch.epfl.scala	bloop-integrations-core_2.10	1.0.0-M2+16-87f69db9		b2adc3526454e5143ad839dd9b868bb9e0a921d2
ch.epfl.scala	bloop-integrations-core_2.10	1.0.0-M2+17-8938fa21		48f338d54f3a5d444b5a0eddcd9227c6cfa1c026
ch.epfl.scala	bloop-integrations-core_2.10	1.0.0-M3		928328113648e5b5414f986763916f4461cb0618
ch.epfl.scala	bloop-integrations-core_2.10	1.0.0-M4		d34c4e1aa101ce187663f17cf1b34acef55d1257
ch.epfl.scala	bloop-integrations-core_2.10	1.0.0-M5		653eba410fd1393039a225501dbbf06f829282e6
ch.epfl.scala	bloop-integrations-core_2.10	1.0.0-M6		2d42bf43a41eea2ce549bf6e87251583942b8dd3
ch.epfl.scala	bloop-integrations-core_2.10	1.0.0-M7		9639e70a5dcec173816a264efeb387d70c4951ee
ch.epfl.scala	bloop-integrations-core_2.10	1.0.0-M8		03d0a1d876fe2673db11c620724378205a1feb22
ch.uzh.ifi.ddis.ifp	streams-esper	0.1.0		5a95fa521e999febbff428c9201d3d97b0ccad7e
ch.uzh.ifi.ddis.ifp	streams-esper	0.2.0		c23e7f54c5f7255db578528cb8eecb59a6bd42e5
ch.uzh.ifi.ddis.ifp	streams-esper	0.2.1		2e3f0d8eda704288a1a502a6100cad778fbdd142
ch.uzh.ifi.ddis.ifp	streams-esper	0.2.3		c44e24d81bc5d2ef3725bb12cbd9e4459124dac3
ch.uzh.ifi.ddis.ifp	streams-esper	0.2.4		a8bd6116afd22a70e698f1304e35242f73f54794
ch.uzh.ifi.ddis.ifp	streams-esper	0.2.5		865346c4ba5f44201115451fc4ca26fcfa51dae7
