apache-jaxme	jaxme-rt-incubation	0.2		97b9eaee0b2d9484e7fd6514f3ecf73b4ab92947
aws.sdk.kotlin	cloudtrail	0.10.0-beta		501a362a8d7fa6971d5d0709db621f0d5a64b6b2
aws.sdk.kotlin	cloudtrail	0.10.1-beta		95e39e40c330416d55f16905387145828832727a
aws.sdk.kotlin	cloudtrail	0.11.0-beta		917ee5e1b1f0870fe4a985985cf5f06cb9ee1e1a
aws.sdk.kotlin	cloudtrail	0.12.0-beta		bdfc6a0ec9b5538bf6a9f1610d48608e29e41e83
aws.sdk.kotlin	cloudtrail	0.13.0-beta		efef935ae6abc97e8160d517feb10231eff0f744
aws.sdk.kotlin	cloudtrail	0.13.1-beta		a39429f20242778ec4e81b15a145c464e3c70e4f
aws.sdk.kotlin	cloudtrail	0.14.0-beta		dfb232ca45d1f09cc229099efa190091b896ad0a
aws.sdk.kotlin	cloudtrail	0.14.1-beta		1b30940050a51352e7d9866d6c3981f9c25f207e
aws.sdk.kotlin	cloudtrail	0.14.2-beta		3befedb54a89f40d97de5c42551d5397180dda04
aws.sdk.kotlin	cloudtrail	0.14.3-beta		d85a7d54fe895d8a045ac869d98253a9e0da1d4c
aws.sdk.kotlin	cloudtrail	0.14.4-beta		02c246fe703616445e577617516fb4a13e874295
aws.sdk.kotlin	cloudtrail	0.15.0		e61587a8be7b9107877b2ebded00795818fe0e95
aws.sdk.kotlin	cloudtrail	0.15.1-beta		39b22063b43f1cf559638778970117a97c06a899
aws.sdk.kotlin	cloudtrail	0.15.2-beta		527be7710e4b1fae28532dcd83a9cb1a73551938
aws.sdk.kotlin	cloudtrail	0.16.0		48fcfa5570657e8535579f59c9113498dab789bf
aws.sdk.kotlin	cloudtrail	0.16.1-beta		ddafead6d19b4214afa959b1371c9b7d31f0d01d
aws.sdk.kotlin	cloudtrail	0.16.2-beta		27568e750dc770ba2f9e24ba7afae00eb8a510b2
aws.sdk.kotlin	cloudtrail	0.16.3-beta		7de23535b61a6495d1af038072c44f2698f48f4a
aws.sdk.kotlin	cloudtrail	0.16.4-beta		b47f210364b96f834fe5463812cc70e76f623df2
aws.sdk.kotlin	cloudtrail	0.16.5-beta		58559f82df1d38a342b93ef27a38c24446d6d854
aws.sdk.kotlin	cloudtrail	0.16.6-beta		8f32c540d9c3607d8936dfa63026a6665325942c
aws.sdk.kotlin	cloudtrail	0.16.7-beta		26bfb56798ae18a58db464254b1c1cac36db7973
aws.sdk.kotlin	cloudtrail	0.17.0-beta		e6610e945868158abf6dad12774e1515bb0d9abe
aws.sdk.kotlin	cloudtrail	0.17.1-beta		e81e4a5da86052c32a7a519b489ef8794a7230db
aws.sdk.kotlin	cloudtrail	0.17.10-beta		a77b309e1c293e58dced28f386122a9187b08d7a
aws.sdk.kotlin	cloudtrail	0.17.10-beta	all	d8acce3f6127c9cc6a2a61947588a2569823d864
