ai.latta	spring	1.0		57dfd0f63f7a4544d647e7cbf06a74f1344f7a78
be.valuya.vattools	VatTools	2022.3		b74a7ddd996144df53e5849f1ba6088180b3a0b4
be.valuya.vattools	VatTools	2023.1		6650a76bbd38e0a088e844834ed554d96f606d77
cn.allbs	allbs-common	1.0.0		b3d4887af3b21448919e524080a426a28c3cf05c
cn.allbs	allbs-common	1.0.1		0c51ac667bdc4510d5aab917c02587a5b836343e
cn.allbs	allbs-common	1.0.2		55138e3728e96b7b3e41ce14c8145521411fbd40
cn.allbs	allbs-common	1.0.3		8cab73f53bce103ae2750d7d337d8388944ec515
cn.allbs	allbs-common	1.0.4		93cc44f716e53222b027756279a00db691b76754
cn.allbs	allbs-common	1.0.5		a94a4d8d73ec58b10e9e4ffaf8a3cbd27efbee6a
cn.allbs	allbs-common	1.0.6		641d6ffa54084081ab2f47c331d1b849227f3f5d
cn.allbs	allbs-common	1.0.7		0e8427119933269f043833c1d3f66babe9a397b7
cn.allbs	allbs-common	1.0.8		7a01af6cbe2eb636343361c56275e41d6e2d5a05
cn.allbs	allbs-common	1.0.9		06c72408aadc18b5c059e43126836d90025b2b88
cn.allbs	allbs-common	1.1.0		6e2d1c9cb5aecdec4a282ee1d877a5cba62e6743
cn.allbs	allbs-common	1.1.1		346faa238f11a52c5e6ef4256ccdf77ea1275ee9
cn.allbs	allbs-common	1.1.2		c999ac4bd1562cbfed3ab05d189ba00563c378bf
cn.allbs	allbs-common	1.1.3		e714e5168277d38f3348a93573b41e818d4d0c33
cn.allbs	allbs-common	1.1.4		0ba8fdbb6078b64b4624eaff816c0e2a8517986d
cn.allbs	allbs-common	1.1.5		412901cf821e67f8c6b3a96d12c202826701106d
cn.allbs	allbs-common	1.1.6		bc13631813ac26beeda8cd10b1fb8d58daa985a5
cn.allbs	allbs-common	1.1.7		71ae74bb5522b6706ea962c5fbd29397dca68c16
cn.allbs	allbs-common	1.1.8		431e7fb70821c80723b91cb04fd00e63bc9cb6a0
cn.allbs	allbs-common	1.1.9		9181be4cec7c2a5297a44cc4bdc56424a44c1e91
cn.allbs	allbs-common	1.2.0		64b1a51261db0172e53d59f0074683a233782aee
cn.allbs	allbs-common	2.0.0		0729be0a2d76616b4b712916a9bda8006abe3843
cn.allbs	allbs-common	2.0.1		5ce0f378fd65b73e9e43f86402aeaa7bce625183
cn.allbs	allbs-common	2.0.2		b6c50b01f26be27d7edf0e6281e6e319f5e827a9
cn.gomro.commons	thin-log	0.0.10		919db62285f873e67a7b5e7ac0e5bdfd24dad445
cn.gomro.commons	thin-log	0.0.2		f8f19b2898be1af06c52e1a52ea92760f83b3933
cn.gomro.commons	thin-log	0.0.7		dc5c3f4eea0982e9f83c589e95d8177889155b84
cn.gomro.commons	thin-log	0.0.8		7c4a0ce671493cd89f0ad3712ef3b4f5de2768a2
co.cask.cdap	cdap-api-common	3.2.0		4c1bcb92def9b877d35a9333acba8885c95bf0e5
co.cask.cdap	cdap-api-common	3.2.1		8d4bdefd857fe7c63e12557868e959ea9d153a00
co.cask.cdap	cdap-api-common	3.2.2		51323e66226fc4047bc6acb736aaee64e287c526
co.cask.cdap	cdap-api-common	3.3.0		e95e2db9c6d5c286237f9025fca7855b535b780a
co.cask.cdap	cdap-api-common	3.3.1		d6649b02d31bbc18aa66ffc85d7c8d3141674aae
co.cask.cdap	cdap-api-common	3.3.2		1b0577fe4753c66140cacd993ff16b090765c5cd
co.cask.cdap	cdap-api-common	3.3.3		9b0b81aa481010aab9cc30253126d80019e003b5
co.cask.cdap	cdap-api-common	3.3.4		809575a381da6845a66924e185b3ba38bbba3f0f
co.cask.cdap	cdap-api-common	3.3.5		f71d4432ace2dc578e903ab7fc6c3e07bfbfb095
co.cask.cdap	cdap-api-common	3.3.6		f7d776ee866cdb1284a6fb61d99fb051c417afdd
co.cask.cdap	cdap-api-common	3.3.7		cd39cc6cc0023c62918bd3351671ee41960ef875
co.cask.cdap	cdap-api-common	3.4.0		2316b3e17ed386db6589d06f6fa63368cb66c90f
co.cask.cdap	cdap-api-common	3.4.1		c00109741ee1793ab48bd7802d53c92735a8498f
co.cask.cdap	cdap-api-common	3.4.2		320977350d9e98d39d2f72423112b031bbdfc70c
co.cask.cdap	cdap-api-common	3.4.3		447543d17aae577a3f4fe5b57cc87db1c6ef39d5
co.cask.cdap	cdap-api-common	3.5.0		5df4989f51abe9a0f143869d0c440ab1e60d08d1
co.cask.cdap	cdap-api-common	3.5.1		adc34a951c1572d79fa56b65045617c9ad8bc193
co.cask.cdap	cdap-api-common	3.5.3		d05440356061be1123cc5e3c21bb458e6bce4719
co.cask.cdap	cdap-api-common	3.5.4		c670f38137883dc47d69ef25807a2880fc0844ca
co.cask.cdap	cdap-api-common	3.5.5		e0d3b19cef267ab0387634cd2cd74c6b9af6c39f
co.cask.cdap	cdap-api-common	3.6.0		52e99175f19d5cdd36aa6ce3c10c3a13f33e3bc6
co.cask.cdap	cdap-api-common	4.0.0		753e1744d1564586897d716de8570267c070bdd0
co.cask.cdap	cdap-api-common	4.0.1		46f9abb49a1ca8024cfe71c9d8a694e83725dfb6
co.cask.cdap	cdap-api-common	4.1.0		722d6cfb31936f38680d5d621d4d2fdbf2f7d644
co.cask.cdap	cdap-api-common	4.1.1		a8392dff6f9b029fd209a784fb0414c05b618165
co.cask.cdap	cdap-api-common	4.1.2		14dee5ac296ab14f3055e16bc4607deacb81ab79
co.cask.cdap	cdap-api-common	4.1.3		f64538c22ab63f3c9c3341eae5b3ebe410a358c1
co.cask.cdap	cdap-api-common	4.2.0		d0b43fd60e90d209c1a9aa1364a0f48f148699ae
co.cask.cdap	cdap-api-common	4.3.0		4991dd18b2b9012742560898b23344dd2c66d3e7
co.cask.cdap	cdap-api-common	4.3.1		11bb8f22e88381872e3ba8da993c35898e7178d4
co.cask.cdap	cdap-api-common	4.3.2		ac5e851e220ffb70ea2cb7e0cfc4441354a7f3a3
co.cask.cdap	cdap-api-common	4.3.3		2c5e271fba3b96a1fc1e6c7b07bcff7baecc0048
co.cask.cdap	cdap-api-common	4.3.4		0dc01e6ea052c4d8a08ab1d9d7e60fa3b0975f79
co.cask.cdap	cdap-api-common	4.3.5		635130d34350a724454e64f7ee41cbceaa898200
co.cask.cdap	cdap-api-common	5.0.0		c32026540d07dd11fa049e29114fbc01a0111171
co.cask.cdap	cdap-api-common	5.1.0		c41a3ed31faa30d048ebd66f0148274290731fd2
co.cask.cdap	cdap-api-common	5.1.1		af95149532982dae5ade20f8dc97e1773a4fa6ea
co.cask.cdap	cdap-api-common	5.1.2		21369c1714b2355aa92de18aba3e82f20cecbf82
com.alibaba.blink	force-shading	1.5.1		8286e316797827f0a06b90c351fbd1ae8a0104ac
com.alibaba.blink	force-shading	blink-3.2.0		12384d70daf0edee1ac00edae8c67c1fb897b710
com.alibaba.blink	force-shading	blink-3.2.1		1752548d5980c1d22d7b48d3d2cdbfee8261fce8
com.alibaba.blink	force-shading	blink-3.2.2		7066405f561bace28e8f88003a3531c0aaf04293
com.alibaba.blink	force-shading	blink-3.2.3		d0019e852807819ebfeae39d24f73d4a5368d651
com.alibaba.blink	force-shading	blink-3.2.4		896b4a5d1f77604f4a60bc6fe9b6dc7cccc9a2e2
com.alibaba.blink	force-shading	blink-3.3.0		2e5d14e078cafce111bd7b49cdf89a00ab04502e
com.alibaba.blink	force-shading	blink-3.4.0		027894c85f83de95b2cb375ab982aab2d07ddc54
com.alibaba.blink	force-shading	blink-3.5.0-RELEASE		7da88e28a4fd84896f48b39043fca14d8f1add7e
com.alibaba.blink	force-shading	blink-3.6.8		dec161fe8c1054325e006a77729a03ea26d0ac84
com.alibaba.blink	force-shading	blink-3.7.0		c84dbb398ec4f7fdde09439c26852cc228166ee2
com.amazon.opendistroforelasticsearch.client	opendistro-sql-jdbc	0.10.0.0		2ebb54bba94bff7bc32906aab1aae8409af045ab
com.amazon.opendistroforelasticsearch.client	opendistro-sql-jdbc	0.7.0.0		fed85f32fb51d0f029605053c9397daabd338325
com.amazon.opendistroforelasticsearch.client	opendistro-sql-jdbc	0.8.0.0		da629b025abf42aae7edc91f78600ad2c3a68167
com.amazon.opendistroforelasticsearch.client	opendistro-sql-jdbc	0.9.0.0		523d75fc3ca87e7d9b8408845635f2aa755218ed
com.amazon.opendistroforelasticsearch.client	opendistro-sql-jdbc	1.0.0.0		21ee9a9d31ea1de44d76af721d0737b991b5fc1a
com.amazon.opendistroforelasticsearch.client	opendistro-sql-jdbc	1.1.0.0		28f6ff65b605dbfe8362b653977c250604a9f1c2
com.amazon.opendistroforelasticsearch.client	opendistro-sql-jdbc	1.10.1.1		116ff9459c2ce446f2032d5e81feecc653d4f708
com.amazon.opendistroforelasticsearch.client	opendistro-sql-jdbc	1.11.0.0		2158e75d9b94f762412a736b28e479d596a1e2f7
com.amazon.opendistroforelasticsearch.client	opendistro-sql-jdbc	1.12.0.0		2b607066f0ed0ac96715b158a58ec3abe3644b60
com.amazon.opendistroforelasticsearch.client	opendistro-sql-jdbc	1.13.0.0		0a9d2a362906d22d5599e4c366b0e98ac67f4696
com.amazon.opendistroforelasticsearch.client	opendistro-sql-jdbc	1.2.0.0		fbdfbf5707b794822b4a7c0ea3246a394f33fa59
com.amazon.opendistroforelasticsearch.client	opendistro-sql-jdbc	1.2.1.0		54d21dd918000fb5b5cecac1432e9586e98cddb8
com.amazon.opendistroforelasticsearch.client	opendistro-sql-jdbc	1.3.0.0		6020c81e8908c581da8fb327185bf348876e49f8
com.amazon.opendistroforelasticsearch.client	opendistro-sql-jdbc	1.4.0.0		f2560e93d69b4a451901b5c4a7e5eaa2afc415ce
com.amazon.opendistroforelasticsearch.client	opendistro-sql-jdbc	1.6.0.0		d1b00e468df1454b264720b992fa7050036f134f
com.amazon.opendistroforelasticsearch.client	opendistro-sql-jdbc	1.7.0.0		3f9ef6402cb82d8a1a32ee481ca822bb1a36a9fb
com.amazon.opendistroforelasticsearch.client	opendistro-sql-jdbc	1.8.0.0		463b7d5432eb559ad421fa70fa328086d0a89aa4
com.amazon.opendistroforelasticsearch.client	opendistro-sql-jdbc	1.9.0.0		aece8fbe8ad1dbfea1992ea9be5eae4db2601115
com.amazonaws	aws-java-sdk-timestreamquery	1.11.1000		fc36496237d130955d8fe991af793b63a9130d8a
com.amazonaws	aws-java-sdk-timestreamquery	1.11.1001		a4a420ba9be85c931d9f1dedbe0f47ca51861066
com.amazonaws	aws-java-sdk-timestreamquery	1.11.1002		689d65b47c86abde64121ca79454351ec3a10886
com.amazonaws	aws-java-sdk-timestreamquery	1.11.1003		7c13ce7d6608b1e541557e53e7057fc0bb4c1987
com.amazonaws	aws-java-sdk-timestreamquery	1.11.1004		6280aa4239e29f2fcdd6567ba61704e886ad1c58
com.amazonaws	aws-java-sdk-timestreamquery	1.11.1005		751d3f7482e873e9e904784c0d899f96797dd0fa
com.amazonaws	aws-java-sdk-timestreamquery	1.11.1006		c4ea656f4ce0118d01e78bbf0d87bed5c1ea8fc2
com.amazonaws	aws-java-sdk-timestreamquery	1.11.1007		2640d00b584fe4d0ab37b762fbc5deabbe09ac79
com.amazonaws	aws-java-sdk-timestreamquery	1.11.1008		397ca53bc30015fea4b1b9a7403e1f4a3717e925
com.amazonaws	aws-java-sdk-timestreamquery	1.11.1009		c3d8ac8fdc097c1e51ad774d6bfce3439d9d8ac3
com.amazonaws	aws-java-sdk-timestreamquery	1.11.1010		c3967d9dab665bc27b3d9f95fb4ee681944a73c9
com.amazonaws	aws-java-sdk-timestreamquery	1.11.1011		90fdb8ae0eac68480ec55c229e2bb528435b740c
com.amazonaws	aws-java-sdk-timestreamquery	1.11.1012		32b98596f012eaa48bac809ee6d074c9e3be0431
com.amazonaws	aws-java-sdk-timestreamquery	1.11.1013		6cfa9b652eee50a8d5759a8a23bdd14215b027ce
com.amazonaws	aws-java-sdk-timestreamquery	1.11.1014		8bfd8ee74e993e4435f9e14302b4db4a0ca34d99
com.amazonaws	aws-java-sdk-timestreamquery	1.11.1015		f187ffe9f82920e8bd95f9b63962f975a186e302
com.amazonaws	aws-java-sdk-timestreamquery	1.11.1016		acbeaa5717e369685a862291d3586c0086255bb6
com.amazonaws	aws-java-sdk-timestreamquery	1.11.1017		e589b14d49f3ae261c5c8be4456fdd4b9133d95c
com.amazonaws	aws-java-sdk-timestreamquery	1.11.1018		7f0e65f5e6d6d5b6c8d79a6814d53503e212d15b
com.amazonaws	aws-java-sdk-timestreamquery	1.11.1019		bda47abde79a0ec6536e5edeb4b5546cabe7a38e
com.amazonaws	aws-java-sdk-timestreamquery	1.11.1020		8c55f7b5352b4c2e3e4eb7f4df2776f7881fafb2
com.amazonaws	aws-java-sdk-timestreamquery	1.11.1021		c57349bbb90808010d6a938c1d4b4fc2815ecf5b
com.amazonaws	aws-java-sdk-timestreamquery	1.11.1022		5abcd8c2ab8577f7a37922367ffd6d301a38f234
com.amazonaws	aws-java-sdk-timestreamquery	1.11.1023		cb9cbec48d08103889e337808c5b97e4dc98599e
com.amazonaws	aws-java-sdk-timestreamquery	1.11.1024		35832b52d2e291f6b4b4b53143d4c4c8af75f7c9
com.amazonaws	aws-java-sdk-timestreamquery	1.11.1025		77ddd0d6351151e8b56546502095732be2888d6c
com.amazonaws	aws-java-sdk-timestreamquery	1.11.1026		d9c2deb14472764e8cf8ca8bf0be5c6dd1a0fcb4
com.amazonaws	aws-java-sdk-timestreamquery	1.11.1027		9f01b7bbdfc20bf6adffd13c5598db90fc4e09b9
com.amazonaws	aws-java-sdk-timestreamquery	1.11.1028		a265460dcf9594364234b3984f71505a49d9ef04
