app.mustats.apolostudio	mpfilepicker-js	0.0.0		N/A
br.usp.each.saeg	saeg-commons	0.0.4		3d2dd7a44dc7ef6cf000e02a8b585a7ed9c07cd4
br.usp.each.saeg	saeg-commons	0.0.5		adcb12c7053acbc14a9db43ff29566b45372c82b
cn.dynamictp	dynamic-tp-starter-extension	1.0.8		N/A
cn.dynamictp	dynamic-tp-starter-extension	1.0.9		N/A
cn.dynamictp	dynamic-tp-starter-extension	1.1.0		N/A
cn.dynamictp	dynamic-tp-starter-extension	1.1.1		N/A
cn.dynamictp	dynamic-tp-starter-extension	1.1.1-beta		N/A
cn.dynamictp	dynamic-tp-starter-extension	1.1.2		N/A
cn.easii	easy-relation-mapstruct-plus	1.0.0		ed3f48b3e58f81e100ddedc6beab02a91f6405c2
cn.easii	easy-relation-mapstruct-plus	1.1.0		3e983154ede9494f37c4a8b0814d1cf2138fa96f
cn.easii	easy-relation-mapstruct-plus	1.1.1		d6c5dd15a92ba6ef6b963f8c741e433f7a1dfbfc
cn.vertxup	vertx-up	0.4		4fd361a984bb7ffeadcae6d9f64092338d3beeb4
cn.vertxup	vertx-up	0.4.1		82d1a3afb539fb2c5cb2598cc1a373dae364831c
cn.vertxup	vertx-up	0.4.10		0107c3af11553a9152a92f7af4162ddabdc12b5b
cn.vertxup	vertx-up	0.4.2		7c3f355ff38f36271efac51f5f28f77b66dd8026
cn.vertxup	vertx-up	0.4.3		cc2d2cf8b5582de5b81d3db563d8e7861cdd8cd2
cn.vertxup	vertx-up	0.4.4		b457e1c216c9812804c55141662f75775a9d884a
cn.vertxup	vertx-up	0.4.5		4376419fbd880d21a5a3baccbebc7269fc16071c
cn.vertxup	vertx-up	0.4.5.1		d4abf12f94cf3ac299f199dc51c313a967ba3651
cn.vertxup	vertx-up	0.4.6		278e557d1fbd3e15feffa450bd716962e2c441f0
cn.vertxup	vertx-up	0.4.6.1		81d887e714ce96b7c79ab9835b00d3eb7e4b4b83
cn.vertxup	vertx-up	0.4.6.2		199f0e43eab3906c9ee3c19d5fd68fe932a9b004
cn.vertxup	vertx-up	0.4.6.3		d71ec28ff524853b076b05dc065ca68e9522b76d
cn.vertxup	vertx-up	0.4.7		8d74cb7ea84715f443fc68ad9e1c7df996e20e47
cn.vertxup	vertx-up	0.4.7.1		bbd9b1cf260663ac204aadbda1e0b3f383963cbd
cn.vertxup	vertx-up	0.4.8		ac30558e9579c41913d488d0c93978ff319b6c6d
cn.vertxup	vertx-up	0.4.9		7b5843fda3656f47107d636101279d70c4c61569
cn.vertxup	vertx-up	0.5		6d672ce6bb8e4321a917da434cb2a00b020dcf40
cn.vertxup	vertx-up	0.5.1		07c0407ea8678dca2ce594a30b041b2bf2443b83
cn.vertxup	vertx-up	0.5.2		b39599c52bcad9bcc910bb12bb60e540e47e70ec
cn.vertxup	vertx-up	0.5.4		99fa0af9c3fd5327b76b4bc709c946b96c0f461e
cn.vertxup	vertx-up	0.6.0		4d98d657524fef89302418c133d03e243051f2fc
cn.vertxup	vertx-up	0.6.1		ad93479c0d99c4c01e8242c9215baf373d67da3a
cn.vertxup	vertx-up	0.6.2		7aef5eee2f865b2d8988d8944994badce48ab466
cn.vertxup	vertx-up	0.7.0		77cfc9ae11b159b363570e285ba5ca50e79122c2
cn.vertxup	vertx-up	0.8.0		ffa1c9f3c33834f691abdf8b194017711b031426
cn.vertxup	vertx-up	0.8.1		81df1a5665e7e6759313ab6f25b9dde6b557d6de
cn.vertxup	vertx-up	0.9.0		06fe4e7091696d77756b48d86808051958c92377
com.47deg	fetch_2.12	0.5.0		202c7f990ca3fe546a66b5edae11ff4c80d4b71e
com.47deg	fetch_2.12	0.6.0		0255b325468c9630d644b7e6bb27669580b95607
com.47deg	fetch_2.12	0.6.1		b84a0b1e98b6592f87a22e3faf739b2ef9c701e8
com.47deg	fetch_2.12	0.6.2		44b920da032fd220e3f801c745c9f51116348d53
com.47deg	fetch_2.12	0.6.3		b95a81c7d495bcaf4d0dae111514cf33b2a2679f
com.47deg	fetch_2.12	0.7.0		7fc518931c84b89501e5b933ebc895b2f9530a3c
com.47deg	fetch_2.12	0.7.1		1d45c822b6a81e9bfb673d4e01e6f46f54202f2a
com.47deg	fetch_2.12	0.7.2		58f01259a1c6edbef4619bc2a38228b6c4bdd7b5
com.47deg	fetch_2.12	0.7.3		c17a165d4484a578d95f52582fb30b6120e07176
com.47deg	fetch_2.12	1.0.0		d06580800f95cca3580386cf085e08777572271e
com.47deg	fetch_2.12	1.0.0-RC1		789a40ce9f288ab70ee5b74bc17ab000f662d025
com.47deg	fetch_2.12	1.0.0-RC2		6fd5102a5a84c52a169ed2b46e8d7a4c25863b2f
com.47deg	fetch_2.12	1.1.0		61730ce09b932b4828a09ed77f734777d953ba97
com.47deg	fetch_2.12	1.2.0		20c2b642a21d7606123b370002a653df211235c4
com.47deg	fetch_2.12	1.2.1		745dee1410c1bcbd8fd54a13a46ad86352f6e086
com.47deg	fetch_2.12	1.2.2		40009e1730a7d5c31a65044a6800cc74222253cc
com.47deg	fetch_2.12	1.3.0		d242a0b7064c51a8a58db89dadeb5fcb8fbf31ee
com.47deg	fetch_2.12	1.3.2		55317bfeb51fb72ad3f1bc2728c0cd93a3cc2296
com.47deg	fetch_2.12	2.0.0		534441dbd6f29b3f59a6f9bad1584c8bb87f3eb2
com.47deg	fetch_2.12	2.1.0		9b0a7d2cc04b35996b2a5d18e05c386e334b3162
com.47deg	fetch_2.12	2.1.1		b6955c2ca5cb9330b7288d039a289f7d65938f93
com.47deg	fetch_2.12	3.0.0		e6987108b03fa02103841f8b3a784ac0b9429cd3
com.47deg	fetch_2.12	3.1.0		3b255007bdafa7cda57940da7c075f9f3f803ab4
com.47deg	fetch_2.12	3.1.1		8dccfd6f0f1cd3939505350762412544328dcc85
com.47deg	fetch_2.12	3.1.2		ff52e9a96d45138e961fdf10f8d727193684c55e
com.aliyun	cr20160607	1.0.0		79ea64822da2c77a4d89ddf844c32465ff5e9a5f
com.avsystem.scex	scex-util_2.12.15	1.22.25		17f1ebe6195d82e813efa2eac8ba240ce821761f
com.avsystem.scex	scex-util_2.12.15	1.22.26		58d4eb1610904a4469544afeced7c8a91911e795
com.avsystem.scex	scex-util_2.12.15	1.23.0		494ca540f5e93a4958aef64d0baac21307538103
com.avsystem.scex	scex-util_2.12.15	1.23.1		de08bd8628dd646e3ac6c214aa3ad034e5e36da2
com.avsystem.scex	scex-util_2.12.15	1.23.2		52bb81401becc0084859d7cd58dae0970770677d
com.avsystem.scex	scex-util_2.12.15	1.24.0		818fe70f4c1e0ee83640a81702d1ac08f82390aa
com.github.duanxinyuan	library-springboot-aop	1.0.0		N/A
com.github.gimlet2	kottpd	0.0.3		66fa874d72a1ce30e9c996318b9b882a7c6975f8
com.github.gimlet2	kottpd	0.0.4		5b9192def42d5999f6dc011e333b4371fb7a7814
com.github.gimlet2	kottpd	0.0.5		a4e9ba4dc55de1c4fff3fecc488468c8bfc43e96
com.github.gimlet2	kottpd	0.0.6		ccc5bfbdf0b90ca2de838cf79a7d3a0c6e97da29
com.github.gimlet2	kottpd	0.1.0		51f2e32c5134e334935f2301352d9d3bef290ef3
com.github.gimlet2	kottpd	0.1.1		55315b6821ff34803eb833ea4abd38ffd5340d90
com.github.gimlet2	kottpd	0.1.11		3e838c5a1a2d6edad6e4dc546dfbcf12286948c6
com.github.gimlet2	kottpd	0.1.11	site	71fafcb94cb3cb5226d24073fdb69510f7fe1f14
com.github.gimlet2	kottpd	0.1.2		8bea3b8caac560499d2737bfecb5ccce3bc4694c
com.github.gimlet2	kottpd	0.1.3		af2c268c3fddf1a890a0ca4e0cdc44709215b5c1
com.github.gimlet2	kottpd	0.1.4		d11725a0b48f38b533cb47d836454d9403cbd154
com.github.gimlet2	kottpd	0.2.0		b73d6d4225551507ee39aebddda634c7fad83f39
com.github.gimlet2	kottpd	0.2.0	site	742168b865bc74645e0eabe6fc184ce188a35f8b
com.github.gimlet2	kottpd	0.2.1		6beb8e501eb74b5841c45615ca51bf2ac79e9264
com.github.gimlet2	kottpd	0.2.1	site	5d143f03ffc0a9d18f541398214a3b0b8a323366
com.github.julien-truffaut	newts_2.12	0.1		d1897fef3f4e8ce3b40149b4b00ec7a7af182f32
com.github.julien-truffaut	newts_2.12	0.1.1		d005c7a5977a7f5fb5b0d0cebbee52a25d867be2
com.github.julien-truffaut	newts_2.12	0.2.0		30f9fbd9cfb35c979b20207a48d9e763238b1b33
com.github.julien-truffaut	newts_2.12	0.3.0		fa654e39294c3f77939ffc694651f73f39c2cb45
com.github.julien-truffaut	newts_2.12	0.3.0-MF		e1f8438131118dc6e8fd50589c496dd068c78e2e
com.github.julien-truffaut	newts_2.12	0.3.0-MF-2		68562b638a288b25ec5c4d759eb93b44d8be4413
com.github.julien-truffaut	newts_2.12	0.3.0-RC1		92b59032b471c7521db5ce0a115f7b9b322b1ff5
com.github.julien-truffaut	newts_2.12	0.3.1		071d80014796b74bb0f3a9db46482b96a3fa76b7
com.github.julien-truffaut	newts_2.12	0.3.2		547966ac253b9757d8fa132bbce309d5f6bac1a9
com.github.overmighty	croissant	1.0.0		e85973edf0db45e5149bd6f8d7a5b23bec93562b
com.github.overmighty	croissant	1.0.1		fe44933a137c18d6c365ca998d66da1135ead0f7
com.github.overmighty	croissant	1.0.2		12fa26efe0c8ca0f2df5e0e4528c6c905d2fecf6
com.github.shalousun	smart-doc-maven-plugin	1.0.0		258f2bc9e055a2f12ac9c9ae6e7304af04125cf7
com.github.shalousun	smart-doc-maven-plugin	1.0.1		1cbfcdac323471c1949affa0c037f1e839a63a65
com.github.shalousun	smart-doc-maven-plugin	1.0.2		76d044f423a2c9f8fb405b0318c10a2a79fe9153
com.github.shalousun	smart-doc-maven-plugin	1.0.3		8eff8785eacf3024f21ea11326f43599aedf1de8
com.github.shalousun	smart-doc-maven-plugin	1.0.4		9d4d7a392130a9100f81ef668696596529aeab5a
com.github.shalousun	smart-doc-maven-plugin	1.0.5		7dd9a66a82b7a6d6654e87af2f0e66c3d465d821
com.github.shalousun	smart-doc-maven-plugin	1.0.6		ede1d7fe3de7b7d63406b556cc357f8b5de81be4
com.github.shalousun	smart-doc-maven-plugin	1.0.7		aafbaec9c4cd6b75468c4a6929466ce0df9e92d4
com.github.shalousun	smart-doc-maven-plugin	1.0.8		d49c5986dbf5e2f1b6ca1d15d2d45ff7557d9c70
com.github.shalousun	smart-doc-maven-plugin	1.1.0		1176bf3e3134e52abef5c5f41b47bfefb681e50e
com.github.shalousun	smart-doc-maven-plugin	1.1.1		69433d8d3f560422ad51327648137ab40e3c2194
com.github.shalousun	smart-doc-maven-plugin	1.1.2		5bb4f723534c5b512f78a6ea253af2c0f19faf17
com.github.shalousun	smart-doc-maven-plugin	1.1.3		3823f26ad4f4d717be54a9c8cdc0e28d6ceec41e
com.github.shalousun	smart-doc-maven-plugin	1.1.4		1275a9f7429c0d99f264f9e22ec75c4ae437a52e
com.github.shalousun	smart-doc-maven-plugin	1.1.5		d016079235bf7c06fbc006713ede951db4eb6e5b
com.github.shalousun	smart-doc-maven-plugin	1.1.6		bc53dbd6d9c18ff39778ad84d4c2bfa92dea0f36
com.github.shalousun	smart-doc-maven-plugin	1.1.7		5def91e002e49ee056af56f0a16e1387e60685bf
com.github.shalousun	smart-doc-maven-plugin	1.1.8		20696333b9a2d2c0b7fedb3c197acb6515a1c30b
com.github.shalousun	smart-doc-maven-plugin	1.1.9		9a5216d0eb9913d939ecb2e0ad92243c34167696
com.github.shalousun	smart-doc-maven-plugin	1.2.0		66fe5d5c7a945a9380559eb64e73b639d9ae204d
com.github.shalousun	smart-doc-maven-plugin	1.2.1		4c8447c864abbbb42813bbfb475066bd33246c7a
com.github.shalousun	smart-doc-maven-plugin	1.2.2		03abb019cfcfc95a22de85b8c3dce1d7399af941
com.github.shalousun	smart-doc-maven-plugin	1.2.3		cd27fb98b5a4dfef85cbcc02fd9e969248141f89
com.github.shalousun	smart-doc-maven-plugin	1.2.4		039d1c896ffa3928af16ec58c6fb8ee49c1ab7d6
com.github.shalousun	smart-doc-maven-plugin	1.2.5		1b1669c5c400e561d173d3e0d706cbc8d7783b31
com.github.shalousun	smart-doc-maven-plugin	2.0.0		526b784245d71e1a0ac690d9d94cf189471d40c9
com.github.shalousun	smart-doc-maven-plugin	2.0.1		106e122737eb87fd12790d25b5982219a7ffd678
com.github.shalousun	smart-doc-maven-plugin	2.0.2		d1cb08b1cb123bbcdf9a2da808d6dcb1f620b47d
com.github.shalousun	smart-doc-maven-plugin	2.0.3		5074c1599ce73b32997218c1c6ff1d9d7b0fd4dd
