ai.tecton	http-client	1.0.0b1		N/A
br.com.objectos.way	schema-info	0.2.0		bfab06d6995f4c7dc042d975f4c32758d46cc2c8
br.com.objectos.way	schema-info	0.2.1		18d68d08e8801d46727e2aa1ab009757bb41869a
br.com.objectos.way	schema-info	0.2.2		a837e166c1cca472145e7087447c8ef0def852c2
cn.tenmg	flink-jobs-core	1.3.0		e6bbe8e51a87a586cd4a94e8f601aab1998f3114
cn.tenmg	flink-jobs-core	1.3.0-rc1		aed8c4f307b81d4e65e9323c4e13f57cc4c1b050
cn.tenmg	flink-jobs-core	1.3.0-rc2		e1539586c4e9b98b5a77831314aff71700406e76
cn.tenmg	flink-jobs-core	1.3.0-rc3		7056639c52e7d7e3653cc3bff445cb530daa662d
cn.tenmg	flink-jobs-core	1.3.1		403f6b6d27bb0b58a368a999444c7bd52ad1140b
cn.tenmg	flink-jobs-core	1.3.2		034aa5bd8d72d6a3e3fa60135130cbc4df93b406
cn.tenmg	flink-jobs-core	1.3.3		b31a2e7f6da9fe836617d3e4e2b824b8a3cd3727
cn.tenmg	flink-jobs-core	1.3.4		be3a7b0981617d5fad1de5629b28cfe8167dcfd7
cn.tenmg	flink-jobs-core	1.4.0		a03c4b3a308e4609502b49da18e83c8719a619d0
cn.tenmg	flink-jobs-core	1.4.0-rc1		c659f858f7bee13386470d42cbab921b302584de
cn.tenmg	flink-jobs-core	1.4.0-rc2		0f5a575da0c954f4d04e960dd19db2da86fae14f
cn.tenmg	flink-jobs-core	1.4.1		7284d54b4aaca04cf4404bdefc796048ad19564e
cn.tenmg	flink-jobs-core	1.4.2		01d0b022003ec2803e2e47b31d30ff6c9e47332d
cn.tenmg	flink-jobs-core	1.4.3		2e40c27a01fbf750460fad895b89b6eb751465c6
cn.tenmg	flink-jobs-core	1.5.0		d9016fcd62ff8b4d9256dc2d997131dc8d5e2515
cn.tenmg	flink-jobs-core	1.5.1		7c0e7fcc61911f1b33be4b37efc830dd17865707
cn.tenmg	flink-jobs-core	1.5.2		bfb7326876e1420467cb30d2dfc8925a6dc067da
cn.tenmg	flink-jobs-core	1.5.3		1cecb5ea86990d918e85f6506886e727a7c67a9b
cn.tenmg	flink-jobs-core	1.5.4		5d8cd705d257824c5a7eb2a449ab82c22a314cfc
