com.bendb.thrifty	thrifty-compiler	0.1.4		ea77c744f0b5a95db3a12a3053d7ab5e0bc80f74
com.bendb.thrifty	thrifty-compiler	3.1.0		287a8dbd2fa59d44e814086e2c3ed17a25ea8945
com.bendb.thrifty	thrifty-compiler	3.1.0	all	5b807346496fa296ebb1a124ce7f0d50cf034517
com.cerner.bunsen	bunsen-spark-shaded	0.5.0		6bb3c4515d60483589ec360efd65a1eb1770994d
com.cerner.bunsen	bunsen-spark-shaded	0.5.1		b333279486068e88761fcdb4b20a00bebec04ee2
com.cerner.bunsen	bunsen-spark-shaded	0.5.10		0b56b803d7b9f2623529c7235b07e106ce32f47a
com.cerner.bunsen	bunsen-spark-shaded	0.5.11		24422cc2796a52894cd4b96c8e7d0b2502fe4ece
com.cerner.bunsen	bunsen-spark-shaded	0.5.2		b081e655423a0ac4c85247d9e03a207024b7634b
com.cerner.bunsen	bunsen-spark-shaded	0.5.3		b651ae0f888cb5a859761ad67880c532c7736649
com.cerner.bunsen	bunsen-spark-shaded	0.5.4		2a045ebfefaaa36d399caeab6e45ec9a86ae797a
com.cerner.bunsen	bunsen-spark-shaded	0.5.5		2c3c4e38c29e37a9ec9e28be9ef8f140d5e8cb18
com.cerner.bunsen	bunsen-spark-shaded	0.5.6		52dce92ae9569abc400b65523c878fb7029c085a
com.cerner.bunsen	bunsen-spark-shaded	0.5.7		451a265ccf555459800002196e63119266c96355
com.cerner.bunsen	bunsen-spark-shaded	0.5.8		873c03a3da837c2fe3c6ce8a0f7bcf62c4cc4e66
com.cerner.bunsen	bunsen-spark-shaded	0.5.9		1efa5358145248db9f3090d8e48ccccb0209861b
com.cerner.bunsen	bunsen-spark-shaded	0.6.0		f4abddced639703e5f8552a20d30e1313141a73b
com.gitee.zodiacstack	zodiac-access-logging	1.6.8		N/A
com.gitee.zodiacstack	zodiac-access-logging	1.7.0		N/A
com.gitee.zodiacstack	zodiac-access-logging	1.7.1		N/A
com.github.ghik	zerowaste_3.5.0	0.2.22		949fb67eb22aaae9e14d7ddbbfe3ae2fb5e0964a
com.github.ghik	zerowaste_3.5.0	0.2.23		2d4cbf3b0ffaa00db53a28879e22f3dd6ce73d42
com.github.ghik	zerowaste_3.5.0	0.2.24		81f8e13744ef44e135430a72009f5e608627001d
com.github.ghik	zerowaste_3.5.0	0.2.25		4d6549be2280a0e4245363af79357a97a8db8b23
com.github.ghik	zerowaste_3.5.0	0.2.26		2df322d31c5e4a2a4b2562a5dc58211742a6ff52
com.github.ghik	zerowaste_3.5.0	0.2.27		b21a12a2f468ea8b0824618670af2ef3af3ac612
com.github.ghik	zerowaste_3.5.0	0.2.28		2ee0ffb1333c947a24879ac3f0ce84f004a399bc
com.github.ghik	zerowaste_3.5.0	0.2.29		14bb78112d42f5588054c39de1969fe94ce962c3
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.1.0		3610ed738a0b6ee333959d420711ab166eedf59b
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.2.0		6a257032262f5848661ae6e26a272e2136efb3ac
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.2.1		ec188214b87396d6acabe42703f499feb3f09dcc
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.3.0		706fe29f5928bfd93e356ac618f4141769877c16
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.4.0		5eaaa2b2af8075d8e6cc4b25fd9666fe55aec8fe
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.4.1		4e84e46c3e68d0351754556bd13f4d303cb8bda9
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.4.2		42d1acdb6ac2d934cdd94e8d4b8df23e5220a80d
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.4.3		7e5456f6ad6fabfd2a593e66c7e7d4c1d9046611
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.4.4		ce900e0d38dd5ad1f3ea39233e15535b76e8e754
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.4.5		5e9f043e94e7df3256c08297655a53dfa74592f3
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.4.6		748a77263e041cbcf430d3bd9c1fd5e6386fce09
