be.vlaanderen.informatievlaanderen.ldes.ldi	geojson-to-wkt	2.12.0		1747cd0f11cb95a11dbca56e0c7edb4215fbe37a
cloud.piranha.extension	piranha-extension-omnifaces-omniservices	24.10.0		c5dd5dfd84ca35cdc864241a80710b1aec8983fd
cloud.piranha.extension	piranha-extension-omnifaces-omniservices	24.11.0		a24d2fc3441eac1c1dd66e26cdd229d596912db7
cloud.piranha.extension	piranha-extension-omnifaces-omniservices	24.12.0		d22e6cb07d0a3bb27e0a0eae73b1f12df92a5cf0
cloud.piranha.extension	piranha-extension-omnifaces-omniservices	24.7.0		1ed1897dad1b026bb4fdb9ae8f329c8069f49a77
cloud.piranha.extension	piranha-extension-omnifaces-omniservices	24.8.0		8f4b93cad4651dd1c1f2b7e501e793fd49fa6688
cloud.piranha.extension	piranha-extension-omnifaces-omniservices	24.9.0		bc8d4e950bc7c7b8c68b6539b705941bc9152e5c
cloud.piranha.extension	piranha-extension-omnifaces-omniservices	25.1.0		4f61c7f6df0a435fbbd9bda0b96437bb108e5190
cloud.piranha.extension	piranha-extension-omnifaces-omniservices	25.2.0		2c6c50052316f641ceba860166a1c2d3721ac37d
cloud.piranha.extension	piranha-extension-omnifaces-omniservices	25.3.0		186452c0a2973ffa1338e7ccd6e866d977b913a2
cloud.piranha.extension	piranha-extension-omnifaces-omniservices	25.4.0		d0b7685e96d24eb16747dfd6ad0e8df62b062262
com.adobe.granite	com.adobe.granite.crxde-support	2.3.12		a020b5759023d5053d901fdbc5704c8edb2d8b43
com.adobe.granite	com.adobe.granite.crxde-support	2.3.14		7f7845de72dffc46e59dfd40fa49c75a00689814
com.baidu.iot	iotcore-logger-standalone	1.0.3		43ab459f81e46a63b9563f44b212ddf675b6f292
com.baidu.iot	iotcore-logger-standalone	1.0.4		a8a6f9bfc0db79cdb6abddf8b0c11e3ac393c111
com.baremetalcloud	multiplatform-runblocking-native	0.47		N/A
com.baremetalcloud	multiplatform-runblocking-native	0.48		N/A
com.baremetalcloud	multiplatform-runblocking-native	0.49		N/A
com.baremetalcloud	multiplatform-runblocking-native	0.50		N/A
com.baremetalcloud	multiplatform-runblocking-native	0.51		N/A
com.baremetalcloud	multiplatform-runblocking-native	0.52		N/A
com.baremetalcloud	multiplatform-runblocking-native	1.0		N/A
com.baremetalcloud	multiplatform-runblocking-native	1.1		N/A
com.clovellytech	tsec-hash-bouncy_2.12	0.2.0.2		cce3014e73c4d7be7621311666c2b8785142276c
com.clovellytech	tsec-hash-bouncy_2.12	0.2.0.3		a07a49e4d1e40485e2110bbefa6c6f44e9a7317a
com.clovellytech	tsec-hash-bouncy_2.12	0.2.1-ct-2		aebddac210aaf92dac29a4035ab636fc92852b0b
com.composevisualeditor.apoloapps	squircle-shape-wasm-js	1.8.0-alpha04		N/A
com.composevisualeditor.apoloapps	squircle-shape-wasm-js	1.8.0-beta01		N/A
com.composevisualeditor.apoloapps	squircle-shape-wasm-js	1.8.0-dev2017		N/A
