at.asitplus	android-attestation-versionCatalog	1.5.2		N/A
aws.sdk.kotlin	iottwinmaker-jvm	0.16.0		953d3b2a9f48c35b1769454e9ad601bfe9740202
aws.sdk.kotlin	iottwinmaker-jvm	0.16.1-beta		2935b10b6b1a14a92a3407d3aacd0d3af605a331
aws.sdk.kotlin	iottwinmaker-jvm	0.16.2-beta		f65e961e05bf4c2def3ba79ea179b21613d44032
aws.sdk.kotlin	iottwinmaker-jvm	0.16.3-beta		9162a43b2ca9a93d4040f6e65df3e6ffc9063415
aws.sdk.kotlin	iottwinmaker-jvm	0.16.4-beta		1312eda98945bb1d4a430dcae8aa322a46c862c8
aws.sdk.kotlin	iottwinmaker-jvm	0.16.5-beta		6d08f3075da4cb480374fca8da805852d5e1e4d2
aws.sdk.kotlin	iottwinmaker-jvm	0.16.6-beta		1c23bff6b8358a88a0441ff19d624c715f54020e
aws.sdk.kotlin	iottwinmaker-jvm	0.16.7-beta		68e31f46eebd5507929688e3c93707aa1ed317ba
aws.sdk.kotlin	iottwinmaker-jvm	0.17.0-beta		d69ca5666ecc5c156f0bf78a1aef6522a72bff58
aws.sdk.kotlin	iottwinmaker-jvm	0.17.1-beta		39a2b9e7a275ac91b6a528b155220a58cea6e170
aws.sdk.kotlin	iottwinmaker-jvm	0.17.10-beta		b988f3c15dec6b8aba209042e0326651e7abf8e9
aws.sdk.kotlin	iottwinmaker-jvm	0.17.11-beta		a3d8fbd67cf01db76d08155238a9da69105bd6da
aws.sdk.kotlin	iottwinmaker-jvm	0.17.12-beta		441f9773ecf37368bf231e1fd16458690c1f2534
aws.sdk.kotlin	iottwinmaker-jvm	0.17.2-beta		405316f67e503a0a438a66207e8369d3c94c6ec8
aws.sdk.kotlin	iottwinmaker-jvm	0.17.3-beta		de9da402cbd44308bbd23ce867fa9a09b7fba942
aws.sdk.kotlin	iottwinmaker-jvm	0.17.4-beta		082928ffe3c05652b0ed4d3971343ea6b451b186
aws.sdk.kotlin	iottwinmaker-jvm	0.17.5-beta		df725fcfb05a72133a3d6f33ba1132d3bad84887
aws.sdk.kotlin	iottwinmaker-jvm	0.17.6-beta		2ae8d3785c8758510877858db281825f347561bd
aws.sdk.kotlin	iottwinmaker-jvm	0.17.7-beta		8e6a5d45e480b0f7667747716008023a02a29319
aws.sdk.kotlin	iottwinmaker-jvm	0.17.8-beta		61e196a14bdc2795d8735796836c2fe5af34e58d
aws.sdk.kotlin	iottwinmaker-jvm	0.17.9-beta		4729c9d249ea81396e8c4be3d1c74fc9f2b614d8
aws.sdk.kotlin	iottwinmaker-jvm	0.18.0-beta		2b69f27d377f4183d6dd6de6cd4806866151b57e
aws.sdk.kotlin	iottwinmaker-jvm	0.19.0-beta		324520775f0396326dbafe8a187bb9d6e27184cd
aws.sdk.kotlin	iottwinmaker-jvm	0.19.1-beta		b2457b5a634425c5bcaf7a9a8235c2ca4f38d0b6
aws.sdk.kotlin	iottwinmaker-jvm	0.19.2-beta		b714edd53ccea22f1e476a172c004f2902064818
aws.sdk.kotlin	iottwinmaker-jvm	0.19.3-beta		be400bf5abfab35f8b1f8e69ca088fa8b7d66eec
aws.sdk.kotlin	iottwinmaker-jvm	0.19.4-beta		79a28550709e378a8cc574dc0d7408df05e8dfaa
aws.sdk.kotlin	iottwinmaker-jvm	0.19.5-beta		2d89da80ba7239eb7bf354d14db7eeba9dfe21f1
aws.sdk.kotlin	iottwinmaker-jvm	0.20.0-beta		fd2508527c4f39ece272c4a86ee0d298f8690411
aws.sdk.kotlin	iottwinmaker-jvm	0.20.1-beta		58b0cdf5b5d0532c47e6737488e40f0fb00c7447
aws.sdk.kotlin	iottwinmaker-jvm	0.20.2-beta		671004ea7c61b4456e3dcd39c2dd6722ccdf18f6
aws.sdk.kotlin	iottwinmaker-jvm	0.20.3-beta		4682b1856b1983f25c3e599ae2104c0f86932b68
aws.sdk.kotlin	iottwinmaker-jvm	0.21.0-beta		4f22a74cccbb6b72e04612a4910218ab007427f4
aws.sdk.kotlin	iottwinmaker-jvm	0.21.1-beta		411474fdb86b290ef803310f0ec685d2b5e7cbb0
aws.sdk.kotlin	iottwinmaker-jvm	0.21.2-beta		010108403a333d53d432166d4286598c65a508aa
aws.sdk.kotlin	iottwinmaker-jvm	0.21.3-beta		407ebd0c0bdb4da7f749261ef285e137a6be9dd2
aws.sdk.kotlin	iottwinmaker-jvm	0.21.4-beta		d0fba95d62a95a59287d2cb482e10634fcec161e
aws.sdk.kotlin	iottwinmaker-jvm	0.21.5-beta		19e846f44943478e6d6d2f9e69fe1db26ec19b00
aws.sdk.kotlin	iottwinmaker-jvm	0.22.0-beta		e893dd36bbbbbeb7f274e197ee2ccc944c056423
