city.smartb.ssm	ssm-chaincode-client	0.1.0		e132c28afe0e8e93bed4218e1e719c26057111b4
cn.org.codecrafters	devkit-core	1.0.0		187d816ec581255fc9184f7fa9837c47f621c729
cn.org.codecrafters	devkit-core	1.0.0-RC		1c24fd0dfc828d1f144cef882216a6cc8e9a6ee0
cn.org.codecrafters	devkit-core	1.0.0-alpha		20fad06d7c6042dce708241c40582ce7eaea5718
cn.org.codecrafters	devkit-core	1.0.0-beta		1b649be21e52be899df1e44e1f5fa171185ff59a
cn.org.codecrafters	devkit-core	1.0.1		eb05a7cf2848742a42dc128fd3a8d1cb74c34a63
cn.org.codecrafters	devkit-core	1.1.0		201f54167c9b43faad7ea57982a74db2187f3fc4
cn.org.codecrafters	devkit-core	1.1.0-alpha		0a5ba12440ab4f0cdaa9e31872713d3042525ac1
cn.org.codecrafters	devkit-core	1.1.0-alpha1		293dddb8f39fdd3d2c1390eeff20391df342516d
cn.org.codecrafters	devkit-core	1.1.0-beta		1adf6e7f628c51db5bc8d213176dd8dbc4389388
cn.org.codecrafters	devkit-core	1.1.0.zh-CN		76cd6b4a1448b62d591d4e235d39e6b99b9aa32d
cn.org.codecrafters	devkit-core	1.1.1		6a6848bee44e4fa14ef084582a1eea2a42b37d38
cn.org.codecrafters	devkit-core	1.1.2		44ffac28c3c3841fdf5a1203466fac2c9a405961
cn.org.codecrafters	devkit-core	1.2.0		e42c3e2ff465f779ef9e6e8cde73cd4113c963d6
cn.org.codecrafters	devkit-core	1.2.1		173a5f035c903c1d83448aa6025bf990c13b86b0
cn.org.codecrafters	devkit-core	1.2.2		5ec7b29d292131f0ae2cbb57fe419ddc72d500f5
cn.org.codecrafters	devkit-core	1.3.0		368caee3b362c1b654e1b158f6dbbf184378b2d6
cn.org.codecrafters	devkit-core	1.3.1		b39a6c756535a1bfc6ca36420905001d745b07b8
cn.org.codecrafters	devkit-core	1.3.2		77b8ea0b2f933e2e079f930886c7ec84284ed979
cn.org.codecrafters	devkit-core	1.4.0		612b61dc0c9b967fdb77d8542cf89e5a89526046
co.touchlab	stately-collections-mingwx64	0.9.3		N/A
co.touchlab	stately-collections-mingwx64	0.9.4		N/A
co.touchlab	stately-collections-mingwx64	0.9.5		N/A
co.touchlab	stately-collections-mingwx64	1.0.0-a2		N/A
co.touchlab	stately-collections-mingwx64	1.0.0-a3		N/A
co.touchlab	stately-collections-mingwx64	1.0.1-eap		N/A
co.touchlab	stately-collections-mingwx64	1.0.2		N/A
co.touchlab	stately-collections-mingwx64	1.0.3		N/A
co.touchlab	stately-collections-mingwx64	1.0.4-1.4-M2		N/A
co.touchlab	stately-collections-mingwx64	1.0.4-1.4-M3		N/A
co.touchlab	stately-collections-mingwx64	1.0.4-1.4.0-rc		N/A
co.touchlab	stately-collections-mingwx64	1.1.0		N/A
co.touchlab	stately-collections-mingwx64	1.1.1		N/A
co.touchlab	stately-collections-mingwx64	1.1.10		N/A
co.touchlab	stately-collections-mingwx64	1.1.10	metadata	ef97b3eba82316e2c9e13a4e140a3ddc413d5818
co.touchlab	stately-collections-mingwx64	1.1.3		N/A
co.touchlab	stately-collections-mingwx64	1.1.4		N/A
co.touchlab	stately-collections-mingwx64	1.1.5		N/A
co.touchlab	stately-collections-mingwx64	1.1.6		N/A
co.touchlab	stately-collections-mingwx64	1.1.7		N/A
co.touchlab	stately-collections-mingwx64	1.1.9		N/A
co.touchlab	stately-collections-mingwx64	1.1.9	metadata	6ce0afa8450ed5dc3369d97ddc882664ecb095c2
co.touchlab	stately-collections-mingwx64	1.1.9-hmpp		N/A
co.touchlab	stately-collections-mingwx64	1.1.9-hmpp	metadata	87f21f81c7ebf7e0e98402908b0800c474c48dd1
co.touchlab	stately-collections-mingwx64	1.2.0		N/A
co.touchlab	stately-collections-mingwx64	1.2.0-nmm		N/A
co.touchlab	stately-collections-mingwx64	1.2.0-nmm	metadata	e4d7eae5a8e9cd4a4880c6b50ad4986c1d9e8047
co.touchlab	stately-collections-mingwx64	1.2.1		N/A
co.touchlab	stately-collections-mingwx64	1.2.2		N/A
co.touchlab	stately-collections-mingwx64	1.2.3		N/A
co.touchlab	stately-collections-mingwx64	1.2.5		N/A
co.touchlab	stately-collections-mingwx64	2.0.0		N/A
co.touchlab	stately-collections-mingwx64	2.0.0-rc1		N/A
co.touchlab	stately-collections-mingwx64	2.0.0-rc2		N/A
co.touchlab	stately-collections-mingwx64	2.0.0-rc3		N/A
co.touchlab	stately-collections-mingwx64	2.0.2		N/A
co.touchlab	stately-collections-mingwx64	2.0.3		N/A
co.touchlab	stately-collections-mingwx64	2.0.4		N/A
co.touchlab	stately-collections-mingwx64	2.0.5		N/A
co.touchlab	stately-collections-mingwx64	2.0.6		N/A
co.touchlab	stately-collections-mingwx64	2.0.7		N/A
co.touchlab	stately-collections-mingwx64	2.1.0		N/A
com.aliyun	aliyun-java-sdk-cloudmarketing	1.8.0		4be331fe90d9497905603fcbdebbfa3666ee138f
com.antgroup.antchain.openapi	openapi-ak_df30b271632148128231f9b1bc2c04e1	1.0.0		9b722b9719981489cb5d23188d1b65f8781b5b9e
com.asialjim.microapplet	commons	1.0.0		N/A
com.asialjim.microapplet	commons	1.0.1		N/A
com.asialjim.microapplet	commons	1.0.2		N/A
com.asialjim.microapplet	commons	1.1.0		N/A
com.atomikos	transactions-jndi-provider	4.0.0		6415df82f86a08b5818460bedb9f6c2a8d7a7855
com.atomikos	transactions-jndi-provider	4.0.0M4		369e0b922cbbe6e6ee9d0c3216bd759314383d2d
com.atomikos	transactions-jndi-provider	4.0.0M5		34296e3db43fc1d339e93d63553ec9c1741f95ee
com.atomikos	transactions-jndi-provider	4.0.1		9d293ab47f977b1f723c2aa82cb7bdbde76ae49c
com.atomikos	transactions-jndi-provider	4.0.2		fb7c6cadd3d21b398abfa33bd996458b7e2ab51a
com.atomikos	transactions-jndi-provider	4.0.3		62531fd2c6be5b961d647e25292dc361d90a891a
com.atomikos	transactions-jndi-provider	4.0.4		98caa9cc03a64e6745b5786d5e14380de8173950
com.atomikos	transactions-jndi-provider	4.0.5		4d729df6e1eaabdb34a9f267f1c9e73ae6055949
com.atomikos	transactions-jndi-provider	4.0.6		22e66259282ece0c35ce3ccf0929daddd2a85dfd
com.atomikos	transactions-jndi-provider	5.0.0		140950ed83e35abd1b635f47c0fc51138a3e141b
com.atomikos	transactions-jndi-provider	5.0.1		8fd8dcd2d90142a1927491ccb576ee185ced812e
com.atomikos	transactions-jndi-provider	5.0.2		7985b627130ca19c2cf548f3b75e4002300596e9
com.atomikos	transactions-jndi-provider	5.0.3		9c202931b6fe3ba9f452ba50f6df173df636f532
com.atomikos	transactions-jndi-provider	5.0.4		eb2a4731df56167c4839b7ed08e9a885e5de7caf
com.atomikos	transactions-jndi-provider	5.0.5		fd961792c2827e0ef82280a79f3309b8307e58a4
com.atomikos	transactions-jndi-provider	5.0.6		500774721e08e2effbc042d0f3f0e7d3bd827c80
com.atomikos	transactions-jndi-provider	5.0.7		d886b83f00df191205183b4b5dbd1ced8ab4af21
com.atomikos	transactions-jndi-provider	5.0.8		80c51a30618f2c7f03e27de0f57badbf0756718f
com.atomikos	transactions-jndi-provider	5.0.9		16fc9fe92fbcd48ef64b237d6adbd252db3fc170
com.atomikos	transactions-jndi-provider	6.0.0		5413d6741683c31e60356b74e62ab6bee2183c55
com.atomikos	transactions-jndi-provider	6.0.0	jakarta	6bb22bdfa79bc46cab7ec935d6163be0a01dd39c
com.atomikos	transactions-jndi-provider	6.0.0M1		f0cc3c8cb56c4e100f895aadee325deb5b95ee33
com.atomikos	transactions-jndi-provider	6.0.0M1	jakarta	3683d464800dcb71b29162f39b567cca507840ab
com.atomikos	transactions-jndi-provider	6.0.0M2		bf3ecb5b1f52aff592648af51ddc2385c3aae1ae
com.atomikos	transactions-jndi-provider	6.0.0M2	jakarta	bf11d0bf1e828cd4887ca5e7f29b71695b641ada
com.bookislife	flow-rest-server	0.0.2		7b27313288bf2358784a0413ea98a220e705e3e9
com.eclipsesource.tabris	tabris-tracking	1.4.0		4b8332a20286c318883fcfc0cf7026d46cb0df6e
com.eclipsesource.tabris	tabris-tracking	1.4.1		bd1137b9e90c65335f9be312bafbb748b9f91ff8
com.eclipsesource.tabris	tabris-tracking	1.4.2		4992853a5ce54ffd99878e0c916d897cb2524481
com.eclipsesource.tabris	tabris-tracking	1.4.3		274a642bf604efc67c54b9f03479e8369acb2f07
com.eclipsesource.tabris	tabris-tracking	1.4.4		9fe87aebd9cff24c891b986a706fd4f9c200a762
com.eclipsesource.tabris	tabris-tracking	1.4.5		019145275ef33d71df6da3e8314697d9d7f81aea
com.ekino.oss.gradle.plugin	gradle-quality-plugin	0.0.1		23692181554bd06786b9ace64fd8e15edb4bac99
com.ekino.oss.gradle.plugin	gradle-quality-plugin	0.0.2		666e39a96faedffb8f358affddacee5db88603b0
com.ethlo.kfka	kfka-model	0.3		02ba6449d6c51a9c989b578a11137a26faef5614
com.ethlo.kfka	kfka-model	0.3.1		fbe19241fc33fd0d174de2b0a354108384eee275
com.ethlo.kfka	kfka-model	0.4.0		cf5fb253f6c7b12b48a88e7328edca126c03a16a
com.exactpro.th2	th2-docker-extractor	0.1.1-dev		d511010d713f73e33d2e85f66531d11e0c5eba41
com.github.alexandrnikitin	bloom-filter_2.10	0.10.1		68492483512d693fc309b45be80da6c7b89906a1
com.github.alexandrnikitin	bloom-filter_2.10	0.11.0		45ac74702f187af3443da95525f1b5dd5a06184e
com.github.alexandrnikitin	bloom-filter_2.10	0.12.0		5b3eeabc31cf312873071470052e5039be7e1f31
com.github.alexandrnikitin	bloom-filter_2.10	0.13.0		72aa9a37e5cd77ce815c30fcb5eb8bfdf3609391
com.github.alexandrnikitin	bloom-filter_2.10	0.13.1		92a7fc35ab5083ecab7cdbe71663b89106a19cc0
com.github.alexandrnikitin	bloom-filter_2.10	0.5.0		056074332d8e8ab12ccac253651717113065d667
com.github.alexandrnikitin	bloom-filter_2.10	0.6.0		f8fbc6df4cc59f79301354b92150b880ecc1e9de
com.github.alexandrnikitin	bloom-filter_2.10	0.7.0		ab7e0501cab275e45f1ae205a0cee52cf2e393ee
com.github.alexandrnikitin	bloom-filter_2.10	0.8.0		e2ae0c2beb4c7ad3ba0e9164caae6756c7cf6454
com.github.alexandrnikitin	bloom-filter_2.10	0.9.0		49a9706e4be3db92b11765ec5dce70b5f7a7778f
com.github.alorma	compose-settings-storage-datastore-proto	0.15.0		N/A
com.github.alorma	compose-settings-storage-datastore-proto	0.16.0		N/A
com.github.alorma	compose-settings-storage-datastore-proto	0.17.0		N/A
com.github.alorma	compose-settings-storage-datastore-proto	0.18.0		N/A
com.github.alorma	compose-settings-storage-datastore-proto	0.19.0		N/A
com.github.alorma	compose-settings-storage-datastore-proto	0.20.0		N/A
com.github.alorma	compose-settings-storage-datastore-proto	0.21.0		N/A
com.github.alorma	compose-settings-storage-datastore-proto	0.22.0		N/A
com.github.alorma	compose-settings-storage-datastore-proto	0.23.0		N/A
com.github.alorma	compose-settings-storage-datastore-proto	0.24.0		N/A
com.github.alorma	compose-settings-storage-datastore-proto	0.25.0		N/A
com.github.alorma	compose-settings-storage-datastore-proto	0.26.0		N/A
com.github.alorma	compose-settings-storage-datastore-proto	0.27.0		N/A
com.github.j5ik2o	reactive-kinesis-cats_2.11	1.0.7		dea4a2d6a55fea0d55b8c4c9a3263cfb6fb13f94
com.github.mvysny.vaadin-boot	common	13.0		79ea839633dfbbedeee8cece6ccfd93cf2480487
com.github.mvysny.vaadin-boot	common	13.1		f615956014f9af7d94023cc9de4378fd7c408623
com.github.mvysny.vaadin-boot	common	13.2		a2281d4c40abe44340796fd809dd23e72c6dca3f
com.github.mvysny.vaadin-boot	common	13.3		59b1b7bdef7212c2ef42d1e20d6ac02c5f8a9d9d
com.github.pukkaone	closure-compiler-maven-plugin	1.0.0		16692dcc699ec9ead06bf06813eb544f4c51bc81
com.github.skydoves	viewmodel-lifecycle	1.0.0		N/A
com.github.skydoves	viewmodel-lifecycle	1.0.1		N/A
com.github.skydoves	viewmodel-lifecycle	1.0.2		N/A
com.github.skydoves	viewmodel-lifecycle	1.1.0		N/A
com.github.wslf	Utils	1.1.0		1261890628a0d237d120a09d61b77d854827d3c2
com.github.wslf	Utils	1.1.2		547413311077b05921883a88a8d7451e4854d8db
com.googlecode.redbox-mint	plugin-transformer-local	1.10		7bd4a709f5ceeba471d7f2341d6e0680d88f8715
com.googlecode.redbox-mint	plugin-transformer-local	1.3		b9258003b622ba6c24469b9e69e53e7789989694
com.googlecode.redbox-mint	plugin-transformer-local	1.3.1		836fc5d8db306e3a2d59f13218bd247aa7addb70
com.googlecode.redbox-mint	plugin-transformer-local	1.4		81e7f1e1da69b08a7efb6d717f75820462e73d36
com.googlecode.redbox-mint	plugin-transformer-local	1.5		a09b8a06dff4ee6f9f8cc89596594971bab8e9ba
com.googlecode.redbox-mint	plugin-transformer-local	1.5.1		a0bef94e5227f14dd1632f36c07ced1f083e2f0d
com.googlecode.redbox-mint	plugin-transformer-local	1.5.2		3461a921e7e58f9f956b8a429d1c1bccef4f773a
com.googlecode.redbox-mint	plugin-transformer-local	1.5.2.1		e80fd82dc3158ec26c8538f30d5ab49b28b42188
com.googlecode.redbox-mint	plugin-transformer-local	1.5.2.2		bc0bc56ad700c6d2dfd02c941a8ed9fdea63816f
com.googlecode.redbox-mint	plugin-transformer-local	1.5RC1		04f754d5bfafb2514378eedcb9d522121e2bdb70
com.googlecode.redbox-mint	plugin-transformer-local	1.5RC2		cbdd18812fc5a0793a75eb0982d8e094d7aa6a3a
