ca.gosyer	accompanist-placeholder-material3-android-debug	0.30.1		N/A
ca.ibodrov.concord	testcontainers-concord	0.0.1		36e5e8a5716c3682c4cc52e11f3fbcca320bdfcd
ca.ibodrov.concord	testcontainers-concord	0.0.10		fa773f0c5dd90870bfa4d6867609758793d8e29c
ca.ibodrov.concord	testcontainers-concord	0.0.11		f6b82bc42ebfd6db76a5f1fc6ab00f981f6e286a
ca.ibodrov.concord	testcontainers-concord	0.0.12		777eb812ebc61fb095ce00de179b65878cc130be
ca.ibodrov.concord	testcontainers-concord	0.0.13		964bbe5d73b685f94d6f3bd8a495fe557f237d2c
ca.ibodrov.concord	testcontainers-concord	0.0.14		d1bda7b9ad83dc16d1eff143e33aaa0ec8bf832c
ca.ibodrov.concord	testcontainers-concord	0.0.15		26e957092edbba58d31b29c49d83cd15ae319c76
ca.ibodrov.concord	testcontainers-concord	0.0.16		9eef3f8a20f8b3de18dbf2b888cf3df6af9dc88b
ca.ibodrov.concord	testcontainers-concord	0.0.17		27fa6ce9a5aeb23c8b260e453e1a9039b2f07eb5
ca.ibodrov.concord	testcontainers-concord	0.0.18		3700f12bfa224be1065b200e319cbeab6e6d74bf
ca.ibodrov.concord	testcontainers-concord	0.0.18	shaded	ff1acbab3ab4dd3ce16a8e516930a69ef1a7e730
ca.ibodrov.concord	testcontainers-concord	0.0.19		f21e49734d289ce558f897aa5efd3b094d34b2f0
ca.ibodrov.concord	testcontainers-concord	0.0.19	shaded	2ab2a1444a3e0c4b8e82382cd677d2e66d40e65a
ca.ibodrov.concord	testcontainers-concord	0.0.2		a61509d781492ac71e161cdbae872eee195cb128
ca.ibodrov.concord	testcontainers-concord	0.0.20		2ab2a1444a3e0c4b8e82382cd677d2e66d40e65a
ca.ibodrov.concord	testcontainers-concord	0.0.3		8e064c46785b1ac9fb01781e8c0278986e95c677
ca.ibodrov.concord	testcontainers-concord	0.0.4		bc40ef661271d44d3c310a853bbac94c47e3aa1c
ca.ibodrov.concord	testcontainers-concord	0.0.5		4f81d94868e8dee1e1d14e9343e5ffe8f926f168
ca.ibodrov.concord	testcontainers-concord	0.0.6		71fda130eaab4b466a0c10df17d2d00a1feda9c8
ca.ibodrov.concord	testcontainers-concord	0.0.7		27311fe07131df1946fd3ee43fecd6f4ad197054
ca.ibodrov.concord	testcontainers-concord	0.0.8		cae1f70a2261f231dccdc0c7fec276abbcb88243
ca.ibodrov.concord	testcontainers-concord	0.0.9		5f84eac1df6f1ec3dfbde4731b09862cac2bd062
cn.detachment	detachment-rocketmq-consumer-example	1.0.0-RELEASE		00558da0e06fe3885aa1b874e1dc7d1e7764b7bf
cn.detachment	detachment-rocketmq-consumer-example	1.0.2-RELEASE		fe8bf67b70062cc0af2543d9ee59358b92302f6c
cn.lingyangwl.framework	kafka-spring-boot-starter	1.1.0		0833aec7597b200dcf3b3f945e2bd80cde70acc9
cn.lingyangwl.framework	kafka-spring-boot-starter	1.2.0		71ca440debdc42fcc3b77c6d9a9c4a4db0b0aeee
cn.lingyangwl.framework	kafka-spring-boot-starter	1.3.0		876f4a7c22084f6d0a19342ea7b642b9166306b4
co.privacyone.sdk	restapi	1.6.0		42207285bdf5a574b43b7f6d79ce8639332e6f56
co.privacyone.sdk	restapi	1.6.1		a2cdb5459ce6cfc84b8d2b53acd1337b1464813e
co.privacyone.sdk	restapi	1.6.2		b38587e854c37afaef2bb77397542e6e9fc6b1d1
co.privacyone.sdk	restapi	1.6.3		88c191b0e337c60516192c714db64cda404fd14c
co.privacyone.sdk	restapi	1.6.5		2055fc43ef1a7b2c8a80e1452422db300e8407b7
co.privacyone.sdk	restapi	1.6.6		11aee8c5f579367f52a14bce20bcf8f2860039c7
co.privacyone.sdk	restapi	1.6.7		4826d5ae01d80a8017e2eca0e354aec39277d5a6
co.privacyone.sdk	restapi	1.6.8		6131d7a28595db5a5f48e6a9ac3bb02e88208695
co.privacyone.sdk	restapi	1.6.9		dbe938934d455e8793af4b97c60a3ac64beb6571
co.privacyone.sdk	restapi	1.7.0		39488f62c6aa682350dc6e2eb6833b9b5f2abc52
co.privacyone.sdk	restapi	1.7.1		b502d602e5d194d69d3db3f39b0c0cae647a3c66
co.privacyone.sdk	restapi	1.7.2		0c8437e91b789b8137876728b8c879ae44a23771
co.privacyone.sdk	restapi	1.7.3		8c5648f321dc4d420eaf2da347b31c523b792b20
co.privacyone.sdk	restapi	1.7.4		93037293486ed0328b4dc3e14e62f28e55e9f924
co.privacyone.sdk	restapi	1.7.5		2e623497699ee3106a1e55d987978c994fe0d728
co.privacyone.sdk	restapi	2.0.0		e223f74275803df2cea352181b5bf6f15431fc7f
co.privacyone.sdk	restapi	2.0.1		6d8bf436595b3a99c42cf22fac65c944a368909a
co.privacyone.sdk	restapi	2.0.2		6462d0ba70707085656deb0e2a8edb4442383223
co.privacyone.sdk	restapi	2.0.3		79779efdba37694d2f3296bca5c66a48ffebcb2d
co.privacyone.sdk	restapi	2.0.5		40279d0bacc3248c0901526b92dab9a72391e241
co.privacyone.sdk	restapi	2.0.6		bb46166c734563542a38ed43b105112624ec40cc
co.privacyone.sdk	restapi	2.0.7		9fe93c6b2b4edb1bee58653cc44a8ffd7fed408f
co.privacyone.sdk	restapi	2.0.8		60908c483c908ef67e30cfd21bf69dbdd1ebd9e2
co.privacyone.sdk	restapi	2.0.9		849e157e3e4f195a50a8231c3b01c5989e7ed17e
co.privacyone.sdk	restapi	2.1.0		27fd26e037ed8e42d66f73c9b915989782789773
co.privacyone.sdk	restapi	2.2.0		2ecfcb96d59ca5bb76cfd4e4358445c4902b30cc
co.privacyone.sdk	restapi	2.2.1		0753d235d928bd2ac5f63a642cd940dd314358ee
com.anaplan.engineering	azuki-script-generation	0.4.0-alpha.10		a4ba755fb71f78438dec002aa25eaba5494a2958
com.anaplan.engineering	azuki-script-generation	0.4.0-alpha.11		7c43fefd08fd98a4afb4262beef68f152a91abe8
com.anaplan.engineering	azuki-script-generation	0.4.0-alpha.12		babf1db66053870642f0b2767989ebe079c300d5
com.anaplan.engineering	azuki-script-generation	0.4.0-alpha.13		38a38a5451072ec4027f4cb2719ad98d1046de03
com.anaplan.engineering	azuki-script-generation	0.4.0-alpha.14		39ad89087097f3f874348ed470b3c1595277a58b
com.anaplan.engineering	azuki-script-generation	0.4.0-alpha.15		dba6a31180e453c2f7e30cb6b48af09460ac7f89
com.anaplan.engineering	azuki-script-generation	0.4.0-alpha.16		7014af1637cfc5f286713641ab8f584d8d7a4e46
com.anaplan.engineering	azuki-script-generation	0.4.0-alpha.17		5a5d1feb65403bf0bdc6a0e7535457d9414ee5be
com.anaplan.engineering	azuki-script-generation	0.4.0-alpha.18		4934952791b2fe691250320f37dca297964fd13c
com.anaplan.engineering	azuki-script-generation	0.4.0-alpha.19		2e7ba2d54c59de181cdfce7508a64530d22c2f17
com.anaplan.engineering	azuki-script-generation	0.4.0-alpha.3		2468a279c114a56cc340e198e872fb83a6f18d7a
com.anaplan.engineering	azuki-script-generation	0.4.0-alpha.5		e53c18e7e5e4e9fe7b362c8affee5fe5999822b5
com.anaplan.engineering	azuki-script-generation	0.4.0-alpha.6		845f6bd7be4f02a8f540df484b835202d48ec246
com.anaplan.engineering	azuki-script-generation	0.4.0-alpha.7		5642f5dc28168441c4a64bb04ed5309dd0757888
com.anaplan.engineering	azuki-script-generation	0.4.0-alpha.8		092566721ffe4b70ff9adc130cbaa06e9d6bac36
com.anaplan.engineering	azuki-script-generation	0.4.0-alpha.9		6d6a41cebfcb61dc72cd3abde8d8c390a60cf69f
com.devonfw.java.starters	devon4j-starter-cxf-server	2020.04.001		eed56b6880f99de52c5ec746c7d7130f1f1787b7
com.devonfw.java.starters	devon4j-starter-cxf-server	2020.04.002		dbe1fd1e4814833bc07b42cf7e18c7e16097bf6d
com.devonfw.java.starters	devon4j-starter-cxf-server	2020.08.001		c86845310c0c16a39effe84d9adb2967ae308c6c
com.devonfw.java.starters	devon4j-starter-cxf-server	2020.12.001		fc3e2667dac3406079f7b279bbeff090804ed6f6
com.devonfw.java.starters	devon4j-starter-cxf-server	2020.12.002		29d3ee62d0e3386ac7334218defe50002be4d2dd
com.devonfw.java.starters	devon4j-starter-cxf-server	2021.04.001		59f8cafff8087253f812a6f2c504d02da9d20006
com.devonfw.java.starters	devon4j-starter-cxf-server	2021.04.002		11c5e8008132cb8dfd3d1a3602ad67d425b9416d
com.devonfw.java.starters	devon4j-starter-cxf-server	2021.04.003		3e5fdaa7e47238626d8f7e9a0bb36496ff1188fe
com.devonfw.java.starters	devon4j-starter-cxf-server	2022.04.001		aaae7e96d38afd5682e92648c7db82bb821f9986
com.devonfw.java.starters	devon4j-starter-cxf-server	2022.12.001		34df959cdd9162c53401bcb17274807a2a2ec309
com.devonfw.java.starters	devon4j-starter-cxf-server	2023.01.001		860f38d13fcd9c1f0343a24c0139a4dd9756b404
com.devonfw.java.starters	devon4j-starter-cxf-server	3.0.0		56699da4e5024c866797d93ddfd9757aa8b6fed3
com.devonfw.java.starters	devon4j-starter-cxf-server	3.0.0-alpha.1		cb9f6c66481c8d8f4d3804d2d881ba9fbba386bc
com.devonfw.java.starters	devon4j-starter-cxf-server	3.0.1		045f1687bc0c2c7b3a540d7941a75f820231e241
com.devonfw.java.starters	devon4j-starter-cxf-server	3.0.2		1a9c58464f7d3b1034ad112643025944b76dba8d
com.devonfw.java.starters	devon4j-starter-cxf-server	3.1.0		182b7709f45df6d7ef661a8b6a045ba6e663011d
com.devonfw.java.starters	devon4j-starter-cxf-server	3.1.1		fc3aca4de62add0c4d60b9ebd00e046b77f5928d
com.devonfw.java.starters	devon4j-starter-cxf-server	3.2.0		e587a6bb8821a838112b091fb666d10dadf9be7b
com.devonfw.java.starters	devon4j-starter-cxf-server	3.2.1		32d6c97398368ef1ca98f133e2196395be3dfc86
com.dukeware	jbatis	2.4.8		b69cbb73d960ef6b81041536a39bbb82e2820bc5
com.dute7liang	pay-tool-wx	1.0-RELEASE		4c130b72ee0cfac2a6291dcaf64e29ab5b6ab6d0
com.github.axet	apple	0.0.2		551995afcefcbbd17522fa46b258a6639ef3c9cd
com.github.cpfniliu	code-dict	1.0		9a2e1283eb45f1c3860f717d8131d136f8f9379b
com.github.huntersherms	Pojo2Parquet	0.0.1		041c4acbd32973f73d8da80c10ffb16a8fcef451
com.github.huntersherms	Pojo2Parquet	0.0.2		9c6a467a21e75dd6f6f34891e3bb69b7d5b177f6
com.github.huntersherms	Pojo2Parquet	0.0.3		b1eb3c4f837ad4e6d936936c408b5034e2fc3aa6
com.github.huntersherms	Pojo2Parquet	0.0.4		11ade4fa9144832485e5072a0517a65e9563cc1f
com.github.huntersherms	Pojo2Parquet	0.0.5		cfb9d274d6e316b4c1021a507d3c00df9e545fb6
com.github.kittinunf.result	result-macosx64	5.3.0		N/A
com.github.kittinunf.result	result-macosx64	5.3.0	metadata	c68914ae8aba314f8999fecbb9bc7aa18d9b9757
com.github.kittinunf.result	result-macosx64	5.4.0		N/A
com.github.kittinunf.result	result-macosx64	5.4.0	metadata	2c91e28369d28ec850aa1448f0d3dbbeea0b710c
com.github.kittinunf.result	result-macosx64	5.5.0		N/A
com.github.kittinunf.result	result-macosx64	5.5.0	metadata	a496b87c7830f2dc748714310f18dc6f95300655
com.github.kittinunf.result	result-macosx64	5.6.0		N/A
com.github.kittinunf.result	result-macosx64	5.6.0	metadata	52f6806e756e910b82d40655db37522c2226db3b
com.github.safeprometheus	safeprometheus	1.0.0		f153c3e01513bf3c848d43da7b6b79c3b6c9da10
com.github.safeprometheus	safeprometheus	1.0.1		be0862e83a112e446524001c2fcf0c1408588124
com.github.wangzaixiang	ammonite-scripts_2.13	0.1		dc0417635358738e13da09f5dbf26b548fd74609
com.github.wangzaixiang	ammonite-scripts_2.13	0.1.1		4741b51bf6d9f5cc78602a041a8840e4af2742e5
com.github.wangzaixiang	ammonite-scripts_2.13	0.1.2		201f3a96b2ec8244a11201e9a3a441908c5a7dca
com.github.wangzaixiang	ammonite-scripts_2.13	0.1.3		3545e40a04512fdc60074a69f42a7be6f0c5c7b6
com.metaring	framework-java-impl	1.0.0		57ab8baef9415fda5aa665e61c1292ba1c4908be
com.metaring	framework-java-impl	1.0.1		f2592109b8060e18d380c2601a8f23f061d7787e
com.metaring	framework-java-impl	1.0.2		c635ae8a827c2f8e303c3590afc4f05dc7f636d3
com.metaring	framework-java-impl	1.0.3		d33a230703f72f0b4fb21a79a0b01f4f4dc1bdf0
com.metaring	framework-java-impl	1.0.7		cf718dabe46aa8f18b7c461f8e3dd201c14f9b37
com.metaring	framework-java-impl	1.1.1		07dd1c0f9e305719a710451208892d2c2274ce94
com.metaring	framework-java-impl	1.1.5		1f534765112c80f50360774f18ea7d5e009fcb29
com.metaring	framework-java-impl	1.1.6		6eac5e9a52d67bd0c834c8f9a2d9fd7e4c9ae90b
com.metaring	framework-java-impl	1.1.7		99e5a51d76b70be79d4f97862d79bdb2ee706429
com.metaring	framework-java-impl	1.2.1		88d286f048a9900e5f3b7094a9c12f4a478b87ed
