ae.teletronics.nlp	w2vec	1.0	-	121e8634cfe773a451289321e0b00a45cbc5727c
africa.absa	inception-mail-api	1.0.0	-	2f07d40e2f77fbec1806ec327cbd9bf8eb5e688a
africa.absa	inception-mail-api	1.0.1	-	194a9c31b41b5094e0463237d98f67a6305d4dc8
africa.absa	inception-mail-api	1.1.0	-	b2d46ebe22ddb437e908c648857f632255c8ed73
africa.absa	inception-mail-api	1.1.1	-	4403e31fdf0ed0ba3ed4af1571a95f078d7610be
africa.absa	inception-mail-api	1.2.0	-	0867dc69cebb6c117a8474b1f75a0a7b0c580b23
ai.foremast.metrics	foremast-spring-boot-k8s-metrics-starter	0.1.2	-	f6b5c1ec6133e3e39e68babf526fa87e8e6bc165
ai.foremast.metrics	foremast-spring-boot-k8s-metrics-starter	0.1.3	-	189c1ac99b3a62aafb7b205f580084dc1f081afb
ai.foremast.metrics	foremast-spring-boot-k8s-metrics-starter	0.1.4-SB1X	-	82434a2a8d6c8755edb138cd4a5caa811f868db7
ai.foremast.metrics	foremast-spring-boot-k8s-metrics-starter	0.1.4-SB1X_5	-	087a3284887a51f2f2b1bbbd973af511632e2fb2
ai.foremast.metrics	foremast-spring-boot-k8s-metrics-starter	0.1.4-SB1X_6	-	fd9e33714d1399fe032bcb12835d352aadcf661d
ai.foremast.metrics	foremast-spring-boot-k8s-metrics-starter	0.1.5	-	a86e220c74c8695ec4ab4849adeb80ac9fd80c8a
ai.foremast.metrics	foremast-spring-boot-k8s-metrics-starter	0.1.6	-	b3982f3107e8f758d361571aae3b2c539c99f2d4
ai.foremast.metrics	foremast-spring-boot-k8s-metrics-starter	0.1.7	-	b418b51b3596b35b2fda2a486330de3df0882a74
ai.foremast.metrics	foremast-spring-boot-k8s-metrics-starter	0.2.0	-	dd764ae0555529e7ca2d033e19c195fea96e285a
ai.h2o	sparkling-water-ml_2.11	2.0.0	-	655e408dbd3fab408c0eea49f7a5b52b5782c0d7
ai.h2o	sparkling-water-ml_2.11	2.0.1	-	53227400304c2dc7f00dcbc711cdb016c80baf68
ai.h2o	sparkling-water-ml_2.11	2.0.10	-	2009f03329d082692fecc18a1a3a1af363334192
ai.h2o	sparkling-water-ml_2.11	2.0.11	-	3bcf47bd018b0550736d9dfb407e1c510725d815
ai.h2o	sparkling-water-ml_2.11	2.0.12	-	ba8a725b44f4dd669d1e4dc5e59bc928e7bfde37
ai.h2o	sparkling-water-ml_2.11	2.0.13	-	d97d2fad799b9a1aa2602e242a11146e65abb562
ai.h2o	sparkling-water-ml_2.11	2.0.14	-	b7583ac637f508f1d1ddea9b88a04bd3efba50a2
ai.h2o	sparkling-water-ml_2.11	2.0.15	-	ca86d09c5859abb0f35b822ead9b7c34e10492a0
ai.h2o	sparkling-water-ml_2.11	2.0.16	-	093ac6f0da50d4e8e07417d262c7c7144127ddb4
ai.h2o	sparkling-water-ml_2.11	2.0.17	-	56c1edc7757ae220dd38ea6aa0c9866c8ff2c9c4
ai.h2o	sparkling-water-ml_2.11	2.0.18	-	1bc28673eb03ac9ec72811cb832b22658245b36c
ai.h2o	sparkling-water-ml_2.11	2.0.19	-	58b1db77380191a8092e97b9e3b9d4c83a9fcdfc
ai.h2o	sparkling-water-ml_2.11	2.0.2	-	aedfa86618823a5294fb5f5fa38c75dcf2c79b41
ai.h2o	sparkling-water-ml_2.11	2.0.20	-	abdd4849f6da72af36180f59830a64daba487e4e
ai.h2o	sparkling-water-ml_2.11	2.0.21	-	aab26aa3812c98962d57c400ed3d0bd0c7b0d6bf
