africa.shuwari	version-codecs-zio_native0.4_3	0.4.0	-	caad64da066acbaff5b8a31e890cbc49fd132c9d
au.id.tmm.tmm-utils	tmm-utils-testing-scalacheck_2.13	0.10.0	-	95ce716a68aad60bdb439d9b56136e1c9d0c0494
au.id.tmm.tmm-utils	tmm-utils-testing-scalacheck_2.13	0.6.0	-	90ee7e39207560538820d454b665774ab8816810
au.id.tmm.tmm-utils	tmm-utils-testing-scalacheck_2.13	0.6.1	-	25559bd1d938f129315e3c72c0e8d02913081d36
au.id.tmm.tmm-utils	tmm-utils-testing-scalacheck_2.13	0.6.2	-	10bfbcb08999c28725ef59d1f24ca4f541e9fcaf
au.id.tmm.tmm-utils	tmm-utils-testing-scalacheck_2.13	0.7.0	-	6e3e0c5ba0230e92f142f0cea6c250dfffa269c1
au.id.tmm.tmm-utils	tmm-utils-testing-scalacheck_2.13	0.7.1	-	5d1a4ed3263043c808af39109e92d76a5c8a2482
au.id.tmm.tmm-utils	tmm-utils-testing-scalacheck_2.13	0.8.0	-	758d90279033b15b4e39dde5c144fa0acfba9c5b
au.id.tmm.tmm-utils	tmm-utils-testing-scalacheck_2.13	0.9.0	-	0d5dcf868f7c4377f92c0a4f5dde26527f790ce4
au.id.tmm.tmm-utils	tmm-utils-testing-scalacheck_2.13	0.9.1	-	162c1c1d95b90812a1c1df36be34e838b4832c06
au.net.causal.shoelaces	shoelaces-jdbc-integration-tests-container-h2	2.0	-	9074909c62abebb493b56c772b6e83d0bd854c40
aws.smithy.kotlin	crt-util-jvm	0.10.0	-	03a1077479dcc2377d9eaecccd7cf1f22c8b6447
aws.smithy.kotlin	crt-util-jvm	0.10.1	-	f1950063c72a20322fe09378cdb9aa2406e5df90
aws.smithy.kotlin	crt-util-jvm	0.10.2	-	ea5d9d2db9478bb7253eab74c30a77614e1727b0
aws.smithy.kotlin	crt-util-jvm	0.11.0	-	42d6937486c26d73cc64a692149af4a87e11a0d0
aws.smithy.kotlin	crt-util-jvm	0.11.1	-	cdfb986d31fc0a5c1eeea868d5d35a7e963f8556
aws.smithy.kotlin	crt-util-jvm	0.11.2	-	5617f4ceda6723b71df8ff60922d3621cf111e9b
aws.smithy.kotlin	crt-util-jvm	0.12.0	-	0919fa23822e0e23ee98b855135e9712a96579be
aws.smithy.kotlin	crt-util-jvm	0.12.1	-	152d0aa60f7779476e53588db2c45d4a5ed13039
aws.smithy.kotlin	crt-util-jvm	0.12.10	-	59c9ed882ff19e161afda68966fd7e527f72c337
aws.smithy.kotlin	crt-util-jvm	0.12.11	-	35d411170cd8c4b16641f9c324bc5fa9cc5e6b0e
aws.smithy.kotlin	crt-util-jvm	0.12.12	-	8ee5a1da96a6807213c329b2134212a076798ff3
aws.smithy.kotlin	crt-util-jvm	0.12.13	-	f36a71adfa9f574db52cb681971695fe3f3316f1
aws.smithy.kotlin	crt-util-jvm	0.12.2	-	214ded5ad2a7f6717e9c195d29796a7b4c9d3483
aws.smithy.kotlin	crt-util-jvm	0.12.4	-	3829a6dd89e167448d85bec7a13ea5a577e999bc
aws.smithy.kotlin	crt-util-jvm	0.12.5	-	b7c1312095efed8688bb24e84938f7b13fa99d97
aws.smithy.kotlin	crt-util-jvm	0.12.6	-	9c6251566f623cb9222612cb7dc57639032c730e
aws.smithy.kotlin	crt-util-jvm	0.12.7	-	017084d3c3d0ddaef6a97746c1ac1362ac2d8cf2
aws.smithy.kotlin	crt-util-jvm	0.12.8	-	e660cb4738c6dd5011798055bb3612c616a71f6f
aws.smithy.kotlin	crt-util-jvm	0.12.9	-	836c807135f996e22402a8348182a5a4decf40cb
aws.smithy.kotlin	crt-util-jvm	0.13.0	-	7ecfd5da9d9f14f41eed4d3d501f98a975628323
aws.smithy.kotlin	crt-util-jvm	0.13.1	-	2e32e19290176b924f8ad01c80fafa6d29d3fdb7
aws.smithy.kotlin	crt-util-jvm	0.14.0	-	505d9b4d8a6f990f8f79cd7ab9e06c810953d01b
aws.smithy.kotlin	crt-util-jvm	0.14.1	-	8f9df5bf2e3cf7718f3d197c12790968c3926013
