ai.djl.spring	djl-spring-boot-starter-mxnet-win-x86_64	0.2	-	49a8727882a6bbbd7a7a547b759ee883d142d564
ai.tock	tock-nlp-build-model-worker-on-aws-batch	20.3.4	-	4dc9bfcd81166db608f13af95c55fb1a8e2242a6
ai.tock	tock-nlp-build-model-worker-on-aws-batch	20.9.0	-	4ae6a255ce7d9ee14bd09d96232a99c99e91520b
ai.tock	tock-nlp-build-model-worker-on-aws-batch	20.9.1	-	525217862a56dd56f2a1b977e94177a346d94fb3
ai.tock	tock-nlp-build-model-worker-on-aws-batch	20.9.2	-	81aab77513cddd88221d1b19e451e81618beb16e
ai.tock	tock-nlp-build-model-worker-on-aws-batch	20.9.2-1	-	515d17596ef6e46bad1b9d5e0a50ad10dd686ab2
ai.tock	tock-nlp-build-model-worker-on-aws-batch	20.9.3	-	06c261e1c460858197dac04af63e6aa1b80d9fd1
ai.tock	tock-nlp-build-model-worker-on-aws-batch	21.3.0	-	90ffbc4084dbf607fd5fa7ebf621da0da15204b9
ai.tock	tock-nlp-build-model-worker-on-aws-batch	21.3.1	-	ddac1ab8e29f88e4ec00fbf8d9a0ff524fc56868
ai.tock	tock-nlp-build-model-worker-on-aws-batch	21.3.2	-	9afdc89051a099b38ab4f792d33f1d825905aed4
ai.tock	tock-nlp-build-model-worker-on-aws-batch	21.3.3	-	6eb6141b807e207b8ab7dd6eaa195719d9a2fc26
ai.tock	tock-nlp-build-model-worker-on-aws-batch	21.3.4	-	3f385dfeecd29b8654010c60d2b4775b01b6fcbf
ai.tock	tock-nlp-build-model-worker-on-aws-batch	21.3.5	-	481cf64e071ca1588d8663816ba0d1d8be967d0a
ai.tock	tock-nlp-build-model-worker-on-aws-batch	21.9.0	-	4bfab7f03295c198a4480dfdecf4c667d3e87d39
ai.tock	tock-nlp-build-model-worker-on-aws-batch	21.9.1	-	32871173435c2183cb522b254ea8523ea233e51d
ai.tock	tock-nlp-build-model-worker-on-aws-batch	21.9.2	-	65e81616e369013b87d0a1c104ec78e57799d4f0
ai.tock	tock-nlp-build-model-worker-on-aws-batch	21.9.3	-	7a1d10a648a3acdcc74e86fc3eb0c8444fd364a9
ai.tock	tock-nlp-build-model-worker-on-aws-batch	21.9.4	-	fdb05dbe9f9281670c96958990a0c3a55b5ba2e6
ai.tock	tock-nlp-build-model-worker-on-aws-batch	21.9.5	-	9b63d2301f9714b31e3c0578181c05aceba7ae67
ai.tock	tock-nlp-build-model-worker-on-aws-batch	21.9.6	-	eb28f6357c565937935911d14e168a75821a102a
ai.tock	tock-nlp-build-model-worker-on-aws-batch	22.3.0	-	20e81768fd360630562ff009f9334075c715d8ec
ai.tock	tock-nlp-build-model-worker-on-aws-batch	22.3.1	-	f221d2deeff62af4f927b9468dc24ea3f07ae56a
ai.tock	tock-nlp-build-model-worker-on-aws-batch	22.3.2	-	c3823602174e64f08d1fd492c13828cb5ca13219
ai.tock	tock-nlp-build-model-worker-on-aws-batch	22.9.0	-	5f0ee93c959f949789cec9f8e719e0bb9de6e2b0
ai.tock	tock-nlp-build-model-worker-on-aws-batch	22.9.1	-	13c6cff0048d0dfeab13afdafe352b3c9e3023ce
ai.tock	tock-nlp-build-model-worker-on-aws-batch	22.9.2	-	2c185d284e631eccc3ba5536cf7f250f9021fcd5
ai.tock	tock-nlp-build-model-worker-on-aws-batch	22.9.3	-	b6049eb0ce7652461844dc3979c82caaa099ca74
ai.tock	tock-nlp-build-model-worker-on-aws-batch	22.9.4	-	0ec87815b1b039d7a6d5cacb51a77177a20a4c3b
ai.tock	tock-nlp-build-model-worker-on-aws-batch	22.9.5	-	e0dbd581d18a3ec5c634afb4677df9e2e4a94fbc
ai.tock	tock-nlp-build-model-worker-on-aws-batch	23.3.0	-	60fa4b7b7cfc5e9bcf44525baf9227ba0cc9c608
ai.tock	tock-nlp-build-model-worker-on-aws-batch	23.3.1	-	02361acba9aeecc4dc33fe2bc55a4d6f3061d0bc
ai.tock	tock-nlp-build-model-worker-on-aws-batch	23.3.2	-	9d175dffd02897845106eacae30c328beefb9c3b
ai.tock	tock-nlp-build-model-worker-on-aws-batch	23.3.3	-	81f0037bb0d18e9abd099befc84d7189abea7532
ai.tock	tock-nlp-build-model-worker-on-aws-batch	23.3.4	-	d4fe7754b26b4736941b545fc79ca1e78dfec2d3
ai.tock	tock-nlp-build-model-worker-on-aws-batch	23.9.0	-	a85af03cec56ae933976a43ef487a0ec1fd77e6b
ai.tock	tock-nlp-build-model-worker-on-aws-batch	23.9.1	-	6376e9ad32c1d0e1ce8f35556f5ae4d7f6c2b9a6
ai.tock	tock-nlp-build-model-worker-on-aws-batch	23.9.2	-	0236b8dab80cd1121b4d5b3130d7bf5fbf863c55
ai.tock	tock-nlp-build-model-worker-on-aws-batch	24.3.0	-	4733c58d159ea4742a3eb0d8ca0eaf81038e71d8
ai.tock	tock-nlp-build-model-worker-on-aws-batch	24.3.1	-	f871f7f95a879dd5bdfbe045e23375e1ad53939f
ai.tock	tock-nlp-build-model-worker-on-aws-batch	24.3.2	-	f99436e99c4d9f82345812319fe9de75ac6fd933
ai.tock	tock-nlp-build-model-worker-on-aws-batch	24.3.3	-	fb965b88e02f4e113835a19f83ad4e3d80c8879d
ai.tock	tock-nlp-build-model-worker-on-aws-batch	24.3.4	-	1324453adb44c7be4a70d18b14786f704d266883
ai.tock	tock-nlp-build-model-worker-on-aws-batch	24.3.5	-	f7a9120517748fe8990f17d55a92bd8e749b0eab
ai.tock	tock-nlp-build-model-worker-on-aws-batch	24.3.6	-	9937dca522105396296fc411b9703f87065b7b21
ai.tock	tock-nlp-build-model-worker-on-aws-batch	24.9.0	-	9b1dd46655532f49201d47485e9452636f465735
ai.tock	tock-nlp-build-model-worker-on-aws-batch	24.9.1	-	d45db774dcb12c95ff8dfa9be1efe4c69083fe39
ai.tock	tock-nlp-build-model-worker-on-aws-batch	24.9.2	-	381d251e94eab380972f740c074bc8c070599274
ai.tock	tock-nlp-build-model-worker-on-aws-batch	24.9.3	-	227c3474be63815b9d8cda22c2e9e8c712d1ae35
ai.tock	tock-nlp-build-model-worker-on-aws-batch	24.9.4	-	5b33e63a3f72d5d9a3bd062e2f05adf7db0b1316
ai.tock	tock-nlp-build-model-worker-on-aws-batch	24.9.5	-	49e72de43086299bed58031e4211b2b6fc547f54
ai.tock	tock-nlp-build-model-worker-on-aws-batch	24.9.6	-	5df6c71714739615892e3a2d810a9744cca6578f
ai.tock	tock-nlp-build-model-worker-on-aws-batch	24.9.7	-	147693ae34a257d065964bf21bd293f48a87d742
ai.tock	tock-nlp-build-model-worker-on-aws-batch	24.9.8	-	b0eadf4228f82640d3cd27b2d4aa89ac330daaed
ai.tock	tock-nlp-build-model-worker-on-aws-batch	25.3.0	-	ceb39a0854ad9e644ed984f1a5e6e2fface4cce6
ai.tock	tock-nlp-build-model-worker-on-aws-batch	25.3.1	-	f3f4187ad69fc48aa5329906bb541e2ff5136853
ai.tock	tock-nlp-build-model-worker-on-aws-batch	25.3.2	-	554ec930d43445d9d3812ebc73ac185c81a988e4
ai.tock	tock-nlp-entity-rest	19.9.3	-	746ab7ebf879864314e02a9ba54d58d2096533a1
ai.tock	tock-nlp-entity-rest	19.9.4	-	937963402c4e9a328cfc3d91214a9891c13fc2c1
ai.tock	tock-nlp-entity-rest	20.3.0	-	b3c1cfc4866a1861b94d25fa577e1e3578ab5c4e
ai.tock	tock-nlp-entity-rest	20.3.1	-	4e5ffd5a7e1dba672ff14465a71a2b3d3298f612
