ant-doxygen	ant-doxygen	1.2	-	8c91953fb946245a7ab741353c26687c402319df
at.asitplus.signum	indispensable-cosef-tvosx64	3.10.0	3.10.0-metadata	eae8d08c36d1b7e96ce9e0e9caeb1b16e319c1fc
at.asitplus.signum	indispensable-cosef-tvosx64	3.10.1	3.10.1-metadata	8c472ef7166ad2046b0876eba6fd47c61304c19e
at.asitplus.signum	indispensable-cosef-tvosx64	3.11.0	3.11.0-metadata	5acd99752f344115ed39f6fc12d4934dd0af2d20
at.asitplus.signum	indispensable-cosef-tvosx64	3.11.1	3.11.1-metadata	38f29cf3e685a654a5916d19e8dd921d6d50043e
at.asitplus.signum	indispensable-cosef-tvosx64	3.12.1	3.12.1-metadata	19387100da9c9f141f4a1a3202cb2547c34a2975
at.asitplus.signum	indispensable-cosef-tvosx64	3.13.0	3.13.0-metadata	163d960d7b3dde21794eb4a828ea2f0d85a120e4
at.asitplus.signum	indispensable-cosef-tvosx64	3.14.0	3.14.0-metadata	d91bb5800cbfc7b7f14cb3f27511d26918510b8a
at.asitplus.signum	indispensable-cosef-tvosx64	3.15.0	3.15.0-metadata	d072d0fc7c72e3461f3c17581841d8ef43752212
at.asitplus.signum	indispensable-cosef-tvosx64	3.15.1	3.15.1-metadata	ff4b226b41c8b3c52c8f922418dade04f7dd5f4e
at.asitplus.signum	indispensable-cosef-tvosx64	3.15.2	3.15.2-metadata	f6fe7029fc6687ed10bf4f8d046772b7e00e9f73
at.asitplus.signum	indispensable-cosef-tvosx64	3.16.0	3.16.0-metadata	9eb6db0f6d34e2db0e82452e2344c553c2ea5b45
at.asitplus.signum	indispensable-cosef-tvosx64	3.16.1	3.16.1-metadata	40e78a155f448e03d85cb49d4ebd54686f84e7d9
au.com.dius.pact.provider	junit5	4.1.0	-	20c6ad62eb8052ae2d1ab57f851937fd12bbedb2
au.com.dius.pact.provider	junit5	4.1.1	-	d990be783e94b9bd4198334f6315c15b344a46c0
au.com.dius.pact.provider	junit5	4.1.10	-	c04f6128556db85a34320a6e796707709961c820
au.com.dius.pact.provider	junit5	4.1.11	-	20d2ff87f85a6370d482ae1eb0d7f04bac07bf45
au.com.dius.pact.provider	junit5	4.1.12	-	9436ed3b39ebf86e7fdee0b3fde4077cbafcade5
au.com.dius.pact.provider	junit5	4.1.13	-	8ad8138c26e90d1d756dd8eb3d83099a6cdffc34
au.com.dius.pact.provider	junit5	4.1.14	-	6dad5220094e4958ce3b35f23f9620992cda1d77
au.com.dius.pact.provider	junit5	4.1.15	-	89acb1ff3fc26bb60b3751abf4072064a5d40b81
au.com.dius.pact.provider	junit5	4.1.16	-	fbdcd8760e9fb68ad12d49e3950ca68cd67e47b7
au.com.dius.pact.provider	junit5	4.1.17	-	5ba2c1695f3e5e60e65b18bb943d95c101193bc0
au.com.dius.pact.provider	junit5	4.1.18	-	e1dbfb58572fc211efee977d52525954ef8235bf
au.com.dius.pact.provider	junit5	4.1.19	-	172532f04314f2dc828918b179c14fb3e4b0857f
au.com.dius.pact.provider	junit5	4.1.2	-	c5976518f45d64fb5d6da79a073589ea5f195b18
au.com.dius.pact.provider	junit5	4.1.20	-	2a1927745a9fdfb8fa51419d5732311257043bd2
