com.github.pjfanning	pekko-http-circe_3	2.4.0		8607a414eba5f4788ff1c86669dfed4bdfb351e6
com.github.pjfanning	pekko-http-circe_3	2.5.0		54c7c1b1aa337d61293c79192ade4cd4b12f980d
com.github.pjfanning	pekko-http-circe_3	2.6.0		53abd9db46f185acb4beb35c60e8d6566a9b8c0e
com.github.pjfanning	pekko-http-circe_3	2.7.0		d3c059562421a6e3a363783309e442916e137630
com.github.pjfanning	pekko-http-circe_3	2.8.0		256cf109b36d4f80a3dbde401fdc44cdf2d093ec
com.github.pjfanning	pekko-http-circe_3	3.0.0		3319c9563c7bad1e95337eb11da60411c37db171
com.github.pjfanning	pekko-http-circe_3	3.0.1		2bf4bf137a8b547f528b3878f9592f86c3160ede
com.github.pjfanning	pekko-http-circe_3	3.1.0		becbf149d42594d5a936708b2a180988fcafbb98
com.github.pureconfig	pureconfig-squants_2.11	0.10.0		0463dea1655181ba26d35ca16118606b1cfbb8a0
com.github.pureconfig	pureconfig-squants_2.11	0.10.1		847a1659e663ee28de8405ee84efb878739c1a1c
com.github.pureconfig	pureconfig-squants_2.11	0.10.2		d4c15c4b2c79212cba860b1ae3d359ccb23564e3
com.github.pureconfig	pureconfig-squants_2.11	0.11.0		f3430f2667d065e170118a22c14bf361ece1ac7f
com.github.pureconfig	pureconfig-squants_2.11	0.11.1		b07544bea376edca7ca4734c28e1ea167c7ebf60
com.github.pureconfig	pureconfig-squants_2.11	0.12.0		dfac3a0e60b432cb282884fe7da292e2653ecbe0
com.github.pureconfig	pureconfig-squants_2.11	0.12.1		d4d903ddc959b0a8328e6e8ee49ce17c4d06bf30
com.github.pureconfig	pureconfig-squants_2.11	0.12.2		7bff0ac158de379a88811c66a88cd4bbb5695dd8
com.github.pureconfig	pureconfig-squants_2.11	0.12.3		2c351dfbd26fe6d5a2798accbbc2317112f428b3
com.github.pureconfig	pureconfig-squants_2.11	0.13.0		a9081c052698c4d918647749be3de2761185cac5
com.github.pureconfig	pureconfig-squants_2.11	0.14.0		3a825df9fee9d26264fa16338e419eb78097dc70
