br.com.objectos	sql-type-testing	0.11.1		2dce9fc2b045bdb4e983975c969c0eaa2ec9ba41
com.addthis	bundle	2.0.0		e1023c795b696bd23d89d89f2d87285c30e89b96
com.addthis	bundle	2.1.0		8d5a096ed8f5541a14664c44ea93dc49c3b5b938
com.addthis	bundle	2.10.0		31f7d44bf73f313197d3f8ad629d69a3b221e22e
com.addthis	bundle	2.10.1		c234ef48753be440c863c0d3c24d139dd3340b03
com.addthis	bundle	2.10.2		9dd2da461b1989694409a65affce48a36c01385e
com.addthis	bundle	2.11.0		62ff32a71680c386616d24156972f5256fdd1f84
com.addthis	bundle	2.11.4		e5ba43d94e0788f65f2d62572de2e49f7a476c44
com.addthis	bundle	2.2.0		d3452def97c55a39f7a8df9fb2188008f7997851
com.addthis	bundle	2.2.1		4304ca010a5107c3c1e82348f125d9f02c129312
com.addthis	bundle	2.2.11		5902aaebb6203a290ffbd6596a5f49b5a3e7634a
com.addthis	bundle	2.2.12		2b31a877b02135dc7cd0f0dec919bf35ba4f3a97
com.addthis	bundle	2.2.13		e4beee7101176f47f6c0751d725d6d0874874255
com.addthis	bundle	2.2.2		e4a431a94531a634fd2f093b57d906827833268a
com.addthis	bundle	2.2.3		c601185fa05cc6b7a86145c20d521de3c6c2c9cb
com.addthis	bundle	2.2.4		0940f7477d460e4db8d6b2d5f55a5393dae105a6
com.addthis	bundle	2.2.5		13e41006194541275b5233a9a73bce28325b01ce
com.addthis	bundle	2.2.6		62a0b87f709359553fb28c3624fb6cbc54518706
com.addthis	bundle	2.2.7		f2710d30f632ce5e071e4b0cae53eee38146d105
com.addthis	bundle	2.2.9		bc8e031a123cd3faa67e896c75aa5a0ee529776f
com.addthis	bundle	2.3.1		98fd7e735402e139962fd24531198ca5e001fa42
com.addthis	bundle	2.4.0		7edf2de50f1d3ed4c8dac796b28fa4591a04d76e
com.addthis	bundle	2.4.1		aacac81178208a28c0e6cd869dab6de9731717dc
com.addthis	bundle	2.4.2		66569c64e34716c4d96b2c521749fca003ae35f3
com.addthis	bundle	2.5.0		ab215107d6c0b5b9854d3dedfa9c0a1fac7426e4
com.addthis	bundle	2.6.0		0ea565d55633ad7cb9cbc2cd5bebd7ab913e0a15
com.addthis	bundle	2.7.0		f334ee7f697f5fffd964a578af2cee91e9a2b62b
com.addthis	bundle	2.7.1		a297065a9741c2b638cb30447c3922b666375302
com.addthis	bundle	2.7.2		7744b5d562700b7937019b2b6ad9d1c2034b233e
com.addthis	bundle	2.7.3		ed1590f39d6893d2dab61e70476b123661d55ea9
com.addthis	bundle	2.7.4		5950218dd20901417d2a5c7fa87099c8b0ce4818
com.addthis	bundle	2.7.5		922189c20b78a0bd5f11e338d89fd6d3ac9a7728
com.addthis	bundle	2.8.0		1281fb65dadedf567b4b975eb5544954ab030148
com.addthis	bundle	2.9.0		63d5cae146148a8acb194378a435d3ccb4298e8e
