com.ardikars.common	common-annotation	1.2.6.RC10		0e8510fdf8eb53328162972408ca8a0134ed588e
com.ardikars.common	common-annotation	1.2.6.RC2		a496c7673426fb6d2441dcdd07314353c26591d6
com.ardikars.common	common-annotation	1.2.6.RC3		10cafe27c41819f2f1f954fa6a64f2b9d2dce21e
com.ardikars.common	common-annotation	1.2.6.RC4		98127712380026c24899155af793477681339263
com.ardikars.common	common-annotation	1.2.6.RC6		b12086c8675838c0e3d3fef777adbd45e9e8e8e5
com.ardikars.common	common-annotation	1.2.6.RC7		1a3ca738e172f1a7360b694ab355480a3b86d279
com.ardikars.common	common-annotation	1.2.6.RC9		1144d94ae41c24118ddd299b151e613f2279e1d5
com.ardikars.common	common-annotation	1.2.6.RELEASE		5b00c72d87be4e90409401eea4a333de22a9bf66
com.ardikars.common	common-annotation	1.2.7.RC1		3020f45c661d8c9ada046edc8cd8a3e517df928f
com.ardikars.common	common-annotation	1.2.7.RC2		dcdf90d8c2b7dfbf349bfb8d50a731cfaeb1176f
com.ardikars.common	common-annotation	1.2.7.RC3		a7f594e13c5932a5b1ac347cf2f8b0c79906a39f
com.ardikars.common	common-annotation	1.2.7.RC4		f7746221aca9daa0234fe0f1173fc8d96969c90f
com.ardikars.common	common-annotation	1.2.7.RC5		4875650b877a0c4a69aaeb02caecf1835aa84700
com.ardikars.common	common-annotation	1.2.7.RELEASE		71de7272a4393aeeafc3a25785a5e21668edd2be
com.ardikars.common	common-annotation	1.2.8.RELEASE		dd95a915dc04651e68b6a0505c89e71507d99f56
com.ardikars.common	common-annotation	1.2.9.RELEASE		872c6395cfc90cca1afe0d7dd68e091b10277a32
com.ardikars.common	common-annotation	1.3.0.RELEASE		c2987930f8c5c8239054935521a348b058bf38eb
com.ardikars.common	common-annotation	1.3.1.RELEASE		5f8afdb44637fc1ac72a3ffecce574bb58b81df0
com.ardikars.common	common-annotation	1.3.2.RC1		8a657036f4db0ef36c59852f18ce3d31ba47ab10
com.ardikars.common	common-annotation	1.3.2.RELEASE		a82ac028f29eeb52b9f29af07bcb96fd9748faad
