cloud.mburger.mb_android_kt	mb_android_kt	0.8.0		N/A
cloud.piranha.micro.shrinkwrap	piranha-micro-shrinkwrap-loader	21.12.0		01fe77b86c0af790c6a130af73445cfb4a6f486d
cloud.piranha.micro.shrinkwrap	piranha-micro-shrinkwrap-loader	22.1.0		53b14699376bc274e7b8c44827d521c726b10fae
cloud.piranha.micro.shrinkwrap	piranha-micro-shrinkwrap-loader	22.10.0		6e252c9169bf984b9f5555db59c4c21f4295d92f
cloud.piranha.micro.shrinkwrap	piranha-micro-shrinkwrap-loader	22.11.0		22be0af05fa676c85b272a49633426e65b3943a4
cloud.piranha.micro.shrinkwrap	piranha-micro-shrinkwrap-loader	22.12.0		6c3603ca51357cf0e7ae6cbd0206e60fb175b998
cloud.piranha.micro.shrinkwrap	piranha-micro-shrinkwrap-loader	22.2.0		75d72f0a2c9db87e885687a576957243235cbf46
cloud.piranha.micro.shrinkwrap	piranha-micro-shrinkwrap-loader	22.3.0		1f4995063bd2ee15e68febab6e38cb2f1a7a60b6
cloud.piranha.micro.shrinkwrap	piranha-micro-shrinkwrap-loader	22.4.0		9f604e0276a4a4be20b6f53e0b8fe4bc6782cab1
cloud.piranha.micro.shrinkwrap	piranha-micro-shrinkwrap-loader	22.5.0		2bfe38c2ddc92d3510a3c4b3ba276a908a0f2fbd
cloud.piranha.micro.shrinkwrap	piranha-micro-shrinkwrap-loader	22.6.0		6093d757084f8e1e940c224eb9ab177da6743886
cloud.piranha.micro.shrinkwrap	piranha-micro-shrinkwrap-loader	22.7.0		3b3b991717aa1e895add7b525eec8d3d338e2214
cloud.piranha.micro.shrinkwrap	piranha-micro-shrinkwrap-loader	22.8.0		ed7c5671707384f3351a285d4e9be9bd41851054
cloud.piranha.micro.shrinkwrap	piranha-micro-shrinkwrap-loader	22.9.0		db98f01c2eded2d6f1f69fbaf14f9bf109d2268a
com.avast	sst-http4s-server-ember-pureconfig_2.12	0.17.0		18064011a2c4c1f6b0e3022290c661e01e5c8d3d
com.avast	sst-http4s-server-ember-pureconfig_2.12	0.17.1		9a18f62bda09151aa28edf1786789e4248898e8c
com.avast	sst-http4s-server-ember-pureconfig_2.12	0.17.2		a52b24e3f6cc5457316b7a5f44263407a41c6e65
com.avast	sst-http4s-server-ember-pureconfig_2.12	0.18.0		99502fa5325288074f433af1e5aeb9e5def58d38
com.avast	sst-http4s-server-ember-pureconfig_2.12	0.18.1		722543155a18b1b6ac892a9044c5a2b279995a9b
com.avast	sst-http4s-server-ember-pureconfig_2.12	0.18.2		0ec3cb81cf33d15eaa08e74dfe769454a7defd11
com.avast	sst-http4s-server-ember-pureconfig_2.12	0.18.3		0c3b9d54465ba67b621767e9b277be6efef436c5
com.avast	sst-http4s-server-ember-pureconfig_2.12	0.18.4		cfa33a142a66815885af28008fe5b637d8c1de79
com.avast	sst-http4s-server-ember-pureconfig_2.12	0.18.5		0a641b926c1b314e7edfea8ee83b4d2f766ec045
com.avast	sst-http4s-server-ember-pureconfig_2.12	0.18.6		9bd73d04a6dd7ca36673ac1178222f7a3ef27a48
com.avast	sst-http4s-server-ember-pureconfig_2.12	0.19.0		97ac5d0cb7d44873330988ff9cd9884b7803dcc1
com.buession.logging	buession-logging-support-file	0.0.1		ebb3ab077dde715c92aed4ac98b07439b3eb9ccd
com.buession.logging	buession-logging-support-file	0.0.2		eb00ab37f630549bd1e44f155f881a59ca7922bb
com.buession.logging	buession-logging-support-file	0.0.3		17990fa4239df633a28c4a57c08dc532868bc93b
com.buession.logging	buession-logging-support-file	0.0.4		ba53651f480844ca6916dc65d89999195ec0f740
com.buession.logging	buession-logging-support-file	1.0.0		4cd9a04cbbd2b6a889f9c4019cf7df641ca73ab6
com.cognitect.aws	connectcases	825.2.1233.0		051eaa8872d4783b791c93849a4ea720e255de6a
com.cognitect.aws	connectcases	825.2.1262.0		2fb53ad1080f474dc8a59316a09685c72c9ae1f3
com.cognitect.aws	connectcases	836.2.1323.0		53f590bf41663181634e8ccb2b2667b08f402e04
com.cognitect.aws	connectcases	847.2.1365.0		14506e39dc758582ad0d1e2190cc20e56b7b1331
com.cognitect.aws	connectcases	847.2.1387.0		7ff09b93093594d276591114aae35d7a0ca1b8d1
com.cognitect.aws	connectcases	857.2.1574.0		e3e3cc5f89ba02781d26d81f41fc5feda02a1b8c
com.cognitect.aws	connectcases	869.2.1616.0		1afa3a1acd2d3991f58764022c304d0362b1f15f
com.cognitect.aws	connectcases	871.2.29.35		dfbd7d140b73c984ce93875df2dbf2fb0bfbb43f
com.cognitect.aws	connectcases	871.2.30.22		0d2dffadc0ea688acee6d22b5fe668e4b61a51f4
com.cognitect.aws	connectcases	871.2.31.23		4bfd1d3bfd7620fe3bb6f79d7a7a40fd94f44fff
com.disneystreaming	weaver-monix_3	0.6.10		c140109d420165152297da373580b8d68b6feba0
com.disneystreaming	weaver-monix_3	0.6.11		1d50d18dc806c4f1308972981097d8c5734b848f
com.disneystreaming	weaver-monix_3	0.6.12		3f282cb07a2f122b92938b1d46461ddf223c3c3f
com.disneystreaming	weaver-monix_3	0.6.13		2b2e4f8447c17d5f5632965071c4b1f86e194bf9
com.disneystreaming	weaver-monix_3	0.6.14		a4e78d3be38f3bb6b74e15ea5c21925a51ad7473
com.disneystreaming	weaver-monix_3	0.6.15		92dbf68d1b0b012301ad0bfa4ad66f824de161e1
com.disneystreaming	weaver-monix_3	0.6.9		9c9ee91da411a8ac964b77a54de1b62d30dfa53d
com.eygraber	vice-core-iosarm64	0.0.1		N/A
com.eygraber	vice-core-iosarm64	0.0.1	metadata	f8ad800d418f2970a90d4355c58ab8593dc582e3
com.eygraber	vice-core-iosarm64	0.0.2		N/A
com.eygraber	vice-core-iosarm64	0.0.2	metadata	dda0c1564cb0d9ca55df4be6c1f8bfcd262d7492
com.eygraber	vice-core-iosarm64	0.0.3		N/A
com.eygraber	vice-core-iosarm64	0.0.3	metadata	207a0c6b5f808caeacae2e2f66ba579c67064b23
com.eygraber	vice-core-iosarm64	0.0.4		N/A
com.eygraber	vice-core-iosarm64	0.0.4	metadata	4a1a95483d7be67ca2e93aaee644a26209462af4
com.eygraber	vice-core-iosarm64	0.0.5		N/A
com.eygraber	vice-core-iosarm64	0.0.5	metadata	051463c229872dd6cd4505342048cb5fc42cecd9
com.eygraber	vice-core-iosarm64	0.9.0		N/A
com.eygraber	vice-core-iosarm64	0.9.0	metadata	2ceb82185bdd92dbc67ea252911e54db4baf0865
com.eygraber	vice-core-iosarm64	0.9.1		N/A
com.eygraber	vice-core-iosarm64	0.9.1	metadata	2ae6bd861dc5e95a12424acbe25eb88875e7a6f5
com.eygraber	vice-core-iosarm64	0.9.10	metadata	8cdfd45e0c013dd8273df76f1e2aef6d257e263c
