biz.aQute	osgi.enroute.web.simple.provider	2.2.0		F373C59B2E7A4B2ECD33C6E0C17DE15F93546E31
br.com.objectos.oss-java7	objectos	1.0.0		N/A
br.com.objectos.oss-java7	objectos	2.0.0		N/A
br.com.objectos.oss-java7	objectos	3.0.0		N/A
br.com.objectos.oss-java7	objectos	3.1.0		N/A
br.com.triadworks	dbunitmanager	1.0.0		3dfe28f854d63d898741a62938661c53dc771ec7
br.com.triadworks	dbunitmanager	1.0.1		4c84fa9b840b7093314fe11b656d9b04fae885d8
club.gclmit	gear4j-bom	2.6.1		N/A
club.gclmit	gear4j-bom	2.6.2		N/A
cn.wustlinghang.mywust	mywust-common	0.0.2-beta		214b32e4384a86db4855d3deadbc9808d0f3db63
cn.wustlinghang.mywust	mywust-common	0.0.3-alpha		09cd4aa583c8c0d41ac408036467101492ead9d0
cn.wustlinghang.mywust	mywust-common	0.0.4-alpha		e1406c1393fa189e1b19c956d6d42d8f78eb2605
co.fs2	fs2-core_0.27	2.4-0076a63		81965c9a11a2a1a0b2be59884dce1e952707f2eb
co.fs2	fs2-core_0.27	2.4-06d97e9		b3ac050b2089c6a1a9c5697b9cfba255efef5437
co.fs2	fs2-core_0.27	2.4-0d3c7b8		e1dd947c67644906128395884bd171157e6ab9d4
co.fs2	fs2-core_0.27	2.4-0fb91f3		b00513caca385b43487a673c69219743086f15c5
co.fs2	fs2-core_0.27	2.4-14075f2		0b2d2d2faf9ddb214144fb2f2dec8ce7987806c8
co.fs2	fs2-core_0.27	2.4-1600199		9ca2567643aa9fb3eec09b440d59f34c07a83eee
co.fs2	fs2-core_0.27	2.4-16b3ea4		96579c65ad5783fa22000b95d4099a1a38462aea
co.fs2	fs2-core_0.27	2.4-1731d9f		f74ba6b6eea568417d5ec0f999c04618f6eda8ba
co.fs2	fs2-core_0.27	2.4-1e40a2b		142416ab6f673ff8420c4039eb0b220cb680c8b5
