be.cylab	snakeyaml	1.25.1		63d5ac1afd6618663d17bf7301a42bf748121d43
cn.jrack	jrack-satoken-springboot-starter	1.0.0		d1445ea52093a8bfd6a13fcad1688c9dcf39392c
cn.jrack	jrack-satoken-springboot-starter	1.0.1		949f0fffee4e07fc665c8d9399e30086fee3ea2c
cn.jrack	jrack-satoken-springboot-starter	1.0.15		73075f7de43be014da46ef6d8ce3d7afff549117
cn.jrack	jrack-satoken-springboot-starter	1.0.16		851b93514e15654e29c841a83b8d782f52b9208e
cn.jrack	jrack-satoken-springboot-starter	1.0.17		7af5649b612e3f253f04ddd09cbd1c35eb9abbff
cn.jrack	jrack-satoken-springboot-starter	1.0.18		992b7ad8a00994e2212730f60f5583c189bd6edd
cn.jrack	jrack-satoken-springboot-starter	1.0.19		2e5c0c0fd204b8d505a008da48d135374280fc6a
cn.jrack	jrack-satoken-springboot-starter	1.0.20		4d9beed436cb6e203d53de071382979790df219d
cn.jrack	jrack-satoken-springboot-starter	1.0.21		8d8fd7a1474db08cc5525fb13556d84d7a709659
cn.jrack	jrack-satoken-springboot-starter	1.0.22		accffd382bc666ef2d3f9176507ac1d1f8ac08d7
cn.jrack	jrack-satoken-springboot-starter	1.0.23		692fb6da13e86c781bc8cfb821813e1f859b0b2c
cn.jrack	jrack-satoken-springboot-starter	1.0.3		189e1bba5fe38b4661b623a1495214b6aa2f0b9a
cn.jrack	jrack-satoken-springboot-starter	1.0.35		2f20b87d2d7d4447d60e910073421e85a0516975
cn.jrack	jrack-satoken-springboot-starter	1.0.36		41adab96b070cd3cd6e1d6612184ffd58b880ee8
cn.jrack	jrack-satoken-springboot-starter	1.0.37		7235e19a275dd77995630a857716cb83b7498108
cn.jrack	jrack-satoken-springboot-starter	1.0.38		9cf6b8554fae6884219aba899497ad9c0ef022e4
cn.jrack	jrack-satoken-springboot-starter	1.0.39		bf576f18dc1c05f9e6a8e80c4d9790a872dd2303
cn.jrack	jrack-satoken-springboot-starter	1.0.44		ca32b315564a473aee8345f6854c5c5709092105
cn.jrack	jrack-satoken-springboot-starter	1.0.45		eefbfcad65bf5aad7f7313337157752d5c85751e
cn.jrack	jrack-satoken-springboot-starter	1.0.46		fa2ce04b65df17cf6a5ad4dce38f9133a92844a0
cn.jrack	jrack-satoken-springboot-starter	1.0.56		9c1292edfbc2c4beadda67fb94d8d6027e933d0a
cn.jrack	jrack-satoken-springboot-starter	1.0.57		8e952e0ae52b1ddf2c219c4900378ec0155948b2
cn.jrack	jrack-satoken-springboot-starter	1.0.58		794b7498d35633a0f59d206b9e4b5f508408ad5f
cn.jrack	jrack-satoken-springboot-starter	1.0.59		5560446c30cdb8a3f1941abcb6250b212b2bfaa1
cn.jrack	jrack-satoken-springboot-starter	1.0.6		f04ec6242a9a74707c4d4d36e113b5aa851f6456
cn.jrack	jrack-satoken-springboot-starter	1.0.65		7f04daf347d15d3f57a6d0a3e6b4785d42ccbd34
cn.jrack	jrack-satoken-springboot-starter	1.0.67		5bcc65c9e58e53529a1550eeb68192df41158ce4
cn.jrack	jrack-satoken-springboot-starter	1.0.68		09693c433f539fc557771e79e8d7d64c2a915f41
cn.jrack	jrack-satoken-springboot-starter	1.0.69		68eb3c0246893e25777847e3753b8cd70bd70d4b
cn.jrack	jrack-satoken-springboot-starter	1.0.70		e1903bc0c7b519c1f9ba2e287050f5ca27121dbf
cn.jrack	jrack-satoken-springboot-starter	1.0.79		0d4e516452a5a69b6f5a8d7b9f1ec7b262176716
cn.jrack	jrack-satoken-springboot-starter	1.0.80		1d2ad9cead5c8f275af92f66d5a30ac64bbc365b
cn.jrack	jrack-satoken-springboot-starter	1.0.84		820a364c214098789728e75b999b62af05889ecb
cn.jrack	jrack-satoken-springboot-starter	1.0.87		b0991d7f0266298f3a45caef6a24b786b7069e77
cn.jrack	jrack-satoken-springboot-starter	1.0.91		845e4d40c24d46acef14b53f3d60b5e509d93f8f
cn.jrack	jrack-satoken-springboot-starter	1.035		c5f4101684ca8c81c2ade20f14f0972f418830b5
cn.stylefeng.roses	kernel-d-config	7.0.0		N/A
cn.stylefeng.roses	kernel-d-config	7.0.1		N/A
cn.stylefeng.roses	kernel-d-config	7.0.2		N/A
cn.stylefeng.roses	kernel-d-config	7.0.3		N/A
cn.stylefeng.roses	kernel-d-config	7.1.0		N/A
cn.stylefeng.roses	kernel-d-config	7.1.0.Final		N/A
cn.stylefeng.roses	kernel-d-config	7.1.1		N/A
cn.stylefeng.roses	kernel-d-config	7.1.2		N/A
cn.stylefeng.roses	kernel-d-config	7.1.3		N/A
cn.stylefeng.roses	kernel-d-config	7.1.4		N/A
cn.stylefeng.roses	kernel-d-config	7.1.5		N/A
cn.stylefeng.roses	kernel-d-config	7.2.0		N/A
cn.stylefeng.roses	kernel-d-config	7.2.1		N/A
cn.stylefeng.roses	kernel-d-config	7.2.2		N/A
cn.stylefeng.roses	kernel-d-config	7.2.3		N/A
cn.stylefeng.roses	kernel-d-config	7.2.4		N/A
cn.stylefeng.roses	kernel-d-config	7.3.0		N/A
cn.stylefeng.roses	kernel-d-config	7.3.1		N/A
cn.stylefeng.roses	kernel-d-config	7.3.2		N/A
cn.stylefeng.roses	kernel-d-config	7.3.3		N/A
cn.stylefeng.roses	kernel-d-config	7.3.4		N/A
cn.stylefeng.roses	kernel-d-config	8.0.0		N/A
cn.stylefeng.roses	kernel-d-config	8.0.1		N/A
cn.stylefeng.roses	kernel-d-config	8.0.2		N/A
cn.stylefeng.roses	kernel-d-config	8.0.3		N/A
cn.stylefeng.roses	kernel-d-config	8.0.4		N/A
cn.stylefeng.roses	kernel-d-config	8.0.5		N/A
cn.stylefeng.roses	kernel-d-config	8.1.0		N/A
cn.stylefeng.roses	kernel-d-config	8.1.1		N/A
cn.stylefeng.roses	kernel-d-config	8.1.2		N/A
cn.stylefeng.roses	kernel-d-config	8.1.3		N/A
cn.stylefeng.roses	kernel-d-config	8.1.4		N/A
cn.stylefeng.roses	kernel-d-config	8.1.5		N/A
cn.stylefeng.roses	kernel-d-config	8.1.6		N/A
cn.stylefeng.roses	kernel-d-config	8.1.7		N/A
com.araguacaima	orpheus-db-test-jar	1.0.2		d4dcf610aa0cf264e01a435ab33cfe5a434307e7
com.bryghts.thecollector	com.bryghts.thecollector_2.11	0.0.10		d16f97c91d011eebad010fb1b702088e0c49da2f
com.bryghts.thecollector	com.bryghts.thecollector_2.11	0.0.11		a0870a0b3c7dace3f6a18a80ad707b7c5126bccb
com.bryghts.thecollector	com.bryghts.thecollector_2.11	0.0.13		9cc5471b6e03122efb07d00bcc1ac41b46ab278a
com.geirsson	tiny-router_sjs0.6_2.11	0.1.0		21437c7e9f595b4277fe9eb4a1872a0be6dc23de
com.geirsson	tiny-router_sjs0.6_2.11	0.1.1		5e4849d59744d336d3f584d32801b5bbc35d9508
com.geirsson	tiny-router_sjs0.6_2.11	0.1.2		2b9f527269ec47da3be620ab7bab086d37dfcc6f
com.github.jcute	jcute-example	0.1.3		f5bcf3c26aaa671cd0736cfdd951f726fc460b3c
com.github.jcute	jcute-example	0.1.4		0c87aa2e4f1ed2e9cc1f8a8369a3b8e2c4fa5ecb
com.github.jcute	jcute-example	0.1.5		2e32d9635c78ea20302c807cb4007f4a79bf07e8
com.github.lbownik	primitive-quality	1.0.0		c086295c5136c4b144f9d89fc57c0a819c288473
com.github.sbocq	mbench-project_2.10	0.2.3		293c98598e3b82d7da2c00652860dee5fafc2263
com.github.sbocq	mbench-project_2.10	0.2.4		5c23e174596a7e0dda6c806d59fcb51981e83338
com.github.sftwnd.crayfish.common	crayfish-common-format	0.0.1		3a72283c7848841afdbb0c93280a4278706e945e
com.github.tantalor93	structlogger-parent	0.1.0		N/A
com.github.wangzaixiang	wsql_3	3.0.0-RC1		a468bd52c2cac30c6fb958e82b212075d64715d7
com.github.wangzaixiang	wsql_3	3.0.0-RC2		0a84a8d08cce3d78e072bb47cb0cfff8472987dc
com.google.android.horologist	horologist-auth-composables	0.2.6		N/A
com.google.android.horologist	horologist-auth-composables	0.2.6	release-sources	c8ad10fe0f369393ed9faf89cf9efcd38fc7b6ac
com.google.android.horologist	horologist-auth-composables	0.2.7		N/A
com.google.android.horologist	horologist-auth-composables	0.2.8		N/A
com.google.android.horologist	horologist-auth-composables	0.3.0		N/A
com.google.android.horologist	horologist-auth-composables	0.3.1		N/A
com.google.android.horologist	horologist-auth-composables	0.3.10		N/A
com.google.android.horologist	horologist-auth-composables	0.3.11		N/A
com.google.android.horologist	horologist-auth-composables	0.3.2		N/A
com.google.android.horologist	horologist-auth-composables	0.3.3		N/A
com.google.android.horologist	horologist-auth-composables	0.3.4		N/A
com.google.android.horologist	horologist-auth-composables	0.3.5		N/A
com.google.android.horologist	horologist-auth-composables	0.3.6		N/A
com.google.android.horologist	horologist-auth-composables	0.3.7		N/A
com.google.android.horologist	horologist-auth-composables	0.3.8		N/A
com.google.android.horologist	horologist-auth-composables	0.3.9		N/A
com.google.android.horologist	horologist-auth-composables	0.4.0		N/A
com.google.android.horologist	horologist-auth-composables	0.4.1		N/A
com.google.android.horologist	horologist-auth-composables	0.4.10		N/A
com.google.android.horologist	horologist-auth-composables	0.4.11		N/A
com.google.android.horologist	horologist-auth-composables	0.4.12		N/A
com.google.android.horologist	horologist-auth-composables	0.4.13		N/A
com.google.android.horologist	horologist-auth-composables	0.4.14		N/A
com.google.android.horologist	horologist-auth-composables	0.4.15		N/A
com.google.android.horologist	horologist-auth-composables	0.4.16		N/A
com.google.android.horologist	horologist-auth-composables	0.4.17		N/A
com.google.android.horologist	horologist-auth-composables	0.4.2		N/A
com.google.android.horologist	horologist-auth-composables	0.4.3		N/A
com.google.android.horologist	horologist-auth-composables	0.4.4		N/A
com.google.android.horologist	horologist-auth-composables	0.4.5		N/A
com.google.android.horologist	horologist-auth-composables	0.4.6		N/A
com.google.android.horologist	horologist-auth-composables	0.4.7		N/A
com.google.android.horologist	horologist-auth-composables	0.4.8		N/A
com.google.android.horologist	horologist-auth-composables	0.4.9		N/A
com.google.android.horologist	horologist-auth-composables	0.5.0		N/A
com.google.android.horologist	horologist-auth-composables	0.5.1		N/A
com.google.android.horologist	horologist-auth-composables	0.5.10		N/A
com.google.android.horologist	horologist-auth-composables	0.5.11		N/A
com.google.android.horologist	horologist-auth-composables	0.5.12		N/A
com.google.android.horologist	horologist-auth-composables	0.5.13		N/A
com.google.android.horologist	horologist-auth-composables	0.5.14		N/A
com.google.android.horologist	horologist-auth-composables	0.5.15		N/A
com.google.android.horologist	horologist-auth-composables	0.5.16		N/A
com.google.android.horologist	horologist-auth-composables	0.5.17		N/A
com.google.android.horologist	horologist-auth-composables	0.5.18		N/A
com.google.android.horologist	horologist-auth-composables	0.5.19		N/A
com.google.android.horologist	horologist-auth-composables	0.5.2		N/A
com.google.android.horologist	horologist-auth-composables	0.5.20		N/A
com.google.android.horologist	horologist-auth-composables	0.5.21		N/A
com.google.android.horologist	horologist-auth-composables	0.5.22		N/A
com.google.android.horologist	horologist-auth-composables	0.5.23		N/A
com.google.android.horologist	horologist-auth-composables	0.5.24		N/A
com.google.android.horologist	horologist-auth-composables	0.5.25		N/A
com.google.android.horologist	horologist-auth-composables	0.5.26		N/A
com.google.android.horologist	horologist-auth-composables	0.5.27		N/A
