ch.admin.bit.jeap	jeap-central-publishing-maven-plugin	0.7.0.1		a8acf8589153660895afc691fb7f076993dfb209
cn.numeron	slide-refresh-layout	1.0.0		N/A
cn.numeron	slide-refresh-layout	1.1.0		N/A
cn.numeron	slide-refresh-layout	1.2.0		N/A
cn.numeron	slide-refresh-layout	1.2.1		N/A
cn.numeron	slide-refresh-layout	1.2.2		N/A
cn.numeron	slide-refresh-layout	1.2.3		N/A
cn.sliew	carp-framework-workflow-temporal	0.0.71		eaf2d7a5eb42c650aeed87588c3a5186cee69f32
cn.sliew	carp-framework-workflow-temporal	0.0.72		9b50d30fe4efeec95a5aec84b9beff4f73fdeef4
cn.sliew	carp-framework-workflow-temporal	0.0.73		ee234ae05ca97d42191bc203f24a09e1d5528dcb
cn.sliew	carp-framework-workflow-temporal	0.0.74		9bb66ee8ac8d88718d4e088cdb89e2981e491899
cn.sliew	carp-framework-workflow-temporal	0.0.75		7f76191938fc10677bb4e2e82f8503c0299f4737
co.luminositylabs.oss.arquillian.cube	luminositylabs-arquillian-cube	0.1.0		1ab864ea7a0ddde351c2a9bdc0726c4fbc1319fe
co.luminositylabs.oss.arquillian.cube	luminositylabs-arquillian-cube	0.1.1		295a5a37e182e2e8268eb25924af262b3bfe360a
co.luminositylabs.oss.arquillian.cube	luminositylabs-arquillian-cube	0.1.2		da62f253882e773827ab933a5c855478c06f7060
co.luminositylabs.oss.arquillian.cube	luminositylabs-arquillian-cube	0.1.3		43379629c191f20cb3819cbafb832acf163af4d3
co.luminositylabs.oss.arquillian.cube	luminositylabs-arquillian-cube	0.1.4		8b4bffee06021bb907b7ebd3a40189f4b684ff37
co.luminositylabs.oss.arquillian.cube	luminositylabs-arquillian-cube	0.1.5		19f5f9dc9061710d15e80f91e3fc5ce569cb2ed8
co.luminositylabs.oss.arquillian.cube	luminositylabs-arquillian-cube	0.1.6		af9260d7480c405ee947dc9ca4d9dfbdf4e4cc3e
co.luminositylabs.oss.arquillian.cube	luminositylabs-arquillian-cube	0.1.7		be0ba3d585088ade0f8e3c52fb6246660111bd18
co.luminositylabs.oss.arquillian.cube	luminositylabs-arquillian-cube	0.1.8		3afc60f60cb8727b29086e819ecd5fc4cf58adf6
co.luminositylabs.oss.arquillian.cube	luminositylabs-arquillian-cube	0.1.9		f4ffd884cd5ccbee6dc96cfb20fa2c266cfe2bcb
com.appmattus.mpu	ignore-test-jvm	0.2.0		24d520bca8c4c4c45e3a8d8b63108c53a86cbc06
com.buralotech.oss.springboot.memcached	memcached-spring-boot	1.0.0		N/A
com.buralotech.oss.springboot.memcached	memcached-spring-boot	1.0.1		N/A
com.buralotech.oss.springboot.memcached	memcached-spring-boot	1.1.0		N/A
com.buralotech.oss.springboot.memcached	memcached-spring-boot	1.1.1		N/A
com.buralotech.oss.springboot.memcached	memcached-spring-boot	1.2.0		N/A
com.buralotech.oss.springboot.memcached	memcached-spring-boot	1.2.1		N/A
com.buralotech.oss.springboot.memcached	memcached-spring-boot	1.2.2		N/A
com.buralotech.oss.springboot.memcached	memcached-spring-boot	1.3.0		N/A
com.buralotech.oss.springboot.memcached	memcached-spring-boot	1.3.1		N/A
