cn.com.antcloud.api	antcloud-api-provider-morse	1.1.0		5b23c9ce7a3efd36b4848b8f8fbba524167b2e99
codes.quine.labo	lite-romaji_sjs1_3.0.0-RC3	0.2.0		a98eec60f7c2c4d234470545b1fcf656165e9970
codes.quine.labo	lite-romaji_sjs1_3.0.0-RC3	0.2.1		14bf0377ae31c8a03f3561e292e62df82784c0dc
com.adobe.solr.plugin	LangDetectSolrRequestHandlerPlugin	1.5.21		016143e3eb609c569a77b6ca0f06bdada76a8c4b
com.avast	sst-app-monix_2.12	0.17.0		08978a6b8319447bd3890e4b2dc884ed52831262
com.avast	sst-app-monix_2.12	0.17.1		57d7898aace13b27b88863b35020066314daed24
com.avast	sst-app-monix_2.12	0.17.2		9b11208791f6b48f839c3f3a24ffe6af04e4932a
com.avast	sst-app-monix_2.12	0.18.0		430bff617299c65587d6b0add45168ff0124009f
com.avast	sst-app-monix_2.12	0.18.1		6a87a859bc20697ad510519f0c12792db95bc099
com.avast	sst-app-monix_2.12	0.18.2		70a08e2896ced60f3a9a7b5dbe712e6668ebde11
com.avast	sst-app-monix_2.12	0.18.3		96c76315ac99e49052d12dde82fc5951ef80a427
com.avast	sst-app-monix_2.12	0.18.4		9177df506dd860ea12087fb9d1b34d6671c73595
com.avast	sst-app-monix_2.12	0.18.5		114205f254e4541f08ea70afc2f3b1a0704dd73b
com.avast	sst-app-monix_2.12	0.18.6		ec084aea20e805deac64390d0adfafacb9003775
com.avast	sst-app-monix_2.12	0.19.0		9a4846b731ca7f478946f8847982446be242c777
com.boschsemanticstack	semanticstack-rql-model	1.0.0		d7434e5eb9c5ef5746ade8a0cce52f178cdb5325
com.boschsemanticstack	semanticstack-rql-model	1.1.0		cd81fc7d9144a027ca126c4ff98c77c6d577b4a3
com.boschsemanticstack	semanticstack-rql-model	1.1.1		3a760fb1638c61ee7f681156ad0ab16598aee0ad
com.boschsemanticstack	semanticstack-rql-model	1.1.4		38c059068eb40c2b5bfb24772b9428621e31a8b9
com.boschsemanticstack	semanticstack-rql-model	1.2.0		532cc48e5fef205d0ba1cc6f36a036c63e761807
com.boschsemanticstack	semanticstack-rql-model	1.2.1		8af03cd01114fc7482cbdce303ffcb00634c1a5b
com.boschsemanticstack	semanticstack-rql-model	1.3.0		8a1bedf2746213a8673a0703ffcc472ba1b372b7
com.boschsemanticstack	semanticstack-rql-model	1.3.1		bb345083b51563fcd74d87ef0f42b8c8291d4083
com.boschsemanticstack	semanticstack-rql-model	1.3.2		4f95bcbcb2e9ccb96e73adcf88a5e2ee612290aa
com.coreoz	http-gateway-core	1.0.0-beta1		3f02dfcf15ad5afdbfd485156aad8f0a14ab78eb
com.coreoz	http-gateway-core	1.0.0-rc1		21e43d47a2a909f0aae76f438be631e463e9525a
com.coreoz	http-gateway-core	1.0.0-rc2		3af53c7d4efe45a7ed5cfa289d2c3b97bf76180a
com.coreoz	http-gateway-core	1.0.0-rc3		3c633f5809e2e2809d2c295e2a0a76084033a01f
com.eurodyn.qlack2.fuse	qlack2-fuse-search-api	2.2.1		4f2d57f039e436baddf77cb3f6eedbaff01d22de
com.eurodyn.qlack2.fuse	qlack2-fuse-search-api	2.2.2		e222f251d128ae4c27eb59193555d898639be09b
com.eurodyn.qlack2.fuse	qlack2-fuse-search-api	2.2.3		43e6ef80cd65f7c5880c3c4b7aaabbd024ecc875
com.eurodyn.qlack2.fuse	qlack2-fuse-search-api	2.2.4		d7712ba79eb7a5d724a2370d3348a4491dea1ed4
com.eurodyn.qlack2.fuse	qlack2-fuse-search-api	2.3.1		9cb43eb1bf6a119a45bdea1b25d4f3963a8652cc
com.eurodyn.qlack2.fuse	qlack2-fuse-search-api	2.3.10		1a3d29b18fe6b43ac0bbdbde822825874196f954
com.eurodyn.qlack2.fuse	qlack2-fuse-search-api	2.3.11		08e2738e92794083bcc6981720d35dd557b4ac9c
com.eurodyn.qlack2.fuse	qlack2-fuse-search-api	2.3.12		948ae70fba0d46c80445dca6711253cd0a3e0fb7
com.eurodyn.qlack2.fuse	qlack2-fuse-search-api	2.3.13		5c63adb2e5a8238e0c4b3b5ae59edce85c99006d
com.eurodyn.qlack2.fuse	qlack2-fuse-search-api	2.3.14		edc35d21b3bde24bd454d4cf81fe29a01830c2aa
com.eurodyn.qlack2.fuse	qlack2-fuse-search-api	2.3.15		00a485c26658ed399e4409fd830889cd24565475
com.eurodyn.qlack2.fuse	qlack2-fuse-search-api	2.3.16		d1078bf1dc76c1de9d9e7b14260507aabef4785a
com.eurodyn.qlack2.fuse	qlack2-fuse-search-api	2.3.17		830d9fdcc47d5961134e6111c1fd73a0826853e2
com.eurodyn.qlack2.fuse	qlack2-fuse-search-api	2.3.18		8d5170df4a23494f173adee3c03cca92cdce066f
com.eurodyn.qlack2.fuse	qlack2-fuse-search-api	2.3.19		c66a5882a200319dbb5caa0651d5bb4e5ca76bec
com.eurodyn.qlack2.fuse	qlack2-fuse-search-api	2.3.2		f82228f0ec39cc5b408e9767b5b2ddd68034a278
com.eurodyn.qlack2.fuse	qlack2-fuse-search-api	2.3.3		ee3e621e7c000d36903afb84f6c408b110844253
com.eurodyn.qlack2.fuse	qlack2-fuse-search-api	2.3.4		d7c734e2802a88d4a64bc3ee146c72c467e2f165
com.eurodyn.qlack2.fuse	qlack2-fuse-search-api	2.3.5		8172711339c71064995bbd53f841265e7a5c490f
com.eurodyn.qlack2.fuse	qlack2-fuse-search-api	2.3.6		b849b8194eaafbf7146863691e4c8e651a362ef3
com.eurodyn.qlack2.fuse	qlack2-fuse-search-api	2.3.7		7d0fb7419d39f1597c467c012860d2e84c70ec4c
com.eurodyn.qlack2.fuse	qlack2-fuse-search-api	2.3.8		77c518f54399420e596245ec9be211dfc85d3ac8
com.eurodyn.qlack2.fuse	qlack2-fuse-search-api	2.3.9		e6edf3cc7933311025b796088409505906c231b8
com.folio-sec	reladomo-scala-common_2.12	16.5.0		d1a5fabef6afabf71a426e5e2a8dc66e1e98ad99
com.folio-sec	reladomo-scala-common_2.12	16.5.1		565e8b2aea17ea909549ee792287c597647fff13
com.folio-sec	reladomo-scala-common_2.12	16.5.2		0f0d51ee04e68aa7db7c5c603389223836319778
com.folio-sec	reladomo-scala-common_2.12	16.5.3		eb879335a24e1e0c7f9e23d734afc954ba332432
com.folio-sec	reladomo-scala-common_2.12	16.5.4		9fed9e7318b5fb1e1f9238d692007199ffd24a26
com.folio-sec	reladomo-scala-common_2.12	16.5.5		574a06c66693d98eea5b420c47ac73a4a26aae27
com.folio-sec	reladomo-scala-common_2.12	16.5.6		3c35afadf97eca211aacfcb74cbb920fd314af7e
com.folio-sec	reladomo-scala-common_2.12	16.6.0		e003f9aa516749d34859d0edd67dfcce1953657c
com.folio-sec	reladomo-scala-common_2.12	16.6.1		bc277703a01e24dfe5c450504d1376fb38867581
com.folio-sec	reladomo-scala-common_2.12	16.6.2		200cc4ffcbafaf56463d48273eee11fcaef8d527
com.folio-sec	reladomo-scala-common_2.12	16.7.0		bc8957cb8978a6b56f62be45b4c99373adf16a12
com.folio-sec	reladomo-scala-common_2.12	17.0.0		4239361ab14817a77cf3a06afe3ca46e930daaad
com.geteventstore	eventstore-client-core_2.13	7.0.0		4d17f30714ac86567a946f60f5d07564fafb672b
com.geteventstore	eventstore-client-core_2.13	7.0.1		df7270b90a5dad6617581ee57a8fafb775d9a13a
com.geteventstore	eventstore-client-core_2.13	7.0.2		84dfe7de30c47afbdf3b826ba57a80f8ac3de927
com.geteventstore	eventstore-client-core_2.13	7.1.0		df435ef6b13171655e96a976a5874b7834c2b68a
com.geteventstore	eventstore-client-core_2.13	7.2.0		4659a422bbcdcf30a7f2df6ed8b123ccb9adfeea
com.geteventstore	eventstore-client-core_2.13	7.3.0		804431e24f0f71fc196c2bfca95ddcc82ecc1d66
com.geteventstore	eventstore-client-core_2.13	7.3.1		38ae80e4bc7f97f80aa103748c59f671fe02b65a
com.geteventstore	eventstore-client-core_2.13	7.4.0		f1dd55826cb8339d49ccefa20e12277ddc858bea
com.geteventstore	eventstore-client-core_2.13	8.0.0		b443afa464c50b991e818a85fa8cf29f9ae71d69
com.geteventstore	eventstore-client-core_2.13	8.0.1		c8d12c2cb223b32f85e18fd28105eb3505d3b5bc
com.github.bengolder	pdf-html	1.0		528a01dae47b092476ff1b92e004bc1f6f052dab
com.github.charlemaznable	es-config-elves	0.0.7		7cc991e79e370724c1262e156260f82266899d78
com.github.charlemaznable	es-config-elves	0.0.8		82a62a6aee64e7330e2274602e919f520264b72b
com.github.charlemaznable	es-config-elves	0.1.0		f9e94558b9f8c04bbdf391df23a3f9c3aa1af319
com.github.charlemaznable	es-config-elves	0.1.1		c569e9fd966c60a22328b9155797f6ed92bb2c8e
com.github.charlemaznable	es-config-elves	0.1.2		e7d37ba9d2a8536a6e94868a0b9ba603ee9aec29
com.github.charlemaznable	es-config-elves	2022.0.0		82f35c965f13253bbaad69d963541701ad6be13b
com.github.charlemaznable	es-config-elves	2022.0.1		78fd1bb63e87d25c0e0233c05d40439e725f4624
com.github.charlemaznable	es-config-elves	2022.0.2		886a29c7a5e424b89e4eca344dd374f7eabff20c
com.github.hiwepy	canal-spring-boot-starter	2.3.x.20240823.RELEASE		33eeb132160b35a0e7567281bb2956776a4664ef
com.github.hiwepy	canal-spring-boot-starter	2.7.x.20240823.RELEASE		4ceff0f9ba902d453f5bb54d0a5087c778126166
com.github.hiwepy	canal-spring-boot-starter	3.3.x.20240823.RELEASE		6f8a8c2b0646ebab97e7a018012ee0f8de63ddb0
com.github.rockjam	play-functional_sjs0.6_2.10	2.7.0		2ddfdef109e769a91e24063233117d62bd667bb0
com.google.api.grpc	proto-google-cloud-security-private-ca-v1	0.3.0		7912d94334a89de86baa169c19004fde5d4a1965
com.google.api.grpc	proto-google-cloud-security-private-ca-v1	0.4.0		40706d02f974027b4c483a98ebae87ac51839b21
com.google.api.grpc	proto-google-cloud-security-private-ca-v1	1.0.0		7ca0cc14ae6d2738ba2840ee475519b1b6fd7ba4
com.google.api.grpc	proto-google-cloud-security-private-ca-v1	1.1.0		82a7a987e33de29aa1c0e57440899f7e5140ab01
com.google.api.grpc	proto-google-cloud-security-private-ca-v1	2.0.0		9583a3cd9d76ceb3754195b7e50d7fdf765f1c70
com.google.api.grpc	proto-google-cloud-security-private-ca-v1	2.0.1		5470b890b6e4021ca5f92b1e52a9aba54a197bdd
com.google.api.grpc	proto-google-cloud-security-private-ca-v1	2.0.2		722741a454b067d20ea20a4355a797eda54c4c6a
com.google.api.grpc	proto-google-cloud-security-private-ca-v1	2.1.0		00533583ecd438f223381178cd87f58a02c8cb34
com.google.api.grpc	proto-google-cloud-security-private-ca-v1	2.1.1		898345e162b9d1110ce343a42f3f770605e97443
com.google.api.grpc	proto-google-cloud-security-private-ca-v1	2.1.2		cb1e3c4acc34d6151ce9e23d5c0d1da1f3dba05a
com.google.api.grpc	proto-google-cloud-security-private-ca-v1	2.10.0		94479a031e88ade015ba2553b8a1c0ed3ffba1d0
com.google.api.grpc	proto-google-cloud-security-private-ca-v1	2.11.0		35cb8fd9c11b15c96317bfca1b06139dfcf85227
com.google.api.grpc	proto-google-cloud-security-private-ca-v1	2.12.0		28937f0cf6b25b776a4040dde848b4d05dc05da3
com.google.api.grpc	proto-google-cloud-security-private-ca-v1	2.13.0		79e4aa262873c35ef5fb66e42859317f6982fef4
com.google.api.grpc	proto-google-cloud-security-private-ca-v1	2.14.0		ddeeed200c8e09f7843c66cc45ac600ff55bcd80
com.google.api.grpc	proto-google-cloud-security-private-ca-v1	2.15.0		e97ce158241a917d7daf2a8cfc67b711f9e8c44d
com.google.api.grpc	proto-google-cloud-security-private-ca-v1	2.16.0		80b38045af1b84509adbdaaa1f721c1e779bd096
com.google.api.grpc	proto-google-cloud-security-private-ca-v1	2.17.0		8071961cb36e679eafd290b8a61f82250703bc79
