ca.stellardrift.guice-backport	guice-bom	5.0.1		N/A
ch.reportingsoft.birt	eclipse-datatools-enablement-oda-flatfile	3.4.0		f2264300132eb7d46b8c3179f2b854f13b2e4923
cn.bee-cloud	beecloud-service-core	1.0.0		add6da3f09c50044ba6d635f846129d5f9e84169
cn.bee-cloud	beecloud-service-core	1.0.1		b1df34017de44f14cf4aee402fff5303763f1a42
cn.bee-cloud	beecloud-service-core	1.0.2		e96f05fb16f62d53eb9271d253b1e72840d1ff9c
cn.bee-cloud	beecloud-service-core	6.0.01		96c5ee6e1f4e71b34a27e92a99b0f8bed1b658df
cn.bee-cloud	beecloud-service-core	6.1.0		6c377ebaa80b6406f1cefa9177e286a9a998d32b
cn.bee-cloud	beecloud-service-core	6.1.1		69f12133008c3232eecfb4b8d4fe1bb5d587ea15
cn.bee-cloud	beecloud-service-core	6.1.10		0e9a75b56b3c3bea967c21e751f3599cb1adcc6a
cn.bee-cloud	beecloud-service-core	6.1.10a		30b1f4027dc9c314050ec4af4fd6e7bc9b27cd84
cn.bee-cloud	beecloud-service-core	6.1.10b		c5e3edd237c755cd25318745625ba0eb93efa8c3
cn.bee-cloud	beecloud-service-core	6.1.10d		ab73270400f52a2810aad5322725a5fea43adccf
cn.bee-cloud	beecloud-service-core	6.1.10e		9910f8b3c3bf5055c001a8f30738474d2fc5c48d
cn.bee-cloud	beecloud-service-core	6.1.10f		75df1e2174a7999c4af4dcbe22bd232bcfa89b57
cn.bee-cloud	beecloud-service-core	6.1.10g		b51503cfb0b09ad95084ff6339f0681d6c29d5c8
cn.bee-cloud	beecloud-service-core	6.1.10h		64dd6efbdfe4b2c6046216b9d7aca01b116c5206
cn.bee-cloud	beecloud-service-core	6.1.10i		11421d85474cc6a46f7ed9460d6ae9d25997a253
cn.bee-cloud	beecloud-service-core	6.1.11		d12f589ffd5b19ee98f23856d0a75163d93cecdb
cn.bee-cloud	beecloud-service-core	6.1.11a		08354140a705f5cd83b5990aef8a49e4627b8e07
cn.bee-cloud	beecloud-service-core	6.1.11b		5194dbcd1ef9441ada7ff55f8b3b6f8d8656ace5
cn.bee-cloud	beecloud-service-core	6.1.11c		b5997dc951217efe34dfce6f21ee1043b7af74b0
cn.bee-cloud	beecloud-service-core	6.1.11d		304163cca89ec6a62104885338211caa0f64bd78
cn.bee-cloud	beecloud-service-core	6.1.11e		2dacf8240cda24a702ab9a04d0ac3f5d11dd766a
cn.bee-cloud	beecloud-service-core	6.1.11f		12bca8ea39c4c5c8d3e7bc874d60d980c30dcaa9
cn.bee-cloud	beecloud-service-core	6.1.11g		e8dc1d2aa27c5c5f6d3b0b47f11952906c6e1e6e
cn.bee-cloud	beecloud-service-core	6.1.12		798b2baf095ed799b6b6b71403498832f2d69444
cn.bee-cloud	beecloud-service-core	6.1.12a		2dca448223d53db1d6e88b6f6d681b4173a6f93f
cn.bee-cloud	beecloud-service-core	6.1.12b		b03f49ec12df94f69a69785c36db6fc19926d619
cn.bee-cloud	beecloud-service-core	6.1.12c		41e74cf63f939a915a479cabb65aaeef637c90b2
cn.bee-cloud	beecloud-service-core	6.1.12e		8f27054247430f94f49536d940aa1ae7e06c30b0
cn.bee-cloud	beecloud-service-core	6.1.13		7669a7d20a1b451a522c9cc0c03fdd9dea09b7c3
cn.bee-cloud	beecloud-service-core	6.1.13a		f448f7e4051135c61345cf43807b6760f372307d
cn.bee-cloud	beecloud-service-core	6.1.13c		f0187e9469a0005e51614ac1607713aa53eb4e25
cn.bee-cloud	beecloud-service-core	6.1.13d		86584bc0ed2adcb73f79904efd4c97d1ddc7da21
cn.bee-cloud	beecloud-service-core	6.1.13e		d619abe63cbc3f27c28af66bab20eb849feffb6b
cn.bee-cloud	beecloud-service-core	6.1.13f		e5ddbe7d29abd0483035571bddb6ef9c579c4a39
cn.bee-cloud	beecloud-service-core	6.1.13g		1b276f42b9a121778bb2f4d68407e355464517ce
cn.bee-cloud	beecloud-service-core	6.1.14		330c38a238954bdf2279cc0bed0667f8164fa36e
cn.bee-cloud	beecloud-service-core	6.1.14a		cf3d818e2aebf6b6cdc37bdd54d85d6cb08e109a
cn.bee-cloud	beecloud-service-core	6.1.14b		031a6962ee13f4ca6fcf3a99dd7cf294c4c5ab62
cn.bee-cloud	beecloud-service-core	6.1.14c		26cd0cd97f3040814e9d895f1e70867de47e0603
cn.bee-cloud	beecloud-service-core	6.1.14d		6e21db6ec9a02a6f768628bd73c29216084519d2
cn.bee-cloud	beecloud-service-core	6.1.14e		04dd3d63762abd8913dafda0c5dbfc17cfe66a7c
cn.bee-cloud	beecloud-service-core	6.1.14f		1d7e34cec9f3f2055093bc965a1d84094c879a47
cn.bee-cloud	beecloud-service-core	6.1.14g		723d3a6f40f8f11ce8ce40906e8efc1d716c4b64
cn.bee-cloud	beecloud-service-core	6.1.3		05a6f8105929f875e0246059f5f5e32965c53e2f
cn.bee-cloud	beecloud-service-core	6.1.4		5c98d1b0a8f9aa242b6bd83de36b5beb9f79c300
cn.bee-cloud	beecloud-service-core	6.1.5		1c061f07e34a23335ddf0307dfd454af56f466f8
cn.bee-cloud	beecloud-service-core	6.1.6		6731f8b068695db8a40dda7b856565101c0114f4
cn.bee-cloud	beecloud-service-core	6.1.7		b6719a4b866dc222e971de2541973adf14bbc49b
cn.bee-cloud	beecloud-service-core	6.1.8		3179d43f7525efa45229d1f335c34ade83adc0f6
cn.bee-cloud	beecloud-service-core	6.1.9		bcf138fd260fb1698b4871e5f1b9bfa12cca2195
cn.bee-cloud	beecloud-service-core	6.1.9a		eaf3259894cb3fc099d149a4563514a038841426
cn.bee-cloud	beecloud-service-core	6.1.9b		fa62a626b67ebdb0e69dc8bfbb5ac68f9f0ccfb0
cn.bee-cloud	beecloud-service-core	6.1.9c		0e3b78d5c10303d8073554ff04d6828d2b7e7c06
cn.bee-cloud	beecloud-service-core	6.1.9d		44a368f1cd59e0f30de280bb6996c95a80bca44f
cn.bee-cloud	beecloud-service-core	6.1.9e		1d80e774fe0e413dc283e694f069f33bd6e55a2d
cn.bee-cloud	beecloud-service-core	6.1.9f		4e9971d2b1c989577686c7f7878905dac655d9d1
cn.bee-cloud	beecloud-service-core	6.1.9g		43e49e869121feb9f855ba7b55bd2384e0861a37
cn.bee-cloud	beecloud-service-core	6.1.9h		c1b9476b5f85e233357199a5d2e9d3e9dcec5d9c
cn.bee-cloud	beecloud-service-core	6.2.01		01256a83e3fc35090a0df20740b3bb1336a467e4
cn.bee-cloud	beecloud-service-core	6.2.02		8bf4dac5b9207a31ddf380375204f8dc73215068
cn.bee-cloud	beecloud-service-core	6.2.03		23c87a36bbe59741a9cabd1c69e874866954b75e
cn.bee-cloud	beecloud-service-core	6.2.04		d3d6a9de4eda5ee115f46969e34115b2483981de
cn.bee-cloud	beecloud-service-core	6.2.05		2541f693955ef73235935ba6b3640932bc06ba03
cn.bee-cloud	beecloud-service-core	6.2.06		939d7f8bc2ae2ec3c45e2b9e4c30470468b1c775
cn.bee-cloud	beecloud-service-core	6.2.07		6ec98ba0cbad0cf18f47b68a4f6cdc5dd5926654
cn.bestwu.simpleframework	simpleframework-security	0.1.11		3328fa6336f22586966097286ceb3e1693fa947e
cn.bestwu.simpleframework	simpleframework-security	0.1.12		67e7c2719e789d0aa5f42a3b85081f7194acf601
cn.bestwu.simpleframework	simpleframework-security	0.1.13		d3f6b40a1f11671a55f0b3c981f20b63daa84bbe
cn.bestwu.simpleframework	simpleframework-security	0.1.14		79d6d07df02c3e42a8371f5956a17180f998efc9
cn.bestwu.simpleframework	simpleframework-security	0.1.15		4d9cd79cff0929d6528e9ae8b1a0b1b96427bf74
cn.bestwu.simpleframework	simpleframework-security	0.1.17		42079c9034272817b91262690ee1f569adf27b05
cn.bestwu.simpleframework	simpleframework-security	0.1.29		659ced6c2f35afc3e77de6ec3a0a2afecba8aeef
cn.bestwu.simpleframework	simpleframework-security	0.1.30		7e826b290b35133c44b71dc60f952a6cdfd7f249
cn.bestwu.simpleframework	simpleframework-security	0.1.31		1ebe074f125d9dd9cd23dd36cefa3c2109fb1c79
cn.bestwu.simpleframework	simpleframework-security	0.1.32		7dce3a7a9e2805d0349a6ac885b62b830994cd73
cn.bestwu.simpleframework	simpleframework-security	0.1.33		161690a5c165a1e7f66da08149c46e8589111d9e
cn.dev33	sa-token-quick-login	1.19.0		6f5a17490667d6c071bc4e49248519409c992dbd
cn.dev33	sa-token-quick-login	1.20.0		4ef4e06686640ccd3eb416890d966f87c7844a2d
cn.dev33	sa-token-quick-login	1.21.0		7079eb00e548723196b2390cace23e87395d051a
cn.dev33	sa-token-quick-login	1.22.0		9c1ea3fbf847cdd95cbcf7424931df4f6a3af050
cn.dev33	sa-token-quick-login	1.23.0		4d8071d2954dfe77e3af0b9fca63fa11813ea877
cn.dev33	sa-token-quick-login	1.24.0		bca0d906079282f07f028a6d94bee82beb2b8b85
cn.dev33	sa-token-quick-login	1.25.0		1261ef456e9b84c956b965b84eae2f5c4726373c
cn.dev33	sa-token-quick-login	1.26.0		18e5331f10abf59698e3b09f4ab7097afd6c8984
cn.dev33	sa-token-quick-login	1.27.0		156f7952ed7da326838778cf4dd0a46eef299e53
cn.dev33	sa-token-quick-login	1.28.0		7b227da108808ce7d28ebf3fc0a17ce963bbb636
cn.dev33	sa-token-quick-login	1.29.0		23077a3d25fd09e0c501b5f67c77a03da06befd8
cn.dev33	sa-token-quick-login	1.29.1.trial		1d1d462d94049d24009b050f2d4681c4f92b35b6
cn.dev33	sa-token-quick-login	1.30.0		be47e386687e82a7d9d014b7ad7a65adbba000b6
cn.dev33	sa-token-quick-login	1.30.0.RC		c59a23c21d52939036a2160d40ea25d0f709893b
cn.dev33	sa-token-quick-login	1.31.0		bf62defa5cf73ba1cfc1464891fe9aca292266ab
cn.dev33	sa-token-quick-login	1.31.0.RC		b0a9e2b4cdcf0630882139ccfe46f142315cf465
cn.dev33	sa-token-quick-login	1.31.1.temp		33ec11a9e34c9e3cc516cec06da2d911ec7b0cc3
cn.dev33	sa-token-quick-login	1.31.1.trial		512d0cd0f7ac29548c4973a4c3411a30bd4323fe
cn.dev33	sa-token-quick-login	1.31.2.temp		cdf6562c358e0f90a2e98e6e5708e024f8b76611
cn.dev33	sa-token-quick-login	1.31.3.temp		2fed4862bfe0e12a17bc452858a50b827b50c7f7
cn.dev33	sa-token-quick-login	1.32.0		0be27772f7e75431ce16ecc60c116cc6507a5718
cn.dev33	sa-token-quick-login	1.33.0		3b4901e59efc98b5c75f745ebf152387c5ef2acd
cn.dev33	sa-token-quick-login	1.34.0		4f4d7db561ef832289bd6bee991b50f8e95534f9
cn.dev33	sa-token-quick-login	1.34.0.temp1		23a18b540522acca5bfa822dc56d898c98e2ec69
cn.dev33	sa-token-quick-login	1.35.0.RC		996e4d3a1772b808d078c9a5b9d0861c31f6690e
cn.dev33	sa-token-quick-login	1.36.0		47d2cead94c39addff9317d8a95a1190f890b8ec
cn.dev33	sa-token-quick-login	1.37.0		f41c81c9892f33b74e2dae57a2197b4e659ce794
cn.dev33	sa-token-quick-login	1.38.0		306a26b748adc9ae33ceaeb341f59742a62caf05
cn.dev33	sa-token-quick-login	1.39.0		81c895c7fb989a90d22bccad59473b919ba0afd1
cn.dev33	sa-token-quick-login	1.40.0		9f4b7b2a2c3863e5d19f3dbb137b1c93c2ce96ab
cn.dev33	sa-token-quick-login	1.41.0		5b811e9db6c211d529a5138bc1d42e668093e13f
cn.dev33	sa-token-quick-login	1.42.0		7f42bf0ac082433d55575407ce35ec0c398c5f08
cn.herodotus.engine	message-sdk-websocket	2.7.10.0		f8562f044830dbcb0e9e02d624635f3301bb76c4
cn.herodotus.engine	message-sdk-websocket	2.7.10.1		e4df7e8e2dea48e2e0b18996c5612153b949a6db
cn.herodotus.engine	message-sdk-websocket	2.7.10.2		1e60d3b9801658367f20cb84f327e5db9cc42ee5
cn.herodotus.engine	message-sdk-websocket	2.7.11.0		1114811d6971d9a5e0d2071531a793d9d4dba872
cn.herodotus.engine	message-sdk-websocket	2.7.11.1		504bcf6ad88640a47f94f728c5db7dbeab9a3b89
cn.herodotus.engine	message-sdk-websocket	2.7.12.0		e6461169faabd31dee3c117b6f2744e89f63cfc9
cn.herodotus.engine	message-sdk-websocket	2.7.12.1		75a9d940c6544cbd0a7a7b7ca118556caa4d573f
cn.herodotus.engine	message-sdk-websocket	2.7.13.0		39e79054ebf4e8fbf2d55e7a6f21d5bd326b1c36
cn.herodotus.engine	message-sdk-websocket	2.7.14.0		e45124d2af37e320a6e9b376701447e7dfe65a56
cn.herodotus.engine	message-sdk-websocket	2.7.15.0		296ff6ba78ccae9a037c85ea01e3555c971af02b
cn.herodotus.engine	message-sdk-websocket	2.7.16.Final		606c4d63e33f7f8d63f6cc5848c10a3bbbbc2acc
cn.herodotus.engine	message-sdk-websocket	2.7.18.Final		7019b7cfe318b952935a2002beeefa4881f44188
cn.herodotus.engine	message-sdk-websocket	2.7.7.5		21631fccf2db1479cdba9fe354b42e67f083be2c
cn.herodotus.engine	message-sdk-websocket	2.7.8.0		357e127abdf339da727b7a90d0372cc121837940
cn.herodotus.engine	message-sdk-websocket	2.7.8.1		450944c4f07c30dcf87c10b063133b491c93ece4
cn.herodotus.engine	message-sdk-websocket	2.7.9.0		8618c12ae67002818c59a857f64e26b44c43d591
cn.herodotus.engine	message-sdk-websocket	2.7.9.1		ebd9bbd8c2e91d775df67ceb6778aec13774f257
cn.herodotus.engine	message-sdk-websocket	2.7.9.2		28945db3238603262f869b48ff44e95c0217e548
cn.herodotus.engine	message-sdk-websocket	3.0.0-RC3		a94db0e9522821e1f0f258c6b649bcff2afb39f0
cn.herodotus.engine	message-sdk-websocket	3.0.0.0		654876ce0429da1a7bc0a51fc5f633133c7877e9
cn.herodotus.engine	message-sdk-websocket	3.0.1.0		a3168f693a8817c1ec19a76a1645d060c921f8b8
