cc.drx	poi_2.13	ee		704dd3f98031dfcf71be1867a4ea486914031881
com.321wing.wingframework	wingframework-parent	0.0.1		N/A
com.airlenet	play-quartz	2.0.0		dc71957b9bb39e4207ff8b104887821ccbb5e0ed
com.almworks.jira.structure	gantt-api	1.0.0		97179dea5d0344d97fbbf02147b4626d0af7b8f6
com.bazaarvoice.auth	jersey-hmac-auth-common	0.10		86b67005e3801c76a78ede98eaa9293a16a5ba69
com.bazaarvoice.auth	jersey-hmac-auth-common	0.13		0979f8a0c0be66e0758b6b53604e716c23adac82
com.bazaarvoice.auth	jersey-hmac-auth-common	0.14		e0b5e6c7e12de461406415e90c770d52b6beb25d
com.bazaarvoice.auth	jersey-hmac-auth-common	0.15		8b7190ec46573a41884557f13107f9d0d344658b
com.bazaarvoice.auth	jersey-hmac-auth-common	0.16		da47ee101f7ee1802313a3a21293170f878faf52
com.bazaarvoice.auth	jersey-hmac-auth-common	0.17		6065ae2a20c957609a9d986c71dfac0cbd0c38b9
com.bazaarvoice.auth	jersey-hmac-auth-common	0.18		0184f2b8743f9c698d363fb692ca8718563ee5b5
com.bazaarvoice.auth	jersey-hmac-auth-common	1.0		14a15df3abf645d75efe974bb2aab3d35d5fb994
com.bazaarvoice.auth	jersey-hmac-auth-common	1.1		c2df44c5669b53f11d4f9026f1f0c836f2a6d6f2
com.bidyut.tech.seahorse	seahorse-full-watchosarm32	0.10.0		N/A
com.bidyut.tech.seahorse	seahorse-full-watchosarm32	0.10.0	metadata	15ebdca6c4eca4ca45babe6cf54dfd5ba451841e
com.bidyut.tech.seahorse	seahorse-full-watchosarm32	0.11.0		N/A
com.bidyut.tech.seahorse	seahorse-full-watchosarm32	0.11.0	metadata	e0d1e3b331001defafce1bb4ea71f8d2d1c26dea
com.bidyut.tech.seahorse	seahorse-full-watchosarm32	0.12.0		N/A
com.bidyut.tech.seahorse	seahorse-full-watchosarm32	0.12.0	metadata	84bcdd99ab670cba89e2f85dbea42d161ec8d2c4
com.bidyut.tech.seahorse	seahorse-full-watchosarm32	0.9.0		N/A
com.bidyut.tech.seahorse	seahorse-full-watchosarm32	0.9.0	metadata	eafc7976e1a6775d5758d6aba247c53540bea47e
com.butor	butor-notif-jms	1.0.0		461f1117889c148b6ff70cf22a913b59a3c7eff3
com.butor	butor-notif-jms	1.0.12		fc2caeed72f62f910ae58ca6aec64f4aeb4374a8
com.butor	butor-notif-jms	1.0.13		b388a63c237e75f30b11b2e15df19a22634f8759
com.butor	butor-notif-jms	1.0.14		3f377de3359f52db9a05b352ef3c24562e9acfc9
com.butor	butor-notif-jms	1.0.17		a6093494aa3a196f9b56752421ddad8b22b0032d
com.butor	butor-notif-jms	1.0.18		ebd6d17bc7e4cbdf148473d9369eeff36879e30f
com.butor	butor-notif-jms	1.0.19		8a16bb1cd0a6aede71052520ff050a745f97d47f
com.butor	butor-notif-jms	1.0.21		7b56fceb221311ac053438884d673583cca96691
com.butor	butor-notif-jms	1.0.22		729deaa7022ce617a8100a8568e60c6f92406077
com.butor	butor-notif-jms	1.0.23		79fc9ada73da1883f229297ad800a536bf0f997a
