biz.netcentric.cq.tools.aemmjml	aemmjml-all-package	0.1.0		N/A
ch.j3t	zio-jooq_2.12	0.1.0		e50d4e7752bd2103db4d0c7fb00703b022e387bb
ch.j3t	zio-jooq_2.12	0.2.0		13ce0abd773432f1d2a4e7ab6df96ececa79c92b
cloud.proxi	shared-iosX64	3.0.0-RC1		N/A
cloud.proxi	shared-iosX64	3.0.0-RC1	metadata	d9bc8f200601a8b0077e964ec9051139624f4420
cloud.proxi	shared-iosX64	3.0.11		N/A
cloud.proxi	shared-iosX64	3.0.11	metadata	58981924df3196846e615f8f59bfc3cc26bb7ef6
cloud.proxi	shared-iosX64	3.0.13		N/A
cloud.proxi	shared-iosX64	3.0.13	metadata	1a685d8cfd200b1dd69d96347d491367e9899c99
cloud.proxi	shared-iosX64	3.0.6		N/A
cloud.proxi	shared-iosX64	3.0.6	metadata	d9b14934fff2367b1d0ee3ca0cc5de8503b38e0d
com.cleverpine	cp-translations-lib	1.2.0		N/A
com.clicktale.library	sdk	3.1.1.95		N/A
com.clivern	pluto	1.0.0		787b72f57a18fd353540d52d7c75717568ea9bae
com.clivern	pluto	1.0.1		e555b85284a0e535f24b9531e3bcb1f902931096
com.composum.sling.platform	composum-platform-package	1.0.3		N/A
com.couchbase.lite	couchbase-lite-android-ktx	3.0.0		N/A
com.couchbase.lite	couchbase-lite-android-ktx	3.0.0-beta01		N/A
com.couchbase.lite	couchbase-lite-android-ktx	3.0.0-beta02		N/A
com.couchbase.lite	couchbase-lite-android-ktx	3.0.12		N/A
com.couchbase.lite	couchbase-lite-android-ktx	3.0.15		N/A
com.couchbase.lite	couchbase-lite-android-ktx	3.0.2		N/A
com.couchbase.lite	couchbase-lite-android-ktx	3.0.5		N/A
com.couchbase.lite	couchbase-lite-android-ktx	3.1.0		N/A
com.couchbase.lite	couchbase-lite-android-ktx	3.1.1		N/A
com.couchbase.lite	couchbase-lite-android-ktx	3.1.10		N/A
com.couchbase.lite	couchbase-lite-android-ktx	3.1.11		N/A
com.couchbase.lite	couchbase-lite-android-ktx	3.1.2		N/A
com.couchbase.lite	couchbase-lite-android-ktx	3.1.3		N/A
com.couchbase.lite	couchbase-lite-android-ktx	3.1.6		N/A
com.couchbase.lite	couchbase-lite-android-ktx	3.1.7		N/A
com.couchbase.lite	couchbase-lite-android-ktx	3.1.8		N/A
com.couchbase.lite	couchbase-lite-android-ktx	3.1.9		N/A
com.couchbase.lite	couchbase-lite-android-ktx	3.2.0		N/A
com.couchbase.lite	couchbase-lite-android-ktx	3.2.0-beta.1		N/A
com.couchbase.lite	couchbase-lite-android-ktx	3.2.0-beta.2		N/A
com.couchbase.lite	couchbase-lite-android-ktx	3.2.1		N/A
com.couchbase.lite	couchbase-lite-android-ktx	3.2.2		N/A
com.couchbase.lite	couchbase-lite-android-ktx	3.2.3		N/A
com.episode6.redux	side-effects-iosarm64	1.0.0		N/A
